,artist_id,down,ds
0,03c6699ea836decbc5c8fc2dbae7bd3b,1,2015-03-01
1,03c6699ea836decbc5c8fc2dbae7bd3b,3,2015-03-04
2,03c6699ea836decbc5c8fc2dbae7bd3b,3,2015-03-05
3,03c6699ea836decbc5c8fc2dbae7bd3b,2,2015-03-06
4,03c6699ea836decbc5c8fc2dbae7bd3b,1,2015-03-08
5,03c6699ea836decbc5c8fc2dbae7bd3b,2,2015-03-11
6,03c6699ea836decbc5c8fc2dbae7bd3b,1,2015-03-13
7,03c6699ea836decbc5c8fc2dbae7bd3b,2,2015-03-14
8,03c6699ea836decbc5c8fc2dbae7bd3b,3,2015-03-15
9,03c6699ea836decbc5c8fc2dbae7bd3b,2,2015-03-18
10,03c6699ea836decbc5c8fc2dbae7bd3b,1,2015-03-19
11,03c6699ea836decbc5c8fc2dbae7bd3b,5,2015-03-20
12,03c6699ea836decbc5c8fc2dbae7bd3b,3,2015-03-21
13,03c6699ea836decbc5c8fc2dbae7bd3b,3,2015-03-22
14,03c6699ea836decbc5c8fc2dbae7bd3b,1,2015-03-25
15,03c6699ea836decbc5c8fc2dbae7bd3b,2,2015-03-26
16,03c6699ea836decbc5c8fc2dbae7bd3b,8,2015-03-27
17,03c6699ea836decbc5c8fc2dbae7bd3b,6,2015-03-28
18,03c6699ea836decbc5c8fc2dbae7bd3b,14,2015-03-29
19,03c6699ea836decbc5c8fc2dbae7bd3b,5,2015-03-30
20,03c6699ea836decbc5c8fc2dbae7bd3b,28,2015-03-31
21,03c6699ea836decbc5c8fc2dbae7bd3b,20,2015-04-01
22,03c6699ea836decbc5c8fc2dbae7bd3b,9,2015-04-02
23,03c6699ea836decbc5c8fc2dbae7bd3b,13,2015-04-03
24,03c6699ea836decbc5c8fc2dbae7bd3b,18,2015-04-04
25,03c6699ea836decbc5c8fc2dbae7bd3b,34,2015-04-05
26,03c6699ea836decbc5c8fc2dbae7bd3b,20,2015-04-06
27,03c6699ea836decbc5c8fc2dbae7bd3b,13,2015-04-07
28,03c6699ea836decbc5c8fc2dbae7bd3b,26,2015-04-08
29,03c6699ea836decbc5c8fc2dbae7bd3b,7,2015-04-09
30,03c6699ea836decbc5c8fc2dbae7bd3b,13,2015-04-10
31,03c6699ea836decbc5c8fc2dbae7bd3b,12,2015-04-11
32,03c6699ea836decbc5c8fc2dbae7bd3b,12,2015-04-12
33,03c6699ea836decbc5c8fc2dbae7bd3b,10,2015-04-13
34,03c6699ea836decbc5c8fc2dbae7bd3b,10,2015-04-14
35,03c6699ea836decbc5c8fc2dbae7bd3b,6,2015-04-15
36,03c6699ea836decbc5c8fc2dbae7bd3b,13,2015-04-16
37,03c6699ea836decbc5c8fc2dbae7bd3b,10,2015-04-17
38,03c6699ea836decbc5c8fc2dbae7bd3b,3,2015-04-18
39,03c6699ea836decbc5c8fc2dbae7bd3b,9,2015-04-19
40,03c6699ea836decbc5c8fc2dbae7bd3b,3,2015-04-20
41,03c6699ea836decbc5c8fc2dbae7bd3b,1,2015-04-21
42,03c6699ea836decbc5c8fc2dbae7bd3b,7,2015-04-22
43,03c6699ea836decbc5c8fc2dbae7bd3b,7,2015-04-23
44,03c6699ea836decbc5c8fc2dbae7bd3b,2,2015-04-24
45,03c6699ea836decbc5c8fc2dbae7bd3b,5,2015-04-25
46,03c6699ea836decbc5c8fc2dbae7bd3b,12,2015-04-26
47,03c6699ea836decbc5c8fc2dbae7bd3b,5,2015-04-27
48,03c6699ea836decbc5c8fc2dbae7bd3b,13,2015-04-28
49,03c6699ea836decbc5c8fc2dbae7bd3b,7,2015-04-29
50,03c6699ea836decbc5c8fc2dbae7bd3b,4,2015-04-30
