,artist_id,down,ds
0,0c80008b0a28d356026f4b1097041689,2,2015-03-03
1,0c80008b0a28d356026f4b1097041689,1,2015-03-05
2,0c80008b0a28d356026f4b1097041689,1,2015-03-09
3,0c80008b0a28d356026f4b1097041689,1,2015-03-12
4,0c80008b0a28d356026f4b1097041689,1,2015-03-13
5,0c80008b0a28d356026f4b1097041689,1,2015-03-15
6,0c80008b0a28d356026f4b1097041689,1,2015-03-23
7,0c80008b0a28d356026f4b1097041689,1,2015-03-27
8,0c80008b0a28d356026f4b1097041689,2,2015-03-28
9,0c80008b0a28d356026f4b1097041689,2,2015-03-29
10,0c80008b0a28d356026f4b1097041689,2,2015-03-30
11,0c80008b0a28d356026f4b1097041689,7,2015-03-31
12,0c80008b0a28d356026f4b1097041689,7,2015-04-01
13,0c80008b0a28d356026f4b1097041689,4,2015-04-02
14,0c80008b0a28d356026f4b1097041689,3,2015-04-03
15,0c80008b0a28d356026f4b1097041689,5,2015-04-04
16,0c80008b0a28d356026f4b1097041689,6,2015-04-05
17,0c80008b0a28d356026f4b1097041689,7,2015-04-06
18,0c80008b0a28d356026f4b1097041689,6,2015-04-07
19,0c80008b0a28d356026f4b1097041689,5,2015-04-08
20,0c80008b0a28d356026f4b1097041689,8,2015-04-09
21,0c80008b0a28d356026f4b1097041689,5,2015-04-10
22,0c80008b0a28d356026f4b1097041689,9,2015-04-11
23,0c80008b0a28d356026f4b1097041689,2,2015-04-12
24,0c80008b0a28d356026f4b1097041689,7,2015-04-13
25,0c80008b0a28d356026f4b1097041689,4,2015-04-14
26,0c80008b0a28d356026f4b1097041689,6,2015-04-15
27,0c80008b0a28d356026f4b1097041689,4,2015-04-16
28,0c80008b0a28d356026f4b1097041689,3,2015-04-17
29,0c80008b0a28d356026f4b1097041689,3,2015-04-18
30,0c80008b0a28d356026f4b1097041689,14,2015-04-19
31,0c80008b0a28d356026f4b1097041689,7,2015-04-20
32,0c80008b0a28d356026f4b1097041689,5,2015-04-21
33,0c80008b0a28d356026f4b1097041689,12,2015-04-22
34,0c80008b0a28d356026f4b1097041689,13,2015-04-23
35,0c80008b0a28d356026f4b1097041689,6,2015-04-24
36,0c80008b0a28d356026f4b1097041689,7,2015-04-25
37,0c80008b0a28d356026f4b1097041689,10,2015-04-26
38,0c80008b0a28d356026f4b1097041689,10,2015-04-27
39,0c80008b0a28d356026f4b1097041689,6,2015-04-28
40,0c80008b0a28d356026f4b1097041689,7,2015-04-29
41,0c80008b0a28d356026f4b1097041689,2,2015-04-30
42,0c80008b0a28d356026f4b1097041689,3,2015-05-01
43,0c80008b0a28d356026f4b1097041689,4,2015-05-02
44,0c80008b0a28d356026f4b1097041689,5,2015-05-03
45,0c80008b0a28d356026f4b1097041689,7,2015-05-04
46,0c80008b0a28d356026f4b1097041689,7,2015-05-05
47,0c80008b0a28d356026f4b1097041689,4,2015-05-06
48,0c80008b0a28d356026f4b1097041689,9,2015-05-07
49,0c80008b0a28d356026f4b1097041689,11,2015-05-08
50,0c80008b0a28d356026f4b1097041689,7,2015-05-09
51,0c80008b0a28d356026f4b1097041689,11,2015-05-10
52,0c80008b0a28d356026f4b1097041689,9,2015-05-11
53,0c80008b0a28d356026f4b1097041689,2,2015-05-12
54,0c80008b0a28d356026f4b1097041689,4,2015-05-13
55,0c80008b0a28d356026f4b1097041689,9,2015-05-14
56,0c80008b0a28d356026f4b1097041689,3,2015-05-15
57,0c80008b0a28d356026f4b1097041689,6,2015-05-16
58,0c80008b0a28d356026f4b1097041689,8,2015-05-17
59,0c80008b0a28d356026f4b1097041689,9,2015-05-18
60,0c80008b0a28d356026f4b1097041689,10,2015-05-19
61,0c80008b0a28d356026f4b1097041689,6,2015-05-20
62,0c80008b0a28d356026f4b1097041689,6,2015-05-21
