,artist_id,down,ds
0,216b280870f6d2181e11b6a428aa84a7,1,2015-03-02
1,216b280870f6d2181e11b6a428aa84a7,2,2015-03-12
2,216b280870f6d2181e11b6a428aa84a7,1,2015-03-18
3,216b280870f6d2181e11b6a428aa84a7,1,2015-03-20
4,216b280870f6d2181e11b6a428aa84a7,1,2015-03-27
5,216b280870f6d2181e11b6a428aa84a7,2,2015-03-28
6,216b280870f6d2181e11b6a428aa84a7,5,2015-03-31
7,216b280870f6d2181e11b6a428aa84a7,6,2015-04-01
8,216b280870f6d2181e11b6a428aa84a7,2,2015-04-02
9,216b280870f6d2181e11b6a428aa84a7,10,2015-04-03
10,216b280870f6d2181e11b6a428aa84a7,6,2015-04-04
11,216b280870f6d2181e11b6a428aa84a7,5,2015-04-05
12,216b280870f6d2181e11b6a428aa84a7,3,2015-04-06
13,216b280870f6d2181e11b6a428aa84a7,1,2015-04-07
14,216b280870f6d2181e11b6a428aa84a7,1,2015-04-08
15,216b280870f6d2181e11b6a428aa84a7,4,2015-04-09
16,216b280870f6d2181e11b6a428aa84a7,6,2015-04-10
17,216b280870f6d2181e11b6a428aa84a7,2,2015-04-11
18,216b280870f6d2181e11b6a428aa84a7,3,2015-04-12
19,216b280870f6d2181e11b6a428aa84a7,7,2015-04-13
20,216b280870f6d2181e11b6a428aa84a7,2,2015-04-14
21,216b280870f6d2181e11b6a428aa84a7,2,2015-04-15
22,216b280870f6d2181e11b6a428aa84a7,2,2015-04-16
23,216b280870f6d2181e11b6a428aa84a7,1,2015-04-17
24,216b280870f6d2181e11b6a428aa84a7,2,2015-04-18
25,216b280870f6d2181e11b6a428aa84a7,4,2015-04-19
26,216b280870f6d2181e11b6a428aa84a7,3,2015-04-20
27,216b280870f6d2181e11b6a428aa84a7,2,2015-04-22
28,216b280870f6d2181e11b6a428aa84a7,2,2015-04-23
29,216b280870f6d2181e11b6a428aa84a7,1,2015-04-24
30,216b280870f6d2181e11b6a428aa84a7,1,2015-04-25
31,216b280870f6d2181e11b6a428aa84a7,3,2015-04-26
32,216b280870f6d2181e11b6a428aa84a7,4,2015-04-27
33,216b280870f6d2181e11b6a428aa84a7,5,2015-04-28
34,216b280870f6d2181e11b6a428aa84a7,2,2015-04-29
35,216b280870f6d2181e11b6a428aa84a7,4,2015-04-30
36,216b280870f6d2181e11b6a428aa84a7,9,2015-05-02
37,216b280870f6d2181e11b6a428aa84a7,2,2015-05-03
38,216b280870f6d2181e11b6a428aa84a7,2,2015-05-05
39,216b280870f6d2181e11b6a428aa84a7,2,2015-05-06
40,216b280870f6d2181e11b6a428aa84a7,4,2015-05-07
41,216b280870f6d2181e11b6a428aa84a7,3,2015-05-08
42,216b280870f6d2181e11b6a428aa84a7,4,2015-05-09
43,216b280870f6d2181e11b6a428aa84a7,2,2015-05-10
44,216b280870f6d2181e11b6a428aa84a7,2,2015-05-11
45,216b280870f6d2181e11b6a428aa84a7,1,2015-05-13
46,216b280870f6d2181e11b6a428aa84a7,1,2015-05-14
47,216b280870f6d2181e11b6a428aa84a7,1,2015-05-15
48,216b280870f6d2181e11b6a428aa84a7,5,2015-05-17
49,216b280870f6d2181e11b6a428aa84a7,1,2015-05-18
50,216b280870f6d2181e11b6a428aa84a7,4,2015-05-19
51,216b280870f6d2181e11b6a428aa84a7,1,2015-05-20
52,216b280870f6d2181e11b6a428aa84a7,2,2015-05-21
53,216b280870f6d2181e11b6a428aa84a7,3,2015-05-22
54,216b280870f6d2181e11b6a428aa84a7,1,2015-05-23
