,artist_id,down,ds
0,2bc52f5bde454d69ea3d99a482e74741,1,2015-03-29
1,2bc52f5bde454d69ea3d99a482e74741,2,2015-03-30
2,2bc52f5bde454d69ea3d99a482e74741,1,2015-04-01
3,2bc52f5bde454d69ea3d99a482e74741,1,2015-04-02
4,2bc52f5bde454d69ea3d99a482e74741,1,2015-04-06
5,2bc52f5bde454d69ea3d99a482e74741,1,2015-04-07
6,2bc52f5bde454d69ea3d99a482e74741,1,2015-04-09
7,2bc52f5bde454d69ea3d99a482e74741,1,2015-04-12
8,2bc52f5bde454d69ea3d99a482e74741,3,2015-04-14
9,2bc52f5bde454d69ea3d99a482e74741,1,2015-04-16
10,2bc52f5bde454d69ea3d99a482e74741,1,2015-04-17
11,2bc52f5bde454d69ea3d99a482e74741,2,2015-04-18
12,2bc52f5bde454d69ea3d99a482e74741,1,2015-04-19
13,2bc52f5bde454d69ea3d99a482e74741,2,2015-04-21
14,2bc52f5bde454d69ea3d99a482e74741,2,2015-04-25
15,2bc52f5bde454d69ea3d99a482e74741,1,2015-04-26
16,2bc52f5bde454d69ea3d99a482e74741,2,2015-04-30
17,2bc52f5bde454d69ea3d99a482e74741,1,2015-05-01
18,2bc52f5bde454d69ea3d99a482e74741,1,2015-05-04
19,2bc52f5bde454d69ea3d99a482e74741,1,2015-05-06
20,2bc52f5bde454d69ea3d99a482e74741,1,2015-05-07
21,2bc52f5bde454d69ea3d99a482e74741,2,2015-05-12
22,2bc52f5bde454d69ea3d99a482e74741,1,2015-05-21
23,2bc52f5bde454d69ea3d99a482e74741,7,2015-05-24
24,2bc52f5bde454d69ea3d99a482e74741,2,2015-05-25
25,2bc52f5bde454d69ea3d99a482e74741,1,2015-05-30
26,2bc52f5bde454d69ea3d99a482e74741,1,2015-06-01
27,2bc52f5bde454d69ea3d99a482e74741,1,2015-06-03
28,2bc52f5bde454d69ea3d99a482e74741,1,2015-06-04
29,2bc52f5bde454d69ea3d99a482e74741,1,2015-06-07
30,2bc52f5bde454d69ea3d99a482e74741,1,2015-06-09
31,2bc52f5bde454d69ea3d99a482e74741,2,2015-06-11
32,2bc52f5bde454d69ea3d99a482e74741,2,2015-06-12
33,2bc52f5bde454d69ea3d99a482e74741,1,2015-06-15
34,2bc52f5bde454d69ea3d99a482e74741,2,2015-06-17
35,2bc52f5bde454d69ea3d99a482e74741,1,2015-06-19
36,2bc52f5bde454d69ea3d99a482e74741,1,2015-06-20
37,2bc52f5bde454d69ea3d99a482e74741,1,2015-06-22
38,2bc52f5bde454d69ea3d99a482e74741,1,2015-06-26
39,2bc52f5bde454d69ea3d99a482e74741,1,2015-07-01
40,2bc52f5bde454d69ea3d99a482e74741,1,2015-07-02
41,2bc52f5bde454d69ea3d99a482e74741,1,2015-07-05
42,2bc52f5bde454d69ea3d99a482e74741,1,2015-07-07
43,2bc52f5bde454d69ea3d99a482e74741,1,2015-07-09
44,2bc52f5bde454d69ea3d99a482e74741,1,2015-07-12
45,2bc52f5bde454d69ea3d99a482e74741,1,2015-07-14
46,2bc52f5bde454d69ea3d99a482e74741,3,2015-07-21
47,2bc52f5bde454d69ea3d99a482e74741,3,2015-07-22
48,2bc52f5bde454d69ea3d99a482e74741,1,2015-07-26
49,2bc52f5bde454d69ea3d99a482e74741,1,2015-07-30
50,2bc52f5bde454d69ea3d99a482e74741,1,2015-07-31
51,2bc52f5bde454d69ea3d99a482e74741,1,2015-08-01
52,2bc52f5bde454d69ea3d99a482e74741,1,2015-08-02
53,2bc52f5bde454d69ea3d99a482e74741,1,2015-08-05
54,2bc52f5bde454d69ea3d99a482e74741,3,2015-08-08
55,2bc52f5bde454d69ea3d99a482e74741,1,2015-08-09
56,2bc52f5bde454d69ea3d99a482e74741,1,2015-08-11
57,2bc52f5bde454d69ea3d99a482e74741,1,2015-08-13
58,2bc52f5bde454d69ea3d99a482e74741,1,2015-08-14
59,2bc52f5bde454d69ea3d99a482e74741,2,2015-08-17
60,2bc52f5bde454d69ea3d99a482e74741,3,2015-08-20
61,2bc52f5bde454d69ea3d99a482e74741,1,2015-08-21
62,2bc52f5bde454d69ea3d99a482e74741,1,2015-08-23
63,2bc52f5bde454d69ea3d99a482e74741,2,2015-08-26
