,artist_id,down,ds
0,2e14d32266ee6b4678595f8f50c369ac,1,2015-03-05
1,2e14d32266ee6b4678595f8f50c369ac,4,2015-03-06
2,2e14d32266ee6b4678595f8f50c369ac,2,2015-03-08
3,2e14d32266ee6b4678595f8f50c369ac,1,2015-03-09
4,2e14d32266ee6b4678595f8f50c369ac,3,2015-03-10
5,2e14d32266ee6b4678595f8f50c369ac,3,2015-03-11
6,2e14d32266ee6b4678595f8f50c369ac,2,2015-03-12
7,2e14d32266ee6b4678595f8f50c369ac,2,2015-03-14
8,2e14d32266ee6b4678595f8f50c369ac,3,2015-03-15
9,2e14d32266ee6b4678595f8f50c369ac,1,2015-03-16
10,2e14d32266ee6b4678595f8f50c369ac,1,2015-03-17
11,2e14d32266ee6b4678595f8f50c369ac,2,2015-03-18
12,2e14d32266ee6b4678595f8f50c369ac,1,2015-03-19
13,2e14d32266ee6b4678595f8f50c369ac,2,2015-03-20
14,2e14d32266ee6b4678595f8f50c369ac,1,2015-03-21
15,2e14d32266ee6b4678595f8f50c369ac,11,2015-03-22
16,2e14d32266ee6b4678595f8f50c369ac,2,2015-03-23
17,2e14d32266ee6b4678595f8f50c369ac,1,2015-03-24
18,2e14d32266ee6b4678595f8f50c369ac,2,2015-03-25
19,2e14d32266ee6b4678595f8f50c369ac,1,2015-03-26
20,2e14d32266ee6b4678595f8f50c369ac,8,2015-03-28
21,2e14d32266ee6b4678595f8f50c369ac,5,2015-03-29
22,2e14d32266ee6b4678595f8f50c369ac,29,2015-03-30
23,2e14d32266ee6b4678595f8f50c369ac,42,2015-03-31
24,2e14d32266ee6b4678595f8f50c369ac,22,2015-04-01
25,2e14d32266ee6b4678595f8f50c369ac,14,2015-04-02
26,2e14d32266ee6b4678595f8f50c369ac,13,2015-04-03
27,2e14d32266ee6b4678595f8f50c369ac,36,2015-04-04
28,2e14d32266ee6b4678595f8f50c369ac,21,2015-04-05
29,2e14d32266ee6b4678595f8f50c369ac,26,2015-04-06
30,2e14d32266ee6b4678595f8f50c369ac,33,2015-04-07
31,2e14d32266ee6b4678595f8f50c369ac,13,2015-04-08
32,2e14d32266ee6b4678595f8f50c369ac,21,2015-04-09
33,2e14d32266ee6b4678595f8f50c369ac,18,2015-04-10
34,2e14d32266ee6b4678595f8f50c369ac,15,2015-04-11
35,2e14d32266ee6b4678595f8f50c369ac,30,2015-04-12
36,2e14d32266ee6b4678595f8f50c369ac,12,2015-04-13
37,2e14d32266ee6b4678595f8f50c369ac,34,2015-04-14
38,2e14d32266ee6b4678595f8f50c369ac,15,2015-04-15
39,2e14d32266ee6b4678595f8f50c369ac,18,2015-04-16
40,2e14d32266ee6b4678595f8f50c369ac,25,2015-04-17
41,2e14d32266ee6b4678595f8f50c369ac,15,2015-04-18
42,2e14d32266ee6b4678595f8f50c369ac,28,2015-04-19
43,2e14d32266ee6b4678595f8f50c369ac,20,2015-04-20
44,2e14d32266ee6b4678595f8f50c369ac,11,2015-04-21
45,2e14d32266ee6b4678595f8f50c369ac,19,2015-04-22
46,2e14d32266ee6b4678595f8f50c369ac,16,2015-04-23
47,2e14d32266ee6b4678595f8f50c369ac,21,2015-04-24
48,2e14d32266ee6b4678595f8f50c369ac,20,2015-04-25
49,2e14d32266ee6b4678595f8f50c369ac,18,2015-04-26
50,2e14d32266ee6b4678595f8f50c369ac,21,2015-04-27
51,2e14d32266ee6b4678595f8f50c369ac,25,2015-04-28
52,2e14d32266ee6b4678595f8f50c369ac,22,2015-04-29
53,2e14d32266ee6b4678595f8f50c369ac,11,2015-04-30
54,2e14d32266ee6b4678595f8f50c369ac,17,2015-05-01
55,2e14d32266ee6b4678595f8f50c369ac,16,2015-05-02
56,2e14d32266ee6b4678595f8f50c369ac,12,2015-05-03
57,2e14d32266ee6b4678595f8f50c369ac,17,2015-05-04
58,2e14d32266ee6b4678595f8f50c369ac,20,2015-05-05
59,2e14d32266ee6b4678595f8f50c369ac,13,2015-05-06
60,2e14d32266ee6b4678595f8f50c369ac,11,2015-05-07
61,2e14d32266ee6b4678595f8f50c369ac,17,2015-05-08
62,2e14d32266ee6b4678595f8f50c369ac,18,2015-05-09
63,2e14d32266ee6b4678595f8f50c369ac,34,2015-05-10
64,2e14d32266ee6b4678595f8f50c369ac,14,2015-05-11
65,2e14d32266ee6b4678595f8f50c369ac,26,2015-05-12
66,2e14d32266ee6b4678595f8f50c369ac,25,2015-05-13
