,artist_id,down,ds
0,300dde62b988fc83eb6dba1b702e9af3,3,2015-03-01
1,300dde62b988fc83eb6dba1b702e9af3,4,2015-03-03
2,300dde62b988fc83eb6dba1b702e9af3,10,2015-03-04
3,300dde62b988fc83eb6dba1b702e9af3,2,2015-03-05
4,300dde62b988fc83eb6dba1b702e9af3,8,2015-03-06
5,300dde62b988fc83eb6dba1b702e9af3,2,2015-03-07
6,300dde62b988fc83eb6dba1b702e9af3,3,2015-03-08
7,300dde62b988fc83eb6dba1b702e9af3,3,2015-03-09
8,300dde62b988fc83eb6dba1b702e9af3,2,2015-03-10
9,300dde62b988fc83eb6dba1b702e9af3,10,2015-03-11
10,300dde62b988fc83eb6dba1b702e9af3,5,2015-03-12
11,300dde62b988fc83eb6dba1b702e9af3,1,2015-03-13
12,300dde62b988fc83eb6dba1b702e9af3,4,2015-03-14
13,300dde62b988fc83eb6dba1b702e9af3,1,2015-03-15
14,300dde62b988fc83eb6dba1b702e9af3,2,2015-03-16
15,300dde62b988fc83eb6dba1b702e9af3,5,2015-03-17
16,300dde62b988fc83eb6dba1b702e9af3,9,2015-03-18
17,300dde62b988fc83eb6dba1b702e9af3,2,2015-03-19
18,300dde62b988fc83eb6dba1b702e9af3,11,2015-03-21
19,300dde62b988fc83eb6dba1b702e9af3,9,2015-03-22
20,300dde62b988fc83eb6dba1b702e9af3,7,2015-03-23
21,300dde62b988fc83eb6dba1b702e9af3,4,2015-03-24
22,300dde62b988fc83eb6dba1b702e9af3,13,2015-03-25
23,300dde62b988fc83eb6dba1b702e9af3,4,2015-03-26
24,300dde62b988fc83eb6dba1b702e9af3,9,2015-03-27
25,300dde62b988fc83eb6dba1b702e9af3,13,2015-03-28
26,300dde62b988fc83eb6dba1b702e9af3,24,2015-03-29
27,300dde62b988fc83eb6dba1b702e9af3,34,2015-03-30
28,300dde62b988fc83eb6dba1b702e9af3,44,2015-03-31
29,300dde62b988fc83eb6dba1b702e9af3,36,2015-04-01
30,300dde62b988fc83eb6dba1b702e9af3,41,2015-04-02
31,300dde62b988fc83eb6dba1b702e9af3,25,2015-04-03
32,300dde62b988fc83eb6dba1b702e9af3,106,2015-04-04
33,300dde62b988fc83eb6dba1b702e9af3,63,2015-04-05
34,300dde62b988fc83eb6dba1b702e9af3,55,2015-04-06
35,300dde62b988fc83eb6dba1b702e9af3,37,2015-04-07
36,300dde62b988fc83eb6dba1b702e9af3,36,2015-04-08
37,300dde62b988fc83eb6dba1b702e9af3,90,2015-04-09
38,300dde62b988fc83eb6dba1b702e9af3,45,2015-04-10
39,300dde62b988fc83eb6dba1b702e9af3,58,2015-04-11
40,300dde62b988fc83eb6dba1b702e9af3,56,2015-04-12
41,300dde62b988fc83eb6dba1b702e9af3,35,2015-04-13
42,300dde62b988fc83eb6dba1b702e9af3,60,2015-04-14
43,300dde62b988fc83eb6dba1b702e9af3,42,2015-04-15
44,300dde62b988fc83eb6dba1b702e9af3,46,2015-04-16
45,300dde62b988fc83eb6dba1b702e9af3,59,2015-04-17
46,300dde62b988fc83eb6dba1b702e9af3,26,2015-04-18
47,300dde62b988fc83eb6dba1b702e9af3,126,2015-04-19
48,300dde62b988fc83eb6dba1b702e9af3,38,2015-04-20
49,300dde62b988fc83eb6dba1b702e9af3,46,2015-04-21
50,300dde62b988fc83eb6dba1b702e9af3,43,2015-04-22
51,300dde62b988fc83eb6dba1b702e9af3,63,2015-04-23
52,300dde62b988fc83eb6dba1b702e9af3,30,2015-04-24
53,300dde62b988fc83eb6dba1b702e9af3,41,2015-04-25
54,300dde62b988fc83eb6dba1b702e9af3,63,2015-04-26
55,300dde62b988fc83eb6dba1b702e9af3,56,2015-04-27
56,300dde62b988fc83eb6dba1b702e9af3,97,2015-04-28
57,300dde62b988fc83eb6dba1b702e9af3,76,2015-04-29
58,300dde62b988fc83eb6dba1b702e9af3,107,2015-04-30
59,300dde62b988fc83eb6dba1b702e9af3,94,2015-05-01
60,300dde62b988fc83eb6dba1b702e9af3,58,2015-05-02
61,300dde62b988fc83eb6dba1b702e9af3,94,2015-05-03
62,300dde62b988fc83eb6dba1b702e9af3,35,2015-05-04
63,300dde62b988fc83eb6dba1b702e9af3,75,2015-05-05
64,300dde62b988fc83eb6dba1b702e9af3,58,2015-05-06
65,300dde62b988fc83eb6dba1b702e9af3,52,2015-05-07
66,300dde62b988fc83eb6dba1b702e9af3,65,2015-05-08
67,300dde62b988fc83eb6dba1b702e9af3,52,2015-05-09
68,300dde62b988fc83eb6dba1b702e9af3,90,2015-05-10
69,300dde62b988fc83eb6dba1b702e9af3,56,2015-05-11
70,300dde62b988fc83eb6dba1b702e9af3,51,2015-05-12
71,300dde62b988fc83eb6dba1b702e9af3,40,2015-05-13
72,300dde62b988fc83eb6dba1b702e9af3,49,2015-05-14
73,300dde62b988fc83eb6dba1b702e9af3,44,2015-05-15
74,300dde62b988fc83eb6dba1b702e9af3,50,2015-05-16
75,300dde62b988fc83eb6dba1b702e9af3,55,2015-05-17
76,300dde62b988fc83eb6dba1b702e9af3,174,2015-05-18
77,300dde62b988fc83eb6dba1b702e9af3,96,2015-05-19
78,300dde62b988fc83eb6dba1b702e9af3,99,2015-05-20
79,300dde62b988fc83eb6dba1b702e9af3,94,2015-05-21
80,300dde62b988fc83eb6dba1b702e9af3,100,2015-05-22
81,300dde62b988fc83eb6dba1b702e9af3,113,2015-05-23
82,300dde62b988fc83eb6dba1b702e9af3,97,2015-05-24
83,300dde62b988fc83eb6dba1b702e9af3,70,2015-05-25
84,300dde62b988fc83eb6dba1b702e9af3,48,2015-05-26
85,300dde62b988fc83eb6dba1b702e9af3,67,2015-05-27
86,300dde62b988fc83eb6dba1b702e9af3,71,2015-05-28
87,300dde62b988fc83eb6dba1b702e9af3,60,2015-05-29
88,300dde62b988fc83eb6dba1b702e9af3,47,2015-05-30
89,300dde62b988fc83eb6dba1b702e9af3,72,2015-05-31
90,300dde62b988fc83eb6dba1b702e9af3,131,2015-06-01
91,300dde62b988fc83eb6dba1b702e9af3,47,2015-06-02
92,300dde62b988fc83eb6dba1b702e9af3,49,2015-06-03
93,300dde62b988fc83eb6dba1b702e9af3,56,2015-06-04
94,300dde62b988fc83eb6dba1b702e9af3,76,2015-06-05
95,300dde62b988fc83eb6dba1b702e9af3,79,2015-06-06
96,300dde62b988fc83eb6dba1b702e9af3,54,2015-06-07
97,300dde62b988fc83eb6dba1b702e9af3,67,2015-06-08
98,300dde62b988fc83eb6dba1b702e9af3,47,2015-06-09
99,300dde62b988fc83eb6dba1b702e9af3,47,2015-06-10
100,300dde62b988fc83eb6dba1b702e9af3,55,2015-06-11
101,300dde62b988fc83eb6dba1b702e9af3,48,2015-06-12
102,300dde62b988fc83eb6dba1b702e9af3,63,2015-06-13
103,300dde62b988fc83eb6dba1b702e9af3,53,2015-06-14
104,300dde62b988fc83eb6dba1b702e9af3,72,2015-06-15
105,300dde62b988fc83eb6dba1b702e9af3,57,2015-06-16
106,300dde62b988fc83eb6dba1b702e9af3,66,2015-06-17
107,300dde62b988fc83eb6dba1b702e9af3,39,2015-06-18
108,300dde62b988fc83eb6dba1b702e9af3,45,2015-06-19
109,300dde62b988fc83eb6dba1b702e9af3,64,2015-06-20
110,300dde62b988fc83eb6dba1b702e9af3,69,2015-06-21
111,300dde62b988fc83eb6dba1b702e9af3,71,2015-06-22
112,300dde62b988fc83eb6dba1b702e9af3,38,2015-06-23
113,300dde62b988fc83eb6dba1b702e9af3,60,2015-06-24
114,300dde62b988fc83eb6dba1b702e9af3,138,2015-06-25
115,300dde62b988fc83eb6dba1b702e9af3,47,2015-06-26
116,300dde62b988fc83eb6dba1b702e9af3,37,2015-06-27
117,300dde62b988fc83eb6dba1b702e9af3,66,2015-06-28
118,300dde62b988fc83eb6dba1b702e9af3,46,2015-06-29
119,300dde62b988fc83eb6dba1b702e9af3,49,2015-06-30
120,300dde62b988fc83eb6dba1b702e9af3,65,2015-07-01
121,300dde62b988fc83eb6dba1b702e9af3,53,2015-07-02
122,300dde62b988fc83eb6dba1b702e9af3,51,2015-07-03
123,300dde62b988fc83eb6dba1b702e9af3,57,2015-07-04
124,300dde62b988fc83eb6dba1b702e9af3,30,2015-07-05
125,300dde62b988fc83eb6dba1b702e9af3,63,2015-07-06
126,300dde62b988fc83eb6dba1b702e9af3,45,2015-07-07
127,300dde62b988fc83eb6dba1b702e9af3,60,2015-07-08
128,300dde62b988fc83eb6dba1b702e9af3,41,2015-07-09
129,300dde62b988fc83eb6dba1b702e9af3,60,2015-07-10
130,300dde62b988fc83eb6dba1b702e9af3,50,2015-07-11
131,300dde62b988fc83eb6dba1b702e9af3,77,2015-07-12
132,300dde62b988fc83eb6dba1b702e9af3,47,2015-07-13
133,300dde62b988fc83eb6dba1b702e9af3,46,2015-07-14
134,300dde62b988fc83eb6dba1b702e9af3,79,2015-07-15
135,300dde62b988fc83eb6dba1b702e9af3,61,2015-07-16
136,300dde62b988fc83eb6dba1b702e9af3,115,2015-07-17
137,300dde62b988fc83eb6dba1b702e9af3,56,2015-07-18
138,300dde62b988fc83eb6dba1b702e9af3,74,2015-07-19
139,300dde62b988fc83eb6dba1b702e9af3,73,2015-07-20
140,300dde62b988fc83eb6dba1b702e9af3,88,2015-07-21
141,300dde62b988fc83eb6dba1b702e9af3,62,2015-07-22
142,300dde62b988fc83eb6dba1b702e9af3,98,2015-07-23
143,300dde62b988fc83eb6dba1b702e9af3,45,2015-07-24
144,300dde62b988fc83eb6dba1b702e9af3,64,2015-07-25
145,300dde62b988fc83eb6dba1b702e9af3,64,2015-07-26
146,300dde62b988fc83eb6dba1b702e9af3,63,2015-07-27
147,300dde62b988fc83eb6dba1b702e9af3,63,2015-07-28
148,300dde62b988fc83eb6dba1b702e9af3,53,2015-07-29
149,300dde62b988fc83eb6dba1b702e9af3,42,2015-07-30
150,300dde62b988fc83eb6dba1b702e9af3,68,2015-07-31
151,300dde62b988fc83eb6dba1b702e9af3,81,2015-08-01
152,300dde62b988fc83eb6dba1b702e9af3,102,2015-08-02
153,300dde62b988fc83eb6dba1b702e9af3,71,2015-08-03
154,300dde62b988fc83eb6dba1b702e9af3,61,2015-08-04
155,300dde62b988fc83eb6dba1b702e9af3,54,2015-08-05
156,300dde62b988fc83eb6dba1b702e9af3,56,2015-08-06
157,300dde62b988fc83eb6dba1b702e9af3,42,2015-08-07
158,300dde62b988fc83eb6dba1b702e9af3,45,2015-08-08
159,300dde62b988fc83eb6dba1b702e9af3,35,2015-08-09
160,300dde62b988fc83eb6dba1b702e9af3,54,2015-08-10
161,300dde62b988fc83eb6dba1b702e9af3,108,2015-08-11
162,300dde62b988fc83eb6dba1b702e9af3,60,2015-08-12
163,300dde62b988fc83eb6dba1b702e9af3,56,2015-08-13
164,300dde62b988fc83eb6dba1b702e9af3,70,2015-08-14
165,300dde62b988fc83eb6dba1b702e9af3,56,2015-08-15
166,300dde62b988fc83eb6dba1b702e9af3,61,2015-08-16
167,300dde62b988fc83eb6dba1b702e9af3,60,2015-08-17
168,300dde62b988fc83eb6dba1b702e9af3,32,2015-08-18
169,300dde62b988fc83eb6dba1b702e9af3,52,2015-08-19
170,300dde62b988fc83eb6dba1b702e9af3,70,2015-08-20
171,300dde62b988fc83eb6dba1b702e9af3,49,2015-08-21
172,300dde62b988fc83eb6dba1b702e9af3,50,2015-08-22
173,300dde62b988fc83eb6dba1b702e9af3,71,2015-08-23
174,300dde62b988fc83eb6dba1b702e9af3,64,2015-08-24
175,300dde62b988fc83eb6dba1b702e9af3,38,2015-08-25
176,300dde62b988fc83eb6dba1b702e9af3,27,2015-08-26
177,300dde62b988fc83eb6dba1b702e9af3,34,2015-08-27
178,300dde62b988fc83eb6dba1b702e9af3,51,2015-08-28
179,300dde62b988fc83eb6dba1b702e9af3,76,2015-08-29
180,300dde62b988fc83eb6dba1b702e9af3,59,2015-08-30
