,artist_id,down,ds
0,34bc4bc49a725f2686a5cf9c89985798,2,20150301
1,34bc4bc49a725f2686a5cf9c89985798,1,20150302
2,34bc4bc49a725f2686a5cf9c89985798,1,20150304
3,34bc4bc49a725f2686a5cf9c89985798,1,20150318
4,34bc4bc49a725f2686a5cf9c89985798,1,20150321
5,34bc4bc49a725f2686a5cf9c89985798,1,20150327
6,34bc4bc49a725f2686a5cf9c89985798,1,20150328
7,34bc4bc49a725f2686a5cf9c89985798,3,20150331
8,34bc4bc49a725f2686a5cf9c89985798,1,20150403
9,34bc4bc49a725f2686a5cf9c89985798,4,20150404
10,34bc4bc49a725f2686a5cf9c89985798,1,20150405
11,34bc4bc49a725f2686a5cf9c89985798,1,20150406
12,34bc4bc49a725f2686a5cf9c89985798,4,20150407
13,34bc4bc49a725f2686a5cf9c89985798,4,20150408
14,34bc4bc49a725f2686a5cf9c89985798,1,20150409
15,34bc4bc49a725f2686a5cf9c89985798,1,20150410
16,34bc4bc49a725f2686a5cf9c89985798,1,20150411
17,34bc4bc49a725f2686a5cf9c89985798,3,20150412
18,34bc4bc49a725f2686a5cf9c89985798,2,20150413
19,34bc4bc49a725f2686a5cf9c89985798,2,20150415
20,34bc4bc49a725f2686a5cf9c89985798,4,20150416
21,34bc4bc49a725f2686a5cf9c89985798,4,20150418
22,34bc4bc49a725f2686a5cf9c89985798,1,20150419
23,34bc4bc49a725f2686a5cf9c89985798,3,20150420
24,34bc4bc49a725f2686a5cf9c89985798,2,20150424
25,34bc4bc49a725f2686a5cf9c89985798,4,20150425
26,34bc4bc49a725f2686a5cf9c89985798,1,20150426
27,34bc4bc49a725f2686a5cf9c89985798,2,20150427
28,34bc4bc49a725f2686a5cf9c89985798,3,20150428
29,34bc4bc49a725f2686a5cf9c89985798,1,20150429
30,34bc4bc49a725f2686a5cf9c89985798,1,20150501
31,34bc4bc49a725f2686a5cf9c89985798,3,20150502
32,34bc4bc49a725f2686a5cf9c89985798,4,20150503
33,34bc4bc49a725f2686a5cf9c89985798,3,20150504
34,34bc4bc49a725f2686a5cf9c89985798,1,20150505
35,34bc4bc49a725f2686a5cf9c89985798,3,20150506
36,34bc4bc49a725f2686a5cf9c89985798,1,20150507
37,34bc4bc49a725f2686a5cf9c89985798,1,20150508
38,34bc4bc49a725f2686a5cf9c89985798,1,20150509
39,34bc4bc49a725f2686a5cf9c89985798,3,20150510
40,34bc4bc49a725f2686a5cf9c89985798,3,20150512
41,34bc4bc49a725f2686a5cf9c89985798,4,20150513
42,34bc4bc49a725f2686a5cf9c89985798,3,20150514
43,34bc4bc49a725f2686a5cf9c89985798,4,20150515
44,34bc4bc49a725f2686a5cf9c89985798,5,20150516
45,34bc4bc49a725f2686a5cf9c89985798,6,20150517
46,34bc4bc49a725f2686a5cf9c89985798,1,20150518
47,34bc4bc49a725f2686a5cf9c89985798,4,20150520
48,34bc4bc49a725f2686a5cf9c89985798,2,20150521
49,34bc4bc49a725f2686a5cf9c89985798,1,20150522
50,34bc4bc49a725f2686a5cf9c89985798,1,20150523
51,34bc4bc49a725f2686a5cf9c89985798,2,20150524
52,34bc4bc49a725f2686a5cf9c89985798,1,20150525
53,34bc4bc49a725f2686a5cf9c89985798,3,20150526
54,34bc4bc49a725f2686a5cf9c89985798,2,20150527
55,34bc4bc49a725f2686a5cf9c89985798,3,20150528
56,34bc4bc49a725f2686a5cf9c89985798,2,20150529
57,34bc4bc49a725f2686a5cf9c89985798,8,20150530
58,34bc4bc49a725f2686a5cf9c89985798,2,20150531
59,34bc4bc49a725f2686a5cf9c89985798,2,20150601
60,34bc4bc49a725f2686a5cf9c89985798,5,20150602
61,34bc4bc49a725f2686a5cf9c89985798,2,20150603
62,34bc4bc49a725f2686a5cf9c89985798,1,20150604
63,34bc4bc49a725f2686a5cf9c89985798,1,20150605
64,34bc4bc49a725f2686a5cf9c89985798,3,20150606
65,34bc4bc49a725f2686a5cf9c89985798,1,20150607
66,34bc4bc49a725f2686a5cf9c89985798,2,20150609
67,34bc4bc49a725f2686a5cf9c89985798,2,20150611
68,34bc4bc49a725f2686a5cf9c89985798,2,20150612
69,34bc4bc49a725f2686a5cf9c89985798,2,20150613
70,34bc4bc49a725f2686a5cf9c89985798,5,20150614
71,34bc4bc49a725f2686a5cf9c89985798,1,20150615
