,artist_id,down,ds
0,3964ee41d4e2ade1957a9135afe1b8dc,1,2015-03-04
1,3964ee41d4e2ade1957a9135afe1b8dc,1,2015-03-06
2,3964ee41d4e2ade1957a9135afe1b8dc,1,2015-03-22
3,3964ee41d4e2ade1957a9135afe1b8dc,2,2015-03-24
4,3964ee41d4e2ade1957a9135afe1b8dc,1,2015-03-26
5,3964ee41d4e2ade1957a9135afe1b8dc,3,2015-03-28
6,3964ee41d4e2ade1957a9135afe1b8dc,4,2015-03-29
7,3964ee41d4e2ade1957a9135afe1b8dc,4,2015-03-30
8,3964ee41d4e2ade1957a9135afe1b8dc,4,2015-03-31
9,3964ee41d4e2ade1957a9135afe1b8dc,3,2015-04-01
10,3964ee41d4e2ade1957a9135afe1b8dc,3,2015-04-02
11,3964ee41d4e2ade1957a9135afe1b8dc,2,2015-04-03
12,3964ee41d4e2ade1957a9135afe1b8dc,6,2015-04-04
13,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-04-05
14,3964ee41d4e2ade1957a9135afe1b8dc,5,2015-04-06
15,3964ee41d4e2ade1957a9135afe1b8dc,4,2015-04-07
16,3964ee41d4e2ade1957a9135afe1b8dc,6,2015-04-08
17,3964ee41d4e2ade1957a9135afe1b8dc,6,2015-04-09
18,3964ee41d4e2ade1957a9135afe1b8dc,6,2015-04-10
19,3964ee41d4e2ade1957a9135afe1b8dc,3,2015-04-11
20,3964ee41d4e2ade1957a9135afe1b8dc,5,2015-04-12
21,3964ee41d4e2ade1957a9135afe1b8dc,7,2015-04-13
22,3964ee41d4e2ade1957a9135afe1b8dc,7,2015-04-14
23,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-04-15
24,3964ee41d4e2ade1957a9135afe1b8dc,6,2015-04-16
25,3964ee41d4e2ade1957a9135afe1b8dc,6,2015-04-17
26,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-04-18
27,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-04-19
28,3964ee41d4e2ade1957a9135afe1b8dc,7,2015-04-20
29,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-04-21
30,3964ee41d4e2ade1957a9135afe1b8dc,7,2015-04-22
31,3964ee41d4e2ade1957a9135afe1b8dc,2,2015-04-23
32,3964ee41d4e2ade1957a9135afe1b8dc,25,2015-04-24
33,3964ee41d4e2ade1957a9135afe1b8dc,12,2015-04-25
34,3964ee41d4e2ade1957a9135afe1b8dc,12,2015-04-26
35,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-04-27
36,3964ee41d4e2ade1957a9135afe1b8dc,12,2015-04-28
37,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-04-29
38,3964ee41d4e2ade1957a9135afe1b8dc,7,2015-04-30
39,3964ee41d4e2ade1957a9135afe1b8dc,12,2015-05-01
40,3964ee41d4e2ade1957a9135afe1b8dc,16,2015-05-02
41,3964ee41d4e2ade1957a9135afe1b8dc,6,2015-05-03
42,3964ee41d4e2ade1957a9135afe1b8dc,6,2015-05-04
43,3964ee41d4e2ade1957a9135afe1b8dc,10,2015-05-05
44,3964ee41d4e2ade1957a9135afe1b8dc,7,2015-05-06
45,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-05-07
46,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-05-08
47,3964ee41d4e2ade1957a9135afe1b8dc,11,2015-05-09
48,3964ee41d4e2ade1957a9135afe1b8dc,15,2015-05-10
49,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-05-11
50,3964ee41d4e2ade1957a9135afe1b8dc,5,2015-05-12
51,3964ee41d4e2ade1957a9135afe1b8dc,6,2015-05-13
52,3964ee41d4e2ade1957a9135afe1b8dc,7,2015-05-14
53,3964ee41d4e2ade1957a9135afe1b8dc,13,2015-05-15
54,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-05-16
55,3964ee41d4e2ade1957a9135afe1b8dc,14,2015-05-17
56,3964ee41d4e2ade1957a9135afe1b8dc,5,2015-05-18
57,3964ee41d4e2ade1957a9135afe1b8dc,3,2015-05-19
58,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-05-20
59,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-05-21
60,3964ee41d4e2ade1957a9135afe1b8dc,7,2015-05-22
61,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-05-23
62,3964ee41d4e2ade1957a9135afe1b8dc,13,2015-05-24
63,3964ee41d4e2ade1957a9135afe1b8dc,13,2015-05-25
64,3964ee41d4e2ade1957a9135afe1b8dc,10,2015-05-26
65,3964ee41d4e2ade1957a9135afe1b8dc,20,2015-05-27
66,3964ee41d4e2ade1957a9135afe1b8dc,23,2015-05-28
67,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-05-29
68,3964ee41d4e2ade1957a9135afe1b8dc,12,2015-05-30
69,3964ee41d4e2ade1957a9135afe1b8dc,16,2015-05-31
70,3964ee41d4e2ade1957a9135afe1b8dc,12,2015-06-01
71,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-06-02
72,3964ee41d4e2ade1957a9135afe1b8dc,10,2015-06-03
73,3964ee41d4e2ade1957a9135afe1b8dc,26,2015-06-04
74,3964ee41d4e2ade1957a9135afe1b8dc,18,2015-06-05
75,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-06-06
76,3964ee41d4e2ade1957a9135afe1b8dc,11,2015-06-07
77,3964ee41d4e2ade1957a9135afe1b8dc,7,2015-06-08
78,3964ee41d4e2ade1957a9135afe1b8dc,16,2015-06-09
79,3964ee41d4e2ade1957a9135afe1b8dc,2,2015-06-10
80,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-06-11
81,3964ee41d4e2ade1957a9135afe1b8dc,4,2015-06-12
82,3964ee41d4e2ade1957a9135afe1b8dc,10,2015-06-13
83,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-06-14
84,3964ee41d4e2ade1957a9135afe1b8dc,7,2015-06-15
85,3964ee41d4e2ade1957a9135afe1b8dc,10,2015-06-16
86,3964ee41d4e2ade1957a9135afe1b8dc,10,2015-06-17
87,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-06-18
88,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-06-19
89,3964ee41d4e2ade1957a9135afe1b8dc,13,2015-06-20
90,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-06-21
91,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-06-22
92,3964ee41d4e2ade1957a9135afe1b8dc,6,2015-06-23
93,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-06-24
94,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-06-25
95,3964ee41d4e2ade1957a9135afe1b8dc,5,2015-06-26
96,3964ee41d4e2ade1957a9135afe1b8dc,12,2015-06-27
97,3964ee41d4e2ade1957a9135afe1b8dc,16,2015-06-28
98,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-06-29
99,3964ee41d4e2ade1957a9135afe1b8dc,15,2015-06-30
100,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-07-01
101,3964ee41d4e2ade1957a9135afe1b8dc,4,2015-07-02
102,3964ee41d4e2ade1957a9135afe1b8dc,10,2015-07-03
103,3964ee41d4e2ade1957a9135afe1b8dc,1,2015-07-04
104,3964ee41d4e2ade1957a9135afe1b8dc,8,2015-07-05
105,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-07-06
106,3964ee41d4e2ade1957a9135afe1b8dc,14,2015-07-07
107,3964ee41d4e2ade1957a9135afe1b8dc,9,2015-07-08
108,3964ee41d4e2ade1957a9135afe1b8dc,10,2015-07-09
109,3964ee41d4e2ade1957a9135afe1b8dc,3,2015-07-10
110,3964ee41d4e2ade1957a9135afe1b8dc,10,2015-07-11
