,artist_id,down,ds
0,419ed8822ed44d8ee0d991e8686a13bc,1,2015-03-05
1,419ed8822ed44d8ee0d991e8686a13bc,2,2015-03-07
2,419ed8822ed44d8ee0d991e8686a13bc,1,2015-03-08
3,419ed8822ed44d8ee0d991e8686a13bc,3,2015-03-13
4,419ed8822ed44d8ee0d991e8686a13bc,2,2015-03-15
5,419ed8822ed44d8ee0d991e8686a13bc,2,2015-03-19
6,419ed8822ed44d8ee0d991e8686a13bc,3,2015-03-21
7,419ed8822ed44d8ee0d991e8686a13bc,4,2015-03-22
8,419ed8822ed44d8ee0d991e8686a13bc,1,2015-03-23
9,419ed8822ed44d8ee0d991e8686a13bc,1,2015-03-25
10,419ed8822ed44d8ee0d991e8686a13bc,1,2015-03-26
11,419ed8822ed44d8ee0d991e8686a13bc,1,2015-03-27
12,419ed8822ed44d8ee0d991e8686a13bc,6,2015-03-28
13,419ed8822ed44d8ee0d991e8686a13bc,1,2015-03-29
14,419ed8822ed44d8ee0d991e8686a13bc,15,2015-03-30
15,419ed8822ed44d8ee0d991e8686a13bc,17,2015-03-31
16,419ed8822ed44d8ee0d991e8686a13bc,16,2015-04-01
17,419ed8822ed44d8ee0d991e8686a13bc,9,2015-04-02
18,419ed8822ed44d8ee0d991e8686a13bc,8,2015-04-03
19,419ed8822ed44d8ee0d991e8686a13bc,13,2015-04-04
20,419ed8822ed44d8ee0d991e8686a13bc,17,2015-04-05
21,419ed8822ed44d8ee0d991e8686a13bc,5,2015-04-06
22,419ed8822ed44d8ee0d991e8686a13bc,13,2015-04-07
23,419ed8822ed44d8ee0d991e8686a13bc,15,2015-04-08
24,419ed8822ed44d8ee0d991e8686a13bc,7,2015-04-09
25,419ed8822ed44d8ee0d991e8686a13bc,27,2015-04-10
26,419ed8822ed44d8ee0d991e8686a13bc,23,2015-04-11
27,419ed8822ed44d8ee0d991e8686a13bc,27,2015-04-12
28,419ed8822ed44d8ee0d991e8686a13bc,10,2015-04-13
29,419ed8822ed44d8ee0d991e8686a13bc,13,2015-04-14
30,419ed8822ed44d8ee0d991e8686a13bc,14,2015-04-15
31,419ed8822ed44d8ee0d991e8686a13bc,17,2015-04-16
32,419ed8822ed44d8ee0d991e8686a13bc,12,2015-04-17
33,419ed8822ed44d8ee0d991e8686a13bc,12,2015-04-18
34,419ed8822ed44d8ee0d991e8686a13bc,10,2015-04-19
35,419ed8822ed44d8ee0d991e8686a13bc,14,2015-04-20
36,419ed8822ed44d8ee0d991e8686a13bc,9,2015-04-21
37,419ed8822ed44d8ee0d991e8686a13bc,21,2015-04-22
38,419ed8822ed44d8ee0d991e8686a13bc,10,2015-04-23
39,419ed8822ed44d8ee0d991e8686a13bc,8,2015-04-24
40,419ed8822ed44d8ee0d991e8686a13bc,14,2015-04-25
41,419ed8822ed44d8ee0d991e8686a13bc,15,2015-04-26
42,419ed8822ed44d8ee0d991e8686a13bc,15,2015-04-27
43,419ed8822ed44d8ee0d991e8686a13bc,10,2015-04-28
44,419ed8822ed44d8ee0d991e8686a13bc,23,2015-04-29
45,419ed8822ed44d8ee0d991e8686a13bc,8,2015-04-30
46,419ed8822ed44d8ee0d991e8686a13bc,12,2015-05-01
47,419ed8822ed44d8ee0d991e8686a13bc,17,2015-05-02
48,419ed8822ed44d8ee0d991e8686a13bc,9,2015-05-03
49,419ed8822ed44d8ee0d991e8686a13bc,8,2015-05-04
50,419ed8822ed44d8ee0d991e8686a13bc,11,2015-05-05
51,419ed8822ed44d8ee0d991e8686a13bc,11,2015-05-06
52,419ed8822ed44d8ee0d991e8686a13bc,15,2015-05-07
53,419ed8822ed44d8ee0d991e8686a13bc,21,2015-05-08
54,419ed8822ed44d8ee0d991e8686a13bc,11,2015-05-09
55,419ed8822ed44d8ee0d991e8686a13bc,15,2015-05-10
56,419ed8822ed44d8ee0d991e8686a13bc,10,2015-05-11
57,419ed8822ed44d8ee0d991e8686a13bc,11,2015-05-12
58,419ed8822ed44d8ee0d991e8686a13bc,13,2015-05-13
59,419ed8822ed44d8ee0d991e8686a13bc,8,2015-05-14
60,419ed8822ed44d8ee0d991e8686a13bc,15,2015-05-15
61,419ed8822ed44d8ee0d991e8686a13bc,22,2015-05-16
62,419ed8822ed44d8ee0d991e8686a13bc,6,2015-05-17
63,419ed8822ed44d8ee0d991e8686a13bc,7,2015-05-18
64,419ed8822ed44d8ee0d991e8686a13bc,11,2015-05-19
65,419ed8822ed44d8ee0d991e8686a13bc,14,2015-05-20
66,419ed8822ed44d8ee0d991e8686a13bc,20,2015-05-21
67,419ed8822ed44d8ee0d991e8686a13bc,11,2015-05-22
68,419ed8822ed44d8ee0d991e8686a13bc,19,2015-05-23
69,419ed8822ed44d8ee0d991e8686a13bc,15,2015-05-24
70,419ed8822ed44d8ee0d991e8686a13bc,10,2015-05-25
