,artist_id,down,ds
0,4ee3f9c90101073c99d5440b41f07daa,2,2015-03-31
1,4ee3f9c90101073c99d5440b41f07daa,4,2015-04-07
2,4ee3f9c90101073c99d5440b41f07daa,3,2015-04-14
3,4ee3f9c90101073c99d5440b41f07daa,1,2015-04-23
4,4ee3f9c90101073c99d5440b41f07daa,1,2015-04-24
5,4ee3f9c90101073c99d5440b41f07daa,2,2015-04-30
6,4ee3f9c90101073c99d5440b41f07daa,1,2015-05-01
7,4ee3f9c90101073c99d5440b41f07daa,1,2015-05-06
8,4ee3f9c90101073c99d5440b41f07daa,2,2015-05-07
9,4ee3f9c90101073c99d5440b41f07daa,2,2015-05-10
10,4ee3f9c90101073c99d5440b41f07daa,2,2015-05-16
11,4ee3f9c90101073c99d5440b41f07daa,1,2015-05-18
12,4ee3f9c90101073c99d5440b41f07daa,2,2015-05-23
13,4ee3f9c90101073c99d5440b41f07daa,1,2015-06-02
14,4ee3f9c90101073c99d5440b41f07daa,1,2015-06-03
15,4ee3f9c90101073c99d5440b41f07daa,1,2015-06-05
16,4ee3f9c90101073c99d5440b41f07daa,1,2015-06-07
17,4ee3f9c90101073c99d5440b41f07daa,1,2015-06-08
18,4ee3f9c90101073c99d5440b41f07daa,2,2015-06-10
19,4ee3f9c90101073c99d5440b41f07daa,1,2015-06-12
20,4ee3f9c90101073c99d5440b41f07daa,1,2015-06-16
21,4ee3f9c90101073c99d5440b41f07daa,1,2015-06-20
22,4ee3f9c90101073c99d5440b41f07daa,1,2015-06-22
23,4ee3f9c90101073c99d5440b41f07daa,1,2015-06-27
24,4ee3f9c90101073c99d5440b41f07daa,1,2015-06-28
25,4ee3f9c90101073c99d5440b41f07daa,3,2015-07-01
26,4ee3f9c90101073c99d5440b41f07daa,2,2015-07-02
27,4ee3f9c90101073c99d5440b41f07daa,1,2015-07-05
28,4ee3f9c90101073c99d5440b41f07daa,1,2015-07-07
29,4ee3f9c90101073c99d5440b41f07daa,4,2015-07-14
30,4ee3f9c90101073c99d5440b41f07daa,1,2015-07-15
31,4ee3f9c90101073c99d5440b41f07daa,1,2015-07-16
32,4ee3f9c90101073c99d5440b41f07daa,2,2015-07-18
33,4ee3f9c90101073c99d5440b41f07daa,1,2015-07-21
34,4ee3f9c90101073c99d5440b41f07daa,1,2015-08-02
35,4ee3f9c90101073c99d5440b41f07daa,4,2015-08-03
36,4ee3f9c90101073c99d5440b41f07daa,2,2015-08-05
37,4ee3f9c90101073c99d5440b41f07daa,1,2015-08-07
38,4ee3f9c90101073c99d5440b41f07daa,1,2015-08-08
39,4ee3f9c90101073c99d5440b41f07daa,4,2015-08-09
40,4ee3f9c90101073c99d5440b41f07daa,1,2015-08-11
41,4ee3f9c90101073c99d5440b41f07daa,1,2015-08-12
42,4ee3f9c90101073c99d5440b41f07daa,3,2015-08-13
43,4ee3f9c90101073c99d5440b41f07daa,1,2015-08-17
44,4ee3f9c90101073c99d5440b41f07daa,1,2015-08-19
45,4ee3f9c90101073c99d5440b41f07daa,1,2015-08-20
46,4ee3f9c90101073c99d5440b41f07daa,1,2015-08-21
47,4ee3f9c90101073c99d5440b41f07daa,3,2015-08-23
48,4ee3f9c90101073c99d5440b41f07daa,2,2015-08-25
