,artist_id,down,ds
0,53f4a671503519366ba36ad29152db78,1,2015-03-03
1,53f4a671503519366ba36ad29152db78,4,2015-03-22
2,53f4a671503519366ba36ad29152db78,1,2015-03-25
3,53f4a671503519366ba36ad29152db78,1,2015-03-27
4,53f4a671503519366ba36ad29152db78,3,2015-03-30
5,53f4a671503519366ba36ad29152db78,5,2015-03-31
6,53f4a671503519366ba36ad29152db78,1,2015-04-01
7,53f4a671503519366ba36ad29152db78,4,2015-04-02
8,53f4a671503519366ba36ad29152db78,4,2015-04-03
9,53f4a671503519366ba36ad29152db78,4,2015-04-04
10,53f4a671503519366ba36ad29152db78,3,2015-04-05
11,53f4a671503519366ba36ad29152db78,1,2015-04-06
12,53f4a671503519366ba36ad29152db78,6,2015-04-07
13,53f4a671503519366ba36ad29152db78,3,2015-04-08
14,53f4a671503519366ba36ad29152db78,1,2015-04-10
15,53f4a671503519366ba36ad29152db78,1,2015-04-11
16,53f4a671503519366ba36ad29152db78,3,2015-04-12
17,53f4a671503519366ba36ad29152db78,1,2015-04-13
18,53f4a671503519366ba36ad29152db78,6,2015-04-14
19,53f4a671503519366ba36ad29152db78,2,2015-04-15
20,53f4a671503519366ba36ad29152db78,1,2015-04-16
21,53f4a671503519366ba36ad29152db78,5,2015-04-17
22,53f4a671503519366ba36ad29152db78,2,2015-04-18
23,53f4a671503519366ba36ad29152db78,2,2015-04-19
24,53f4a671503519366ba36ad29152db78,9,2015-04-20
25,53f4a671503519366ba36ad29152db78,5,2015-04-21
26,53f4a671503519366ba36ad29152db78,1,2015-04-22
27,53f4a671503519366ba36ad29152db78,3,2015-04-23
28,53f4a671503519366ba36ad29152db78,5,2015-04-24
29,53f4a671503519366ba36ad29152db78,3,2015-04-25
30,53f4a671503519366ba36ad29152db78,7,2015-04-26
31,53f4a671503519366ba36ad29152db78,2,2015-04-27
32,53f4a671503519366ba36ad29152db78,1,2015-04-28
33,53f4a671503519366ba36ad29152db78,6,2015-04-29
34,53f4a671503519366ba36ad29152db78,4,2015-04-30
35,53f4a671503519366ba36ad29152db78,6,2015-05-01
36,53f4a671503519366ba36ad29152db78,7,2015-05-02
37,53f4a671503519366ba36ad29152db78,11,2015-05-03
38,53f4a671503519366ba36ad29152db78,1,2015-05-04
39,53f4a671503519366ba36ad29152db78,2,2015-05-05
40,53f4a671503519366ba36ad29152db78,27,2015-05-06
41,53f4a671503519366ba36ad29152db78,4,2015-05-07
42,53f4a671503519366ba36ad29152db78,6,2015-05-08
43,53f4a671503519366ba36ad29152db78,4,2015-05-09
44,53f4a671503519366ba36ad29152db78,4,2015-05-10
45,53f4a671503519366ba36ad29152db78,3,2015-05-11
46,53f4a671503519366ba36ad29152db78,3,2015-05-12
47,53f4a671503519366ba36ad29152db78,9,2015-05-13
48,53f4a671503519366ba36ad29152db78,6,2015-05-14
49,53f4a671503519366ba36ad29152db78,2,2015-05-15
50,53f4a671503519366ba36ad29152db78,2,2015-05-16
51,53f4a671503519366ba36ad29152db78,8,2015-05-17
52,53f4a671503519366ba36ad29152db78,9,2015-05-18
53,53f4a671503519366ba36ad29152db78,4,2015-05-19
54,53f4a671503519366ba36ad29152db78,1,2015-05-20
55,53f4a671503519366ba36ad29152db78,1,2015-05-21
56,53f4a671503519366ba36ad29152db78,3,2015-05-22
57,53f4a671503519366ba36ad29152db78,7,2015-05-23
58,53f4a671503519366ba36ad29152db78,5,2015-05-24
59,53f4a671503519366ba36ad29152db78,9,2015-05-25
60,53f4a671503519366ba36ad29152db78,1,2015-05-26
61,53f4a671503519366ba36ad29152db78,2,2015-05-27
62,53f4a671503519366ba36ad29152db78,3,2015-05-28
63,53f4a671503519366ba36ad29152db78,2,2015-05-30
64,53f4a671503519366ba36ad29152db78,3,2015-05-31
65,53f4a671503519366ba36ad29152db78,3,2015-06-01
66,53f4a671503519366ba36ad29152db78,4,2015-06-02
67,53f4a671503519366ba36ad29152db78,4,2015-06-03
68,53f4a671503519366ba36ad29152db78,8,2015-06-04
69,53f4a671503519366ba36ad29152db78,3,2015-06-05
70,53f4a671503519366ba36ad29152db78,15,2015-06-06
71,53f4a671503519366ba36ad29152db78,4,2015-06-07
72,53f4a671503519366ba36ad29152db78,1,2015-06-08
73,53f4a671503519366ba36ad29152db78,1,2015-06-09
74,53f4a671503519366ba36ad29152db78,2,2015-06-10
75,53f4a671503519366ba36ad29152db78,6,2015-06-11
76,53f4a671503519366ba36ad29152db78,3,2015-06-12
77,53f4a671503519366ba36ad29152db78,3,2015-06-13
78,53f4a671503519366ba36ad29152db78,3,2015-06-14
79,53f4a671503519366ba36ad29152db78,4,2015-06-15
80,53f4a671503519366ba36ad29152db78,5,2015-06-16
81,53f4a671503519366ba36ad29152db78,12,2015-06-17
82,53f4a671503519366ba36ad29152db78,7,2015-06-18
83,53f4a671503519366ba36ad29152db78,1,2015-06-19
84,53f4a671503519366ba36ad29152db78,9,2015-06-20
85,53f4a671503519366ba36ad29152db78,3,2015-06-21
86,53f4a671503519366ba36ad29152db78,6,2015-06-23
87,53f4a671503519366ba36ad29152db78,3,2015-06-24
88,53f4a671503519366ba36ad29152db78,1,2015-06-25
89,53f4a671503519366ba36ad29152db78,7,2015-06-26
90,53f4a671503519366ba36ad29152db78,9,2015-06-27
91,53f4a671503519366ba36ad29152db78,2,2015-06-28
92,53f4a671503519366ba36ad29152db78,5,2015-06-29
93,53f4a671503519366ba36ad29152db78,3,2015-06-30
94,53f4a671503519366ba36ad29152db78,4,2015-07-01
95,53f4a671503519366ba36ad29152db78,3,2015-07-02
96,53f4a671503519366ba36ad29152db78,14,2015-07-03
97,53f4a671503519366ba36ad29152db78,2,2015-07-04
98,53f4a671503519366ba36ad29152db78,7,2015-07-05
99,53f4a671503519366ba36ad29152db78,4,2015-07-06
100,53f4a671503519366ba36ad29152db78,5,2015-07-07
101,53f4a671503519366ba36ad29152db78,2,2015-07-08
102,53f4a671503519366ba36ad29152db78,8,2015-07-09
103,53f4a671503519366ba36ad29152db78,2,2015-07-10
104,53f4a671503519366ba36ad29152db78,3,2015-07-11
105,53f4a671503519366ba36ad29152db78,6,2015-07-12
106,53f4a671503519366ba36ad29152db78,3,2015-07-13
107,53f4a671503519366ba36ad29152db78,7,2015-07-14
108,53f4a671503519366ba36ad29152db78,1,2015-07-15
109,53f4a671503519366ba36ad29152db78,4,2015-07-16
110,53f4a671503519366ba36ad29152db78,1,2015-07-17
111,53f4a671503519366ba36ad29152db78,3,2015-07-18
112,53f4a671503519366ba36ad29152db78,2,2015-07-19
113,53f4a671503519366ba36ad29152db78,1,2015-07-20
114,53f4a671503519366ba36ad29152db78,2,2015-07-21
115,53f4a671503519366ba36ad29152db78,2,2015-07-22
116,53f4a671503519366ba36ad29152db78,2,2015-07-23
117,53f4a671503519366ba36ad29152db78,3,2015-07-24
118,53f4a671503519366ba36ad29152db78,11,2015-07-25
119,53f4a671503519366ba36ad29152db78,1,2015-07-26
120,53f4a671503519366ba36ad29152db78,7,2015-07-27
121,53f4a671503519366ba36ad29152db78,4,2015-07-28
122,53f4a671503519366ba36ad29152db78,3,2015-07-29
123,53f4a671503519366ba36ad29152db78,1,2015-07-30
124,53f4a671503519366ba36ad29152db78,1,2015-07-31
125,53f4a671503519366ba36ad29152db78,8,2015-08-01
126,53f4a671503519366ba36ad29152db78,5,2015-08-02
127,53f4a671503519366ba36ad29152db78,3,2015-08-03
128,53f4a671503519366ba36ad29152db78,4,2015-08-04
129,53f4a671503519366ba36ad29152db78,3,2015-08-05
130,53f4a671503519366ba36ad29152db78,5,2015-08-06
131,53f4a671503519366ba36ad29152db78,2,2015-08-07
132,53f4a671503519366ba36ad29152db78,4,2015-08-08
133,53f4a671503519366ba36ad29152db78,8,2015-08-09
134,53f4a671503519366ba36ad29152db78,3,2015-08-10
135,53f4a671503519366ba36ad29152db78,4,2015-08-11
136,53f4a671503519366ba36ad29152db78,4,2015-08-12
137,53f4a671503519366ba36ad29152db78,3,2015-08-13
138,53f4a671503519366ba36ad29152db78,2,2015-08-14
139,53f4a671503519366ba36ad29152db78,6,2015-08-15
140,53f4a671503519366ba36ad29152db78,8,2015-08-16
141,53f4a671503519366ba36ad29152db78,5,2015-08-17
142,53f4a671503519366ba36ad29152db78,2,2015-08-18
