,artist_id,down,ds
0,5e1788cd2cce09d8780d44c81a862e19,1,2015-03-29
1,5e1788cd2cce09d8780d44c81a862e19,6,2015-03-30
2,5e1788cd2cce09d8780d44c81a862e19,29,2015-03-31
3,5e1788cd2cce09d8780d44c81a862e19,27,2015-04-01
4,5e1788cd2cce09d8780d44c81a862e19,9,2015-04-02
5,5e1788cd2cce09d8780d44c81a862e19,8,2015-04-04
6,5e1788cd2cce09d8780d44c81a862e19,2,2015-04-05
7,5e1788cd2cce09d8780d44c81a862e19,28,2015-04-06
8,5e1788cd2cce09d8780d44c81a862e19,1,2015-04-07
9,5e1788cd2cce09d8780d44c81a862e19,2,2015-04-09
10,5e1788cd2cce09d8780d44c81a862e19,5,2015-04-10
11,5e1788cd2cce09d8780d44c81a862e19,2,2015-04-11
12,5e1788cd2cce09d8780d44c81a862e19,1,2015-04-12
13,5e1788cd2cce09d8780d44c81a862e19,4,2015-04-13
14,5e1788cd2cce09d8780d44c81a862e19,2,2015-04-14
15,5e1788cd2cce09d8780d44c81a862e19,2,2015-04-15
16,5e1788cd2cce09d8780d44c81a862e19,3,2015-04-16
17,5e1788cd2cce09d8780d44c81a862e19,2,2015-04-17
18,5e1788cd2cce09d8780d44c81a862e19,17,2015-04-18
19,5e1788cd2cce09d8780d44c81a862e19,6,2015-04-19
20,5e1788cd2cce09d8780d44c81a862e19,2,2015-04-20
21,5e1788cd2cce09d8780d44c81a862e19,3,2015-04-21
22,5e1788cd2cce09d8780d44c81a862e19,4,2015-04-22
23,5e1788cd2cce09d8780d44c81a862e19,20,2015-04-23
24,5e1788cd2cce09d8780d44c81a862e19,2,2015-04-24
25,5e1788cd2cce09d8780d44c81a862e19,3,2015-04-25
26,5e1788cd2cce09d8780d44c81a862e19,5,2015-04-26
27,5e1788cd2cce09d8780d44c81a862e19,5,2015-04-27
28,5e1788cd2cce09d8780d44c81a862e19,1,2015-04-29
29,5e1788cd2cce09d8780d44c81a862e19,3,2015-04-30
30,5e1788cd2cce09d8780d44c81a862e19,3,2015-05-01
31,5e1788cd2cce09d8780d44c81a862e19,7,2015-05-02
32,5e1788cd2cce09d8780d44c81a862e19,6,2015-05-04
33,5e1788cd2cce09d8780d44c81a862e19,3,2015-05-05
34,5e1788cd2cce09d8780d44c81a862e19,6,2015-05-06
35,5e1788cd2cce09d8780d44c81a862e19,8,2015-05-07
36,5e1788cd2cce09d8780d44c81a862e19,3,2015-05-08
