,artist_id,down,ds
0,5e2ef5473cbbdb335f6d51dc57845437,2,2015-03-03
1,5e2ef5473cbbdb335f6d51dc57845437,1,2015-03-11
2,5e2ef5473cbbdb335f6d51dc57845437,1,2015-03-13
3,5e2ef5473cbbdb335f6d51dc57845437,1,2015-03-14
4,5e2ef5473cbbdb335f6d51dc57845437,1,2015-03-25
5,5e2ef5473cbbdb335f6d51dc57845437,1,2015-03-26
6,5e2ef5473cbbdb335f6d51dc57845437,1,2015-03-27
7,5e2ef5473cbbdb335f6d51dc57845437,2,2015-03-29
8,5e2ef5473cbbdb335f6d51dc57845437,2,2015-03-30
9,5e2ef5473cbbdb335f6d51dc57845437,9,2015-04-01
10,5e2ef5473cbbdb335f6d51dc57845437,2,2015-04-02
11,5e2ef5473cbbdb335f6d51dc57845437,13,2015-04-03
12,5e2ef5473cbbdb335f6d51dc57845437,6,2015-04-04
13,5e2ef5473cbbdb335f6d51dc57845437,7,2015-04-05
14,5e2ef5473cbbdb335f6d51dc57845437,2,2015-04-06
15,5e2ef5473cbbdb335f6d51dc57845437,8,2015-04-07
16,5e2ef5473cbbdb335f6d51dc57845437,4,2015-04-08
17,5e2ef5473cbbdb335f6d51dc57845437,8,2015-04-09
18,5e2ef5473cbbdb335f6d51dc57845437,2,2015-04-10
19,5e2ef5473cbbdb335f6d51dc57845437,4,2015-04-11
20,5e2ef5473cbbdb335f6d51dc57845437,7,2015-04-12
21,5e2ef5473cbbdb335f6d51dc57845437,2,2015-04-13
22,5e2ef5473cbbdb335f6d51dc57845437,4,2015-04-14
23,5e2ef5473cbbdb335f6d51dc57845437,7,2015-04-15
24,5e2ef5473cbbdb335f6d51dc57845437,5,2015-04-16
25,5e2ef5473cbbdb335f6d51dc57845437,4,2015-04-17
26,5e2ef5473cbbdb335f6d51dc57845437,3,2015-04-18
27,5e2ef5473cbbdb335f6d51dc57845437,5,2015-04-19
28,5e2ef5473cbbdb335f6d51dc57845437,7,2015-04-20
29,5e2ef5473cbbdb335f6d51dc57845437,5,2015-04-21
30,5e2ef5473cbbdb335f6d51dc57845437,3,2015-04-22
31,5e2ef5473cbbdb335f6d51dc57845437,6,2015-04-23
32,5e2ef5473cbbdb335f6d51dc57845437,10,2015-04-24
33,5e2ef5473cbbdb335f6d51dc57845437,7,2015-04-25
34,5e2ef5473cbbdb335f6d51dc57845437,4,2015-04-26
35,5e2ef5473cbbdb335f6d51dc57845437,2,2015-04-27
36,5e2ef5473cbbdb335f6d51dc57845437,6,2015-04-28
37,5e2ef5473cbbdb335f6d51dc57845437,8,2015-04-29
38,5e2ef5473cbbdb335f6d51dc57845437,5,2015-04-30
39,5e2ef5473cbbdb335f6d51dc57845437,3,2015-05-01
40,5e2ef5473cbbdb335f6d51dc57845437,12,2015-05-02
