,artist_id,down,ds
0,5e7aa23d0b0e2a43bfd8bdaa9328fc54,2,2015-03-02
1,5e7aa23d0b0e2a43bfd8bdaa9328fc54,2,2015-03-04
2,5e7aa23d0b0e2a43bfd8bdaa9328fc54,2,2015-03-06
3,5e7aa23d0b0e2a43bfd8bdaa9328fc54,1,2015-03-08
4,5e7aa23d0b0e2a43bfd8bdaa9328fc54,1,2015-03-12
5,5e7aa23d0b0e2a43bfd8bdaa9328fc54,1,2015-03-18
6,5e7aa23d0b0e2a43bfd8bdaa9328fc54,1,2015-03-19
7,5e7aa23d0b0e2a43bfd8bdaa9328fc54,1,2015-03-22
8,5e7aa23d0b0e2a43bfd8bdaa9328fc54,1,2015-03-24
9,5e7aa23d0b0e2a43bfd8bdaa9328fc54,1,2015-03-26
10,5e7aa23d0b0e2a43bfd8bdaa9328fc54,4,2015-03-28
11,5e7aa23d0b0e2a43bfd8bdaa9328fc54,1,2015-03-29
12,5e7aa23d0b0e2a43bfd8bdaa9328fc54,6,2015-03-30
13,5e7aa23d0b0e2a43bfd8bdaa9328fc54,7,2015-03-31
14,5e7aa23d0b0e2a43bfd8bdaa9328fc54,6,2015-04-01
15,5e7aa23d0b0e2a43bfd8bdaa9328fc54,4,2015-04-02
16,5e7aa23d0b0e2a43bfd8bdaa9328fc54,11,2015-04-03
17,5e7aa23d0b0e2a43bfd8bdaa9328fc54,9,2015-04-04
18,5e7aa23d0b0e2a43bfd8bdaa9328fc54,11,2015-04-05
19,5e7aa23d0b0e2a43bfd8bdaa9328fc54,6,2015-04-06
20,5e7aa23d0b0e2a43bfd8bdaa9328fc54,2,2015-04-07
21,5e7aa23d0b0e2a43bfd8bdaa9328fc54,7,2015-04-08
22,5e7aa23d0b0e2a43bfd8bdaa9328fc54,9,2015-04-09
23,5e7aa23d0b0e2a43bfd8bdaa9328fc54,5,2015-04-10
24,5e7aa23d0b0e2a43bfd8bdaa9328fc54,8,2015-04-11
25,5e7aa23d0b0e2a43bfd8bdaa9328fc54,4,2015-04-12
26,5e7aa23d0b0e2a43bfd8bdaa9328fc54,9,2015-04-13
27,5e7aa23d0b0e2a43bfd8bdaa9328fc54,9,2015-04-14
28,5e7aa23d0b0e2a43bfd8bdaa9328fc54,9,2015-04-15
29,5e7aa23d0b0e2a43bfd8bdaa9328fc54,9,2015-04-16
30,5e7aa23d0b0e2a43bfd8bdaa9328fc54,9,2015-04-17
31,5e7aa23d0b0e2a43bfd8bdaa9328fc54,14,2015-04-18
32,5e7aa23d0b0e2a43bfd8bdaa9328fc54,4,2015-04-19
33,5e7aa23d0b0e2a43bfd8bdaa9328fc54,10,2015-04-20
34,5e7aa23d0b0e2a43bfd8bdaa9328fc54,10,2015-04-21
35,5e7aa23d0b0e2a43bfd8bdaa9328fc54,6,2015-04-22
36,5e7aa23d0b0e2a43bfd8bdaa9328fc54,4,2015-04-23
37,5e7aa23d0b0e2a43bfd8bdaa9328fc54,6,2015-04-24
38,5e7aa23d0b0e2a43bfd8bdaa9328fc54,7,2015-04-25
39,5e7aa23d0b0e2a43bfd8bdaa9328fc54,12,2015-04-26
40,5e7aa23d0b0e2a43bfd8bdaa9328fc54,10,2015-04-27
41,5e7aa23d0b0e2a43bfd8bdaa9328fc54,8,2015-04-28
42,5e7aa23d0b0e2a43bfd8bdaa9328fc54,8,2015-04-29
43,5e7aa23d0b0e2a43bfd8bdaa9328fc54,10,2015-04-30
44,5e7aa23d0b0e2a43bfd8bdaa9328fc54,5,2015-05-01
45,5e7aa23d0b0e2a43bfd8bdaa9328fc54,5,2015-05-02
46,5e7aa23d0b0e2a43bfd8bdaa9328fc54,5,2015-05-03
47,5e7aa23d0b0e2a43bfd8bdaa9328fc54,16,2015-05-04
48,5e7aa23d0b0e2a43bfd8bdaa9328fc54,8,2015-05-05
49,5e7aa23d0b0e2a43bfd8bdaa9328fc54,8,2015-05-06
50,5e7aa23d0b0e2a43bfd8bdaa9328fc54,4,2015-05-07
51,5e7aa23d0b0e2a43bfd8bdaa9328fc54,5,2015-05-08
52,5e7aa23d0b0e2a43bfd8bdaa9328fc54,9,2015-05-09
53,5e7aa23d0b0e2a43bfd8bdaa9328fc54,10,2015-05-10
54,5e7aa23d0b0e2a43bfd8bdaa9328fc54,4,2015-05-11
55,5e7aa23d0b0e2a43bfd8bdaa9328fc54,5,2015-05-12
56,5e7aa23d0b0e2a43bfd8bdaa9328fc54,18,2015-05-13
57,5e7aa23d0b0e2a43bfd8bdaa9328fc54,11,2015-05-14
58,5e7aa23d0b0e2a43bfd8bdaa9328fc54,9,2015-05-15
59,5e7aa23d0b0e2a43bfd8bdaa9328fc54,8,2015-05-16
60,5e7aa23d0b0e2a43bfd8bdaa9328fc54,4,2015-05-17
61,5e7aa23d0b0e2a43bfd8bdaa9328fc54,12,2015-05-18
62,5e7aa23d0b0e2a43bfd8bdaa9328fc54,13,2015-05-19
63,5e7aa23d0b0e2a43bfd8bdaa9328fc54,6,2015-05-20
64,5e7aa23d0b0e2a43bfd8bdaa9328fc54,3,2015-05-21
65,5e7aa23d0b0e2a43bfd8bdaa9328fc54,7,2015-05-22
66,5e7aa23d0b0e2a43bfd8bdaa9328fc54,5,2015-05-23
67,5e7aa23d0b0e2a43bfd8bdaa9328fc54,8,2015-05-24
68,5e7aa23d0b0e2a43bfd8bdaa9328fc54,6,2015-05-25
69,5e7aa23d0b0e2a43bfd8bdaa9328fc54,11,2015-05-26
70,5e7aa23d0b0e2a43bfd8bdaa9328fc54,5,2015-05-27
71,5e7aa23d0b0e2a43bfd8bdaa9328fc54,8,2015-05-28
72,5e7aa23d0b0e2a43bfd8bdaa9328fc54,5,2015-05-29
73,5e7aa23d0b0e2a43bfd8bdaa9328fc54,14,2015-05-30
74,5e7aa23d0b0e2a43bfd8bdaa9328fc54,15,2015-05-31
75,5e7aa23d0b0e2a43bfd8bdaa9328fc54,4,2015-06-01
76,5e7aa23d0b0e2a43bfd8bdaa9328fc54,14,2015-06-02
77,5e7aa23d0b0e2a43bfd8bdaa9328fc54,11,2015-06-03
78,5e7aa23d0b0e2a43bfd8bdaa9328fc54,7,2015-06-04
79,5e7aa23d0b0e2a43bfd8bdaa9328fc54,7,2015-06-05
80,5e7aa23d0b0e2a43bfd8bdaa9328fc54,6,2015-06-06
81,5e7aa23d0b0e2a43bfd8bdaa9328fc54,10,2015-06-07
82,5e7aa23d0b0e2a43bfd8bdaa9328fc54,9,2015-06-08
83,5e7aa23d0b0e2a43bfd8bdaa9328fc54,5,2015-06-09
84,5e7aa23d0b0e2a43bfd8bdaa9328fc54,13,2015-06-10
85,5e7aa23d0b0e2a43bfd8bdaa9328fc54,12,2015-06-11
86,5e7aa23d0b0e2a43bfd8bdaa9328fc54,8,2015-06-12
87,5e7aa23d0b0e2a43bfd8bdaa9328fc54,14,2015-06-13
88,5e7aa23d0b0e2a43bfd8bdaa9328fc54,7,2015-06-14
89,5e7aa23d0b0e2a43bfd8bdaa9328fc54,31,2015-06-15
90,5e7aa23d0b0e2a43bfd8bdaa9328fc54,7,2015-06-16
91,5e7aa23d0b0e2a43bfd8bdaa9328fc54,14,2015-06-17
92,5e7aa23d0b0e2a43bfd8bdaa9328fc54,8,2015-06-18
93,5e7aa23d0b0e2a43bfd8bdaa9328fc54,7,2015-06-19
