,artist_id,down,ds
0,6392ef7a5910d918327e7121b821bcc1,1,2015-03-31
1,6392ef7a5910d918327e7121b821bcc1,1,2015-04-01
2,6392ef7a5910d918327e7121b821bcc1,1,2015-04-20
3,6392ef7a5910d918327e7121b821bcc1,10,2015-04-30
4,6392ef7a5910d918327e7121b821bcc1,1,2015-05-06
5,6392ef7a5910d918327e7121b821bcc1,1,2015-05-10
6,6392ef7a5910d918327e7121b821bcc1,1,2015-05-16
7,6392ef7a5910d918327e7121b821bcc1,1,2015-06-01
8,6392ef7a5910d918327e7121b821bcc1,2,2015-06-03
9,6392ef7a5910d918327e7121b821bcc1,1,2015-06-09
10,6392ef7a5910d918327e7121b821bcc1,1,2015-06-17
11,6392ef7a5910d918327e7121b821bcc1,1,2015-06-20
12,6392ef7a5910d918327e7121b821bcc1,3,2015-06-24
13,6392ef7a5910d918327e7121b821bcc1,1,2015-06-30
14,6392ef7a5910d918327e7121b821bcc1,2,2015-07-01
15,6392ef7a5910d918327e7121b821bcc1,1,2015-07-03
16,6392ef7a5910d918327e7121b821bcc1,3,2015-07-05
17,6392ef7a5910d918327e7121b821bcc1,1,2015-07-08
18,6392ef7a5910d918327e7121b821bcc1,1,2015-07-14
19,6392ef7a5910d918327e7121b821bcc1,3,2015-07-21
20,6392ef7a5910d918327e7121b821bcc1,7,2015-07-23
21,6392ef7a5910d918327e7121b821bcc1,3,2015-07-24
22,6392ef7a5910d918327e7121b821bcc1,2,2015-07-26
23,6392ef7a5910d918327e7121b821bcc1,1,2015-08-01
24,6392ef7a5910d918327e7121b821bcc1,4,2015-08-05
25,6392ef7a5910d918327e7121b821bcc1,2,2015-08-06
26,6392ef7a5910d918327e7121b821bcc1,1,2015-08-07
27,6392ef7a5910d918327e7121b821bcc1,2,2015-08-09
28,6392ef7a5910d918327e7121b821bcc1,1,2015-08-11
29,6392ef7a5910d918327e7121b821bcc1,1,2015-08-13
30,6392ef7a5910d918327e7121b821bcc1,1,2015-08-15
31,6392ef7a5910d918327e7121b821bcc1,2,2015-08-18
32,6392ef7a5910d918327e7121b821bcc1,4,2015-08-19
33,6392ef7a5910d918327e7121b821bcc1,8,2015-08-24
34,6392ef7a5910d918327e7121b821bcc1,1,2015-08-26
35,6392ef7a5910d918327e7121b821bcc1,3,2015-08-28
36,6392ef7a5910d918327e7121b821bcc1,1,2015-08-30
