,artist_id,down,ds
0,67b79ef977a160835c9bd75fd610c1af,1,2015-03-06
1,67b79ef977a160835c9bd75fd610c1af,1,2015-03-08
2,67b79ef977a160835c9bd75fd610c1af,1,2015-03-12
3,67b79ef977a160835c9bd75fd610c1af,1,2015-03-15
4,67b79ef977a160835c9bd75fd610c1af,1,2015-03-19
5,67b79ef977a160835c9bd75fd610c1af,1,2015-03-20
6,67b79ef977a160835c9bd75fd610c1af,1,2015-03-21
7,67b79ef977a160835c9bd75fd610c1af,1,2015-03-22
8,67b79ef977a160835c9bd75fd610c1af,1,2015-03-29
9,67b79ef977a160835c9bd75fd610c1af,1,2015-03-30
10,67b79ef977a160835c9bd75fd610c1af,2,2015-03-31
11,67b79ef977a160835c9bd75fd610c1af,6,2015-04-01
12,67b79ef977a160835c9bd75fd610c1af,3,2015-04-02
13,67b79ef977a160835c9bd75fd610c1af,2,2015-04-03
14,67b79ef977a160835c9bd75fd610c1af,7,2015-04-04
15,67b79ef977a160835c9bd75fd610c1af,7,2015-04-05
16,67b79ef977a160835c9bd75fd610c1af,6,2015-04-06
17,67b79ef977a160835c9bd75fd610c1af,5,2015-04-07
18,67b79ef977a160835c9bd75fd610c1af,9,2015-04-08
19,67b79ef977a160835c9bd75fd610c1af,4,2015-04-09
20,67b79ef977a160835c9bd75fd610c1af,9,2015-04-10
21,67b79ef977a160835c9bd75fd610c1af,8,2015-04-11
22,67b79ef977a160835c9bd75fd610c1af,4,2015-04-12
23,67b79ef977a160835c9bd75fd610c1af,5,2015-04-13
24,67b79ef977a160835c9bd75fd610c1af,6,2015-04-14
25,67b79ef977a160835c9bd75fd610c1af,7,2015-04-15
26,67b79ef977a160835c9bd75fd610c1af,9,2015-04-16
27,67b79ef977a160835c9bd75fd610c1af,6,2015-04-17
28,67b79ef977a160835c9bd75fd610c1af,20,2015-04-18
29,67b79ef977a160835c9bd75fd610c1af,10,2015-04-19
30,67b79ef977a160835c9bd75fd610c1af,7,2015-04-20
31,67b79ef977a160835c9bd75fd610c1af,14,2015-04-21
32,67b79ef977a160835c9bd75fd610c1af,7,2015-04-22
33,67b79ef977a160835c9bd75fd610c1af,8,2015-04-23
34,67b79ef977a160835c9bd75fd610c1af,13,2015-04-24
35,67b79ef977a160835c9bd75fd610c1af,14,2015-04-25
36,67b79ef977a160835c9bd75fd610c1af,10,2015-04-26
