,artist_id,down,ds
0,6a493121e53d83f9e119b02942d7c8fe,1,20150302
1,6a493121e53d83f9e119b02942d7c8fe,1,20150303
2,6a493121e53d83f9e119b02942d7c8fe,1,20150314
3,6a493121e53d83f9e119b02942d7c8fe,1,20150320
4,6a493121e53d83f9e119b02942d7c8fe,1,20150326
5,6a493121e53d83f9e119b02942d7c8fe,1,20150329
6,6a493121e53d83f9e119b02942d7c8fe,1,20150330
7,6a493121e53d83f9e119b02942d7c8fe,1,20150331
8,6a493121e53d83f9e119b02942d7c8fe,5,20150401
9,6a493121e53d83f9e119b02942d7c8fe,7,20150402
10,6a493121e53d83f9e119b02942d7c8fe,8,20150403
11,6a493121e53d83f9e119b02942d7c8fe,2,20150404
12,6a493121e53d83f9e119b02942d7c8fe,4,20150405
13,6a493121e53d83f9e119b02942d7c8fe,7,20150406
14,6a493121e53d83f9e119b02942d7c8fe,6,20150407
15,6a493121e53d83f9e119b02942d7c8fe,1,20150408
16,6a493121e53d83f9e119b02942d7c8fe,3,20150409
17,6a493121e53d83f9e119b02942d7c8fe,2,20150410
18,6a493121e53d83f9e119b02942d7c8fe,10,20150411
19,6a493121e53d83f9e119b02942d7c8fe,6,20150412
20,6a493121e53d83f9e119b02942d7c8fe,7,20150413
21,6a493121e53d83f9e119b02942d7c8fe,5,20150414
22,6a493121e53d83f9e119b02942d7c8fe,1,20150415
23,6a493121e53d83f9e119b02942d7c8fe,4,20150416
24,6a493121e53d83f9e119b02942d7c8fe,5,20150417
25,6a493121e53d83f9e119b02942d7c8fe,4,20150418
26,6a493121e53d83f9e119b02942d7c8fe,7,20150419
27,6a493121e53d83f9e119b02942d7c8fe,4,20150420
28,6a493121e53d83f9e119b02942d7c8fe,3,20150421
29,6a493121e53d83f9e119b02942d7c8fe,4,20150422
30,6a493121e53d83f9e119b02942d7c8fe,12,20150423
31,6a493121e53d83f9e119b02942d7c8fe,6,20150424
32,6a493121e53d83f9e119b02942d7c8fe,6,20150425
33,6a493121e53d83f9e119b02942d7c8fe,9,20150426
34,6a493121e53d83f9e119b02942d7c8fe,4,20150427
35,6a493121e53d83f9e119b02942d7c8fe,9,20150428
36,6a493121e53d83f9e119b02942d7c8fe,3,20150429
37,6a493121e53d83f9e119b02942d7c8fe,10,20150430
38,6a493121e53d83f9e119b02942d7c8fe,4,20150501
39,6a493121e53d83f9e119b02942d7c8fe,7,20150502
40,6a493121e53d83f9e119b02942d7c8fe,6,20150503
41,6a493121e53d83f9e119b02942d7c8fe,2,20150504
42,6a493121e53d83f9e119b02942d7c8fe,3,20150505
43,6a493121e53d83f9e119b02942d7c8fe,3,20150506
44,6a493121e53d83f9e119b02942d7c8fe,3,20150507
45,6a493121e53d83f9e119b02942d7c8fe,8,20150508
46,6a493121e53d83f9e119b02942d7c8fe,9,20150509
47,6a493121e53d83f9e119b02942d7c8fe,6,20150510
48,6a493121e53d83f9e119b02942d7c8fe,11,20150511
49,6a493121e53d83f9e119b02942d7c8fe,6,20150512
50,6a493121e53d83f9e119b02942d7c8fe,6,20150513
51,6a493121e53d83f9e119b02942d7c8fe,5,20150514
52,6a493121e53d83f9e119b02942d7c8fe,7,20150515
53,6a493121e53d83f9e119b02942d7c8fe,11,20150516
54,6a493121e53d83f9e119b02942d7c8fe,8,20150517
55,6a493121e53d83f9e119b02942d7c8fe,7,20150518
56,6a493121e53d83f9e119b02942d7c8fe,6,20150519
57,6a493121e53d83f9e119b02942d7c8fe,2,20150520
58,6a493121e53d83f9e119b02942d7c8fe,2,20150521
59,6a493121e53d83f9e119b02942d7c8fe,5,20150522
60,6a493121e53d83f9e119b02942d7c8fe,4,20150523
61,6a493121e53d83f9e119b02942d7c8fe,12,20150524
62,6a493121e53d83f9e119b02942d7c8fe,6,20150525
63,6a493121e53d83f9e119b02942d7c8fe,11,20150526
64,6a493121e53d83f9e119b02942d7c8fe,7,20150527
65,6a493121e53d83f9e119b02942d7c8fe,6,20150528
66,6a493121e53d83f9e119b02942d7c8fe,5,20150529
67,6a493121e53d83f9e119b02942d7c8fe,4,20150530
68,6a493121e53d83f9e119b02942d7c8fe,4,20150531
69,6a493121e53d83f9e119b02942d7c8fe,3,20150601
70,6a493121e53d83f9e119b02942d7c8fe,8,20150602
71,6a493121e53d83f9e119b02942d7c8fe,4,20150603
72,6a493121e53d83f9e119b02942d7c8fe,4,20150604
73,6a493121e53d83f9e119b02942d7c8fe,4,20150605
74,6a493121e53d83f9e119b02942d7c8fe,11,20150606
75,6a493121e53d83f9e119b02942d7c8fe,5,20150607
76,6a493121e53d83f9e119b02942d7c8fe,4,20150608
77,6a493121e53d83f9e119b02942d7c8fe,12,20150609
78,6a493121e53d83f9e119b02942d7c8fe,6,20150610
79,6a493121e53d83f9e119b02942d7c8fe,5,20150611
80,6a493121e53d83f9e119b02942d7c8fe,10,20150612
81,6a493121e53d83f9e119b02942d7c8fe,2,20150613
82,6a493121e53d83f9e119b02942d7c8fe,3,20150614
83,6a493121e53d83f9e119b02942d7c8fe,2,20150615
84,6a493121e53d83f9e119b02942d7c8fe,3,20150616
85,6a493121e53d83f9e119b02942d7c8fe,7,20150617
86,6a493121e53d83f9e119b02942d7c8fe,2,20150618
87,6a493121e53d83f9e119b02942d7c8fe,5,20150619
88,6a493121e53d83f9e119b02942d7c8fe,4,20150620
89,6a493121e53d83f9e119b02942d7c8fe,7,20150621
90,6a493121e53d83f9e119b02942d7c8fe,8,20150622
91,6a493121e53d83f9e119b02942d7c8fe,6,20150623
92,6a493121e53d83f9e119b02942d7c8fe,8,20150624
93,6a493121e53d83f9e119b02942d7c8fe,3,20150625
94,6a493121e53d83f9e119b02942d7c8fe,2,20150626
95,6a493121e53d83f9e119b02942d7c8fe,4,20150627
96,6a493121e53d83f9e119b02942d7c8fe,1,20150628
97,6a493121e53d83f9e119b02942d7c8fe,3,20150629
98,6a493121e53d83f9e119b02942d7c8fe,5,20150630
99,6a493121e53d83f9e119b02942d7c8fe,7,20150701
100,6a493121e53d83f9e119b02942d7c8fe,8,20150702
101,6a493121e53d83f9e119b02942d7c8fe,7,20150703
102,6a493121e53d83f9e119b02942d7c8fe,8,20150704
103,6a493121e53d83f9e119b02942d7c8fe,4,20150705
104,6a493121e53d83f9e119b02942d7c8fe,6,20150706
105,6a493121e53d83f9e119b02942d7c8fe,5,20150707
106,6a493121e53d83f9e119b02942d7c8fe,6,20150708
107,6a493121e53d83f9e119b02942d7c8fe,6,20150709
108,6a493121e53d83f9e119b02942d7c8fe,1,20150710
109,6a493121e53d83f9e119b02942d7c8fe,12,20150711
110,6a493121e53d83f9e119b02942d7c8fe,4,20150712
111,6a493121e53d83f9e119b02942d7c8fe,3,20150713
112,6a493121e53d83f9e119b02942d7c8fe,5,20150714
113,6a493121e53d83f9e119b02942d7c8fe,8,20150715
114,6a493121e53d83f9e119b02942d7c8fe,24,20150716
115,6a493121e53d83f9e119b02942d7c8fe,7,20150717
116,6a493121e53d83f9e119b02942d7c8fe,5,20150718
