,artist_id,down,ds
0,6bb4c3bbdb6f5a96d643320c6b6005f5,2,2015-03-04
1,6bb4c3bbdb6f5a96d643320c6b6005f5,5,2015-03-05
2,6bb4c3bbdb6f5a96d643320c6b6005f5,1,2015-03-06
3,6bb4c3bbdb6f5a96d643320c6b6005f5,2,2015-03-07
4,6bb4c3bbdb6f5a96d643320c6b6005f5,4,2015-03-08
5,6bb4c3bbdb6f5a96d643320c6b6005f5,5,2015-03-10
6,6bb4c3bbdb6f5a96d643320c6b6005f5,1,2015-03-11
7,6bb4c3bbdb6f5a96d643320c6b6005f5,3,2015-03-13
8,6bb4c3bbdb6f5a96d643320c6b6005f5,1,2015-03-20
9,6bb4c3bbdb6f5a96d643320c6b6005f5,3,2015-03-22
10,6bb4c3bbdb6f5a96d643320c6b6005f5,1,2015-03-24
11,6bb4c3bbdb6f5a96d643320c6b6005f5,1,2015-03-25
12,6bb4c3bbdb6f5a96d643320c6b6005f5,4,2015-03-26
13,6bb4c3bbdb6f5a96d643320c6b6005f5,3,2015-03-28
14,6bb4c3bbdb6f5a96d643320c6b6005f5,2,2015-03-29
15,6bb4c3bbdb6f5a96d643320c6b6005f5,5,2015-03-30
16,6bb4c3bbdb6f5a96d643320c6b6005f5,4,2015-03-31
17,6bb4c3bbdb6f5a96d643320c6b6005f5,10,2015-04-01
18,6bb4c3bbdb6f5a96d643320c6b6005f5,7,2015-04-02
19,6bb4c3bbdb6f5a96d643320c6b6005f5,2,2015-04-03
20,6bb4c3bbdb6f5a96d643320c6b6005f5,5,2015-04-04
21,6bb4c3bbdb6f5a96d643320c6b6005f5,12,2015-04-05
22,6bb4c3bbdb6f5a96d643320c6b6005f5,7,2015-04-06
23,6bb4c3bbdb6f5a96d643320c6b6005f5,3,2015-04-07
24,6bb4c3bbdb6f5a96d643320c6b6005f5,10,2015-04-08
25,6bb4c3bbdb6f5a96d643320c6b6005f5,7,2015-04-09
26,6bb4c3bbdb6f5a96d643320c6b6005f5,10,2015-04-10
27,6bb4c3bbdb6f5a96d643320c6b6005f5,7,2015-04-11
28,6bb4c3bbdb6f5a96d643320c6b6005f5,3,2015-04-12
29,6bb4c3bbdb6f5a96d643320c6b6005f5,8,2015-04-13
30,6bb4c3bbdb6f5a96d643320c6b6005f5,6,2015-04-14
