,artist_id,down,ds
0,7e0db58c13d033dafe5f5e1e70ff7eb4,1,2015-03-01
1,7e0db58c13d033dafe5f5e1e70ff7eb4,1,2015-03-03
2,7e0db58c13d033dafe5f5e1e70ff7eb4,1,2015-03-04
3,7e0db58c13d033dafe5f5e1e70ff7eb4,2,2015-03-11
4,7e0db58c13d033dafe5f5e1e70ff7eb4,1,2015-03-13
5,7e0db58c13d033dafe5f5e1e70ff7eb4,1,2015-03-14
6,7e0db58c13d033dafe5f5e1e70ff7eb4,2,2015-03-15
7,7e0db58c13d033dafe5f5e1e70ff7eb4,1,2015-03-19
8,7e0db58c13d033dafe5f5e1e70ff7eb4,2,2015-03-20
9,7e0db58c13d033dafe5f5e1e70ff7eb4,1,2015-03-23
10,7e0db58c13d033dafe5f5e1e70ff7eb4,1,2015-03-25
11,7e0db58c13d033dafe5f5e1e70ff7eb4,1,2015-03-27
12,7e0db58c13d033dafe5f5e1e70ff7eb4,1,2015-03-28
13,7e0db58c13d033dafe5f5e1e70ff7eb4,3,2015-03-29
14,7e0db58c13d033dafe5f5e1e70ff7eb4,4,2015-03-30
15,7e0db58c13d033dafe5f5e1e70ff7eb4,16,2015-03-31
16,7e0db58c13d033dafe5f5e1e70ff7eb4,10,2015-04-01
17,7e0db58c13d033dafe5f5e1e70ff7eb4,6,2015-04-02
18,7e0db58c13d033dafe5f5e1e70ff7eb4,11,2015-04-03
19,7e0db58c13d033dafe5f5e1e70ff7eb4,10,2015-04-04
20,7e0db58c13d033dafe5f5e1e70ff7eb4,11,2015-04-05
21,7e0db58c13d033dafe5f5e1e70ff7eb4,7,2015-04-06
22,7e0db58c13d033dafe5f5e1e70ff7eb4,6,2015-04-07
23,7e0db58c13d033dafe5f5e1e70ff7eb4,5,2015-04-08
24,7e0db58c13d033dafe5f5e1e70ff7eb4,5,2015-04-09
25,7e0db58c13d033dafe5f5e1e70ff7eb4,12,2015-04-10
26,7e0db58c13d033dafe5f5e1e70ff7eb4,13,2015-04-11
27,7e0db58c13d033dafe5f5e1e70ff7eb4,4,2015-04-12
