,artist_id,down,ds
0,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-03-28
1,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-03-29
2,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-03-30
3,82fda1f850a9fe22e41b5c8dadaff4ac,6,2015-03-31
4,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-04-01
5,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-04-02
6,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-04-03
7,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-04-04
8,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-04-05
9,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-04-06
10,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-04-07
11,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-04-08
12,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-04-09
13,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-04-10
14,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-04-12
15,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-04-13
16,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-04-14
17,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-04-15
18,82fda1f850a9fe22e41b5c8dadaff4ac,6,2015-04-16
19,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-04-17
20,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-04-18
21,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-04-21
22,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-04-22
23,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-04-23
24,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-04-24
25,82fda1f850a9fe22e41b5c8dadaff4ac,6,2015-04-25
26,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-04-26
27,82fda1f850a9fe22e41b5c8dadaff4ac,9,2015-04-27
28,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-04-28
29,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-04-29
30,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-04-30
31,82fda1f850a9fe22e41b5c8dadaff4ac,6,2015-05-01
32,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-05-04
33,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-05-05
34,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-05-06
35,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-05-07
36,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-05-08
37,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-05-09
38,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-05-10
39,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-05-11
40,82fda1f850a9fe22e41b5c8dadaff4ac,9,2015-05-12
41,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-05-13
42,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-05-14
43,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-05-15
44,82fda1f850a9fe22e41b5c8dadaff4ac,9,2015-05-16
45,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-05-17
46,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-05-18
47,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-05-19
48,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-05-20
49,82fda1f850a9fe22e41b5c8dadaff4ac,7,2015-05-22
50,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-05-23
51,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-05-24
52,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-05-25
53,82fda1f850a9fe22e41b5c8dadaff4ac,14,2015-05-26
54,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-05-28
55,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-05-29
56,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-05-30
57,82fda1f850a9fe22e41b5c8dadaff4ac,6,2015-05-31
58,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-06-01
59,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-06-02
60,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-06-03
61,82fda1f850a9fe22e41b5c8dadaff4ac,7,2015-06-04
62,82fda1f850a9fe22e41b5c8dadaff4ac,7,2015-06-05
63,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-06-07
64,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-06-08
65,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-06-09
66,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-06-10
67,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-06-11
68,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-06-12
69,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-06-13
70,82fda1f850a9fe22e41b5c8dadaff4ac,7,2015-06-14
71,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-06-17
72,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-06-18
73,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-06-19
74,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-06-20
75,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-06-21
76,82fda1f850a9fe22e41b5c8dadaff4ac,6,2015-06-22
77,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-06-23
78,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-06-24
79,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-06-25
80,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-06-26
81,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-06-27
82,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-06-28
83,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-06-29
84,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-06-30
85,82fda1f850a9fe22e41b5c8dadaff4ac,6,2015-07-01
86,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-07-02
87,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-07-03
88,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-07-04
89,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-07-05
90,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-07-07
91,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-07-08
92,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-07-09
93,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-07-10
94,82fda1f850a9fe22e41b5c8dadaff4ac,6,2015-07-12
95,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-07-13
96,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-07-14
97,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-07-16
98,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-07-17
99,82fda1f850a9fe22e41b5c8dadaff4ac,7,2015-07-18
100,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-07-19
101,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-07-20
102,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-07-21
103,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-07-22
104,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-07-23
105,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-07-24
106,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-07-25
107,82fda1f850a9fe22e41b5c8dadaff4ac,8,2015-07-26
108,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-07-27
109,82fda1f850a9fe22e41b5c8dadaff4ac,6,2015-07-28
110,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-07-29
111,82fda1f850a9fe22e41b5c8dadaff4ac,7,2015-07-30
112,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-07-31
113,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-08-01
114,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-08-02
115,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-08-03
116,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-08-04
117,82fda1f850a9fe22e41b5c8dadaff4ac,5,2015-08-05
118,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-08-06
119,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-08-07
120,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-08-09
121,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-08-10
122,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-08-11
123,82fda1f850a9fe22e41b5c8dadaff4ac,7,2015-08-13
124,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-08-14
125,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-08-15
126,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-08-16
127,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-08-17
128,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-08-18
129,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-08-19
130,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-08-20
131,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-08-21
132,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-08-22
133,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-08-23
134,82fda1f850a9fe22e41b5c8dadaff4ac,2,2015-08-24
135,82fda1f850a9fe22e41b5c8dadaff4ac,4,2015-08-25
136,82fda1f850a9fe22e41b5c8dadaff4ac,3,2015-08-26
137,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-08-27
138,82fda1f850a9fe22e41b5c8dadaff4ac,1,2015-08-28
139,82fda1f850a9fe22e41b5c8dadaff4ac,9,2015-08-29
