,artist_id,down,ds
0,8da51d03b8b8717431e8b902856fb45e,1,2015-03-09
1,8da51d03b8b8717431e8b902856fb45e,1,2015-03-17
2,8da51d03b8b8717431e8b902856fb45e,1,2015-03-19
3,8da51d03b8b8717431e8b902856fb45e,4,2015-03-20
4,8da51d03b8b8717431e8b902856fb45e,1,2015-03-23
5,8da51d03b8b8717431e8b902856fb45e,1,2015-03-25
6,8da51d03b8b8717431e8b902856fb45e,1,2015-03-26
7,8da51d03b8b8717431e8b902856fb45e,1,2015-03-28
8,8da51d03b8b8717431e8b902856fb45e,3,2015-03-29
9,8da51d03b8b8717431e8b902856fb45e,2,2015-03-30
10,8da51d03b8b8717431e8b902856fb45e,7,2015-03-31
11,8da51d03b8b8717431e8b902856fb45e,12,2015-04-01
12,8da51d03b8b8717431e8b902856fb45e,6,2015-04-02
13,8da51d03b8b8717431e8b902856fb45e,12,2015-04-03
14,8da51d03b8b8717431e8b902856fb45e,15,2015-04-04
15,8da51d03b8b8717431e8b902856fb45e,13,2015-04-05
16,8da51d03b8b8717431e8b902856fb45e,9,2015-04-06
17,8da51d03b8b8717431e8b902856fb45e,11,2015-04-07
18,8da51d03b8b8717431e8b902856fb45e,12,2015-04-08
19,8da51d03b8b8717431e8b902856fb45e,7,2015-04-09
20,8da51d03b8b8717431e8b902856fb45e,11,2015-04-10
21,8da51d03b8b8717431e8b902856fb45e,6,2015-04-11
22,8da51d03b8b8717431e8b902856fb45e,11,2015-04-12
23,8da51d03b8b8717431e8b902856fb45e,4,2015-04-13
24,8da51d03b8b8717431e8b902856fb45e,6,2015-04-14
25,8da51d03b8b8717431e8b902856fb45e,17,2015-04-15
26,8da51d03b8b8717431e8b902856fb45e,7,2015-04-16
27,8da51d03b8b8717431e8b902856fb45e,7,2015-04-17
28,8da51d03b8b8717431e8b902856fb45e,12,2015-04-18
29,8da51d03b8b8717431e8b902856fb45e,5,2015-04-19
30,8da51d03b8b8717431e8b902856fb45e,8,2015-04-20
31,8da51d03b8b8717431e8b902856fb45e,8,2015-04-21
32,8da51d03b8b8717431e8b902856fb45e,9,2015-04-22
33,8da51d03b8b8717431e8b902856fb45e,9,2015-04-23
34,8da51d03b8b8717431e8b902856fb45e,14,2015-04-24
35,8da51d03b8b8717431e8b902856fb45e,8,2015-04-25
36,8da51d03b8b8717431e8b902856fb45e,13,2015-04-26
37,8da51d03b8b8717431e8b902856fb45e,11,2015-04-27
38,8da51d03b8b8717431e8b902856fb45e,7,2015-04-28
39,8da51d03b8b8717431e8b902856fb45e,6,2015-04-29
40,8da51d03b8b8717431e8b902856fb45e,15,2015-04-30
41,8da51d03b8b8717431e8b902856fb45e,7,2015-05-01
42,8da51d03b8b8717431e8b902856fb45e,6,2015-05-02
43,8da51d03b8b8717431e8b902856fb45e,4,2015-05-03
44,8da51d03b8b8717431e8b902856fb45e,12,2015-05-04
45,8da51d03b8b8717431e8b902856fb45e,10,2015-05-05
46,8da51d03b8b8717431e8b902856fb45e,14,2015-05-06
47,8da51d03b8b8717431e8b902856fb45e,11,2015-05-07
48,8da51d03b8b8717431e8b902856fb45e,14,2015-05-08
49,8da51d03b8b8717431e8b902856fb45e,8,2015-05-09
50,8da51d03b8b8717431e8b902856fb45e,6,2015-05-10
51,8da51d03b8b8717431e8b902856fb45e,16,2015-05-11
52,8da51d03b8b8717431e8b902856fb45e,9,2015-05-12
53,8da51d03b8b8717431e8b902856fb45e,20,2015-05-13
54,8da51d03b8b8717431e8b902856fb45e,18,2015-05-14
55,8da51d03b8b8717431e8b902856fb45e,15,2015-05-15
56,8da51d03b8b8717431e8b902856fb45e,13,2015-05-16
57,8da51d03b8b8717431e8b902856fb45e,10,2015-05-17
58,8da51d03b8b8717431e8b902856fb45e,10,2015-05-18
59,8da51d03b8b8717431e8b902856fb45e,11,2015-05-19
60,8da51d03b8b8717431e8b902856fb45e,8,2015-05-20
61,8da51d03b8b8717431e8b902856fb45e,14,2015-05-21
62,8da51d03b8b8717431e8b902856fb45e,10,2015-05-22
63,8da51d03b8b8717431e8b902856fb45e,9,2015-05-23
64,8da51d03b8b8717431e8b902856fb45e,16,2015-05-24
65,8da51d03b8b8717431e8b902856fb45e,6,2015-05-25
66,8da51d03b8b8717431e8b902856fb45e,11,2015-05-26
67,8da51d03b8b8717431e8b902856fb45e,15,2015-05-27
68,8da51d03b8b8717431e8b902856fb45e,11,2015-05-28
69,8da51d03b8b8717431e8b902856fb45e,15,2015-05-29
70,8da51d03b8b8717431e8b902856fb45e,11,2015-05-30
71,8da51d03b8b8717431e8b902856fb45e,17,2015-05-31
72,8da51d03b8b8717431e8b902856fb45e,16,2015-06-01
73,8da51d03b8b8717431e8b902856fb45e,27,2015-06-02
74,8da51d03b8b8717431e8b902856fb45e,15,2015-06-03
75,8da51d03b8b8717431e8b902856fb45e,17,2015-06-04
76,8da51d03b8b8717431e8b902856fb45e,9,2015-06-05
77,8da51d03b8b8717431e8b902856fb45e,18,2015-06-06
78,8da51d03b8b8717431e8b902856fb45e,8,2015-06-07
79,8da51d03b8b8717431e8b902856fb45e,17,2015-06-08
80,8da51d03b8b8717431e8b902856fb45e,7,2015-06-09
81,8da51d03b8b8717431e8b902856fb45e,12,2015-06-10
82,8da51d03b8b8717431e8b902856fb45e,10,2015-06-11
83,8da51d03b8b8717431e8b902856fb45e,4,2015-06-12
84,8da51d03b8b8717431e8b902856fb45e,6,2015-06-13
85,8da51d03b8b8717431e8b902856fb45e,12,2015-06-14
86,8da51d03b8b8717431e8b902856fb45e,9,2015-06-15
87,8da51d03b8b8717431e8b902856fb45e,6,2015-06-16
88,8da51d03b8b8717431e8b902856fb45e,13,2015-06-17
89,8da51d03b8b8717431e8b902856fb45e,6,2015-06-18
90,8da51d03b8b8717431e8b902856fb45e,11,2015-06-19
91,8da51d03b8b8717431e8b902856fb45e,5,2015-06-20
92,8da51d03b8b8717431e8b902856fb45e,12,2015-06-21
93,8da51d03b8b8717431e8b902856fb45e,12,2015-06-22
94,8da51d03b8b8717431e8b902856fb45e,8,2015-06-23
95,8da51d03b8b8717431e8b902856fb45e,15,2015-06-24
96,8da51d03b8b8717431e8b902856fb45e,10,2015-06-25
97,8da51d03b8b8717431e8b902856fb45e,9,2015-06-26
98,8da51d03b8b8717431e8b902856fb45e,17,2015-06-27
99,8da51d03b8b8717431e8b902856fb45e,6,2015-06-28
100,8da51d03b8b8717431e8b902856fb45e,7,2015-06-29
101,8da51d03b8b8717431e8b902856fb45e,13,2015-06-30
102,8da51d03b8b8717431e8b902856fb45e,19,2015-07-01
103,8da51d03b8b8717431e8b902856fb45e,12,2015-07-02
104,8da51d03b8b8717431e8b902856fb45e,10,2015-07-03
105,8da51d03b8b8717431e8b902856fb45e,17,2015-07-04
106,8da51d03b8b8717431e8b902856fb45e,8,2015-07-05
107,8da51d03b8b8717431e8b902856fb45e,11,2015-07-06
108,8da51d03b8b8717431e8b902856fb45e,16,2015-07-07
109,8da51d03b8b8717431e8b902856fb45e,12,2015-07-08
110,8da51d03b8b8717431e8b902856fb45e,9,2015-07-09
111,8da51d03b8b8717431e8b902856fb45e,10,2015-07-10
112,8da51d03b8b8717431e8b902856fb45e,13,2015-07-11
113,8da51d03b8b8717431e8b902856fb45e,18,2015-07-12
114,8da51d03b8b8717431e8b902856fb45e,10,2015-07-13
115,8da51d03b8b8717431e8b902856fb45e,15,2015-07-14
116,8da51d03b8b8717431e8b902856fb45e,13,2015-07-15
117,8da51d03b8b8717431e8b902856fb45e,9,2015-07-16
118,8da51d03b8b8717431e8b902856fb45e,11,2015-07-17
119,8da51d03b8b8717431e8b902856fb45e,10,2015-07-18
120,8da51d03b8b8717431e8b902856fb45e,9,2015-07-19
121,8da51d03b8b8717431e8b902856fb45e,16,2015-07-20
122,8da51d03b8b8717431e8b902856fb45e,20,2015-07-21
123,8da51d03b8b8717431e8b902856fb45e,8,2015-07-22
124,8da51d03b8b8717431e8b902856fb45e,13,2015-07-23
125,8da51d03b8b8717431e8b902856fb45e,15,2015-07-24
126,8da51d03b8b8717431e8b902856fb45e,13,2015-07-25
127,8da51d03b8b8717431e8b902856fb45e,15,2015-07-26
128,8da51d03b8b8717431e8b902856fb45e,11,2015-07-27
129,8da51d03b8b8717431e8b902856fb45e,12,2015-07-28
130,8da51d03b8b8717431e8b902856fb45e,12,2015-07-29
131,8da51d03b8b8717431e8b902856fb45e,11,2015-07-30
132,8da51d03b8b8717431e8b902856fb45e,11,2015-07-31
133,8da51d03b8b8717431e8b902856fb45e,7,2015-08-01
134,8da51d03b8b8717431e8b902856fb45e,12,2015-08-02
135,8da51d03b8b8717431e8b902856fb45e,17,2015-08-03
136,8da51d03b8b8717431e8b902856fb45e,8,2015-08-04
137,8da51d03b8b8717431e8b902856fb45e,14,2015-08-05
138,8da51d03b8b8717431e8b902856fb45e,26,2015-08-06
139,8da51d03b8b8717431e8b902856fb45e,12,2015-08-07
140,8da51d03b8b8717431e8b902856fb45e,7,2015-08-08
141,8da51d03b8b8717431e8b902856fb45e,5,2015-08-09
142,8da51d03b8b8717431e8b902856fb45e,15,2015-08-10
143,8da51d03b8b8717431e8b902856fb45e,9,2015-08-11
144,8da51d03b8b8717431e8b902856fb45e,9,2015-08-12
145,8da51d03b8b8717431e8b902856fb45e,9,2015-08-13
