,artist_id,down,ds
0,8fb3cef29f2c266af4c9ecef3b780e97,1,20150301
1,8fb3cef29f2c266af4c9ecef3b780e97,1,20150302
2,8fb3cef29f2c266af4c9ecef3b780e97,2,20150307
3,8fb3cef29f2c266af4c9ecef3b780e97,2,20150309
4,8fb3cef29f2c266af4c9ecef3b780e97,1,20150312
5,8fb3cef29f2c266af4c9ecef3b780e97,4,20150313
6,8fb3cef29f2c266af4c9ecef3b780e97,1,20150314
7,8fb3cef29f2c266af4c9ecef3b780e97,1,20150319
8,8fb3cef29f2c266af4c9ecef3b780e97,1,20150323
9,8fb3cef29f2c266af4c9ecef3b780e97,1,20150327
10,8fb3cef29f2c266af4c9ecef3b780e97,1,20150328
11,8fb3cef29f2c266af4c9ecef3b780e97,1,20150329
12,8fb3cef29f2c266af4c9ecef3b780e97,9,20150330
13,8fb3cef29f2c266af4c9ecef3b780e97,10,20150331
14,8fb3cef29f2c266af4c9ecef3b780e97,8,20150401
15,8fb3cef29f2c266af4c9ecef3b780e97,7,20150402
16,8fb3cef29f2c266af4c9ecef3b780e97,12,20150403
17,8fb3cef29f2c266af4c9ecef3b780e97,13,20150404
18,8fb3cef29f2c266af4c9ecef3b780e97,15,20150405
19,8fb3cef29f2c266af4c9ecef3b780e97,11,20150406
20,8fb3cef29f2c266af4c9ecef3b780e97,11,20150407
21,8fb3cef29f2c266af4c9ecef3b780e97,9,20150408
22,8fb3cef29f2c266af4c9ecef3b780e97,21,20150409
23,8fb3cef29f2c266af4c9ecef3b780e97,12,20150410
24,8fb3cef29f2c266af4c9ecef3b780e97,6,20150411
25,8fb3cef29f2c266af4c9ecef3b780e97,7,20150412
26,8fb3cef29f2c266af4c9ecef3b780e97,10,20150413
27,8fb3cef29f2c266af4c9ecef3b780e97,8,20150414
28,8fb3cef29f2c266af4c9ecef3b780e97,13,20150415
29,8fb3cef29f2c266af4c9ecef3b780e97,21,20150416
30,8fb3cef29f2c266af4c9ecef3b780e97,5,20150417
31,8fb3cef29f2c266af4c9ecef3b780e97,14,20150418
32,8fb3cef29f2c266af4c9ecef3b780e97,11,20150419
33,8fb3cef29f2c266af4c9ecef3b780e97,9,20150420
34,8fb3cef29f2c266af4c9ecef3b780e97,10,20150421
35,8fb3cef29f2c266af4c9ecef3b780e97,12,20150422
36,8fb3cef29f2c266af4c9ecef3b780e97,10,20150423
37,8fb3cef29f2c266af4c9ecef3b780e97,5,20150424
38,8fb3cef29f2c266af4c9ecef3b780e97,4,20150425
39,8fb3cef29f2c266af4c9ecef3b780e97,8,20150426
40,8fb3cef29f2c266af4c9ecef3b780e97,8,20150427
41,8fb3cef29f2c266af4c9ecef3b780e97,8,20150428
42,8fb3cef29f2c266af4c9ecef3b780e97,18,20150429
43,8fb3cef29f2c266af4c9ecef3b780e97,17,20150430
