,artist_id,down,ds
0,a581aaeb73a9ce7f6806eb1e56e319b6,7,2015-03-02
1,a581aaeb73a9ce7f6806eb1e56e319b6,6,2015-03-27
2,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-03-31
3,a581aaeb73a9ce7f6806eb1e56e319b6,4,2015-04-01
4,a581aaeb73a9ce7f6806eb1e56e319b6,4,2015-04-02
5,a581aaeb73a9ce7f6806eb1e56e319b6,10,2015-04-03
6,a581aaeb73a9ce7f6806eb1e56e319b6,1,2015-04-04
7,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-04-05
8,a581aaeb73a9ce7f6806eb1e56e319b6,5,2015-04-07
9,a581aaeb73a9ce7f6806eb1e56e319b6,2,2015-04-09
10,a581aaeb73a9ce7f6806eb1e56e319b6,2,2015-04-10
11,a581aaeb73a9ce7f6806eb1e56e319b6,4,2015-04-11
12,a581aaeb73a9ce7f6806eb1e56e319b6,5,2015-04-12
13,a581aaeb73a9ce7f6806eb1e56e319b6,4,2015-04-13
14,a581aaeb73a9ce7f6806eb1e56e319b6,2,2015-04-14
15,a581aaeb73a9ce7f6806eb1e56e319b6,4,2015-04-15
16,a581aaeb73a9ce7f6806eb1e56e319b6,5,2015-04-16
17,a581aaeb73a9ce7f6806eb1e56e319b6,2,2015-04-17
18,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-04-18
19,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-04-19
20,a581aaeb73a9ce7f6806eb1e56e319b6,4,2015-04-20
21,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-04-21
22,a581aaeb73a9ce7f6806eb1e56e319b6,1,2015-04-22
23,a581aaeb73a9ce7f6806eb1e56e319b6,5,2015-04-23
24,a581aaeb73a9ce7f6806eb1e56e319b6,5,2015-04-24
25,a581aaeb73a9ce7f6806eb1e56e319b6,5,2015-04-25
26,a581aaeb73a9ce7f6806eb1e56e319b6,6,2015-04-26
27,a581aaeb73a9ce7f6806eb1e56e319b6,1,2015-04-27
28,a581aaeb73a9ce7f6806eb1e56e319b6,8,2015-04-28
29,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-04-29
30,a581aaeb73a9ce7f6806eb1e56e319b6,5,2015-04-30
31,a581aaeb73a9ce7f6806eb1e56e319b6,2,2015-05-01
32,a581aaeb73a9ce7f6806eb1e56e319b6,4,2015-05-02
33,a581aaeb73a9ce7f6806eb1e56e319b6,5,2015-05-03
34,a581aaeb73a9ce7f6806eb1e56e319b6,1,2015-05-04
35,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-05-05
36,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-05-06
37,a581aaeb73a9ce7f6806eb1e56e319b6,2,2015-05-07
38,a581aaeb73a9ce7f6806eb1e56e319b6,4,2015-05-08
39,a581aaeb73a9ce7f6806eb1e56e319b6,4,2015-05-09
40,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-05-10
41,a581aaeb73a9ce7f6806eb1e56e319b6,1,2015-05-11
42,a581aaeb73a9ce7f6806eb1e56e319b6,6,2015-05-12
43,a581aaeb73a9ce7f6806eb1e56e319b6,6,2015-05-13
44,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-05-15
45,a581aaeb73a9ce7f6806eb1e56e319b6,6,2015-05-16
46,a581aaeb73a9ce7f6806eb1e56e319b6,9,2015-05-17
47,a581aaeb73a9ce7f6806eb1e56e319b6,11,2015-05-18
48,a581aaeb73a9ce7f6806eb1e56e319b6,1,2015-05-19
49,a581aaeb73a9ce7f6806eb1e56e319b6,22,2015-05-20
50,a581aaeb73a9ce7f6806eb1e56e319b6,14,2015-05-21
51,a581aaeb73a9ce7f6806eb1e56e319b6,2,2015-05-22
52,a581aaeb73a9ce7f6806eb1e56e319b6,1,2015-05-23
53,a581aaeb73a9ce7f6806eb1e56e319b6,9,2015-05-25
54,a581aaeb73a9ce7f6806eb1e56e319b6,9,2015-05-26
55,a581aaeb73a9ce7f6806eb1e56e319b6,8,2015-05-27
56,a581aaeb73a9ce7f6806eb1e56e319b6,6,2015-05-28
57,a581aaeb73a9ce7f6806eb1e56e319b6,6,2015-05-29
58,a581aaeb73a9ce7f6806eb1e56e319b6,8,2015-05-30
59,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-06-01
60,a581aaeb73a9ce7f6806eb1e56e319b6,2,2015-06-02
61,a581aaeb73a9ce7f6806eb1e56e319b6,5,2015-06-03
62,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-06-04
63,a581aaeb73a9ce7f6806eb1e56e319b6,7,2015-06-05
64,a581aaeb73a9ce7f6806eb1e56e319b6,1,2015-06-06
65,a581aaeb73a9ce7f6806eb1e56e319b6,8,2015-06-07
66,a581aaeb73a9ce7f6806eb1e56e319b6,1,2015-06-08
67,a581aaeb73a9ce7f6806eb1e56e319b6,5,2015-06-09
68,a581aaeb73a9ce7f6806eb1e56e319b6,1,2015-06-10
69,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-06-11
70,a581aaeb73a9ce7f6806eb1e56e319b6,17,2015-06-12
71,a581aaeb73a9ce7f6806eb1e56e319b6,11,2015-06-13
72,a581aaeb73a9ce7f6806eb1e56e319b6,10,2015-06-14
73,a581aaeb73a9ce7f6806eb1e56e319b6,7,2015-06-15
74,a581aaeb73a9ce7f6806eb1e56e319b6,8,2015-06-16
75,a581aaeb73a9ce7f6806eb1e56e319b6,7,2015-06-17
76,a581aaeb73a9ce7f6806eb1e56e319b6,8,2015-06-18
77,a581aaeb73a9ce7f6806eb1e56e319b6,4,2015-06-19
78,a581aaeb73a9ce7f6806eb1e56e319b6,4,2015-06-20
79,a581aaeb73a9ce7f6806eb1e56e319b6,13,2015-06-21
80,a581aaeb73a9ce7f6806eb1e56e319b6,4,2015-06-22
81,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-06-23
82,a581aaeb73a9ce7f6806eb1e56e319b6,9,2015-06-24
83,a581aaeb73a9ce7f6806eb1e56e319b6,3,2015-06-25
84,a581aaeb73a9ce7f6806eb1e56e319b6,14,2015-06-26
85,a581aaeb73a9ce7f6806eb1e56e319b6,5,2015-06-27
86,a581aaeb73a9ce7f6806eb1e56e319b6,2,2015-06-28
