,artist_id,down,ds
0,a77796848ccfc47059c04b22476e64c1,8,2015-03-02
1,a77796848ccfc47059c04b22476e64c1,2,2015-03-03
2,a77796848ccfc47059c04b22476e64c1,1,2015-03-04
3,a77796848ccfc47059c04b22476e64c1,1,2015-03-05
4,a77796848ccfc47059c04b22476e64c1,1,2015-03-06
5,a77796848ccfc47059c04b22476e64c1,2,2015-03-07
6,a77796848ccfc47059c04b22476e64c1,2,2015-03-08
7,a77796848ccfc47059c04b22476e64c1,1,2015-03-09
8,a77796848ccfc47059c04b22476e64c1,3,2015-03-12
9,a77796848ccfc47059c04b22476e64c1,1,2015-03-13
10,a77796848ccfc47059c04b22476e64c1,1,2015-03-14
11,a77796848ccfc47059c04b22476e64c1,6,2015-03-17
12,a77796848ccfc47059c04b22476e64c1,3,2015-03-18
13,a77796848ccfc47059c04b22476e64c1,4,2015-03-19
14,a77796848ccfc47059c04b22476e64c1,4,2015-03-20
15,a77796848ccfc47059c04b22476e64c1,3,2015-03-21
16,a77796848ccfc47059c04b22476e64c1,4,2015-03-22
17,a77796848ccfc47059c04b22476e64c1,1,2015-03-23
18,a77796848ccfc47059c04b22476e64c1,3,2015-03-24
19,a77796848ccfc47059c04b22476e64c1,7,2015-03-26
20,a77796848ccfc47059c04b22476e64c1,2,2015-03-27
21,a77796848ccfc47059c04b22476e64c1,9,2015-03-28
22,a77796848ccfc47059c04b22476e64c1,20,2015-03-29
23,a77796848ccfc47059c04b22476e64c1,8,2015-03-30
24,a77796848ccfc47059c04b22476e64c1,44,2015-03-31
25,a77796848ccfc47059c04b22476e64c1,28,2015-04-01
26,a77796848ccfc47059c04b22476e64c1,22,2015-04-02
27,a77796848ccfc47059c04b22476e64c1,29,2015-04-03
28,a77796848ccfc47059c04b22476e64c1,27,2015-04-04
29,a77796848ccfc47059c04b22476e64c1,15,2015-04-05
30,a77796848ccfc47059c04b22476e64c1,18,2015-04-06
31,a77796848ccfc47059c04b22476e64c1,33,2015-04-07
32,a77796848ccfc47059c04b22476e64c1,20,2015-04-08
33,a77796848ccfc47059c04b22476e64c1,25,2015-04-09
34,a77796848ccfc47059c04b22476e64c1,18,2015-04-10
35,a77796848ccfc47059c04b22476e64c1,33,2015-04-11
36,a77796848ccfc47059c04b22476e64c1,42,2015-04-12
37,a77796848ccfc47059c04b22476e64c1,38,2015-04-13
38,a77796848ccfc47059c04b22476e64c1,34,2015-04-14
39,a77796848ccfc47059c04b22476e64c1,36,2015-04-15
40,a77796848ccfc47059c04b22476e64c1,44,2015-04-16
41,a77796848ccfc47059c04b22476e64c1,33,2015-04-17
42,a77796848ccfc47059c04b22476e64c1,28,2015-04-18
43,a77796848ccfc47059c04b22476e64c1,39,2015-04-19
44,a77796848ccfc47059c04b22476e64c1,45,2015-04-20
45,a77796848ccfc47059c04b22476e64c1,21,2015-04-21
46,a77796848ccfc47059c04b22476e64c1,31,2015-04-22
47,a77796848ccfc47059c04b22476e64c1,32,2015-04-23
48,a77796848ccfc47059c04b22476e64c1,35,2015-04-24
49,a77796848ccfc47059c04b22476e64c1,45,2015-04-25
50,a77796848ccfc47059c04b22476e64c1,28,2015-04-26
51,a77796848ccfc47059c04b22476e64c1,53,2015-04-27
52,a77796848ccfc47059c04b22476e64c1,30,2015-04-28
53,a77796848ccfc47059c04b22476e64c1,28,2015-04-29
54,a77796848ccfc47059c04b22476e64c1,25,2015-04-30
55,a77796848ccfc47059c04b22476e64c1,32,2015-05-01
56,a77796848ccfc47059c04b22476e64c1,29,2015-05-02
57,a77796848ccfc47059c04b22476e64c1,28,2015-05-03
58,a77796848ccfc47059c04b22476e64c1,41,2015-05-04
59,a77796848ccfc47059c04b22476e64c1,26,2015-05-05
60,a77796848ccfc47059c04b22476e64c1,27,2015-05-06
61,a77796848ccfc47059c04b22476e64c1,39,2015-05-07
62,a77796848ccfc47059c04b22476e64c1,25,2015-05-08
63,a77796848ccfc47059c04b22476e64c1,31,2015-05-09
64,a77796848ccfc47059c04b22476e64c1,39,2015-05-10
65,a77796848ccfc47059c04b22476e64c1,56,2015-05-11
66,a77796848ccfc47059c04b22476e64c1,45,2015-05-12
67,a77796848ccfc47059c04b22476e64c1,24,2015-05-13
68,a77796848ccfc47059c04b22476e64c1,30,2015-05-14
69,a77796848ccfc47059c04b22476e64c1,33,2015-05-15
70,a77796848ccfc47059c04b22476e64c1,21,2015-05-16
71,a77796848ccfc47059c04b22476e64c1,39,2015-05-17
72,a77796848ccfc47059c04b22476e64c1,35,2015-05-18
73,a77796848ccfc47059c04b22476e64c1,49,2015-05-19
74,a77796848ccfc47059c04b22476e64c1,39,2015-05-20
75,a77796848ccfc47059c04b22476e64c1,29,2015-05-21
76,a77796848ccfc47059c04b22476e64c1,22,2015-05-22
77,a77796848ccfc47059c04b22476e64c1,31,2015-05-23
78,a77796848ccfc47059c04b22476e64c1,61,2015-05-24
79,a77796848ccfc47059c04b22476e64c1,31,2015-05-25
80,a77796848ccfc47059c04b22476e64c1,35,2015-05-26
81,a77796848ccfc47059c04b22476e64c1,20,2015-05-27
82,a77796848ccfc47059c04b22476e64c1,34,2015-05-28
83,a77796848ccfc47059c04b22476e64c1,24,2015-05-29
84,a77796848ccfc47059c04b22476e64c1,27,2015-05-30
85,a77796848ccfc47059c04b22476e64c1,32,2015-05-31
86,a77796848ccfc47059c04b22476e64c1,31,2015-06-01
87,a77796848ccfc47059c04b22476e64c1,28,2015-06-02
88,a77796848ccfc47059c04b22476e64c1,31,2015-06-03
89,a77796848ccfc47059c04b22476e64c1,39,2015-06-04
90,a77796848ccfc47059c04b22476e64c1,27,2015-06-05
91,a77796848ccfc47059c04b22476e64c1,44,2015-06-06
92,a77796848ccfc47059c04b22476e64c1,40,2015-06-07
93,a77796848ccfc47059c04b22476e64c1,39,2015-06-08
94,a77796848ccfc47059c04b22476e64c1,25,2015-06-09
95,a77796848ccfc47059c04b22476e64c1,38,2015-06-10
96,a77796848ccfc47059c04b22476e64c1,28,2015-06-11
97,a77796848ccfc47059c04b22476e64c1,38,2015-06-12
98,a77796848ccfc47059c04b22476e64c1,33,2015-06-13
99,a77796848ccfc47059c04b22476e64c1,12,2015-06-14
100,a77796848ccfc47059c04b22476e64c1,32,2015-06-15
101,a77796848ccfc47059c04b22476e64c1,21,2015-06-16
102,a77796848ccfc47059c04b22476e64c1,36,2015-06-17
103,a77796848ccfc47059c04b22476e64c1,47,2015-06-18
104,a77796848ccfc47059c04b22476e64c1,26,2015-06-19
105,a77796848ccfc47059c04b22476e64c1,23,2015-06-20
106,a77796848ccfc47059c04b22476e64c1,32,2015-06-21
107,a77796848ccfc47059c04b22476e64c1,30,2015-06-22
108,a77796848ccfc47059c04b22476e64c1,40,2015-06-23
109,a77796848ccfc47059c04b22476e64c1,36,2015-06-24
110,a77796848ccfc47059c04b22476e64c1,77,2015-06-25
111,a77796848ccfc47059c04b22476e64c1,37,2015-06-26
112,a77796848ccfc47059c04b22476e64c1,39,2015-06-27
113,a77796848ccfc47059c04b22476e64c1,37,2015-06-28
114,a77796848ccfc47059c04b22476e64c1,46,2015-06-29
115,a77796848ccfc47059c04b22476e64c1,59,2015-06-30
116,a77796848ccfc47059c04b22476e64c1,37,2015-07-01
117,a77796848ccfc47059c04b22476e64c1,37,2015-07-02
118,a77796848ccfc47059c04b22476e64c1,37,2015-07-03
119,a77796848ccfc47059c04b22476e64c1,31,2015-07-04
120,a77796848ccfc47059c04b22476e64c1,33,2015-07-05
121,a77796848ccfc47059c04b22476e64c1,51,2015-07-06
122,a77796848ccfc47059c04b22476e64c1,26,2015-07-07
123,a77796848ccfc47059c04b22476e64c1,39,2015-07-08
124,a77796848ccfc47059c04b22476e64c1,34,2015-07-09
125,a77796848ccfc47059c04b22476e64c1,42,2015-07-10
126,a77796848ccfc47059c04b22476e64c1,71,2015-07-11
