,artist_id,down,ds
0,b6a175a48743caed6d035444c069ab64,2,2015-03-28
1,b6a175a48743caed6d035444c069ab64,1,2015-03-29
2,b6a175a48743caed6d035444c069ab64,2,2015-03-30
3,b6a175a48743caed6d035444c069ab64,4,2015-03-31
4,b6a175a48743caed6d035444c069ab64,2,2015-04-01
5,b6a175a48743caed6d035444c069ab64,3,2015-04-02
6,b6a175a48743caed6d035444c069ab64,4,2015-04-03
7,b6a175a48743caed6d035444c069ab64,1,2015-04-04
8,b6a175a48743caed6d035444c069ab64,7,2015-04-05
9,b6a175a48743caed6d035444c069ab64,4,2015-04-06
10,b6a175a48743caed6d035444c069ab64,2,2015-04-07
11,b6a175a48743caed6d035444c069ab64,2,2015-04-08
12,b6a175a48743caed6d035444c069ab64,2,2015-04-09
13,b6a175a48743caed6d035444c069ab64,7,2015-04-10
14,b6a175a48743caed6d035444c069ab64,3,2015-04-11
15,b6a175a48743caed6d035444c069ab64,2,2015-04-12
16,b6a175a48743caed6d035444c069ab64,3,2015-04-13
17,b6a175a48743caed6d035444c069ab64,2,2015-04-14
18,b6a175a48743caed6d035444c069ab64,4,2015-04-15
19,b6a175a48743caed6d035444c069ab64,1,2015-04-16
20,b6a175a48743caed6d035444c069ab64,4,2015-04-17
21,b6a175a48743caed6d035444c069ab64,3,2015-04-18
22,b6a175a48743caed6d035444c069ab64,7,2015-04-19
23,b6a175a48743caed6d035444c069ab64,3,2015-04-20
24,b6a175a48743caed6d035444c069ab64,1,2015-04-21
25,b6a175a48743caed6d035444c069ab64,1,2015-04-23
26,b6a175a48743caed6d035444c069ab64,5,2015-04-24
27,b6a175a48743caed6d035444c069ab64,4,2015-04-25
28,b6a175a48743caed6d035444c069ab64,3,2015-04-26
29,b6a175a48743caed6d035444c069ab64,6,2015-04-27
30,b6a175a48743caed6d035444c069ab64,3,2015-04-28
31,b6a175a48743caed6d035444c069ab64,3,2015-04-29
32,b6a175a48743caed6d035444c069ab64,4,2015-04-30
33,b6a175a48743caed6d035444c069ab64,4,2015-05-01
34,b6a175a48743caed6d035444c069ab64,4,2015-05-02
35,b6a175a48743caed6d035444c069ab64,4,2015-05-03
36,b6a175a48743caed6d035444c069ab64,2,2015-05-04
37,b6a175a48743caed6d035444c069ab64,4,2015-05-06
38,b6a175a48743caed6d035444c069ab64,4,2015-05-07
39,b6a175a48743caed6d035444c069ab64,3,2015-05-08
40,b6a175a48743caed6d035444c069ab64,6,2015-05-10
41,b6a175a48743caed6d035444c069ab64,2,2015-05-11
42,b6a175a48743caed6d035444c069ab64,6,2015-05-12
43,b6a175a48743caed6d035444c069ab64,2,2015-05-13
44,b6a175a48743caed6d035444c069ab64,6,2015-05-14
45,b6a175a48743caed6d035444c069ab64,2,2015-05-15
46,b6a175a48743caed6d035444c069ab64,1,2015-05-16
47,b6a175a48743caed6d035444c069ab64,5,2015-05-17
48,b6a175a48743caed6d035444c069ab64,4,2015-05-18
49,b6a175a48743caed6d035444c069ab64,1,2015-05-19
50,b6a175a48743caed6d035444c069ab64,2,2015-05-20
51,b6a175a48743caed6d035444c069ab64,1,2015-05-23
52,b6a175a48743caed6d035444c069ab64,1,2015-05-24
53,b6a175a48743caed6d035444c069ab64,1,2015-05-25
54,b6a175a48743caed6d035444c069ab64,1,2015-05-26
55,b6a175a48743caed6d035444c069ab64,2,2015-05-27
56,b6a175a48743caed6d035444c069ab64,5,2015-05-28
57,b6a175a48743caed6d035444c069ab64,2,2015-05-29
58,b6a175a48743caed6d035444c069ab64,1,2015-05-30
59,b6a175a48743caed6d035444c069ab64,6,2015-05-31
60,b6a175a48743caed6d035444c069ab64,3,2015-06-01
61,b6a175a48743caed6d035444c069ab64,4,2015-06-03
62,b6a175a48743caed6d035444c069ab64,1,2015-06-04
63,b6a175a48743caed6d035444c069ab64,6,2015-06-05
64,b6a175a48743caed6d035444c069ab64,1,2015-06-06
65,b6a175a48743caed6d035444c069ab64,7,2015-06-07
66,b6a175a48743caed6d035444c069ab64,4,2015-06-08
67,b6a175a48743caed6d035444c069ab64,2,2015-06-09
68,b6a175a48743caed6d035444c069ab64,3,2015-06-10
69,b6a175a48743caed6d035444c069ab64,5,2015-06-11
70,b6a175a48743caed6d035444c069ab64,2,2015-06-12
71,b6a175a48743caed6d035444c069ab64,5,2015-06-13
72,b6a175a48743caed6d035444c069ab64,5,2015-06-14
73,b6a175a48743caed6d035444c069ab64,26,2015-06-15
74,b6a175a48743caed6d035444c069ab64,1,2015-06-16
75,b6a175a48743caed6d035444c069ab64,1,2015-06-17
76,b6a175a48743caed6d035444c069ab64,3,2015-06-18
77,b6a175a48743caed6d035444c069ab64,4,2015-06-19
78,b6a175a48743caed6d035444c069ab64,3,2015-06-20
79,b6a175a48743caed6d035444c069ab64,1,2015-06-21
80,b6a175a48743caed6d035444c069ab64,3,2015-06-22
81,b6a175a48743caed6d035444c069ab64,7,2015-06-23
82,b6a175a48743caed6d035444c069ab64,2,2015-06-24
83,b6a175a48743caed6d035444c069ab64,4,2015-06-25
84,b6a175a48743caed6d035444c069ab64,6,2015-06-26
85,b6a175a48743caed6d035444c069ab64,1,2015-06-27
86,b6a175a48743caed6d035444c069ab64,4,2015-06-28
87,b6a175a48743caed6d035444c069ab64,6,2015-06-30
88,b6a175a48743caed6d035444c069ab64,2,2015-07-01
89,b6a175a48743caed6d035444c069ab64,5,2015-07-02
90,b6a175a48743caed6d035444c069ab64,4,2015-07-03
91,b6a175a48743caed6d035444c069ab64,2,2015-07-04
92,b6a175a48743caed6d035444c069ab64,1,2015-07-05
93,b6a175a48743caed6d035444c069ab64,3,2015-07-06
94,b6a175a48743caed6d035444c069ab64,2,2015-07-07
95,b6a175a48743caed6d035444c069ab64,1,2015-07-08
96,b6a175a48743caed6d035444c069ab64,5,2015-07-09
97,b6a175a48743caed6d035444c069ab64,8,2015-07-10
98,b6a175a48743caed6d035444c069ab64,5,2015-07-11
99,b6a175a48743caed6d035444c069ab64,2,2015-07-12
100,b6a175a48743caed6d035444c069ab64,2,2015-07-13
101,b6a175a48743caed6d035444c069ab64,2,2015-07-14
102,b6a175a48743caed6d035444c069ab64,1,2015-07-15
103,b6a175a48743caed6d035444c069ab64,6,2015-07-16
104,b6a175a48743caed6d035444c069ab64,5,2015-07-17
105,b6a175a48743caed6d035444c069ab64,1,2015-07-18
106,b6a175a48743caed6d035444c069ab64,3,2015-07-19
107,b6a175a48743caed6d035444c069ab64,2,2015-07-21
108,b6a175a48743caed6d035444c069ab64,1,2015-07-22
109,b6a175a48743caed6d035444c069ab64,2,2015-07-23
110,b6a175a48743caed6d035444c069ab64,5,2015-07-24
111,b6a175a48743caed6d035444c069ab64,2,2015-07-25
112,b6a175a48743caed6d035444c069ab64,6,2015-07-26
113,b6a175a48743caed6d035444c069ab64,4,2015-07-27
114,b6a175a48743caed6d035444c069ab64,2,2015-07-28
115,b6a175a48743caed6d035444c069ab64,2,2015-07-29
116,b6a175a48743caed6d035444c069ab64,6,2015-07-30
117,b6a175a48743caed6d035444c069ab64,3,2015-07-31
118,b6a175a48743caed6d035444c069ab64,1,2015-08-01
119,b6a175a48743caed6d035444c069ab64,1,2015-08-02
120,b6a175a48743caed6d035444c069ab64,7,2015-08-03
121,b6a175a48743caed6d035444c069ab64,3,2015-08-04
122,b6a175a48743caed6d035444c069ab64,3,2015-08-05
123,b6a175a48743caed6d035444c069ab64,4,2015-08-06
124,b6a175a48743caed6d035444c069ab64,3,2015-08-08
125,b6a175a48743caed6d035444c069ab64,3,2015-08-09
126,b6a175a48743caed6d035444c069ab64,3,2015-08-10
127,b6a175a48743caed6d035444c069ab64,4,2015-08-11
128,b6a175a48743caed6d035444c069ab64,3,2015-08-12
129,b6a175a48743caed6d035444c069ab64,4,2015-08-13
130,b6a175a48743caed6d035444c069ab64,1,2015-08-15
131,b6a175a48743caed6d035444c069ab64,4,2015-08-16
132,b6a175a48743caed6d035444c069ab64,2,2015-08-17
133,b6a175a48743caed6d035444c069ab64,5,2015-08-18
134,b6a175a48743caed6d035444c069ab64,4,2015-08-19
135,b6a175a48743caed6d035444c069ab64,1,2015-08-20
136,b6a175a48743caed6d035444c069ab64,8,2015-08-21
137,b6a175a48743caed6d035444c069ab64,6,2015-08-22
138,b6a175a48743caed6d035444c069ab64,5,2015-08-23
139,b6a175a48743caed6d035444c069ab64,3,2015-08-24
140,b6a175a48743caed6d035444c069ab64,3,2015-08-25
141,b6a175a48743caed6d035444c069ab64,1,2015-08-26
142,b6a175a48743caed6d035444c069ab64,7,2015-08-27
143,b6a175a48743caed6d035444c069ab64,2,2015-08-28
144,b6a175a48743caed6d035444c069ab64,4,2015-08-29
145,b6a175a48743caed6d035444c069ab64,3,2015-08-30
