,artist_id,down,ds
0,bf21d16799b240d6e445fa30472bd50b,1,2015-03-04
1,bf21d16799b240d6e445fa30472bd50b,1,2015-04-01
2,bf21d16799b240d6e445fa30472bd50b,2,2015-04-05
3,bf21d16799b240d6e445fa30472bd50b,1,2015-04-06
4,bf21d16799b240d6e445fa30472bd50b,2,2015-04-20
5,bf21d16799b240d6e445fa30472bd50b,1,2015-04-25
6,bf21d16799b240d6e445fa30472bd50b,2,2015-04-29
7,bf21d16799b240d6e445fa30472bd50b,1,2015-05-06
8,bf21d16799b240d6e445fa30472bd50b,1,2015-05-08
9,bf21d16799b240d6e445fa30472bd50b,1,2015-05-10
10,bf21d16799b240d6e445fa30472bd50b,1,2015-05-14
11,bf21d16799b240d6e445fa30472bd50b,1,2015-05-16
12,bf21d16799b240d6e445fa30472bd50b,2,2015-05-21
13,bf21d16799b240d6e445fa30472bd50b,3,2015-05-23
14,bf21d16799b240d6e445fa30472bd50b,1,2015-05-27
15,bf21d16799b240d6e445fa30472bd50b,2,2015-05-31
16,bf21d16799b240d6e445fa30472bd50b,1,2015-06-02
17,bf21d16799b240d6e445fa30472bd50b,1,2015-06-03
18,bf21d16799b240d6e445fa30472bd50b,5,2015-06-05
19,bf21d16799b240d6e445fa30472bd50b,1,2015-06-11
20,bf21d16799b240d6e445fa30472bd50b,1,2015-06-13
21,bf21d16799b240d6e445fa30472bd50b,1,2015-06-14
22,bf21d16799b240d6e445fa30472bd50b,1,2015-06-17
23,bf21d16799b240d6e445fa30472bd50b,1,2015-06-24
24,bf21d16799b240d6e445fa30472bd50b,1,2015-06-30
25,bf21d16799b240d6e445fa30472bd50b,1,2015-07-04
26,bf21d16799b240d6e445fa30472bd50b,1,2015-07-05
27,bf21d16799b240d6e445fa30472bd50b,1,2015-07-19
28,bf21d16799b240d6e445fa30472bd50b,1,2015-07-21
29,bf21d16799b240d6e445fa30472bd50b,1,2015-07-22
30,bf21d16799b240d6e445fa30472bd50b,1,2015-07-23
31,bf21d16799b240d6e445fa30472bd50b,1,2015-07-25
32,bf21d16799b240d6e445fa30472bd50b,1,2015-07-28
33,bf21d16799b240d6e445fa30472bd50b,1,2015-07-30
34,bf21d16799b240d6e445fa30472bd50b,1,2015-08-01
35,bf21d16799b240d6e445fa30472bd50b,1,2015-08-04
36,bf21d16799b240d6e445fa30472bd50b,2,2015-08-05
37,bf21d16799b240d6e445fa30472bd50b,1,2015-08-07
38,bf21d16799b240d6e445fa30472bd50b,1,2015-08-09
39,bf21d16799b240d6e445fa30472bd50b,1,2015-08-12
40,bf21d16799b240d6e445fa30472bd50b,3,2015-08-19
41,bf21d16799b240d6e445fa30472bd50b,1,2015-08-21
42,bf21d16799b240d6e445fa30472bd50b,1,2015-08-26
43,bf21d16799b240d6e445fa30472bd50b,1,2015-08-28
44,bf21d16799b240d6e445fa30472bd50b,1,2015-08-29
