,artist_id,down,ds
0,c026b84e8f23a7741d9b670e3d8973f0,2,2015-03-02
1,c026b84e8f23a7741d9b670e3d8973f0,1,2015-03-03
2,c026b84e8f23a7741d9b670e3d8973f0,1,2015-03-07
3,c026b84e8f23a7741d9b670e3d8973f0,1,2015-03-10
4,c026b84e8f23a7741d9b670e3d8973f0,1,2015-03-15
5,c026b84e8f23a7741d9b670e3d8973f0,4,2015-03-30
6,c026b84e8f23a7741d9b670e3d8973f0,2,2015-03-31
7,c026b84e8f23a7741d9b670e3d8973f0,1,2015-04-01
8,c026b84e8f23a7741d9b670e3d8973f0,2,2015-04-03
9,c026b84e8f23a7741d9b670e3d8973f0,9,2015-04-04
10,c026b84e8f23a7741d9b670e3d8973f0,2,2015-04-05
11,c026b84e8f23a7741d9b670e3d8973f0,1,2015-04-06
12,c026b84e8f23a7741d9b670e3d8973f0,2,2015-04-07
13,c026b84e8f23a7741d9b670e3d8973f0,5,2015-04-08
14,c026b84e8f23a7741d9b670e3d8973f0,2,2015-04-09
15,c026b84e8f23a7741d9b670e3d8973f0,1,2015-04-10
16,c026b84e8f23a7741d9b670e3d8973f0,1,2015-04-11
17,c026b84e8f23a7741d9b670e3d8973f0,3,2015-04-12
18,c026b84e8f23a7741d9b670e3d8973f0,5,2015-04-13
19,c026b84e8f23a7741d9b670e3d8973f0,3,2015-04-14
20,c026b84e8f23a7741d9b670e3d8973f0,9,2015-04-15
21,c026b84e8f23a7741d9b670e3d8973f0,4,2015-04-16
22,c026b84e8f23a7741d9b670e3d8973f0,3,2015-04-17
23,c026b84e8f23a7741d9b670e3d8973f0,3,2015-04-18
24,c026b84e8f23a7741d9b670e3d8973f0,2,2015-04-19
25,c026b84e8f23a7741d9b670e3d8973f0,2,2015-04-20
26,c026b84e8f23a7741d9b670e3d8973f0,1,2015-04-21
27,c026b84e8f23a7741d9b670e3d8973f0,7,2015-04-23
28,c026b84e8f23a7741d9b670e3d8973f0,4,2015-04-24
29,c026b84e8f23a7741d9b670e3d8973f0,5,2015-04-25
30,c026b84e8f23a7741d9b670e3d8973f0,4,2015-04-26
31,c026b84e8f23a7741d9b670e3d8973f0,3,2015-04-27
32,c026b84e8f23a7741d9b670e3d8973f0,4,2015-04-28
33,c026b84e8f23a7741d9b670e3d8973f0,6,2015-04-29
34,c026b84e8f23a7741d9b670e3d8973f0,5,2015-04-30
35,c026b84e8f23a7741d9b670e3d8973f0,10,2015-05-01
36,c026b84e8f23a7741d9b670e3d8973f0,8,2015-05-02
37,c026b84e8f23a7741d9b670e3d8973f0,6,2015-05-03
38,c026b84e8f23a7741d9b670e3d8973f0,5,2015-05-04
39,c026b84e8f23a7741d9b670e3d8973f0,3,2015-05-05
40,c026b84e8f23a7741d9b670e3d8973f0,4,2015-05-06
41,c026b84e8f23a7741d9b670e3d8973f0,16,2015-05-07
