,artist_id,down,ds
0,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150302
1,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150310
2,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150317
3,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150324
4,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150331
5,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150401
6,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150402
7,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150403
8,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150406
9,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150408
10,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150410
11,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150411
12,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150413
13,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150414
14,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150415
15,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150417
16,ca6db6d4f02b7b946c57fc389e67dd7e,4,20150418
17,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150419
18,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150421
19,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150422
20,ca6db6d4f02b7b946c57fc389e67dd7e,4,20150423
21,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150424
22,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150426
23,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150427
24,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150428
25,ca6db6d4f02b7b946c57fc389e67dd7e,6,20150429
26,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150501
27,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150502
28,ca6db6d4f02b7b946c57fc389e67dd7e,5,20150504
29,ca6db6d4f02b7b946c57fc389e67dd7e,4,20150505
30,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150507
31,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150508
32,ca6db6d4f02b7b946c57fc389e67dd7e,6,20150509
33,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150510
34,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150511
35,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150513
36,ca6db6d4f02b7b946c57fc389e67dd7e,5,20150514
37,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150520
38,ca6db6d4f02b7b946c57fc389e67dd7e,13,20150521
39,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150522
40,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150523
41,ca6db6d4f02b7b946c57fc389e67dd7e,10,20150524
42,ca6db6d4f02b7b946c57fc389e67dd7e,8,20150525
43,ca6db6d4f02b7b946c57fc389e67dd7e,6,20150526
44,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150527
45,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150529
46,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150530
47,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150531
48,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150602
49,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150603
50,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150604
51,ca6db6d4f02b7b946c57fc389e67dd7e,5,20150605
52,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150606
53,ca6db6d4f02b7b946c57fc389e67dd7e,10,20150607
54,ca6db6d4f02b7b946c57fc389e67dd7e,4,20150608
55,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150609
56,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150611
57,ca6db6d4f02b7b946c57fc389e67dd7e,4,20150612
58,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150613
59,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150614
60,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150615
61,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150617
62,ca6db6d4f02b7b946c57fc389e67dd7e,6,20150618
63,ca6db6d4f02b7b946c57fc389e67dd7e,5,20150619
64,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150620
65,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150621
66,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150623
67,ca6db6d4f02b7b946c57fc389e67dd7e,14,20150624
68,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150625
69,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150626
70,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150627
71,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150628
72,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150629
73,ca6db6d4f02b7b946c57fc389e67dd7e,7,20150630
74,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150701
75,ca6db6d4f02b7b946c57fc389e67dd7e,4,20150702
76,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150703
77,ca6db6d4f02b7b946c57fc389e67dd7e,8,20150704
78,ca6db6d4f02b7b946c57fc389e67dd7e,11,20150705
79,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150706
80,ca6db6d4f02b7b946c57fc389e67dd7e,6,20150707
81,ca6db6d4f02b7b946c57fc389e67dd7e,7,20150708
82,ca6db6d4f02b7b946c57fc389e67dd7e,7,20150709
83,ca6db6d4f02b7b946c57fc389e67dd7e,6,20150710
84,ca6db6d4f02b7b946c57fc389e67dd7e,9,20150711
85,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150712
86,ca6db6d4f02b7b946c57fc389e67dd7e,13,20150713
87,ca6db6d4f02b7b946c57fc389e67dd7e,10,20150715
88,ca6db6d4f02b7b946c57fc389e67dd7e,22,20150716
89,ca6db6d4f02b7b946c57fc389e67dd7e,5,20150717
90,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150718
91,ca6db6d4f02b7b946c57fc389e67dd7e,18,20150719
92,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150720
93,ca6db6d4f02b7b946c57fc389e67dd7e,12,20150722
94,ca6db6d4f02b7b946c57fc389e67dd7e,6,20150723
95,ca6db6d4f02b7b946c57fc389e67dd7e,28,20150724
96,ca6db6d4f02b7b946c57fc389e67dd7e,7,20150725
97,ca6db6d4f02b7b946c57fc389e67dd7e,6,20150726
98,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150727
99,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150728
100,ca6db6d4f02b7b946c57fc389e67dd7e,8,20150729
101,ca6db6d4f02b7b946c57fc389e67dd7e,8,20150730
102,ca6db6d4f02b7b946c57fc389e67dd7e,7,20150731
103,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150801
104,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150802
105,ca6db6d4f02b7b946c57fc389e67dd7e,10,20150803
106,ca6db6d4f02b7b946c57fc389e67dd7e,5,20150804
107,ca6db6d4f02b7b946c57fc389e67dd7e,12,20150805
108,ca6db6d4f02b7b946c57fc389e67dd7e,9,20150806
109,ca6db6d4f02b7b946c57fc389e67dd7e,6,20150807
110,ca6db6d4f02b7b946c57fc389e67dd7e,4,20150808
111,ca6db6d4f02b7b946c57fc389e67dd7e,6,20150809
112,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150810
113,ca6db6d4f02b7b946c57fc389e67dd7e,4,20150811
114,ca6db6d4f02b7b946c57fc389e67dd7e,3,20150812
115,ca6db6d4f02b7b946c57fc389e67dd7e,7,20150813
116,ca6db6d4f02b7b946c57fc389e67dd7e,2,20150814
117,ca6db6d4f02b7b946c57fc389e67dd7e,1,20150815
118,ca6db6d4f02b7b946c57fc389e67dd7e,4,20150816
119,ca6db6d4f02b7b946c57fc389e67dd7e,8,20150817
