,artist_id,down,ds
0,cd5ce8f47e50971ddb629d86a0bc34f2,1,2015-03-01
1,cd5ce8f47e50971ddb629d86a0bc34f2,6,2015-03-02
2,cd5ce8f47e50971ddb629d86a0bc34f2,1,2015-03-12
3,cd5ce8f47e50971ddb629d86a0bc34f2,2,2015-03-13
4,cd5ce8f47e50971ddb629d86a0bc34f2,2,2015-03-14
5,cd5ce8f47e50971ddb629d86a0bc34f2,3,2015-03-15
6,cd5ce8f47e50971ddb629d86a0bc34f2,1,2015-03-18
7,cd5ce8f47e50971ddb629d86a0bc34f2,3,2015-03-21
8,cd5ce8f47e50971ddb629d86a0bc34f2,3,2015-03-23
9,cd5ce8f47e50971ddb629d86a0bc34f2,3,2015-03-24
10,cd5ce8f47e50971ddb629d86a0bc34f2,1,2015-03-26
11,cd5ce8f47e50971ddb629d86a0bc34f2,6,2015-03-28
12,cd5ce8f47e50971ddb629d86a0bc34f2,2,2015-03-29
13,cd5ce8f47e50971ddb629d86a0bc34f2,11,2015-03-30
14,cd5ce8f47e50971ddb629d86a0bc34f2,16,2015-03-31
15,cd5ce8f47e50971ddb629d86a0bc34f2,18,2015-04-01
16,cd5ce8f47e50971ddb629d86a0bc34f2,23,2015-04-02
17,cd5ce8f47e50971ddb629d86a0bc34f2,37,2015-04-03
18,cd5ce8f47e50971ddb629d86a0bc34f2,11,2015-04-04
19,cd5ce8f47e50971ddb629d86a0bc34f2,16,2015-04-05
20,cd5ce8f47e50971ddb629d86a0bc34f2,18,2015-04-06
21,cd5ce8f47e50971ddb629d86a0bc34f2,9,2015-04-07
22,cd5ce8f47e50971ddb629d86a0bc34f2,13,2015-04-08
23,cd5ce8f47e50971ddb629d86a0bc34f2,30,2015-04-09
24,cd5ce8f47e50971ddb629d86a0bc34f2,17,2015-04-10
25,cd5ce8f47e50971ddb629d86a0bc34f2,62,2015-04-11
26,cd5ce8f47e50971ddb629d86a0bc34f2,34,2015-04-12
27,cd5ce8f47e50971ddb629d86a0bc34f2,17,2015-04-13
28,cd5ce8f47e50971ddb629d86a0bc34f2,20,2015-04-14
29,cd5ce8f47e50971ddb629d86a0bc34f2,10,2015-04-15
30,cd5ce8f47e50971ddb629d86a0bc34f2,9,2015-04-16
31,cd5ce8f47e50971ddb629d86a0bc34f2,31,2015-04-17
32,cd5ce8f47e50971ddb629d86a0bc34f2,18,2015-04-18
33,cd5ce8f47e50971ddb629d86a0bc34f2,14,2015-04-19
34,cd5ce8f47e50971ddb629d86a0bc34f2,24,2015-04-20
35,cd5ce8f47e50971ddb629d86a0bc34f2,18,2015-04-21
36,cd5ce8f47e50971ddb629d86a0bc34f2,18,2015-04-22
37,cd5ce8f47e50971ddb629d86a0bc34f2,21,2015-04-23
38,cd5ce8f47e50971ddb629d86a0bc34f2,15,2015-04-24
39,cd5ce8f47e50971ddb629d86a0bc34f2,20,2015-04-25
40,cd5ce8f47e50971ddb629d86a0bc34f2,19,2015-04-26
41,cd5ce8f47e50971ddb629d86a0bc34f2,25,2015-04-27
42,cd5ce8f47e50971ddb629d86a0bc34f2,48,2015-04-28
43,cd5ce8f47e50971ddb629d86a0bc34f2,9,2015-04-29
44,cd5ce8f47e50971ddb629d86a0bc34f2,11,2015-04-30
45,cd5ce8f47e50971ddb629d86a0bc34f2,14,2015-05-01
46,cd5ce8f47e50971ddb629d86a0bc34f2,25,2015-05-02
47,cd5ce8f47e50971ddb629d86a0bc34f2,11,2015-05-03
48,cd5ce8f47e50971ddb629d86a0bc34f2,17,2015-05-04
49,cd5ce8f47e50971ddb629d86a0bc34f2,15,2015-05-05
50,cd5ce8f47e50971ddb629d86a0bc34f2,16,2015-05-06
51,cd5ce8f47e50971ddb629d86a0bc34f2,26,2015-05-07
52,cd5ce8f47e50971ddb629d86a0bc34f2,27,2015-05-08
53,cd5ce8f47e50971ddb629d86a0bc34f2,44,2015-05-09
54,cd5ce8f47e50971ddb629d86a0bc34f2,36,2015-05-10
55,cd5ce8f47e50971ddb629d86a0bc34f2,28,2015-05-11
56,cd5ce8f47e50971ddb629d86a0bc34f2,7,2015-05-12
57,cd5ce8f47e50971ddb629d86a0bc34f2,25,2015-05-13
58,cd5ce8f47e50971ddb629d86a0bc34f2,5,2015-05-14
59,cd5ce8f47e50971ddb629d86a0bc34f2,14,2015-05-15
60,cd5ce8f47e50971ddb629d86a0bc34f2,23,2015-05-16
61,cd5ce8f47e50971ddb629d86a0bc34f2,46,2015-05-17
62,cd5ce8f47e50971ddb629d86a0bc34f2,16,2015-05-18
63,cd5ce8f47e50971ddb629d86a0bc34f2,17,2015-05-19
64,cd5ce8f47e50971ddb629d86a0bc34f2,18,2015-05-20
65,cd5ce8f47e50971ddb629d86a0bc34f2,16,2015-05-21
66,cd5ce8f47e50971ddb629d86a0bc34f2,21,2015-05-22
67,cd5ce8f47e50971ddb629d86a0bc34f2,23,2015-05-23
68,cd5ce8f47e50971ddb629d86a0bc34f2,24,2015-05-24
69,cd5ce8f47e50971ddb629d86a0bc34f2,22,2015-05-25
70,cd5ce8f47e50971ddb629d86a0bc34f2,21,2015-05-26
71,cd5ce8f47e50971ddb629d86a0bc34f2,18,2015-05-27
72,cd5ce8f47e50971ddb629d86a0bc34f2,15,2015-05-28
73,cd5ce8f47e50971ddb629d86a0bc34f2,25,2015-05-29
74,cd5ce8f47e50971ddb629d86a0bc34f2,39,2015-05-30
75,cd5ce8f47e50971ddb629d86a0bc34f2,13,2015-05-31
76,cd5ce8f47e50971ddb629d86a0bc34f2,10,2015-06-01
77,cd5ce8f47e50971ddb629d86a0bc34f2,15,2015-06-02
78,cd5ce8f47e50971ddb629d86a0bc34f2,10,2015-06-03
79,cd5ce8f47e50971ddb629d86a0bc34f2,23,2015-06-04
80,cd5ce8f47e50971ddb629d86a0bc34f2,24,2015-06-05
81,cd5ce8f47e50971ddb629d86a0bc34f2,29,2015-06-06
82,cd5ce8f47e50971ddb629d86a0bc34f2,15,2015-06-07
83,cd5ce8f47e50971ddb629d86a0bc34f2,16,2015-06-08
84,cd5ce8f47e50971ddb629d86a0bc34f2,20,2015-06-09
85,cd5ce8f47e50971ddb629d86a0bc34f2,10,2015-06-10
86,cd5ce8f47e50971ddb629d86a0bc34f2,23,2015-06-11
87,cd5ce8f47e50971ddb629d86a0bc34f2,8,2015-06-12
88,cd5ce8f47e50971ddb629d86a0bc34f2,13,2015-06-13
89,cd5ce8f47e50971ddb629d86a0bc34f2,16,2015-06-14
90,cd5ce8f47e50971ddb629d86a0bc34f2,18,2015-06-15
91,cd5ce8f47e50971ddb629d86a0bc34f2,17,2015-06-16
92,cd5ce8f47e50971ddb629d86a0bc34f2,23,2015-06-17
93,cd5ce8f47e50971ddb629d86a0bc34f2,9,2015-06-18
94,cd5ce8f47e50971ddb629d86a0bc34f2,22,2015-06-19
95,cd5ce8f47e50971ddb629d86a0bc34f2,14,2015-06-20
96,cd5ce8f47e50971ddb629d86a0bc34f2,21,2015-06-21
97,cd5ce8f47e50971ddb629d86a0bc34f2,22,2015-06-22
98,cd5ce8f47e50971ddb629d86a0bc34f2,19,2015-06-23
99,cd5ce8f47e50971ddb629d86a0bc34f2,17,2015-06-24
100,cd5ce8f47e50971ddb629d86a0bc34f2,32,2015-06-25
101,cd5ce8f47e50971ddb629d86a0bc34f2,15,2015-06-26
102,cd5ce8f47e50971ddb629d86a0bc34f2,22,2015-06-27
