,artist_id,down,ds
0,d773376e46311393cd89994bf9a93043,1,2015-03-01
1,d773376e46311393cd89994bf9a93043,1,2015-03-05
2,d773376e46311393cd89994bf9a93043,1,2015-03-07
3,d773376e46311393cd89994bf9a93043,1,2015-03-11
4,d773376e46311393cd89994bf9a93043,1,2015-03-14
5,d773376e46311393cd89994bf9a93043,1,2015-03-16
6,d773376e46311393cd89994bf9a93043,1,2015-03-21
7,d773376e46311393cd89994bf9a93043,3,2015-03-22
8,d773376e46311393cd89994bf9a93043,1,2015-03-23
9,d773376e46311393cd89994bf9a93043,1,2015-03-24
10,d773376e46311393cd89994bf9a93043,2,2015-03-25
11,d773376e46311393cd89994bf9a93043,1,2015-03-26
12,d773376e46311393cd89994bf9a93043,3,2015-03-27
13,d773376e46311393cd89994bf9a93043,3,2015-03-29
14,d773376e46311393cd89994bf9a93043,8,2015-03-30
15,d773376e46311393cd89994bf9a93043,6,2015-03-31
16,d773376e46311393cd89994bf9a93043,11,2015-04-01
17,d773376e46311393cd89994bf9a93043,6,2015-04-02
18,d773376e46311393cd89994bf9a93043,3,2015-04-03
19,d773376e46311393cd89994bf9a93043,6,2015-04-04
20,d773376e46311393cd89994bf9a93043,14,2015-04-05
21,d773376e46311393cd89994bf9a93043,10,2015-04-06
22,d773376e46311393cd89994bf9a93043,7,2015-04-07
23,d773376e46311393cd89994bf9a93043,7,2015-04-08
24,d773376e46311393cd89994bf9a93043,10,2015-04-09
25,d773376e46311393cd89994bf9a93043,3,2015-04-10
26,d773376e46311393cd89994bf9a93043,10,2015-04-11
27,d773376e46311393cd89994bf9a93043,7,2015-04-12
28,d773376e46311393cd89994bf9a93043,4,2015-04-13
29,d773376e46311393cd89994bf9a93043,11,2015-04-14
30,d773376e46311393cd89994bf9a93043,25,2015-04-15
31,d773376e46311393cd89994bf9a93043,10,2015-04-16
32,d773376e46311393cd89994bf9a93043,12,2015-04-17
33,d773376e46311393cd89994bf9a93043,6,2015-04-18
34,d773376e46311393cd89994bf9a93043,8,2015-04-19
35,d773376e46311393cd89994bf9a93043,9,2015-04-20
36,d773376e46311393cd89994bf9a93043,2,2015-04-21
37,d773376e46311393cd89994bf9a93043,8,2015-04-22
38,d773376e46311393cd89994bf9a93043,3,2015-04-23
39,d773376e46311393cd89994bf9a93043,17,2015-04-24
40,d773376e46311393cd89994bf9a93043,2,2015-04-25
41,d773376e46311393cd89994bf9a93043,7,2015-04-26
42,d773376e46311393cd89994bf9a93043,9,2015-04-27
43,d773376e46311393cd89994bf9a93043,8,2015-04-28
44,d773376e46311393cd89994bf9a93043,11,2015-04-29
45,d773376e46311393cd89994bf9a93043,7,2015-04-30
46,d773376e46311393cd89994bf9a93043,11,2015-05-01
47,d773376e46311393cd89994bf9a93043,11,2015-05-02
48,d773376e46311393cd89994bf9a93043,15,2015-05-03
49,d773376e46311393cd89994bf9a93043,5,2015-05-04
50,d773376e46311393cd89994bf9a93043,8,2015-05-05
51,d773376e46311393cd89994bf9a93043,3,2015-05-06
52,d773376e46311393cd89994bf9a93043,5,2015-05-07
53,d773376e46311393cd89994bf9a93043,20,2015-05-08
54,d773376e46311393cd89994bf9a93043,3,2015-05-09
55,d773376e46311393cd89994bf9a93043,15,2015-05-10
56,d773376e46311393cd89994bf9a93043,15,2015-05-11
57,d773376e46311393cd89994bf9a93043,12,2015-05-12
58,d773376e46311393cd89994bf9a93043,6,2015-05-13
59,d773376e46311393cd89994bf9a93043,7,2015-05-15
60,d773376e46311393cd89994bf9a93043,3,2015-05-16
61,d773376e46311393cd89994bf9a93043,5,2015-05-17
62,d773376e46311393cd89994bf9a93043,14,2015-05-18
63,d773376e46311393cd89994bf9a93043,16,2015-05-19
64,d773376e46311393cd89994bf9a93043,9,2015-05-20
65,d773376e46311393cd89994bf9a93043,5,2015-05-21
66,d773376e46311393cd89994bf9a93043,8,2015-05-22
67,d773376e46311393cd89994bf9a93043,8,2015-05-23
68,d773376e46311393cd89994bf9a93043,3,2015-05-24
69,d773376e46311393cd89994bf9a93043,4,2015-05-25
70,d773376e46311393cd89994bf9a93043,9,2015-05-26
71,d773376e46311393cd89994bf9a93043,7,2015-05-27
72,d773376e46311393cd89994bf9a93043,17,2015-05-28
73,d773376e46311393cd89994bf9a93043,11,2015-05-29
74,d773376e46311393cd89994bf9a93043,6,2015-05-30
75,d773376e46311393cd89994bf9a93043,5,2015-05-31
76,d773376e46311393cd89994bf9a93043,14,2015-06-01
77,d773376e46311393cd89994bf9a93043,6,2015-06-02
78,d773376e46311393cd89994bf9a93043,5,2015-06-03
79,d773376e46311393cd89994bf9a93043,7,2015-06-04
80,d773376e46311393cd89994bf9a93043,3,2015-06-05
81,d773376e46311393cd89994bf9a93043,14,2015-06-06
82,d773376e46311393cd89994bf9a93043,7,2015-06-07
83,d773376e46311393cd89994bf9a93043,9,2015-06-08
84,d773376e46311393cd89994bf9a93043,15,2015-06-09
85,d773376e46311393cd89994bf9a93043,3,2015-06-10
86,d773376e46311393cd89994bf9a93043,10,2015-06-11
87,d773376e46311393cd89994bf9a93043,5,2015-06-12
88,d773376e46311393cd89994bf9a93043,7,2015-06-13
89,d773376e46311393cd89994bf9a93043,5,2015-06-14
90,d773376e46311393cd89994bf9a93043,7,2015-06-15
91,d773376e46311393cd89994bf9a93043,7,2015-06-16
92,d773376e46311393cd89994bf9a93043,18,2015-06-17
93,d773376e46311393cd89994bf9a93043,7,2015-06-18
94,d773376e46311393cd89994bf9a93043,5,2015-06-19
95,d773376e46311393cd89994bf9a93043,3,2015-06-20
96,d773376e46311393cd89994bf9a93043,3,2015-06-21
97,d773376e46311393cd89994bf9a93043,11,2015-06-22
98,d773376e46311393cd89994bf9a93043,8,2015-06-23
99,d773376e46311393cd89994bf9a93043,7,2015-06-24
100,d773376e46311393cd89994bf9a93043,3,2015-06-25
101,d773376e46311393cd89994bf9a93043,6,2015-06-26
102,d773376e46311393cd89994bf9a93043,5,2015-06-27
103,d773376e46311393cd89994bf9a93043,4,2015-06-28
104,d773376e46311393cd89994bf9a93043,7,2015-06-29
105,d773376e46311393cd89994bf9a93043,15,2015-07-01
106,d773376e46311393cd89994bf9a93043,7,2015-07-02
107,d773376e46311393cd89994bf9a93043,2,2015-07-03
108,d773376e46311393cd89994bf9a93043,5,2015-07-04
109,d773376e46311393cd89994bf9a93043,10,2015-07-05
110,d773376e46311393cd89994bf9a93043,6,2015-07-06
111,d773376e46311393cd89994bf9a93043,11,2015-07-07
112,d773376e46311393cd89994bf9a93043,8,2015-07-08
113,d773376e46311393cd89994bf9a93043,5,2015-07-09
114,d773376e46311393cd89994bf9a93043,3,2015-07-10
115,d773376e46311393cd89994bf9a93043,10,2015-07-11
116,d773376e46311393cd89994bf9a93043,19,2015-07-12
117,d773376e46311393cd89994bf9a93043,1,2015-07-13
118,d773376e46311393cd89994bf9a93043,3,2015-07-14
119,d773376e46311393cd89994bf9a93043,8,2015-07-15
120,d773376e46311393cd89994bf9a93043,6,2015-07-16
121,d773376e46311393cd89994bf9a93043,4,2015-07-17
122,d773376e46311393cd89994bf9a93043,6,2015-07-18
123,d773376e46311393cd89994bf9a93043,11,2015-07-19
124,d773376e46311393cd89994bf9a93043,7,2015-07-20
125,d773376e46311393cd89994bf9a93043,3,2015-07-21
126,d773376e46311393cd89994bf9a93043,2,2015-07-23
127,d773376e46311393cd89994bf9a93043,14,2015-07-24
128,d773376e46311393cd89994bf9a93043,2,2015-07-25
129,d773376e46311393cd89994bf9a93043,7,2015-07-26
130,d773376e46311393cd89994bf9a93043,6,2015-07-27
131,d773376e46311393cd89994bf9a93043,9,2015-07-28
132,d773376e46311393cd89994bf9a93043,4,2015-07-29
133,d773376e46311393cd89994bf9a93043,3,2015-07-30
134,d773376e46311393cd89994bf9a93043,6,2015-07-31
135,d773376e46311393cd89994bf9a93043,3,2015-08-01
136,d773376e46311393cd89994bf9a93043,2,2015-08-02
137,d773376e46311393cd89994bf9a93043,19,2015-08-03
138,d773376e46311393cd89994bf9a93043,7,2015-08-04
139,d773376e46311393cd89994bf9a93043,5,2015-08-05
140,d773376e46311393cd89994bf9a93043,3,2015-08-06
141,d773376e46311393cd89994bf9a93043,5,2015-08-07
142,d773376e46311393cd89994bf9a93043,3,2015-08-08
143,d773376e46311393cd89994bf9a93043,10,2015-08-09
144,d773376e46311393cd89994bf9a93043,11,2015-08-10
145,d773376e46311393cd89994bf9a93043,4,2015-08-11
146,d773376e46311393cd89994bf9a93043,3,2015-08-12
147,d773376e46311393cd89994bf9a93043,8,2015-08-13
148,d773376e46311393cd89994bf9a93043,8,2015-08-14
149,d773376e46311393cd89994bf9a93043,7,2015-08-15
150,d773376e46311393cd89994bf9a93043,6,2015-08-16
151,d773376e46311393cd89994bf9a93043,4,2015-08-17
152,d773376e46311393cd89994bf9a93043,8,2015-08-18
153,d773376e46311393cd89994bf9a93043,1,2015-08-19
154,d773376e46311393cd89994bf9a93043,2,2015-08-20
155,d773376e46311393cd89994bf9a93043,9,2015-08-21
156,d773376e46311393cd89994bf9a93043,6,2015-08-22
157,d773376e46311393cd89994bf9a93043,6,2015-08-23
158,d773376e46311393cd89994bf9a93043,19,2015-08-24
159,d773376e46311393cd89994bf9a93043,12,2015-08-25
160,d773376e46311393cd89994bf9a93043,8,2015-08-26
161,d773376e46311393cd89994bf9a93043,13,2015-08-27
162,d773376e46311393cd89994bf9a93043,1,2015-08-28
163,d773376e46311393cd89994bf9a93043,4,2015-08-29
164,d773376e46311393cd89994bf9a93043,7,2015-08-30
