,artist_id,down,ds
0,099cd99056bf92e5f0e384465890a804,179,2015-03-01
1,099cd99056bf92e5f0e384465890a804,152,2015-03-02
2,099cd99056bf92e5f0e384465890a804,229,2015-03-03
3,099cd99056bf92e5f0e384465890a804,214,2015-03-04
4,099cd99056bf92e5f0e384465890a804,280,2015-03-05
5,099cd99056bf92e5f0e384465890a804,219,2015-03-06
6,099cd99056bf92e5f0e384465890a804,321,2015-03-07
7,099cd99056bf92e5f0e384465890a804,188,2015-03-08
8,099cd99056bf92e5f0e384465890a804,327,2015-03-09
9,099cd99056bf92e5f0e384465890a804,205,2015-03-10
10,099cd99056bf92e5f0e384465890a804,193,2015-03-11
11,099cd99056bf92e5f0e384465890a804,224,2015-03-12
12,099cd99056bf92e5f0e384465890a804,236,2015-03-13
13,099cd99056bf92e5f0e384465890a804,277,2015-03-14
14,099cd99056bf92e5f0e384465890a804,218,2015-03-15
15,099cd99056bf92e5f0e384465890a804,171,2015-03-16
16,099cd99056bf92e5f0e384465890a804,126,2015-03-17
17,099cd99056bf92e5f0e384465890a804,159,2015-03-18
18,099cd99056bf92e5f0e384465890a804,144,2015-03-19
19,099cd99056bf92e5f0e384465890a804,194,2015-03-20
20,099cd99056bf92e5f0e384465890a804,135,2015-03-21
21,099cd99056bf92e5f0e384465890a804,312,2015-03-22
22,099cd99056bf92e5f0e384465890a804,159,2015-03-23
23,099cd99056bf92e5f0e384465890a804,183,2015-03-24
24,099cd99056bf92e5f0e384465890a804,172,2015-03-25
25,099cd99056bf92e5f0e384465890a804,214,2015-03-26
26,099cd99056bf92e5f0e384465890a804,173,2015-03-27
27,099cd99056bf92e5f0e384465890a804,134,2015-03-28
28,099cd99056bf92e5f0e384465890a804,185,2015-03-29
29,099cd99056bf92e5f0e384465890a804,216,2015-03-30
30,099cd99056bf92e5f0e384465890a804,206,2015-03-31
31,099cd99056bf92e5f0e384465890a804,106,2015-04-01
32,099cd99056bf92e5f0e384465890a804,143,2015-04-02
33,099cd99056bf92e5f0e384465890a804,127,2015-04-03
34,099cd99056bf92e5f0e384465890a804,146,2015-04-04
35,099cd99056bf92e5f0e384465890a804,214,2015-04-05
36,099cd99056bf92e5f0e384465890a804,154,2015-04-06
37,099cd99056bf92e5f0e384465890a804,112,2015-04-07
38,099cd99056bf92e5f0e384465890a804,106,2015-04-08
39,099cd99056bf92e5f0e384465890a804,112,2015-04-09
40,099cd99056bf92e5f0e384465890a804,101,2015-04-10
41,099cd99056bf92e5f0e384465890a804,106,2015-04-11
42,099cd99056bf92e5f0e384465890a804,122,2015-04-12
43,099cd99056bf92e5f0e384465890a804,263,2015-04-13
44,099cd99056bf92e5f0e384465890a804,304,2015-04-14
45,099cd99056bf92e5f0e384465890a804,322,2015-04-15
46,099cd99056bf92e5f0e384465890a804,199,2015-04-16
47,099cd99056bf92e5f0e384465890a804,138,2015-04-17
48,099cd99056bf92e5f0e384465890a804,197,2015-04-18
49,099cd99056bf92e5f0e384465890a804,168,2015-04-19
50,099cd99056bf92e5f0e384465890a804,130,2015-04-20
51,099cd99056bf92e5f0e384465890a804,141,2015-04-21
52,099cd99056bf92e5f0e384465890a804,154,2015-04-22
53,099cd99056bf92e5f0e384465890a804,120,2015-04-23
54,099cd99056bf92e5f0e384465890a804,158,2015-04-24
55,099cd99056bf92e5f0e384465890a804,186,2015-04-25
56,099cd99056bf92e5f0e384465890a804,201,2015-04-26
57,099cd99056bf92e5f0e384465890a804,123,2015-04-27
58,099cd99056bf92e5f0e384465890a804,115,2015-04-28
59,099cd99056bf92e5f0e384465890a804,196,2015-04-29
60,099cd99056bf92e5f0e384465890a804,139,2015-04-30
61,099cd99056bf92e5f0e384465890a804,118,2015-05-01
62,099cd99056bf92e5f0e384465890a804,112,2015-05-02
63,099cd99056bf92e5f0e384465890a804,146,2015-05-03
64,099cd99056bf92e5f0e384465890a804,155,2015-05-04
65,099cd99056bf92e5f0e384465890a804,110,2015-05-05
66,099cd99056bf92e5f0e384465890a804,140,2015-05-06
67,099cd99056bf92e5f0e384465890a804,172,2015-05-07
68,099cd99056bf92e5f0e384465890a804,96,2015-05-08
69,099cd99056bf92e5f0e384465890a804,136,2015-05-09
70,099cd99056bf92e5f0e384465890a804,114,2015-05-10
71,099cd99056bf92e5f0e384465890a804,110,2015-05-11
72,099cd99056bf92e5f0e384465890a804,127,2015-05-12
73,099cd99056bf92e5f0e384465890a804,106,2015-05-13
74,099cd99056bf92e5f0e384465890a804,163,2015-05-14
75,099cd99056bf92e5f0e384465890a804,134,2015-05-15
76,099cd99056bf92e5f0e384465890a804,111,2015-05-16
77,099cd99056bf92e5f0e384465890a804,135,2015-05-17
78,099cd99056bf92e5f0e384465890a804,130,2015-05-18
79,099cd99056bf92e5f0e384465890a804,140,2015-05-19
80,099cd99056bf92e5f0e384465890a804,142,2015-05-20
81,099cd99056bf92e5f0e384465890a804,134,2015-05-21
82,099cd99056bf92e5f0e384465890a804,145,2015-05-22
83,099cd99056bf92e5f0e384465890a804,127,2015-05-23
84,099cd99056bf92e5f0e384465890a804,174,2015-05-24
85,099cd99056bf92e5f0e384465890a804,133,2015-05-25
86,099cd99056bf92e5f0e384465890a804,149,2015-05-26
87,099cd99056bf92e5f0e384465890a804,144,2015-05-27
88,099cd99056bf92e5f0e384465890a804,113,2015-05-28
89,099cd99056bf92e5f0e384465890a804,97,2015-05-29
90,099cd99056bf92e5f0e384465890a804,119,2015-05-30
91,099cd99056bf92e5f0e384465890a804,133,2015-05-31
92,099cd99056bf92e5f0e384465890a804,112,2015-06-01
93,099cd99056bf92e5f0e384465890a804,128,2015-06-02
94,099cd99056bf92e5f0e384465890a804,112,2015-06-03
95,099cd99056bf92e5f0e384465890a804,86,2015-06-04
96,099cd99056bf92e5f0e384465890a804,88,2015-06-05
97,099cd99056bf92e5f0e384465890a804,106,2015-06-06
98,099cd99056bf92e5f0e384465890a804,144,2015-06-07
99,099cd99056bf92e5f0e384465890a804,268,2015-06-08
100,099cd99056bf92e5f0e384465890a804,106,2015-06-09
101,099cd99056bf92e5f0e384465890a804,130,2015-06-10
102,099cd99056bf92e5f0e384465890a804,126,2015-06-11
103,099cd99056bf92e5f0e384465890a804,123,2015-06-12
104,099cd99056bf92e5f0e384465890a804,108,2015-06-13
105,099cd99056bf92e5f0e384465890a804,116,2015-06-14
106,099cd99056bf92e5f0e384465890a804,147,2015-06-15
107,099cd99056bf92e5f0e384465890a804,129,2015-06-16
108,099cd99056bf92e5f0e384465890a804,145,2015-06-17
109,099cd99056bf92e5f0e384465890a804,160,2015-06-18
110,099cd99056bf92e5f0e384465890a804,129,2015-06-19
111,099cd99056bf92e5f0e384465890a804,207,2015-06-20
