,artist_id,down,ds
0,0c80008b0a28d356026f4b1097041689,23,2015-03-01
1,0c80008b0a28d356026f4b1097041689,25,2015-03-02
2,0c80008b0a28d356026f4b1097041689,13,2015-03-03
3,0c80008b0a28d356026f4b1097041689,21,2015-03-04
4,0c80008b0a28d356026f4b1097041689,13,2015-03-05
5,0c80008b0a28d356026f4b1097041689,8,2015-03-06
6,0c80008b0a28d356026f4b1097041689,9,2015-03-07
7,0c80008b0a28d356026f4b1097041689,41,2015-03-08
8,0c80008b0a28d356026f4b1097041689,30,2015-03-09
9,0c80008b0a28d356026f4b1097041689,16,2015-03-10
10,0c80008b0a28d356026f4b1097041689,13,2015-03-11
11,0c80008b0a28d356026f4b1097041689,16,2015-03-12
12,0c80008b0a28d356026f4b1097041689,55,2015-03-13
13,0c80008b0a28d356026f4b1097041689,26,2015-03-14
14,0c80008b0a28d356026f4b1097041689,21,2015-03-15
15,0c80008b0a28d356026f4b1097041689,62,2015-03-16
16,0c80008b0a28d356026f4b1097041689,32,2015-03-17
17,0c80008b0a28d356026f4b1097041689,30,2015-03-18
18,0c80008b0a28d356026f4b1097041689,47,2015-03-19
19,0c80008b0a28d356026f4b1097041689,78,2015-03-20
20,0c80008b0a28d356026f4b1097041689,41,2015-03-21
21,0c80008b0a28d356026f4b1097041689,43,2015-03-22
22,0c80008b0a28d356026f4b1097041689,21,2015-03-23
23,0c80008b0a28d356026f4b1097041689,24,2015-03-24
24,0c80008b0a28d356026f4b1097041689,20,2015-03-25
25,0c80008b0a28d356026f4b1097041689,29,2015-03-26
26,0c80008b0a28d356026f4b1097041689,35,2015-03-27
27,0c80008b0a28d356026f4b1097041689,33,2015-03-28
28,0c80008b0a28d356026f4b1097041689,31,2015-03-29
29,0c80008b0a28d356026f4b1097041689,27,2015-03-30
30,0c80008b0a28d356026f4b1097041689,20,2015-03-31
31,0c80008b0a28d356026f4b1097041689,33,2015-04-01
32,0c80008b0a28d356026f4b1097041689,50,2015-04-02
33,0c80008b0a28d356026f4b1097041689,22,2015-04-03
34,0c80008b0a28d356026f4b1097041689,20,2015-04-04
35,0c80008b0a28d356026f4b1097041689,58,2015-04-05
36,0c80008b0a28d356026f4b1097041689,28,2015-04-06
37,0c80008b0a28d356026f4b1097041689,47,2015-04-07
38,0c80008b0a28d356026f4b1097041689,33,2015-04-08
39,0c80008b0a28d356026f4b1097041689,18,2015-04-09
40,0c80008b0a28d356026f4b1097041689,60,2015-04-10
41,0c80008b0a28d356026f4b1097041689,40,2015-04-11
42,0c80008b0a28d356026f4b1097041689,36,2015-04-12
43,0c80008b0a28d356026f4b1097041689,35,2015-04-13
44,0c80008b0a28d356026f4b1097041689,38,2015-04-14
45,0c80008b0a28d356026f4b1097041689,49,2015-04-15
46,0c80008b0a28d356026f4b1097041689,30,2015-04-16
47,0c80008b0a28d356026f4b1097041689,39,2015-04-17
48,0c80008b0a28d356026f4b1097041689,48,2015-04-18
49,0c80008b0a28d356026f4b1097041689,41,2015-04-19
50,0c80008b0a28d356026f4b1097041689,56,2015-04-20
51,0c80008b0a28d356026f4b1097041689,24,2015-04-21
52,0c80008b0a28d356026f4b1097041689,36,2015-04-22
53,0c80008b0a28d356026f4b1097041689,18,2015-04-23
54,0c80008b0a28d356026f4b1097041689,29,2015-04-24
55,0c80008b0a28d356026f4b1097041689,61,2015-04-25
56,0c80008b0a28d356026f4b1097041689,47,2015-04-26
57,0c80008b0a28d356026f4b1097041689,32,2015-04-27
58,0c80008b0a28d356026f4b1097041689,26,2015-04-28
59,0c80008b0a28d356026f4b1097041689,38,2015-04-29
60,0c80008b0a28d356026f4b1097041689,24,2015-04-30
61,0c80008b0a28d356026f4b1097041689,35,2015-05-01
62,0c80008b0a28d356026f4b1097041689,29,2015-05-02
63,0c80008b0a28d356026f4b1097041689,42,2015-05-03
64,0c80008b0a28d356026f4b1097041689,38,2015-05-04
65,0c80008b0a28d356026f4b1097041689,42,2015-05-05
66,0c80008b0a28d356026f4b1097041689,45,2015-05-06
67,0c80008b0a28d356026f4b1097041689,25,2015-05-07
68,0c80008b0a28d356026f4b1097041689,31,2015-05-08
69,0c80008b0a28d356026f4b1097041689,28,2015-05-09
70,0c80008b0a28d356026f4b1097041689,35,2015-05-10
71,0c80008b0a28d356026f4b1097041689,51,2015-05-11
72,0c80008b0a28d356026f4b1097041689,73,2015-05-12
73,0c80008b0a28d356026f4b1097041689,56,2015-05-13
74,0c80008b0a28d356026f4b1097041689,66,2015-05-14
75,0c80008b0a28d356026f4b1097041689,70,2015-05-15
76,0c80008b0a28d356026f4b1097041689,44,2015-05-16
77,0c80008b0a28d356026f4b1097041689,45,2015-05-17
78,0c80008b0a28d356026f4b1097041689,47,2015-05-18
79,0c80008b0a28d356026f4b1097041689,51,2015-05-19
80,0c80008b0a28d356026f4b1097041689,45,2015-05-20
81,0c80008b0a28d356026f4b1097041689,51,2015-05-21
82,0c80008b0a28d356026f4b1097041689,41,2015-05-22
83,0c80008b0a28d356026f4b1097041689,91,2015-05-23
84,0c80008b0a28d356026f4b1097041689,49,2015-05-24
85,0c80008b0a28d356026f4b1097041689,93,2015-05-25
86,0c80008b0a28d356026f4b1097041689,28,2015-05-26
87,0c80008b0a28d356026f4b1097041689,15,2015-05-27
88,0c80008b0a28d356026f4b1097041689,45,2015-05-28
89,0c80008b0a28d356026f4b1097041689,30,2015-05-29
90,0c80008b0a28d356026f4b1097041689,62,2015-05-30
91,0c80008b0a28d356026f4b1097041689,66,2015-05-31
92,0c80008b0a28d356026f4b1097041689,39,2015-06-01
93,0c80008b0a28d356026f4b1097041689,31,2015-06-02
94,0c80008b0a28d356026f4b1097041689,35,2015-06-03
95,0c80008b0a28d356026f4b1097041689,48,2015-06-04
96,0c80008b0a28d356026f4b1097041689,43,2015-06-05
97,0c80008b0a28d356026f4b1097041689,48,2015-06-06
98,0c80008b0a28d356026f4b1097041689,41,2015-06-07
99,0c80008b0a28d356026f4b1097041689,43,2015-06-08
100,0c80008b0a28d356026f4b1097041689,35,2015-06-09
101,0c80008b0a28d356026f4b1097041689,30,2015-06-10
102,0c80008b0a28d356026f4b1097041689,43,2015-06-11
103,0c80008b0a28d356026f4b1097041689,47,2015-06-12
104,0c80008b0a28d356026f4b1097041689,45,2015-06-13
105,0c80008b0a28d356026f4b1097041689,53,2015-06-14
106,0c80008b0a28d356026f4b1097041689,37,2015-06-15
107,0c80008b0a28d356026f4b1097041689,25,2015-06-16
108,0c80008b0a28d356026f4b1097041689,30,2015-06-17
109,0c80008b0a28d356026f4b1097041689,35,2015-06-18
110,0c80008b0a28d356026f4b1097041689,33,2015-06-19
111,0c80008b0a28d356026f4b1097041689,52,2015-06-20
112,0c80008b0a28d356026f4b1097041689,34,2015-06-21
113,0c80008b0a28d356026f4b1097041689,27,2015-06-22
114,0c80008b0a28d356026f4b1097041689,30,2015-06-23
115,0c80008b0a28d356026f4b1097041689,28,2015-06-24
116,0c80008b0a28d356026f4b1097041689,36,2015-06-25
117,0c80008b0a28d356026f4b1097041689,47,2015-06-26
118,0c80008b0a28d356026f4b1097041689,42,2015-06-27
119,0c80008b0a28d356026f4b1097041689,28,2015-06-28
120,0c80008b0a28d356026f4b1097041689,42,2015-06-29
121,0c80008b0a28d356026f4b1097041689,44,2015-06-30
122,0c80008b0a28d356026f4b1097041689,40,2015-07-01
123,0c80008b0a28d356026f4b1097041689,29,2015-07-02
124,0c80008b0a28d356026f4b1097041689,57,2015-07-03
125,0c80008b0a28d356026f4b1097041689,37,2015-07-04
126,0c80008b0a28d356026f4b1097041689,50,2015-07-05
127,0c80008b0a28d356026f4b1097041689,53,2015-07-06
128,0c80008b0a28d356026f4b1097041689,38,2015-07-07
129,0c80008b0a28d356026f4b1097041689,60,2015-07-08
130,0c80008b0a28d356026f4b1097041689,64,2015-07-09
131,0c80008b0a28d356026f4b1097041689,33,2015-07-10
132,0c80008b0a28d356026f4b1097041689,34,2015-07-11
133,0c80008b0a28d356026f4b1097041689,36,2015-07-12
134,0c80008b0a28d356026f4b1097041689,57,2015-07-13
135,0c80008b0a28d356026f4b1097041689,43,2015-07-14
136,0c80008b0a28d356026f4b1097041689,22,2015-07-15
137,0c80008b0a28d356026f4b1097041689,20,2015-07-16
138,0c80008b0a28d356026f4b1097041689,27,2015-07-17
139,0c80008b0a28d356026f4b1097041689,32,2015-07-18
140,0c80008b0a28d356026f4b1097041689,136,2015-07-19
141,0c80008b0a28d356026f4b1097041689,33,2015-07-20
142,0c80008b0a28d356026f4b1097041689,37,2015-07-21
143,0c80008b0a28d356026f4b1097041689,43,2015-07-22
144,0c80008b0a28d356026f4b1097041689,38,2015-07-23
145,0c80008b0a28d356026f4b1097041689,20,2015-07-24
146,0c80008b0a28d356026f4b1097041689,23,2015-07-25
147,0c80008b0a28d356026f4b1097041689,23,2015-07-26
148,0c80008b0a28d356026f4b1097041689,80,2015-07-27
149,0c80008b0a28d356026f4b1097041689,31,2015-07-28
150,0c80008b0a28d356026f4b1097041689,42,2015-07-29
151,0c80008b0a28d356026f4b1097041689,26,2015-07-30
152,0c80008b0a28d356026f4b1097041689,38,2015-07-31
153,0c80008b0a28d356026f4b1097041689,42,2015-08-01
154,0c80008b0a28d356026f4b1097041689,24,2015-08-02
155,0c80008b0a28d356026f4b1097041689,41,2015-08-03
156,0c80008b0a28d356026f4b1097041689,13,2015-08-04
157,0c80008b0a28d356026f4b1097041689,31,2015-08-05
158,0c80008b0a28d356026f4b1097041689,30,2015-08-06
159,0c80008b0a28d356026f4b1097041689,32,2015-08-07
160,0c80008b0a28d356026f4b1097041689,69,2015-08-08
161,0c80008b0a28d356026f4b1097041689,42,2015-08-09
162,0c80008b0a28d356026f4b1097041689,39,2015-08-10
163,0c80008b0a28d356026f4b1097041689,40,2015-08-11
164,0c80008b0a28d356026f4b1097041689,32,2015-08-12
165,0c80008b0a28d356026f4b1097041689,22,2015-08-13
166,0c80008b0a28d356026f4b1097041689,27,2015-08-14
167,0c80008b0a28d356026f4b1097041689,32,2015-08-15
168,0c80008b0a28d356026f4b1097041689,30,2015-08-16
169,0c80008b0a28d356026f4b1097041689,94,2015-08-17
170,0c80008b0a28d356026f4b1097041689,30,2015-08-18
171,0c80008b0a28d356026f4b1097041689,67,2015-08-19
172,0c80008b0a28d356026f4b1097041689,38,2015-08-20
173,0c80008b0a28d356026f4b1097041689,30,2015-08-21
174,0c80008b0a28d356026f4b1097041689,23,2015-08-22
175,0c80008b0a28d356026f4b1097041689,34,2015-08-23
176,0c80008b0a28d356026f4b1097041689,78,2015-08-24
177,0c80008b0a28d356026f4b1097041689,76,2015-08-25
178,0c80008b0a28d356026f4b1097041689,117,2015-08-26
179,0c80008b0a28d356026f4b1097041689,83,2015-08-27
180,0c80008b0a28d356026f4b1097041689,134,2015-08-28
181,0c80008b0a28d356026f4b1097041689,50,2015-08-29
182,0c80008b0a28d356026f4b1097041689,70,2015-08-30
