,artist_id,down,ds
0,14c4faf6682ac1bb86d346d9a2a1f8e3,588,2015-03-01
1,14c4faf6682ac1bb86d346d9a2a1f8e3,236,2015-03-02
2,14c4faf6682ac1bb86d346d9a2a1f8e3,223,2015-03-03
3,14c4faf6682ac1bb86d346d9a2a1f8e3,492,2015-03-04
4,14c4faf6682ac1bb86d346d9a2a1f8e3,280,2015-03-05
5,14c4faf6682ac1bb86d346d9a2a1f8e3,631,2015-03-06
6,14c4faf6682ac1bb86d346d9a2a1f8e3,394,2015-03-07
7,14c4faf6682ac1bb86d346d9a2a1f8e3,126,2015-03-08
8,14c4faf6682ac1bb86d346d9a2a1f8e3,373,2015-03-09
9,14c4faf6682ac1bb86d346d9a2a1f8e3,221,2015-03-10
10,14c4faf6682ac1bb86d346d9a2a1f8e3,323,2015-03-11
11,14c4faf6682ac1bb86d346d9a2a1f8e3,440,2015-03-12
12,14c4faf6682ac1bb86d346d9a2a1f8e3,140,2015-03-13
13,14c4faf6682ac1bb86d346d9a2a1f8e3,218,2015-03-14
14,14c4faf6682ac1bb86d346d9a2a1f8e3,423,2015-03-15
15,14c4faf6682ac1bb86d346d9a2a1f8e3,296,2015-03-16
16,14c4faf6682ac1bb86d346d9a2a1f8e3,318,2015-03-17
17,14c4faf6682ac1bb86d346d9a2a1f8e3,262,2015-03-18
18,14c4faf6682ac1bb86d346d9a2a1f8e3,380,2015-03-19
19,14c4faf6682ac1bb86d346d9a2a1f8e3,233,2015-03-20
20,14c4faf6682ac1bb86d346d9a2a1f8e3,282,2015-03-21
21,14c4faf6682ac1bb86d346d9a2a1f8e3,922,2015-03-22
22,14c4faf6682ac1bb86d346d9a2a1f8e3,252,2015-03-23
23,14c4faf6682ac1bb86d346d9a2a1f8e3,201,2015-03-24
24,14c4faf6682ac1bb86d346d9a2a1f8e3,226,2015-03-25
25,14c4faf6682ac1bb86d346d9a2a1f8e3,361,2015-03-26
26,14c4faf6682ac1bb86d346d9a2a1f8e3,163,2015-03-27
27,14c4faf6682ac1bb86d346d9a2a1f8e3,253,2015-03-28
28,14c4faf6682ac1bb86d346d9a2a1f8e3,424,2015-03-29
29,14c4faf6682ac1bb86d346d9a2a1f8e3,393,2015-03-30
30,14c4faf6682ac1bb86d346d9a2a1f8e3,377,2015-03-31
31,14c4faf6682ac1bb86d346d9a2a1f8e3,319,2015-04-01
32,14c4faf6682ac1bb86d346d9a2a1f8e3,260,2015-04-02
33,14c4faf6682ac1bb86d346d9a2a1f8e3,292,2015-04-03
34,14c4faf6682ac1bb86d346d9a2a1f8e3,448,2015-04-04
35,14c4faf6682ac1bb86d346d9a2a1f8e3,701,2015-04-05
36,14c4faf6682ac1bb86d346d9a2a1f8e3,462,2015-04-06
37,14c4faf6682ac1bb86d346d9a2a1f8e3,214,2015-04-07
38,14c4faf6682ac1bb86d346d9a2a1f8e3,356,2015-04-08
39,14c4faf6682ac1bb86d346d9a2a1f8e3,322,2015-04-09
40,14c4faf6682ac1bb86d346d9a2a1f8e3,268,2015-04-10
41,14c4faf6682ac1bb86d346d9a2a1f8e3,145,2015-04-11
42,14c4faf6682ac1bb86d346d9a2a1f8e3,401,2015-04-12
43,14c4faf6682ac1bb86d346d9a2a1f8e3,492,2015-04-13
44,14c4faf6682ac1bb86d346d9a2a1f8e3,267,2015-04-14
45,14c4faf6682ac1bb86d346d9a2a1f8e3,242,2015-04-15
46,14c4faf6682ac1bb86d346d9a2a1f8e3,177,2015-04-16
47,14c4faf6682ac1bb86d346d9a2a1f8e3,314,2015-04-17
48,14c4faf6682ac1bb86d346d9a2a1f8e3,507,2015-04-18
49,14c4faf6682ac1bb86d346d9a2a1f8e3,294,2015-04-19
50,14c4faf6682ac1bb86d346d9a2a1f8e3,307,2015-04-20
51,14c4faf6682ac1bb86d346d9a2a1f8e3,378,2015-04-21
52,14c4faf6682ac1bb86d346d9a2a1f8e3,303,2015-04-22
53,14c4faf6682ac1bb86d346d9a2a1f8e3,500,2015-04-23
