,artist_id,down,ds
0,25739ad1c56a511fcac86018ac4e49bb,3,20150301
1,25739ad1c56a511fcac86018ac4e49bb,5,20150302
2,25739ad1c56a511fcac86018ac4e49bb,7,20150303
3,25739ad1c56a511fcac86018ac4e49bb,12,20150304
4,25739ad1c56a511fcac86018ac4e49bb,2,20150305
5,25739ad1c56a511fcac86018ac4e49bb,29,20150306
6,25739ad1c56a511fcac86018ac4e49bb,2,20150307
7,25739ad1c56a511fcac86018ac4e49bb,8,20150308
8,25739ad1c56a511fcac86018ac4e49bb,7,20150309
9,25739ad1c56a511fcac86018ac4e49bb,4,20150310
10,25739ad1c56a511fcac86018ac4e49bb,2,20150311
11,25739ad1c56a511fcac86018ac4e49bb,18,20150312
12,25739ad1c56a511fcac86018ac4e49bb,6,20150313
13,25739ad1c56a511fcac86018ac4e49bb,6,20150314
14,25739ad1c56a511fcac86018ac4e49bb,5,20150315
15,25739ad1c56a511fcac86018ac4e49bb,7,20150316
16,25739ad1c56a511fcac86018ac4e49bb,4,20150317
17,25739ad1c56a511fcac86018ac4e49bb,1,20150318
18,25739ad1c56a511fcac86018ac4e49bb,8,20150319
19,25739ad1c56a511fcac86018ac4e49bb,5,20150320
20,25739ad1c56a511fcac86018ac4e49bb,7,20150321
21,25739ad1c56a511fcac86018ac4e49bb,46,20150322
22,25739ad1c56a511fcac86018ac4e49bb,15,20150323
23,25739ad1c56a511fcac86018ac4e49bb,3,20150324
24,25739ad1c56a511fcac86018ac4e49bb,1,20150325
25,25739ad1c56a511fcac86018ac4e49bb,4,20150326
26,25739ad1c56a511fcac86018ac4e49bb,8,20150327
27,25739ad1c56a511fcac86018ac4e49bb,10,20150328
28,25739ad1c56a511fcac86018ac4e49bb,7,20150329
29,25739ad1c56a511fcac86018ac4e49bb,23,20150330
30,25739ad1c56a511fcac86018ac4e49bb,7,20150331
31,25739ad1c56a511fcac86018ac4e49bb,21,20150401
32,25739ad1c56a511fcac86018ac4e49bb,13,20150402
33,25739ad1c56a511fcac86018ac4e49bb,8,20150403
34,25739ad1c56a511fcac86018ac4e49bb,14,20150404
35,25739ad1c56a511fcac86018ac4e49bb,32,20150405
36,25739ad1c56a511fcac86018ac4e49bb,16,20150406
37,25739ad1c56a511fcac86018ac4e49bb,13,20150407
38,25739ad1c56a511fcac86018ac4e49bb,11,20150408
39,25739ad1c56a511fcac86018ac4e49bb,4,20150409
40,25739ad1c56a511fcac86018ac4e49bb,10,20150410
41,25739ad1c56a511fcac86018ac4e49bb,4,20150411
42,25739ad1c56a511fcac86018ac4e49bb,12,20150412
43,25739ad1c56a511fcac86018ac4e49bb,6,20150413
44,25739ad1c56a511fcac86018ac4e49bb,10,20150414
45,25739ad1c56a511fcac86018ac4e49bb,13,20150415
46,25739ad1c56a511fcac86018ac4e49bb,11,20150416
47,25739ad1c56a511fcac86018ac4e49bb,11,20150417
48,25739ad1c56a511fcac86018ac4e49bb,5,20150418
49,25739ad1c56a511fcac86018ac4e49bb,6,20150419
50,25739ad1c56a511fcac86018ac4e49bb,11,20150420
51,25739ad1c56a511fcac86018ac4e49bb,7,20150421
52,25739ad1c56a511fcac86018ac4e49bb,2,20150422
53,25739ad1c56a511fcac86018ac4e49bb,11,20150423
54,25739ad1c56a511fcac86018ac4e49bb,11,20150424
55,25739ad1c56a511fcac86018ac4e49bb,30,20150425
56,25739ad1c56a511fcac86018ac4e49bb,12,20150426
57,25739ad1c56a511fcac86018ac4e49bb,11,20150427
58,25739ad1c56a511fcac86018ac4e49bb,12,20150428
59,25739ad1c56a511fcac86018ac4e49bb,13,20150429
60,25739ad1c56a511fcac86018ac4e49bb,27,20150430
61,25739ad1c56a511fcac86018ac4e49bb,21,20150501
62,25739ad1c56a511fcac86018ac4e49bb,12,20150502
63,25739ad1c56a511fcac86018ac4e49bb,15,20150503
64,25739ad1c56a511fcac86018ac4e49bb,5,20150504
65,25739ad1c56a511fcac86018ac4e49bb,14,20150505
66,25739ad1c56a511fcac86018ac4e49bb,24,20150506
67,25739ad1c56a511fcac86018ac4e49bb,5,20150507
68,25739ad1c56a511fcac86018ac4e49bb,10,20150508
69,25739ad1c56a511fcac86018ac4e49bb,10,20150509
70,25739ad1c56a511fcac86018ac4e49bb,20,20150510
71,25739ad1c56a511fcac86018ac4e49bb,5,20150511
72,25739ad1c56a511fcac86018ac4e49bb,10,20150512
73,25739ad1c56a511fcac86018ac4e49bb,15,20150513
74,25739ad1c56a511fcac86018ac4e49bb,18,20150514
75,25739ad1c56a511fcac86018ac4e49bb,16,20150515
76,25739ad1c56a511fcac86018ac4e49bb,11,20150516
77,25739ad1c56a511fcac86018ac4e49bb,16,20150517
78,25739ad1c56a511fcac86018ac4e49bb,3,20150518
79,25739ad1c56a511fcac86018ac4e49bb,23,20150519
80,25739ad1c56a511fcac86018ac4e49bb,15,20150520
81,25739ad1c56a511fcac86018ac4e49bb,21,20150521
82,25739ad1c56a511fcac86018ac4e49bb,9,20150522
83,25739ad1c56a511fcac86018ac4e49bb,9,20150523
84,25739ad1c56a511fcac86018ac4e49bb,18,20150524
85,25739ad1c56a511fcac86018ac4e49bb,7,20150525
86,25739ad1c56a511fcac86018ac4e49bb,13,20150526
87,25739ad1c56a511fcac86018ac4e49bb,5,20150527
88,25739ad1c56a511fcac86018ac4e49bb,11,20150528
89,25739ad1c56a511fcac86018ac4e49bb,13,20150529
90,25739ad1c56a511fcac86018ac4e49bb,10,20150530
91,25739ad1c56a511fcac86018ac4e49bb,4,20150531
92,25739ad1c56a511fcac86018ac4e49bb,11,20150601
93,25739ad1c56a511fcac86018ac4e49bb,16,20150602
94,25739ad1c56a511fcac86018ac4e49bb,12,20150603
95,25739ad1c56a511fcac86018ac4e49bb,15,20150604
96,25739ad1c56a511fcac86018ac4e49bb,15,20150605
97,25739ad1c56a511fcac86018ac4e49bb,18,20150606
98,25739ad1c56a511fcac86018ac4e49bb,14,20150607
99,25739ad1c56a511fcac86018ac4e49bb,17,20150608
100,25739ad1c56a511fcac86018ac4e49bb,23,20150609
101,25739ad1c56a511fcac86018ac4e49bb,12,20150610
102,25739ad1c56a511fcac86018ac4e49bb,35,20150611
103,25739ad1c56a511fcac86018ac4e49bb,12,20150612
104,25739ad1c56a511fcac86018ac4e49bb,17,20150613
105,25739ad1c56a511fcac86018ac4e49bb,56,20150614
106,25739ad1c56a511fcac86018ac4e49bb,11,20150615
107,25739ad1c56a511fcac86018ac4e49bb,19,20150616
108,25739ad1c56a511fcac86018ac4e49bb,15,20150617
109,25739ad1c56a511fcac86018ac4e49bb,14,20150618
110,25739ad1c56a511fcac86018ac4e49bb,16,20150619
111,25739ad1c56a511fcac86018ac4e49bb,24,20150620
112,25739ad1c56a511fcac86018ac4e49bb,5,20150621
113,25739ad1c56a511fcac86018ac4e49bb,10,20150622
114,25739ad1c56a511fcac86018ac4e49bb,14,20150623
115,25739ad1c56a511fcac86018ac4e49bb,29,20150624
116,25739ad1c56a511fcac86018ac4e49bb,17,20150625
117,25739ad1c56a511fcac86018ac4e49bb,16,20150626
118,25739ad1c56a511fcac86018ac4e49bb,17,20150627
119,25739ad1c56a511fcac86018ac4e49bb,14,20150628
120,25739ad1c56a511fcac86018ac4e49bb,9,20150629
121,25739ad1c56a511fcac86018ac4e49bb,22,20150630
122,25739ad1c56a511fcac86018ac4e49bb,48,20150701
123,25739ad1c56a511fcac86018ac4e49bb,41,20150702
124,25739ad1c56a511fcac86018ac4e49bb,31,20150703
125,25739ad1c56a511fcac86018ac4e49bb,24,20150704
126,25739ad1c56a511fcac86018ac4e49bb,14,20150705
127,25739ad1c56a511fcac86018ac4e49bb,19,20150706
128,25739ad1c56a511fcac86018ac4e49bb,14,20150707
129,25739ad1c56a511fcac86018ac4e49bb,11,20150708
130,25739ad1c56a511fcac86018ac4e49bb,11,20150709
131,25739ad1c56a511fcac86018ac4e49bb,23,20150710
132,25739ad1c56a511fcac86018ac4e49bb,30,20150711
133,25739ad1c56a511fcac86018ac4e49bb,44,20150712
134,25739ad1c56a511fcac86018ac4e49bb,27,20150713
135,25739ad1c56a511fcac86018ac4e49bb,13,20150714
136,25739ad1c56a511fcac86018ac4e49bb,14,20150715
137,25739ad1c56a511fcac86018ac4e49bb,16,20150716
138,25739ad1c56a511fcac86018ac4e49bb,10,20150717
139,25739ad1c56a511fcac86018ac4e49bb,9,20150718
140,25739ad1c56a511fcac86018ac4e49bb,12,20150719
