,artist_id,down,ds
0,34bc4bc49a725f2686a5cf9c89985798,16,2015-03-01
1,34bc4bc49a725f2686a5cf9c89985798,7,2015-03-02
2,34bc4bc49a725f2686a5cf9c89985798,10,2015-03-03
3,34bc4bc49a725f2686a5cf9c89985798,10,2015-03-04
4,34bc4bc49a725f2686a5cf9c89985798,12,2015-03-05
5,34bc4bc49a725f2686a5cf9c89985798,15,2015-03-06
6,34bc4bc49a725f2686a5cf9c89985798,18,2015-03-07
7,34bc4bc49a725f2686a5cf9c89985798,6,2015-03-08
8,34bc4bc49a725f2686a5cf9c89985798,4,2015-03-09
9,34bc4bc49a725f2686a5cf9c89985798,18,2015-03-10
10,34bc4bc49a725f2686a5cf9c89985798,33,2015-03-11
11,34bc4bc49a725f2686a5cf9c89985798,3,2015-03-12
12,34bc4bc49a725f2686a5cf9c89985798,12,2015-03-13
13,34bc4bc49a725f2686a5cf9c89985798,9,2015-03-14
14,34bc4bc49a725f2686a5cf9c89985798,5,2015-03-15
15,34bc4bc49a725f2686a5cf9c89985798,6,2015-03-16
16,34bc4bc49a725f2686a5cf9c89985798,4,2015-03-17
17,34bc4bc49a725f2686a5cf9c89985798,7,2015-03-18
18,34bc4bc49a725f2686a5cf9c89985798,10,2015-03-19
19,34bc4bc49a725f2686a5cf9c89985798,11,2015-03-20
20,34bc4bc49a725f2686a5cf9c89985798,24,2015-03-21
21,34bc4bc49a725f2686a5cf9c89985798,7,2015-03-22
22,34bc4bc49a725f2686a5cf9c89985798,11,2015-03-23
23,34bc4bc49a725f2686a5cf9c89985798,23,2015-03-24
24,34bc4bc49a725f2686a5cf9c89985798,11,2015-03-25
25,34bc4bc49a725f2686a5cf9c89985798,15,2015-03-26
26,34bc4bc49a725f2686a5cf9c89985798,12,2015-03-27
27,34bc4bc49a725f2686a5cf9c89985798,22,2015-03-28
28,34bc4bc49a725f2686a5cf9c89985798,9,2015-03-29
29,34bc4bc49a725f2686a5cf9c89985798,38,2015-03-30
30,34bc4bc49a725f2686a5cf9c89985798,14,2015-03-31
31,34bc4bc49a725f2686a5cf9c89985798,12,2015-04-01
32,34bc4bc49a725f2686a5cf9c89985798,15,2015-04-02
33,34bc4bc49a725f2686a5cf9c89985798,29,2015-04-03
34,34bc4bc49a725f2686a5cf9c89985798,30,2015-04-04
35,34bc4bc49a725f2686a5cf9c89985798,12,2015-04-05
36,34bc4bc49a725f2686a5cf9c89985798,12,2015-04-06
37,34bc4bc49a725f2686a5cf9c89985798,17,2015-04-07
38,34bc4bc49a725f2686a5cf9c89985798,5,2015-04-08
39,34bc4bc49a725f2686a5cf9c89985798,8,2015-04-09
40,34bc4bc49a725f2686a5cf9c89985798,9,2015-04-10
41,34bc4bc49a725f2686a5cf9c89985798,9,2015-04-11
42,34bc4bc49a725f2686a5cf9c89985798,20,2015-04-12
43,34bc4bc49a725f2686a5cf9c89985798,7,2015-04-13
44,34bc4bc49a725f2686a5cf9c89985798,8,2015-04-14
45,34bc4bc49a725f2686a5cf9c89985798,7,2015-04-15
46,34bc4bc49a725f2686a5cf9c89985798,9,2015-04-16
47,34bc4bc49a725f2686a5cf9c89985798,13,2015-04-17
48,34bc4bc49a725f2686a5cf9c89985798,15,2015-04-18
49,34bc4bc49a725f2686a5cf9c89985798,18,2015-04-19
50,34bc4bc49a725f2686a5cf9c89985798,3,2015-04-20
51,34bc4bc49a725f2686a5cf9c89985798,19,2015-04-21
52,34bc4bc49a725f2686a5cf9c89985798,10,2015-04-22
53,34bc4bc49a725f2686a5cf9c89985798,5,2015-04-23
54,34bc4bc49a725f2686a5cf9c89985798,7,2015-04-24
55,34bc4bc49a725f2686a5cf9c89985798,30,2015-04-25
56,34bc4bc49a725f2686a5cf9c89985798,18,2015-04-26
57,34bc4bc49a725f2686a5cf9c89985798,5,2015-04-27
58,34bc4bc49a725f2686a5cf9c89985798,3,2015-04-28
59,34bc4bc49a725f2686a5cf9c89985798,2,2015-04-29
60,34bc4bc49a725f2686a5cf9c89985798,8,2015-04-30
61,34bc4bc49a725f2686a5cf9c89985798,7,2015-05-01
62,34bc4bc49a725f2686a5cf9c89985798,14,2015-05-02
63,34bc4bc49a725f2686a5cf9c89985798,23,2015-05-03
64,34bc4bc49a725f2686a5cf9c89985798,25,2015-05-04
65,34bc4bc49a725f2686a5cf9c89985798,33,2015-05-05
66,34bc4bc49a725f2686a5cf9c89985798,11,2015-05-06
67,34bc4bc49a725f2686a5cf9c89985798,8,2015-05-07
68,34bc4bc49a725f2686a5cf9c89985798,9,2015-05-08
69,34bc4bc49a725f2686a5cf9c89985798,16,2015-05-09
70,34bc4bc49a725f2686a5cf9c89985798,15,2015-05-10
71,34bc4bc49a725f2686a5cf9c89985798,205,2015-05-11
72,34bc4bc49a725f2686a5cf9c89985798,2,2015-05-12
73,34bc4bc49a725f2686a5cf9c89985798,8,2015-05-13
74,34bc4bc49a725f2686a5cf9c89985798,12,2015-05-14
75,34bc4bc49a725f2686a5cf9c89985798,14,2015-05-15
76,34bc4bc49a725f2686a5cf9c89985798,31,2015-05-16
77,34bc4bc49a725f2686a5cf9c89985798,24,2015-05-17
78,34bc4bc49a725f2686a5cf9c89985798,14,2015-05-18
79,34bc4bc49a725f2686a5cf9c89985798,11,2015-05-19
80,34bc4bc49a725f2686a5cf9c89985798,8,2015-05-20
81,34bc4bc49a725f2686a5cf9c89985798,7,2015-05-21
82,34bc4bc49a725f2686a5cf9c89985798,5,2015-05-22
83,34bc4bc49a725f2686a5cf9c89985798,25,2015-05-23
84,34bc4bc49a725f2686a5cf9c89985798,10,2015-05-24
85,34bc4bc49a725f2686a5cf9c89985798,26,2015-05-25
86,34bc4bc49a725f2686a5cf9c89985798,6,2015-05-26
87,34bc4bc49a725f2686a5cf9c89985798,17,2015-05-27
88,34bc4bc49a725f2686a5cf9c89985798,22,2015-05-28
89,34bc4bc49a725f2686a5cf9c89985798,12,2015-05-29
90,34bc4bc49a725f2686a5cf9c89985798,11,2015-05-30
91,34bc4bc49a725f2686a5cf9c89985798,17,2015-05-31
92,34bc4bc49a725f2686a5cf9c89985798,17,2015-06-01
93,34bc4bc49a725f2686a5cf9c89985798,4,2015-06-02
94,34bc4bc49a725f2686a5cf9c89985798,8,2015-06-03
95,34bc4bc49a725f2686a5cf9c89985798,10,2015-06-04
96,34bc4bc49a725f2686a5cf9c89985798,8,2015-06-05
97,34bc4bc49a725f2686a5cf9c89985798,14,2015-06-06
98,34bc4bc49a725f2686a5cf9c89985798,17,2015-06-07
99,34bc4bc49a725f2686a5cf9c89985798,16,2015-06-08
100,34bc4bc49a725f2686a5cf9c89985798,5,2015-06-09
101,34bc4bc49a725f2686a5cf9c89985798,25,2015-06-10
102,34bc4bc49a725f2686a5cf9c89985798,10,2015-06-11
103,34bc4bc49a725f2686a5cf9c89985798,19,2015-06-12
104,34bc4bc49a725f2686a5cf9c89985798,10,2015-06-13
105,34bc4bc49a725f2686a5cf9c89985798,12,2015-06-14
106,34bc4bc49a725f2686a5cf9c89985798,22,2015-06-15
107,34bc4bc49a725f2686a5cf9c89985798,7,2015-06-16
108,34bc4bc49a725f2686a5cf9c89985798,11,2015-06-17
109,34bc4bc49a725f2686a5cf9c89985798,24,2015-06-18
110,34bc4bc49a725f2686a5cf9c89985798,12,2015-06-19
111,34bc4bc49a725f2686a5cf9c89985798,15,2015-06-20
