,artist_id,down,ds
0,3e395c6b799d3d8cb7cd501b4503b536,93,2015-03-01
1,3e395c6b799d3d8cb7cd501b4503b536,158,2015-03-02
2,3e395c6b799d3d8cb7cd501b4503b536,120,2015-03-03
3,3e395c6b799d3d8cb7cd501b4503b536,211,2015-03-04
4,3e395c6b799d3d8cb7cd501b4503b536,176,2015-03-05
5,3e395c6b799d3d8cb7cd501b4503b536,147,2015-03-06
6,3e395c6b799d3d8cb7cd501b4503b536,110,2015-03-07
7,3e395c6b799d3d8cb7cd501b4503b536,162,2015-03-08
8,3e395c6b799d3d8cb7cd501b4503b536,157,2015-03-09
9,3e395c6b799d3d8cb7cd501b4503b536,122,2015-03-10
10,3e395c6b799d3d8cb7cd501b4503b536,109,2015-03-11
11,3e395c6b799d3d8cb7cd501b4503b536,140,2015-03-12
12,3e395c6b799d3d8cb7cd501b4503b536,232,2015-03-13
13,3e395c6b799d3d8cb7cd501b4503b536,358,2015-03-14
14,3e395c6b799d3d8cb7cd501b4503b536,212,2015-03-15
15,3e395c6b799d3d8cb7cd501b4503b536,199,2015-03-16
16,3e395c6b799d3d8cb7cd501b4503b536,205,2015-03-17
17,3e395c6b799d3d8cb7cd501b4503b536,132,2015-03-18
18,3e395c6b799d3d8cb7cd501b4503b536,167,2015-03-19
19,3e395c6b799d3d8cb7cd501b4503b536,139,2015-03-20
20,3e395c6b799d3d8cb7cd501b4503b536,155,2015-03-21
21,3e395c6b799d3d8cb7cd501b4503b536,147,2015-03-22
22,3e395c6b799d3d8cb7cd501b4503b536,108,2015-03-23
23,3e395c6b799d3d8cb7cd501b4503b536,114,2015-03-24
24,3e395c6b799d3d8cb7cd501b4503b536,125,2015-03-25
25,3e395c6b799d3d8cb7cd501b4503b536,128,2015-03-26
26,3e395c6b799d3d8cb7cd501b4503b536,155,2015-03-27
27,3e395c6b799d3d8cb7cd501b4503b536,134,2015-03-28
28,3e395c6b799d3d8cb7cd501b4503b536,88,2015-03-29
29,3e395c6b799d3d8cb7cd501b4503b536,172,2015-03-30
30,3e395c6b799d3d8cb7cd501b4503b536,124,2015-03-31
31,3e395c6b799d3d8cb7cd501b4503b536,116,2015-04-01
32,3e395c6b799d3d8cb7cd501b4503b536,172,2015-04-02
33,3e395c6b799d3d8cb7cd501b4503b536,125,2015-04-03
34,3e395c6b799d3d8cb7cd501b4503b536,178,2015-04-04
35,3e395c6b799d3d8cb7cd501b4503b536,338,2015-04-05
36,3e395c6b799d3d8cb7cd501b4503b536,181,2015-04-06
37,3e395c6b799d3d8cb7cd501b4503b536,209,2015-04-07
38,3e395c6b799d3d8cb7cd501b4503b536,246,2015-04-08
39,3e395c6b799d3d8cb7cd501b4503b536,191,2015-04-09
40,3e395c6b799d3d8cb7cd501b4503b536,85,2015-04-10
41,3e395c6b799d3d8cb7cd501b4503b536,144,2015-04-11
42,3e395c6b799d3d8cb7cd501b4503b536,145,2015-04-12
43,3e395c6b799d3d8cb7cd501b4503b536,98,2015-04-13
44,3e395c6b799d3d8cb7cd501b4503b536,210,2015-04-14
45,3e395c6b799d3d8cb7cd501b4503b536,128,2015-04-15
46,3e395c6b799d3d8cb7cd501b4503b536,83,2015-04-16
47,3e395c6b799d3d8cb7cd501b4503b536,91,2015-04-17
48,3e395c6b799d3d8cb7cd501b4503b536,133,2015-04-18
49,3e395c6b799d3d8cb7cd501b4503b536,98,2015-04-19
50,3e395c6b799d3d8cb7cd501b4503b536,130,2015-04-20
51,3e395c6b799d3d8cb7cd501b4503b536,112,2015-04-21
52,3e395c6b799d3d8cb7cd501b4503b536,152,2015-04-22
53,3e395c6b799d3d8cb7cd501b4503b536,112,2015-04-23
54,3e395c6b799d3d8cb7cd501b4503b536,216,2015-04-24
55,3e395c6b799d3d8cb7cd501b4503b536,87,2015-04-25
56,3e395c6b799d3d8cb7cd501b4503b536,153,2015-04-26
57,3e395c6b799d3d8cb7cd501b4503b536,214,2015-04-27
58,3e395c6b799d3d8cb7cd501b4503b536,113,2015-04-28
59,3e395c6b799d3d8cb7cd501b4503b536,91,2015-04-29
60,3e395c6b799d3d8cb7cd501b4503b536,87,2015-04-30
61,3e395c6b799d3d8cb7cd501b4503b536,87,2015-05-01
62,3e395c6b799d3d8cb7cd501b4503b536,171,2015-05-02
63,3e395c6b799d3d8cb7cd501b4503b536,142,2015-05-03
64,3e395c6b799d3d8cb7cd501b4503b536,205,2015-05-04
65,3e395c6b799d3d8cb7cd501b4503b536,105,2015-05-05
66,3e395c6b799d3d8cb7cd501b4503b536,82,2015-05-06
67,3e395c6b799d3d8cb7cd501b4503b536,115,2015-05-07
68,3e395c6b799d3d8cb7cd501b4503b536,128,2015-05-08
69,3e395c6b799d3d8cb7cd501b4503b536,129,2015-05-09
70,3e395c6b799d3d8cb7cd501b4503b536,196,2015-05-10
71,3e395c6b799d3d8cb7cd501b4503b536,148,2015-05-11
72,3e395c6b799d3d8cb7cd501b4503b536,120,2015-05-12
73,3e395c6b799d3d8cb7cd501b4503b536,281,2015-05-13
74,3e395c6b799d3d8cb7cd501b4503b536,322,2015-05-14
75,3e395c6b799d3d8cb7cd501b4503b536,284,2015-05-15
76,3e395c6b799d3d8cb7cd501b4503b536,174,2015-05-16
77,3e395c6b799d3d8cb7cd501b4503b536,149,2015-05-17
78,3e395c6b799d3d8cb7cd501b4503b536,102,2015-05-18
79,3e395c6b799d3d8cb7cd501b4503b536,181,2015-05-19
80,3e395c6b799d3d8cb7cd501b4503b536,146,2015-05-20
81,3e395c6b799d3d8cb7cd501b4503b536,130,2015-05-21
82,3e395c6b799d3d8cb7cd501b4503b536,101,2015-05-22
83,3e395c6b799d3d8cb7cd501b4503b536,312,2015-05-23
84,3e395c6b799d3d8cb7cd501b4503b536,231,2015-05-24
85,3e395c6b799d3d8cb7cd501b4503b536,142,2015-05-25
86,3e395c6b799d3d8cb7cd501b4503b536,131,2015-05-26
87,3e395c6b799d3d8cb7cd501b4503b536,202,2015-05-27
88,3e395c6b799d3d8cb7cd501b4503b536,144,2015-05-28
89,3e395c6b799d3d8cb7cd501b4503b536,94,2015-05-29
90,3e395c6b799d3d8cb7cd501b4503b536,87,2015-05-30
91,3e395c6b799d3d8cb7cd501b4503b536,90,2015-05-31
92,3e395c6b799d3d8cb7cd501b4503b536,80,2015-06-01
93,3e395c6b799d3d8cb7cd501b4503b536,106,2015-06-02
94,3e395c6b799d3d8cb7cd501b4503b536,87,2015-06-03
95,3e395c6b799d3d8cb7cd501b4503b536,137,2015-06-04
96,3e395c6b799d3d8cb7cd501b4503b536,97,2015-06-05
97,3e395c6b799d3d8cb7cd501b4503b536,102,2015-06-06
98,3e395c6b799d3d8cb7cd501b4503b536,94,2015-06-07
99,3e395c6b799d3d8cb7cd501b4503b536,135,2015-06-08
100,3e395c6b799d3d8cb7cd501b4503b536,108,2015-06-09
101,3e395c6b799d3d8cb7cd501b4503b536,156,2015-06-10
102,3e395c6b799d3d8cb7cd501b4503b536,149,2015-06-11
103,3e395c6b799d3d8cb7cd501b4503b536,114,2015-06-12
104,3e395c6b799d3d8cb7cd501b4503b536,213,2015-06-13
105,3e395c6b799d3d8cb7cd501b4503b536,129,2015-06-14
106,3e395c6b799d3d8cb7cd501b4503b536,144,2015-06-15
107,3e395c6b799d3d8cb7cd501b4503b536,143,2015-06-16
108,3e395c6b799d3d8cb7cd501b4503b536,189,2015-06-17
109,3e395c6b799d3d8cb7cd501b4503b536,211,2015-06-18
110,3e395c6b799d3d8cb7cd501b4503b536,288,2015-06-19
111,3e395c6b799d3d8cb7cd501b4503b536,97,2015-06-20
112,3e395c6b799d3d8cb7cd501b4503b536,137,2015-06-21
113,3e395c6b799d3d8cb7cd501b4503b536,83,2015-06-22
114,3e395c6b799d3d8cb7cd501b4503b536,94,2015-06-23
115,3e395c6b799d3d8cb7cd501b4503b536,122,2015-06-24
116,3e395c6b799d3d8cb7cd501b4503b536,115,2015-06-25
117,3e395c6b799d3d8cb7cd501b4503b536,113,2015-06-26
118,3e395c6b799d3d8cb7cd501b4503b536,141,2015-06-27
119,3e395c6b799d3d8cb7cd501b4503b536,186,2015-06-28
120,3e395c6b799d3d8cb7cd501b4503b536,112,2015-06-29
121,3e395c6b799d3d8cb7cd501b4503b536,81,2015-06-30
122,3e395c6b799d3d8cb7cd501b4503b536,506,2015-07-01
123,3e395c6b799d3d8cb7cd501b4503b536,420,2015-07-02
124,3e395c6b799d3d8cb7cd501b4503b536,420,2015-07-03
125,3e395c6b799d3d8cb7cd501b4503b536,286,2015-07-04
126,3e395c6b799d3d8cb7cd501b4503b536,493,2015-07-05
127,3e395c6b799d3d8cb7cd501b4503b536,335,2015-07-06
128,3e395c6b799d3d8cb7cd501b4503b536,145,2015-07-07
129,3e395c6b799d3d8cb7cd501b4503b536,180,2015-07-08
130,3e395c6b799d3d8cb7cd501b4503b536,100,2015-07-09
131,3e395c6b799d3d8cb7cd501b4503b536,94,2015-07-10
132,3e395c6b799d3d8cb7cd501b4503b536,170,2015-07-11
133,3e395c6b799d3d8cb7cd501b4503b536,115,2015-07-12
134,3e395c6b799d3d8cb7cd501b4503b536,279,2015-07-13
135,3e395c6b799d3d8cb7cd501b4503b536,238,2015-07-14
136,3e395c6b799d3d8cb7cd501b4503b536,184,2015-07-15
137,3e395c6b799d3d8cb7cd501b4503b536,116,2015-07-16
138,3e395c6b799d3d8cb7cd501b4503b536,97,2015-07-17
139,3e395c6b799d3d8cb7cd501b4503b536,196,2015-07-18
140,3e395c6b799d3d8cb7cd501b4503b536,163,2015-07-19
141,3e395c6b799d3d8cb7cd501b4503b536,96,2015-07-20
142,3e395c6b799d3d8cb7cd501b4503b536,113,2015-07-21
143,3e395c6b799d3d8cb7cd501b4503b536,155,2015-07-22
144,3e395c6b799d3d8cb7cd501b4503b536,116,2015-07-23
145,3e395c6b799d3d8cb7cd501b4503b536,141,2015-07-24
146,3e395c6b799d3d8cb7cd501b4503b536,168,2015-07-25
147,3e395c6b799d3d8cb7cd501b4503b536,97,2015-07-26
148,3e395c6b799d3d8cb7cd501b4503b536,123,2015-07-27
149,3e395c6b799d3d8cb7cd501b4503b536,171,2015-07-28
150,3e395c6b799d3d8cb7cd501b4503b536,108,2015-07-29
151,3e395c6b799d3d8cb7cd501b4503b536,135,2015-07-30
152,3e395c6b799d3d8cb7cd501b4503b536,92,2015-07-31
153,3e395c6b799d3d8cb7cd501b4503b536,99,2015-08-01
154,3e395c6b799d3d8cb7cd501b4503b536,109,2015-08-02
155,3e395c6b799d3d8cb7cd501b4503b536,184,2015-08-03
156,3e395c6b799d3d8cb7cd501b4503b536,88,2015-08-04
157,3e395c6b799d3d8cb7cd501b4503b536,137,2015-08-05
158,3e395c6b799d3d8cb7cd501b4503b536,65,2015-08-06
159,3e395c6b799d3d8cb7cd501b4503b536,66,2015-08-07
160,3e395c6b799d3d8cb7cd501b4503b536,335,2015-08-08
161,3e395c6b799d3d8cb7cd501b4503b536,344,2015-08-09
162,3e395c6b799d3d8cb7cd501b4503b536,175,2015-08-10
163,3e395c6b799d3d8cb7cd501b4503b536,248,2015-08-11
164,3e395c6b799d3d8cb7cd501b4503b536,158,2015-08-12
165,3e395c6b799d3d8cb7cd501b4503b536,124,2015-08-13
166,3e395c6b799d3d8cb7cd501b4503b536,109,2015-08-14
167,3e395c6b799d3d8cb7cd501b4503b536,128,2015-08-15
168,3e395c6b799d3d8cb7cd501b4503b536,124,2015-08-16
169,3e395c6b799d3d8cb7cd501b4503b536,93,2015-08-17
170,3e395c6b799d3d8cb7cd501b4503b536,84,2015-08-18
171,3e395c6b799d3d8cb7cd501b4503b536,140,2015-08-19
172,3e395c6b799d3d8cb7cd501b4503b536,71,2015-08-20
173,3e395c6b799d3d8cb7cd501b4503b536,92,2015-08-21
174,3e395c6b799d3d8cb7cd501b4503b536,141,2015-08-22
175,3e395c6b799d3d8cb7cd501b4503b536,191,2015-08-23
176,3e395c6b799d3d8cb7cd501b4503b536,85,2015-08-24
177,3e395c6b799d3d8cb7cd501b4503b536,87,2015-08-25
178,3e395c6b799d3d8cb7cd501b4503b536,108,2015-08-26
179,3e395c6b799d3d8cb7cd501b4503b536,146,2015-08-27
180,3e395c6b799d3d8cb7cd501b4503b536,251,2015-08-28
181,3e395c6b799d3d8cb7cd501b4503b536,81,2015-08-29
182,3e395c6b799d3d8cb7cd501b4503b536,104,2015-08-30
