,artist_id,down,ds
0,42422dc00b814183c0216d1ed7fb3cd9,66,2015-03-01
1,42422dc00b814183c0216d1ed7fb3cd9,53,2015-03-02
2,42422dc00b814183c0216d1ed7fb3cd9,117,2015-03-03
3,42422dc00b814183c0216d1ed7fb3cd9,55,2015-03-04
4,42422dc00b814183c0216d1ed7fb3cd9,56,2015-03-05
5,42422dc00b814183c0216d1ed7fb3cd9,69,2015-03-06
6,42422dc00b814183c0216d1ed7fb3cd9,57,2015-03-07
7,42422dc00b814183c0216d1ed7fb3cd9,35,2015-03-08
8,42422dc00b814183c0216d1ed7fb3cd9,52,2015-03-09
9,42422dc00b814183c0216d1ed7fb3cd9,117,2015-03-10
10,42422dc00b814183c0216d1ed7fb3cd9,91,2015-03-11
11,42422dc00b814183c0216d1ed7fb3cd9,61,2015-03-12
12,42422dc00b814183c0216d1ed7fb3cd9,43,2015-03-13
13,42422dc00b814183c0216d1ed7fb3cd9,31,2015-03-14
14,42422dc00b814183c0216d1ed7fb3cd9,66,2015-03-15
15,42422dc00b814183c0216d1ed7fb3cd9,46,2015-03-16
16,42422dc00b814183c0216d1ed7fb3cd9,128,2015-03-17
17,42422dc00b814183c0216d1ed7fb3cd9,60,2015-03-18
18,42422dc00b814183c0216d1ed7fb3cd9,93,2015-03-19
19,42422dc00b814183c0216d1ed7fb3cd9,57,2015-03-20
20,42422dc00b814183c0216d1ed7fb3cd9,62,2015-03-21
21,42422dc00b814183c0216d1ed7fb3cd9,123,2015-03-22
22,42422dc00b814183c0216d1ed7fb3cd9,57,2015-03-23
23,42422dc00b814183c0216d1ed7fb3cd9,42,2015-03-24
24,42422dc00b814183c0216d1ed7fb3cd9,64,2015-03-25
25,42422dc00b814183c0216d1ed7fb3cd9,74,2015-03-26
26,42422dc00b814183c0216d1ed7fb3cd9,66,2015-03-27
27,42422dc00b814183c0216d1ed7fb3cd9,110,2015-03-28
28,42422dc00b814183c0216d1ed7fb3cd9,117,2015-03-29
29,42422dc00b814183c0216d1ed7fb3cd9,60,2015-03-30
30,42422dc00b814183c0216d1ed7fb3cd9,86,2015-03-31
31,42422dc00b814183c0216d1ed7fb3cd9,72,2015-04-01
32,42422dc00b814183c0216d1ed7fb3cd9,61,2015-04-02
33,42422dc00b814183c0216d1ed7fb3cd9,87,2015-04-03
34,42422dc00b814183c0216d1ed7fb3cd9,81,2015-04-04
35,42422dc00b814183c0216d1ed7fb3cd9,74,2015-04-05
36,42422dc00b814183c0216d1ed7fb3cd9,71,2015-04-06
37,42422dc00b814183c0216d1ed7fb3cd9,55,2015-04-07
38,42422dc00b814183c0216d1ed7fb3cd9,101,2015-04-08
39,42422dc00b814183c0216d1ed7fb3cd9,72,2015-04-09
40,42422dc00b814183c0216d1ed7fb3cd9,53,2015-04-10
41,42422dc00b814183c0216d1ed7fb3cd9,65,2015-04-11
42,42422dc00b814183c0216d1ed7fb3cd9,59,2015-04-12
43,42422dc00b814183c0216d1ed7fb3cd9,63,2015-04-13
44,42422dc00b814183c0216d1ed7fb3cd9,88,2015-04-14
45,42422dc00b814183c0216d1ed7fb3cd9,81,2015-04-15
46,42422dc00b814183c0216d1ed7fb3cd9,160,2015-04-16
47,42422dc00b814183c0216d1ed7fb3cd9,100,2015-04-17
48,42422dc00b814183c0216d1ed7fb3cd9,104,2015-04-18
49,42422dc00b814183c0216d1ed7fb3cd9,178,2015-04-19
50,42422dc00b814183c0216d1ed7fb3cd9,114,2015-04-20
51,42422dc00b814183c0216d1ed7fb3cd9,131,2015-04-21
52,42422dc00b814183c0216d1ed7fb3cd9,95,2015-04-22
53,42422dc00b814183c0216d1ed7fb3cd9,107,2015-04-23
54,42422dc00b814183c0216d1ed7fb3cd9,140,2015-04-24
55,42422dc00b814183c0216d1ed7fb3cd9,136,2015-04-25
56,42422dc00b814183c0216d1ed7fb3cd9,113,2015-04-26
57,42422dc00b814183c0216d1ed7fb3cd9,81,2015-04-27
58,42422dc00b814183c0216d1ed7fb3cd9,61,2015-04-28
59,42422dc00b814183c0216d1ed7fb3cd9,104,2015-04-29
60,42422dc00b814183c0216d1ed7fb3cd9,116,2015-04-30
61,42422dc00b814183c0216d1ed7fb3cd9,98,2015-05-01
62,42422dc00b814183c0216d1ed7fb3cd9,138,2015-05-02
63,42422dc00b814183c0216d1ed7fb3cd9,86,2015-05-03
64,42422dc00b814183c0216d1ed7fb3cd9,80,2015-05-04
65,42422dc00b814183c0216d1ed7fb3cd9,74,2015-05-05
66,42422dc00b814183c0216d1ed7fb3cd9,99,2015-05-06
