,artist_id,down,ds
0,445a257964b9689f115a69e8cc5dcb75,31,2015-03-01
1,445a257964b9689f115a69e8cc5dcb75,8,2015-03-02
2,445a257964b9689f115a69e8cc5dcb75,4,2015-03-03
3,445a257964b9689f115a69e8cc5dcb75,4,2015-03-04
4,445a257964b9689f115a69e8cc5dcb75,33,2015-03-05
5,445a257964b9689f115a69e8cc5dcb75,20,2015-03-06
6,445a257964b9689f115a69e8cc5dcb75,9,2015-03-07
7,445a257964b9689f115a69e8cc5dcb75,10,2015-03-08
8,445a257964b9689f115a69e8cc5dcb75,13,2015-03-09
9,445a257964b9689f115a69e8cc5dcb75,13,2015-03-10
10,445a257964b9689f115a69e8cc5dcb75,8,2015-03-11
11,445a257964b9689f115a69e8cc5dcb75,13,2015-03-12
12,445a257964b9689f115a69e8cc5dcb75,14,2015-03-13
13,445a257964b9689f115a69e8cc5dcb75,5,2015-03-14
14,445a257964b9689f115a69e8cc5dcb75,8,2015-03-15
15,445a257964b9689f115a69e8cc5dcb75,9,2015-03-16
16,445a257964b9689f115a69e8cc5dcb75,7,2015-03-17
17,445a257964b9689f115a69e8cc5dcb75,4,2015-03-18
18,445a257964b9689f115a69e8cc5dcb75,3,2015-03-19
19,445a257964b9689f115a69e8cc5dcb75,7,2015-03-20
20,445a257964b9689f115a69e8cc5dcb75,12,2015-03-21
21,445a257964b9689f115a69e8cc5dcb75,16,2015-03-22
22,445a257964b9689f115a69e8cc5dcb75,8,2015-03-23
23,445a257964b9689f115a69e8cc5dcb75,9,2015-03-24
24,445a257964b9689f115a69e8cc5dcb75,7,2015-03-25
25,445a257964b9689f115a69e8cc5dcb75,10,2015-03-26
26,445a257964b9689f115a69e8cc5dcb75,8,2015-03-27
27,445a257964b9689f115a69e8cc5dcb75,4,2015-03-28
28,445a257964b9689f115a69e8cc5dcb75,28,2015-03-29
29,445a257964b9689f115a69e8cc5dcb75,20,2015-03-30
30,445a257964b9689f115a69e8cc5dcb75,3,2015-03-31
31,445a257964b9689f115a69e8cc5dcb75,9,2015-04-01
32,445a257964b9689f115a69e8cc5dcb75,6,2015-04-02
33,445a257964b9689f115a69e8cc5dcb75,5,2015-04-03
34,445a257964b9689f115a69e8cc5dcb75,8,2015-04-04
35,445a257964b9689f115a69e8cc5dcb75,7,2015-04-05
36,445a257964b9689f115a69e8cc5dcb75,15,2015-04-06
37,445a257964b9689f115a69e8cc5dcb75,7,2015-04-07
38,445a257964b9689f115a69e8cc5dcb75,11,2015-04-08
39,445a257964b9689f115a69e8cc5dcb75,6,2015-04-09
40,445a257964b9689f115a69e8cc5dcb75,7,2015-04-10
41,445a257964b9689f115a69e8cc5dcb75,11,2015-04-11
42,445a257964b9689f115a69e8cc5dcb75,7,2015-04-12
43,445a257964b9689f115a69e8cc5dcb75,14,2015-04-13
