,artist_id,down,ds
0,4ee3f9c90101073c99d5440b41f07daa,4,2015-03-01
1,4ee3f9c90101073c99d5440b41f07daa,4,2015-03-02
2,4ee3f9c90101073c99d5440b41f07daa,15,2015-03-03
3,4ee3f9c90101073c99d5440b41f07daa,2,2015-03-04
4,4ee3f9c90101073c99d5440b41f07daa,26,2015-03-05
5,4ee3f9c90101073c99d5440b41f07daa,8,2015-03-06
6,4ee3f9c90101073c99d5440b41f07daa,3,2015-03-07
7,4ee3f9c90101073c99d5440b41f07daa,5,2015-03-08
8,4ee3f9c90101073c99d5440b41f07daa,3,2015-03-11
9,4ee3f9c90101073c99d5440b41f07daa,11,2015-03-12
10,4ee3f9c90101073c99d5440b41f07daa,3,2015-03-13
11,4ee3f9c90101073c99d5440b41f07daa,20,2015-03-14
12,4ee3f9c90101073c99d5440b41f07daa,1,2015-03-15
13,4ee3f9c90101073c99d5440b41f07daa,5,2015-03-16
14,4ee3f9c90101073c99d5440b41f07daa,6,2015-03-17
15,4ee3f9c90101073c99d5440b41f07daa,2,2015-03-18
16,4ee3f9c90101073c99d5440b41f07daa,6,2015-03-19
17,4ee3f9c90101073c99d5440b41f07daa,2,2015-03-20
18,4ee3f9c90101073c99d5440b41f07daa,6,2015-03-21
19,4ee3f9c90101073c99d5440b41f07daa,16,2015-03-22
20,4ee3f9c90101073c99d5440b41f07daa,2,2015-03-23
21,4ee3f9c90101073c99d5440b41f07daa,3,2015-03-24
22,4ee3f9c90101073c99d5440b41f07daa,3,2015-03-25
23,4ee3f9c90101073c99d5440b41f07daa,2,2015-03-26
24,4ee3f9c90101073c99d5440b41f07daa,2,2015-03-27
25,4ee3f9c90101073c99d5440b41f07daa,6,2015-03-28
26,4ee3f9c90101073c99d5440b41f07daa,6,2015-03-29
27,4ee3f9c90101073c99d5440b41f07daa,1,2015-03-30
28,4ee3f9c90101073c99d5440b41f07daa,15,2015-03-31
29,4ee3f9c90101073c99d5440b41f07daa,1,2015-04-01
30,4ee3f9c90101073c99d5440b41f07daa,6,2015-04-02
31,4ee3f9c90101073c99d5440b41f07daa,6,2015-04-03
32,4ee3f9c90101073c99d5440b41f07daa,8,2015-04-04
33,4ee3f9c90101073c99d5440b41f07daa,6,2015-04-05
34,4ee3f9c90101073c99d5440b41f07daa,7,2015-04-06
35,4ee3f9c90101073c99d5440b41f07daa,2,2015-04-07
36,4ee3f9c90101073c99d5440b41f07daa,5,2015-04-08
37,4ee3f9c90101073c99d5440b41f07daa,4,2015-04-09
38,4ee3f9c90101073c99d5440b41f07daa,12,2015-04-10
39,4ee3f9c90101073c99d5440b41f07daa,5,2015-04-12
40,4ee3f9c90101073c99d5440b41f07daa,6,2015-04-13
41,4ee3f9c90101073c99d5440b41f07daa,8,2015-04-14
42,4ee3f9c90101073c99d5440b41f07daa,3,2015-04-16
43,4ee3f9c90101073c99d5440b41f07daa,11,2015-04-18
44,4ee3f9c90101073c99d5440b41f07daa,3,2015-04-19
45,4ee3f9c90101073c99d5440b41f07daa,6,2015-04-20
46,4ee3f9c90101073c99d5440b41f07daa,1,2015-04-21
47,4ee3f9c90101073c99d5440b41f07daa,3,2015-04-22
48,4ee3f9c90101073c99d5440b41f07daa,3,2015-04-23
49,4ee3f9c90101073c99d5440b41f07daa,9,2015-04-24
50,4ee3f9c90101073c99d5440b41f07daa,15,2015-04-25
51,4ee3f9c90101073c99d5440b41f07daa,5,2015-04-26
52,4ee3f9c90101073c99d5440b41f07daa,4,2015-04-27
53,4ee3f9c90101073c99d5440b41f07daa,2,2015-04-28
54,4ee3f9c90101073c99d5440b41f07daa,2,2015-04-29
55,4ee3f9c90101073c99d5440b41f07daa,4,2015-04-30
56,4ee3f9c90101073c99d5440b41f07daa,6,2015-05-01
57,4ee3f9c90101073c99d5440b41f07daa,3,2015-05-02
58,4ee3f9c90101073c99d5440b41f07daa,6,2015-05-03
59,4ee3f9c90101073c99d5440b41f07daa,1,2015-05-04
60,4ee3f9c90101073c99d5440b41f07daa,5,2015-05-05
61,4ee3f9c90101073c99d5440b41f07daa,4,2015-05-06
62,4ee3f9c90101073c99d5440b41f07daa,5,2015-05-07
63,4ee3f9c90101073c99d5440b41f07daa,1,2015-05-09
64,4ee3f9c90101073c99d5440b41f07daa,6,2015-05-10
65,4ee3f9c90101073c99d5440b41f07daa,7,2015-05-12
66,4ee3f9c90101073c99d5440b41f07daa,1,2015-05-13
67,4ee3f9c90101073c99d5440b41f07daa,4,2015-05-14
68,4ee3f9c90101073c99d5440b41f07daa,8,2015-05-15
69,4ee3f9c90101073c99d5440b41f07daa,12,2015-05-16
70,4ee3f9c90101073c99d5440b41f07daa,8,2015-05-17
71,4ee3f9c90101073c99d5440b41f07daa,4,2015-05-18
72,4ee3f9c90101073c99d5440b41f07daa,2,2015-05-19
73,4ee3f9c90101073c99d5440b41f07daa,2,2015-05-20
74,4ee3f9c90101073c99d5440b41f07daa,3,2015-05-21
75,4ee3f9c90101073c99d5440b41f07daa,5,2015-05-22
76,4ee3f9c90101073c99d5440b41f07daa,8,2015-05-23
77,4ee3f9c90101073c99d5440b41f07daa,2,2015-05-24
78,4ee3f9c90101073c99d5440b41f07daa,4,2015-05-25
79,4ee3f9c90101073c99d5440b41f07daa,1,2015-05-26
