,artist_id,down,ds
0,4f3f68292e50f39cd8142733512c07d6,75,2015-03-01
1,4f3f68292e50f39cd8142733512c07d6,67,2015-03-02
2,4f3f68292e50f39cd8142733512c07d6,40,2015-03-03
3,4f3f68292e50f39cd8142733512c07d6,43,2015-03-04
4,4f3f68292e50f39cd8142733512c07d6,61,2015-03-05
5,4f3f68292e50f39cd8142733512c07d6,37,2015-03-06
6,4f3f68292e50f39cd8142733512c07d6,48,2015-03-07
7,4f3f68292e50f39cd8142733512c07d6,55,2015-03-08
8,4f3f68292e50f39cd8142733512c07d6,69,2015-03-09
9,4f3f68292e50f39cd8142733512c07d6,68,2015-03-10
10,4f3f68292e50f39cd8142733512c07d6,97,2015-03-11
11,4f3f68292e50f39cd8142733512c07d6,51,2015-03-12
12,4f3f68292e50f39cd8142733512c07d6,28,2015-03-13
13,4f3f68292e50f39cd8142733512c07d6,46,2015-03-14
14,4f3f68292e50f39cd8142733512c07d6,37,2015-03-15
15,4f3f68292e50f39cd8142733512c07d6,45,2015-03-16
16,4f3f68292e50f39cd8142733512c07d6,41,2015-03-17
17,4f3f68292e50f39cd8142733512c07d6,47,2015-03-18
18,4f3f68292e50f39cd8142733512c07d6,32,2015-03-19
19,4f3f68292e50f39cd8142733512c07d6,49,2015-03-20
20,4f3f68292e50f39cd8142733512c07d6,91,2015-03-21
21,4f3f68292e50f39cd8142733512c07d6,44,2015-03-22
22,4f3f68292e50f39cd8142733512c07d6,103,2015-03-23
23,4f3f68292e50f39cd8142733512c07d6,54,2015-03-24
24,4f3f68292e50f39cd8142733512c07d6,32,2015-03-25
25,4f3f68292e50f39cd8142733512c07d6,68,2015-03-26
26,4f3f68292e50f39cd8142733512c07d6,96,2015-03-27
27,4f3f68292e50f39cd8142733512c07d6,91,2015-03-28
28,4f3f68292e50f39cd8142733512c07d6,43,2015-03-29
29,4f3f68292e50f39cd8142733512c07d6,46,2015-03-30
30,4f3f68292e50f39cd8142733512c07d6,116,2015-03-31
31,4f3f68292e50f39cd8142733512c07d6,41,2015-04-01
32,4f3f68292e50f39cd8142733512c07d6,59,2015-04-02
33,4f3f68292e50f39cd8142733512c07d6,180,2015-04-03
34,4f3f68292e50f39cd8142733512c07d6,74,2015-04-04
35,4f3f68292e50f39cd8142733512c07d6,78,2015-04-05
36,4f3f68292e50f39cd8142733512c07d6,267,2015-04-06
37,4f3f68292e50f39cd8142733512c07d6,123,2015-04-07
38,4f3f68292e50f39cd8142733512c07d6,113,2015-04-08
39,4f3f68292e50f39cd8142733512c07d6,52,2015-04-09
40,4f3f68292e50f39cd8142733512c07d6,53,2015-04-10
41,4f3f68292e50f39cd8142733512c07d6,106,2015-04-11
42,4f3f68292e50f39cd8142733512c07d6,51,2015-04-12
43,4f3f68292e50f39cd8142733512c07d6,34,2015-04-13
44,4f3f68292e50f39cd8142733512c07d6,64,2015-04-14
45,4f3f68292e50f39cd8142733512c07d6,34,2015-04-15
46,4f3f68292e50f39cd8142733512c07d6,75,2015-04-16
47,4f3f68292e50f39cd8142733512c07d6,87,2015-04-17
48,4f3f68292e50f39cd8142733512c07d6,94,2015-04-18
49,4f3f68292e50f39cd8142733512c07d6,117,2015-04-19
50,4f3f68292e50f39cd8142733512c07d6,63,2015-04-20
51,4f3f68292e50f39cd8142733512c07d6,62,2015-04-21
52,4f3f68292e50f39cd8142733512c07d6,45,2015-04-22
53,4f3f68292e50f39cd8142733512c07d6,38,2015-04-23
54,4f3f68292e50f39cd8142733512c07d6,54,2015-04-24
55,4f3f68292e50f39cd8142733512c07d6,54,2015-04-25
56,4f3f68292e50f39cd8142733512c07d6,120,2015-04-26
57,4f3f68292e50f39cd8142733512c07d6,40,2015-04-27
58,4f3f68292e50f39cd8142733512c07d6,59,2015-04-28
59,4f3f68292e50f39cd8142733512c07d6,32,2015-04-29
60,4f3f68292e50f39cd8142733512c07d6,61,2015-04-30
61,4f3f68292e50f39cd8142733512c07d6,52,2015-05-01
62,4f3f68292e50f39cd8142733512c07d6,102,2015-05-02
63,4f3f68292e50f39cd8142733512c07d6,71,2015-05-03
64,4f3f68292e50f39cd8142733512c07d6,50,2015-05-04
65,4f3f68292e50f39cd8142733512c07d6,63,2015-05-05
66,4f3f68292e50f39cd8142733512c07d6,83,2015-05-06
67,4f3f68292e50f39cd8142733512c07d6,96,2015-05-07
68,4f3f68292e50f39cd8142733512c07d6,95,2015-05-08
69,4f3f68292e50f39cd8142733512c07d6,87,2015-05-09
70,4f3f68292e50f39cd8142733512c07d6,51,2015-05-10
71,4f3f68292e50f39cd8142733512c07d6,154,2015-05-11
72,4f3f68292e50f39cd8142733512c07d6,56,2015-05-12
73,4f3f68292e50f39cd8142733512c07d6,55,2015-05-13
74,4f3f68292e50f39cd8142733512c07d6,67,2015-05-14
75,4f3f68292e50f39cd8142733512c07d6,85,2015-05-15
76,4f3f68292e50f39cd8142733512c07d6,64,2015-05-16
77,4f3f68292e50f39cd8142733512c07d6,134,2015-05-17
78,4f3f68292e50f39cd8142733512c07d6,145,2015-05-18
79,4f3f68292e50f39cd8142733512c07d6,53,2015-05-19
80,4f3f68292e50f39cd8142733512c07d6,63,2015-05-20
81,4f3f68292e50f39cd8142733512c07d6,57,2015-05-21
82,4f3f68292e50f39cd8142733512c07d6,74,2015-05-22
83,4f3f68292e50f39cd8142733512c07d6,88,2015-05-23
84,4f3f68292e50f39cd8142733512c07d6,95,2015-05-24
85,4f3f68292e50f39cd8142733512c07d6,59,2015-05-25
86,4f3f68292e50f39cd8142733512c07d6,88,2015-05-26
87,4f3f68292e50f39cd8142733512c07d6,56,2015-05-27
88,4f3f68292e50f39cd8142733512c07d6,97,2015-05-28
89,4f3f68292e50f39cd8142733512c07d6,62,2015-05-29
90,4f3f68292e50f39cd8142733512c07d6,111,2015-05-30
91,4f3f68292e50f39cd8142733512c07d6,78,2015-05-31
92,4f3f68292e50f39cd8142733512c07d6,162,2015-06-01
93,4f3f68292e50f39cd8142733512c07d6,60,2015-06-02
94,4f3f68292e50f39cd8142733512c07d6,52,2015-06-03
95,4f3f68292e50f39cd8142733512c07d6,104,2015-06-04
96,4f3f68292e50f39cd8142733512c07d6,52,2015-06-05
97,4f3f68292e50f39cd8142733512c07d6,70,2015-06-06
98,4f3f68292e50f39cd8142733512c07d6,102,2015-06-07
99,4f3f68292e50f39cd8142733512c07d6,60,2015-06-08
100,4f3f68292e50f39cd8142733512c07d6,128,2015-06-09
101,4f3f68292e50f39cd8142733512c07d6,46,2015-06-10
102,4f3f68292e50f39cd8142733512c07d6,44,2015-06-11
103,4f3f68292e50f39cd8142733512c07d6,37,2015-06-12
104,4f3f68292e50f39cd8142733512c07d6,69,2015-06-13
105,4f3f68292e50f39cd8142733512c07d6,113,2015-06-14
106,4f3f68292e50f39cd8142733512c07d6,53,2015-06-15
107,4f3f68292e50f39cd8142733512c07d6,61,2015-06-16
108,4f3f68292e50f39cd8142733512c07d6,67,2015-06-17
109,4f3f68292e50f39cd8142733512c07d6,69,2015-06-18
110,4f3f68292e50f39cd8142733512c07d6,64,2015-06-19
111,4f3f68292e50f39cd8142733512c07d6,119,2015-06-20
112,4f3f68292e50f39cd8142733512c07d6,39,2015-06-21
113,4f3f68292e50f39cd8142733512c07d6,44,2015-06-22
114,4f3f68292e50f39cd8142733512c07d6,64,2015-06-23
115,4f3f68292e50f39cd8142733512c07d6,81,2015-06-24
116,4f3f68292e50f39cd8142733512c07d6,98,2015-06-25
117,4f3f68292e50f39cd8142733512c07d6,61,2015-06-26
118,4f3f68292e50f39cd8142733512c07d6,72,2015-06-27
119,4f3f68292e50f39cd8142733512c07d6,72,2015-06-28
120,4f3f68292e50f39cd8142733512c07d6,47,2015-06-29
121,4f3f68292e50f39cd8142733512c07d6,80,2015-06-30
122,4f3f68292e50f39cd8142733512c07d6,53,2015-07-01
123,4f3f68292e50f39cd8142733512c07d6,46,2015-07-02
124,4f3f68292e50f39cd8142733512c07d6,64,2015-07-03
125,4f3f68292e50f39cd8142733512c07d6,80,2015-07-04
126,4f3f68292e50f39cd8142733512c07d6,62,2015-07-05
127,4f3f68292e50f39cd8142733512c07d6,59,2015-07-06
128,4f3f68292e50f39cd8142733512c07d6,82,2015-07-07
129,4f3f68292e50f39cd8142733512c07d6,103,2015-07-08
130,4f3f68292e50f39cd8142733512c07d6,121,2015-07-09
131,4f3f68292e50f39cd8142733512c07d6,118,2015-07-10
132,4f3f68292e50f39cd8142733512c07d6,150,2015-07-11
133,4f3f68292e50f39cd8142733512c07d6,65,2015-07-12
134,4f3f68292e50f39cd8142733512c07d6,67,2015-07-13
135,4f3f68292e50f39cd8142733512c07d6,143,2015-07-14
136,4f3f68292e50f39cd8142733512c07d6,72,2015-07-15
137,4f3f68292e50f39cd8142733512c07d6,80,2015-07-16
138,4f3f68292e50f39cd8142733512c07d6,82,2015-07-17
139,4f3f68292e50f39cd8142733512c07d6,51,2015-07-18
140,4f3f68292e50f39cd8142733512c07d6,93,2015-07-19
141,4f3f68292e50f39cd8142733512c07d6,68,2015-07-20
142,4f3f68292e50f39cd8142733512c07d6,89,2015-07-21
143,4f3f68292e50f39cd8142733512c07d6,84,2015-07-22
144,4f3f68292e50f39cd8142733512c07d6,102,2015-07-23
145,4f3f68292e50f39cd8142733512c07d6,92,2015-07-24
146,4f3f68292e50f39cd8142733512c07d6,97,2015-07-25
147,4f3f68292e50f39cd8142733512c07d6,71,2015-07-26
148,4f3f68292e50f39cd8142733512c07d6,86,2015-07-27
149,4f3f68292e50f39cd8142733512c07d6,48,2015-07-28
150,4f3f68292e50f39cd8142733512c07d6,63,2015-07-29
151,4f3f68292e50f39cd8142733512c07d6,78,2015-07-30
152,4f3f68292e50f39cd8142733512c07d6,43,2015-07-31
153,4f3f68292e50f39cd8142733512c07d6,77,2015-08-01
154,4f3f68292e50f39cd8142733512c07d6,137,2015-08-02
155,4f3f68292e50f39cd8142733512c07d6,58,2015-08-03
156,4f3f68292e50f39cd8142733512c07d6,49,2015-08-04
157,4f3f68292e50f39cd8142733512c07d6,70,2015-08-05
158,4f3f68292e50f39cd8142733512c07d6,130,2015-08-06
159,4f3f68292e50f39cd8142733512c07d6,58,2015-08-07
160,4f3f68292e50f39cd8142733512c07d6,96,2015-08-08
161,4f3f68292e50f39cd8142733512c07d6,59,2015-08-09
162,4f3f68292e50f39cd8142733512c07d6,96,2015-08-10
163,4f3f68292e50f39cd8142733512c07d6,82,2015-08-11
164,4f3f68292e50f39cd8142733512c07d6,82,2015-08-12
165,4f3f68292e50f39cd8142733512c07d6,40,2015-08-13
166,4f3f68292e50f39cd8142733512c07d6,71,2015-08-14
167,4f3f68292e50f39cd8142733512c07d6,62,2015-08-15
168,4f3f68292e50f39cd8142733512c07d6,46,2015-08-16
169,4f3f68292e50f39cd8142733512c07d6,66,2015-08-17
170,4f3f68292e50f39cd8142733512c07d6,46,2015-08-18
171,4f3f68292e50f39cd8142733512c07d6,49,2015-08-19
172,4f3f68292e50f39cd8142733512c07d6,60,2015-08-20
173,4f3f68292e50f39cd8142733512c07d6,54,2015-08-21
174,4f3f68292e50f39cd8142733512c07d6,66,2015-08-22
175,4f3f68292e50f39cd8142733512c07d6,57,2015-08-23
176,4f3f68292e50f39cd8142733512c07d6,46,2015-08-24
177,4f3f68292e50f39cd8142733512c07d6,67,2015-08-25
178,4f3f68292e50f39cd8142733512c07d6,171,2015-08-26
179,4f3f68292e50f39cd8142733512c07d6,46,2015-08-27
180,4f3f68292e50f39cd8142733512c07d6,72,2015-08-28
