,artist_id,down,ds
0,5e1788cd2cce09d8780d44c81a862e19,42,2015-03-01
1,5e1788cd2cce09d8780d44c81a862e19,50,2015-03-02
2,5e1788cd2cce09d8780d44c81a862e19,13,2015-03-03
3,5e1788cd2cce09d8780d44c81a862e19,15,2015-03-04
4,5e1788cd2cce09d8780d44c81a862e19,26,2015-03-05
5,5e1788cd2cce09d8780d44c81a862e19,30,2015-03-06
6,5e1788cd2cce09d8780d44c81a862e19,23,2015-03-07
7,5e1788cd2cce09d8780d44c81a862e19,21,2015-03-08
8,5e1788cd2cce09d8780d44c81a862e19,25,2015-03-09
9,5e1788cd2cce09d8780d44c81a862e19,28,2015-03-10
10,5e1788cd2cce09d8780d44c81a862e19,15,2015-03-11
11,5e1788cd2cce09d8780d44c81a862e19,86,2015-03-12
12,5e1788cd2cce09d8780d44c81a862e19,43,2015-03-13
13,5e1788cd2cce09d8780d44c81a862e19,116,2015-03-14
14,5e1788cd2cce09d8780d44c81a862e19,346,2015-03-15
15,5e1788cd2cce09d8780d44c81a862e19,44,2015-03-16
16,5e1788cd2cce09d8780d44c81a862e19,51,2015-03-17
17,5e1788cd2cce09d8780d44c81a862e19,25,2015-03-18
18,5e1788cd2cce09d8780d44c81a862e19,37,2015-03-19
19,5e1788cd2cce09d8780d44c81a862e19,328,2015-03-20
20,5e1788cd2cce09d8780d44c81a862e19,31,2015-03-21
21,5e1788cd2cce09d8780d44c81a862e19,57,2015-03-22
22,5e1788cd2cce09d8780d44c81a862e19,30,2015-03-23
23,5e1788cd2cce09d8780d44c81a862e19,57,2015-03-24
24,5e1788cd2cce09d8780d44c81a862e19,34,2015-03-25
25,5e1788cd2cce09d8780d44c81a862e19,25,2015-03-26
26,5e1788cd2cce09d8780d44c81a862e19,36,2015-03-27
27,5e1788cd2cce09d8780d44c81a862e19,77,2015-03-28
28,5e1788cd2cce09d8780d44c81a862e19,55,2015-03-29
29,5e1788cd2cce09d8780d44c81a862e19,46,2015-03-30
30,5e1788cd2cce09d8780d44c81a862e19,33,2015-03-31
31,5e1788cd2cce09d8780d44c81a862e19,51,2015-04-01
32,5e1788cd2cce09d8780d44c81a862e19,37,2015-04-02
33,5e1788cd2cce09d8780d44c81a862e19,96,2015-04-03
34,5e1788cd2cce09d8780d44c81a862e19,92,2015-04-04
35,5e1788cd2cce09d8780d44c81a862e19,61,2015-04-05
36,5e1788cd2cce09d8780d44c81a862e19,172,2015-04-06
37,5e1788cd2cce09d8780d44c81a862e19,19,2015-04-07
38,5e1788cd2cce09d8780d44c81a862e19,38,2015-04-08
39,5e1788cd2cce09d8780d44c81a862e19,77,2015-04-09
40,5e1788cd2cce09d8780d44c81a862e19,260,2015-04-10
41,5e1788cd2cce09d8780d44c81a862e19,15,2015-04-11
42,5e1788cd2cce09d8780d44c81a862e19,107,2015-04-12
43,5e1788cd2cce09d8780d44c81a862e19,26,2015-04-13
44,5e1788cd2cce09d8780d44c81a862e19,45,2015-04-14
45,5e1788cd2cce09d8780d44c81a862e19,25,2015-04-15
46,5e1788cd2cce09d8780d44c81a862e19,45,2015-04-16
47,5e1788cd2cce09d8780d44c81a862e19,20,2015-04-17
48,5e1788cd2cce09d8780d44c81a862e19,51,2015-04-18
49,5e1788cd2cce09d8780d44c81a862e19,38,2015-04-19
50,5e1788cd2cce09d8780d44c81a862e19,26,2015-04-20
51,5e1788cd2cce09d8780d44c81a862e19,24,2015-04-21
52,5e1788cd2cce09d8780d44c81a862e19,41,2015-04-22
53,5e1788cd2cce09d8780d44c81a862e19,32,2015-04-23
54,5e1788cd2cce09d8780d44c81a862e19,41,2015-04-24
55,5e1788cd2cce09d8780d44c81a862e19,23,2015-04-25
56,5e1788cd2cce09d8780d44c81a862e19,168,2015-04-26
57,5e1788cd2cce09d8780d44c81a862e19,179,2015-04-27
58,5e1788cd2cce09d8780d44c81a862e19,23,2015-04-28
59,5e1788cd2cce09d8780d44c81a862e19,61,2015-04-29
60,5e1788cd2cce09d8780d44c81a862e19,44,2015-04-30
61,5e1788cd2cce09d8780d44c81a862e19,31,2015-05-01
62,5e1788cd2cce09d8780d44c81a862e19,47,2015-05-02
63,5e1788cd2cce09d8780d44c81a862e19,81,2015-05-03
64,5e1788cd2cce09d8780d44c81a862e19,25,2015-05-04
65,5e1788cd2cce09d8780d44c81a862e19,32,2015-05-05
66,5e1788cd2cce09d8780d44c81a862e19,69,2015-05-06
67,5e1788cd2cce09d8780d44c81a862e19,111,2015-05-07
68,5e1788cd2cce09d8780d44c81a862e19,24,2015-05-08
69,5e1788cd2cce09d8780d44c81a862e19,40,2015-05-09
70,5e1788cd2cce09d8780d44c81a862e19,101,2015-05-10
71,5e1788cd2cce09d8780d44c81a862e19,48,2015-05-11
72,5e1788cd2cce09d8780d44c81a862e19,36,2015-05-12
73,5e1788cd2cce09d8780d44c81a862e19,10,2015-05-13
74,5e1788cd2cce09d8780d44c81a862e19,33,2015-05-14
75,5e1788cd2cce09d8780d44c81a862e19,184,2015-05-15
76,5e1788cd2cce09d8780d44c81a862e19,35,2015-05-16
77,5e1788cd2cce09d8780d44c81a862e19,22,2015-05-17
78,5e1788cd2cce09d8780d44c81a862e19,889,2015-05-18
79,5e1788cd2cce09d8780d44c81a862e19,594,2015-05-19
80,5e1788cd2cce09d8780d44c81a862e19,414,2015-05-20
81,5e1788cd2cce09d8780d44c81a862e19,373,2015-05-21
82,5e1788cd2cce09d8780d44c81a862e19,285,2015-05-22
83,5e1788cd2cce09d8780d44c81a862e19,323,2015-05-23
84,5e1788cd2cce09d8780d44c81a862e19,471,2015-05-24
85,5e1788cd2cce09d8780d44c81a862e19,226,2015-05-25
86,5e1788cd2cce09d8780d44c81a862e19,252,2015-05-26
87,5e1788cd2cce09d8780d44c81a862e19,305,2015-05-27
88,5e1788cd2cce09d8780d44c81a862e19,334,2015-05-28
89,5e1788cd2cce09d8780d44c81a862e19,313,2015-05-29
90,5e1788cd2cce09d8780d44c81a862e19,316,2015-05-30
91,5e1788cd2cce09d8780d44c81a862e19,403,2015-05-31
92,5e1788cd2cce09d8780d44c81a862e19,226,2015-06-01
93,5e1788cd2cce09d8780d44c81a862e19,144,2015-06-02
94,5e1788cd2cce09d8780d44c81a862e19,103,2015-06-03
95,5e1788cd2cce09d8780d44c81a862e19,153,2015-06-04
96,5e1788cd2cce09d8780d44c81a862e19,101,2015-06-05
97,5e1788cd2cce09d8780d44c81a862e19,127,2015-06-06
98,5e1788cd2cce09d8780d44c81a862e19,262,2015-06-07
99,5e1788cd2cce09d8780d44c81a862e19,97,2015-06-08
100,5e1788cd2cce09d8780d44c81a862e19,107,2015-06-09
101,5e1788cd2cce09d8780d44c81a862e19,146,2015-06-10
102,5e1788cd2cce09d8780d44c81a862e19,135,2015-06-11
103,5e1788cd2cce09d8780d44c81a862e19,74,2015-06-12
104,5e1788cd2cce09d8780d44c81a862e19,157,2015-06-13
105,5e1788cd2cce09d8780d44c81a862e19,428,2015-06-14
106,5e1788cd2cce09d8780d44c81a862e19,111,2015-06-15
107,5e1788cd2cce09d8780d44c81a862e19,97,2015-06-16
108,5e1788cd2cce09d8780d44c81a862e19,158,2015-06-17
109,5e1788cd2cce09d8780d44c81a862e19,69,2015-06-18
110,5e1788cd2cce09d8780d44c81a862e19,97,2015-06-19
111,5e1788cd2cce09d8780d44c81a862e19,85,2015-06-20
112,5e1788cd2cce09d8780d44c81a862e19,91,2015-06-21
113,5e1788cd2cce09d8780d44c81a862e19,79,2015-06-22
114,5e1788cd2cce09d8780d44c81a862e19,354,2015-06-23
115,5e1788cd2cce09d8780d44c81a862e19,69,2015-06-24
116,5e1788cd2cce09d8780d44c81a862e19,121,2015-06-25
117,5e1788cd2cce09d8780d44c81a862e19,219,2015-06-26
118,5e1788cd2cce09d8780d44c81a862e19,143,2015-06-27
119,5e1788cd2cce09d8780d44c81a862e19,72,2015-06-28
120,5e1788cd2cce09d8780d44c81a862e19,99,2015-06-29
121,5e1788cd2cce09d8780d44c81a862e19,108,2015-06-30
122,5e1788cd2cce09d8780d44c81a862e19,146,2015-07-01
123,5e1788cd2cce09d8780d44c81a862e19,62,2015-07-02
124,5e1788cd2cce09d8780d44c81a862e19,75,2015-07-03
125,5e1788cd2cce09d8780d44c81a862e19,121,2015-07-04
126,5e1788cd2cce09d8780d44c81a862e19,181,2015-07-05
127,5e1788cd2cce09d8780d44c81a862e19,73,2015-07-06
128,5e1788cd2cce09d8780d44c81a862e19,75,2015-07-07
129,5e1788cd2cce09d8780d44c81a862e19,57,2015-07-08
130,5e1788cd2cce09d8780d44c81a862e19,82,2015-07-09
131,5e1788cd2cce09d8780d44c81a862e19,59,2015-07-10
132,5e1788cd2cce09d8780d44c81a862e19,129,2015-07-11
133,5e1788cd2cce09d8780d44c81a862e19,79,2015-07-12
134,5e1788cd2cce09d8780d44c81a862e19,73,2015-07-13
135,5e1788cd2cce09d8780d44c81a862e19,124,2015-07-14
136,5e1788cd2cce09d8780d44c81a862e19,74,2015-07-15
