,artist_id,down,ds
0,61dfd882204789d7d0f70fee2b901cef,18,2015-03-01
1,61dfd882204789d7d0f70fee2b901cef,25,2015-03-02
2,61dfd882204789d7d0f70fee2b901cef,23,2015-03-03
3,61dfd882204789d7d0f70fee2b901cef,15,2015-03-04
4,61dfd882204789d7d0f70fee2b901cef,29,2015-03-05
5,61dfd882204789d7d0f70fee2b901cef,15,2015-03-06
6,61dfd882204789d7d0f70fee2b901cef,23,2015-03-07
7,61dfd882204789d7d0f70fee2b901cef,13,2015-03-08
8,61dfd882204789d7d0f70fee2b901cef,6,2015-03-09
9,61dfd882204789d7d0f70fee2b901cef,30,2015-03-10
10,61dfd882204789d7d0f70fee2b901cef,8,2015-03-11
11,61dfd882204789d7d0f70fee2b901cef,31,2015-03-12
12,61dfd882204789d7d0f70fee2b901cef,23,2015-03-13
13,61dfd882204789d7d0f70fee2b901cef,24,2015-03-14
14,61dfd882204789d7d0f70fee2b901cef,19,2015-03-15
15,61dfd882204789d7d0f70fee2b901cef,18,2015-03-16
16,61dfd882204789d7d0f70fee2b901cef,11,2015-03-17
17,61dfd882204789d7d0f70fee2b901cef,8,2015-03-18
18,61dfd882204789d7d0f70fee2b901cef,9,2015-03-19
19,61dfd882204789d7d0f70fee2b901cef,11,2015-03-20
20,61dfd882204789d7d0f70fee2b901cef,5,2015-03-21
21,61dfd882204789d7d0f70fee2b901cef,6,2015-03-22
22,61dfd882204789d7d0f70fee2b901cef,3,2015-03-23
23,61dfd882204789d7d0f70fee2b901cef,3,2015-03-24
24,61dfd882204789d7d0f70fee2b901cef,4,2015-03-25
25,61dfd882204789d7d0f70fee2b901cef,17,2015-03-26
26,61dfd882204789d7d0f70fee2b901cef,6,2015-03-27
27,61dfd882204789d7d0f70fee2b901cef,2,2015-03-28
28,61dfd882204789d7d0f70fee2b901cef,5,2015-03-29
29,61dfd882204789d7d0f70fee2b901cef,6,2015-03-30
30,61dfd882204789d7d0f70fee2b901cef,5,2015-03-31
31,61dfd882204789d7d0f70fee2b901cef,18,2015-04-01
32,61dfd882204789d7d0f70fee2b901cef,7,2015-04-02
