,artist_id,down,ds
0,67b79ef977a160835c9bd75fd610c1af,22,2015-03-01
1,67b79ef977a160835c9bd75fd610c1af,25,2015-03-02
2,67b79ef977a160835c9bd75fd610c1af,20,2015-03-03
3,67b79ef977a160835c9bd75fd610c1af,22,2015-03-04
4,67b79ef977a160835c9bd75fd610c1af,19,2015-03-05
5,67b79ef977a160835c9bd75fd610c1af,17,2015-03-06
6,67b79ef977a160835c9bd75fd610c1af,20,2015-03-07
7,67b79ef977a160835c9bd75fd610c1af,26,2015-03-08
8,67b79ef977a160835c9bd75fd610c1af,76,2015-03-09
9,67b79ef977a160835c9bd75fd610c1af,30,2015-03-10
10,67b79ef977a160835c9bd75fd610c1af,37,2015-03-11
11,67b79ef977a160835c9bd75fd610c1af,27,2015-03-12
12,67b79ef977a160835c9bd75fd610c1af,43,2015-03-13
13,67b79ef977a160835c9bd75fd610c1af,36,2015-03-14
14,67b79ef977a160835c9bd75fd610c1af,28,2015-03-15
15,67b79ef977a160835c9bd75fd610c1af,24,2015-03-16
16,67b79ef977a160835c9bd75fd610c1af,30,2015-03-17
17,67b79ef977a160835c9bd75fd610c1af,31,2015-03-18
18,67b79ef977a160835c9bd75fd610c1af,17,2015-03-19
19,67b79ef977a160835c9bd75fd610c1af,40,2015-03-20
20,67b79ef977a160835c9bd75fd610c1af,41,2015-03-21
21,67b79ef977a160835c9bd75fd610c1af,64,2015-03-22
22,67b79ef977a160835c9bd75fd610c1af,61,2015-03-23
23,67b79ef977a160835c9bd75fd610c1af,22,2015-03-24
24,67b79ef977a160835c9bd75fd610c1af,32,2015-03-25
25,67b79ef977a160835c9bd75fd610c1af,23,2015-03-26
26,67b79ef977a160835c9bd75fd610c1af,42,2015-03-27
27,67b79ef977a160835c9bd75fd610c1af,62,2015-03-28
28,67b79ef977a160835c9bd75fd610c1af,48,2015-03-29
29,67b79ef977a160835c9bd75fd610c1af,62,2015-03-30
30,67b79ef977a160835c9bd75fd610c1af,35,2015-03-31
31,67b79ef977a160835c9bd75fd610c1af,29,2015-04-01
32,67b79ef977a160835c9bd75fd610c1af,25,2015-04-02
33,67b79ef977a160835c9bd75fd610c1af,51,2015-04-03
34,67b79ef977a160835c9bd75fd610c1af,52,2015-04-04
35,67b79ef977a160835c9bd75fd610c1af,112,2015-04-05
36,67b79ef977a160835c9bd75fd610c1af,68,2015-04-06
37,67b79ef977a160835c9bd75fd610c1af,41,2015-04-07
