,artist_id,down,ds
0,67ed1f7f1374e64a93bfca4b44f66dd6,402,2015-03-01
1,67ed1f7f1374e64a93bfca4b44f66dd6,469,2015-03-02
2,67ed1f7f1374e64a93bfca4b44f66dd6,188,2015-03-03
3,67ed1f7f1374e64a93bfca4b44f66dd6,1426,2015-03-04
4,67ed1f7f1374e64a93bfca4b44f66dd6,1334,2015-03-05
5,67ed1f7f1374e64a93bfca4b44f66dd6,627,2015-03-06
6,67ed1f7f1374e64a93bfca4b44f66dd6,229,2015-03-07
7,67ed1f7f1374e64a93bfca4b44f66dd6,282,2015-03-08
8,67ed1f7f1374e64a93bfca4b44f66dd6,192,2015-03-09
9,67ed1f7f1374e64a93bfca4b44f66dd6,261,2015-03-10
10,67ed1f7f1374e64a93bfca4b44f66dd6,297,2015-03-11
11,67ed1f7f1374e64a93bfca4b44f66dd6,214,2015-03-12
12,67ed1f7f1374e64a93bfca4b44f66dd6,416,2015-03-13
13,67ed1f7f1374e64a93bfca4b44f66dd6,438,2015-03-14
14,67ed1f7f1374e64a93bfca4b44f66dd6,488,2015-03-15
15,67ed1f7f1374e64a93bfca4b44f66dd6,373,2015-03-16
16,67ed1f7f1374e64a93bfca4b44f66dd6,120,2015-03-17
17,67ed1f7f1374e64a93bfca4b44f66dd6,258,2015-03-18
18,67ed1f7f1374e64a93bfca4b44f66dd6,120,2015-03-19
19,67ed1f7f1374e64a93bfca4b44f66dd6,365,2015-03-20
20,67ed1f7f1374e64a93bfca4b44f66dd6,678,2015-03-21
21,67ed1f7f1374e64a93bfca4b44f66dd6,198,2015-03-22
22,67ed1f7f1374e64a93bfca4b44f66dd6,148,2015-03-23
23,67ed1f7f1374e64a93bfca4b44f66dd6,189,2015-03-24
24,67ed1f7f1374e64a93bfca4b44f66dd6,514,2015-03-25
25,67ed1f7f1374e64a93bfca4b44f66dd6,241,2015-03-26
26,67ed1f7f1374e64a93bfca4b44f66dd6,265,2015-03-27
27,67ed1f7f1374e64a93bfca4b44f66dd6,212,2015-03-28
28,67ed1f7f1374e64a93bfca4b44f66dd6,542,2015-03-29
29,67ed1f7f1374e64a93bfca4b44f66dd6,294,2015-03-30
30,67ed1f7f1374e64a93bfca4b44f66dd6,550,2015-03-31
31,67ed1f7f1374e64a93bfca4b44f66dd6,681,2015-04-01
32,67ed1f7f1374e64a93bfca4b44f66dd6,567,2015-04-02
33,67ed1f7f1374e64a93bfca4b44f66dd6,446,2015-04-03
34,67ed1f7f1374e64a93bfca4b44f66dd6,453,2015-04-04
35,67ed1f7f1374e64a93bfca4b44f66dd6,308,2015-04-05
36,67ed1f7f1374e64a93bfca4b44f66dd6,754,2015-04-06
