,artist_id,down,ds
0,6a493121e53d83f9e119b02942d7c8fe,67,2015-03-01
1,6a493121e53d83f9e119b02942d7c8fe,47,2015-03-02
2,6a493121e53d83f9e119b02942d7c8fe,29,2015-03-03
3,6a493121e53d83f9e119b02942d7c8fe,28,2015-03-04
4,6a493121e53d83f9e119b02942d7c8fe,45,2015-03-05
5,6a493121e53d83f9e119b02942d7c8fe,29,2015-03-06
6,6a493121e53d83f9e119b02942d7c8fe,82,2015-03-07
7,6a493121e53d83f9e119b02942d7c8fe,34,2015-03-08
8,6a493121e53d83f9e119b02942d7c8fe,31,2015-03-09
9,6a493121e53d83f9e119b02942d7c8fe,32,2015-03-10
10,6a493121e53d83f9e119b02942d7c8fe,22,2015-03-11
11,6a493121e53d83f9e119b02942d7c8fe,30,2015-03-12
12,6a493121e53d83f9e119b02942d7c8fe,24,2015-03-13
13,6a493121e53d83f9e119b02942d7c8fe,29,2015-03-14
14,6a493121e53d83f9e119b02942d7c8fe,25,2015-03-15
15,6a493121e53d83f9e119b02942d7c8fe,17,2015-03-16
16,6a493121e53d83f9e119b02942d7c8fe,19,2015-03-17
17,6a493121e53d83f9e119b02942d7c8fe,36,2015-03-18
18,6a493121e53d83f9e119b02942d7c8fe,17,2015-03-19
19,6a493121e53d83f9e119b02942d7c8fe,26,2015-03-20
20,6a493121e53d83f9e119b02942d7c8fe,28,2015-03-21
21,6a493121e53d83f9e119b02942d7c8fe,31,2015-03-22
22,6a493121e53d83f9e119b02942d7c8fe,56,2015-03-23
23,6a493121e53d83f9e119b02942d7c8fe,28,2015-03-24
24,6a493121e53d83f9e119b02942d7c8fe,28,2015-03-25
25,6a493121e53d83f9e119b02942d7c8fe,60,2015-03-26
26,6a493121e53d83f9e119b02942d7c8fe,41,2015-03-27
27,6a493121e53d83f9e119b02942d7c8fe,42,2015-03-28
28,6a493121e53d83f9e119b02942d7c8fe,27,2015-03-29
29,6a493121e53d83f9e119b02942d7c8fe,37,2015-03-30
30,6a493121e53d83f9e119b02942d7c8fe,20,2015-03-31
31,6a493121e53d83f9e119b02942d7c8fe,45,2015-04-01
32,6a493121e53d83f9e119b02942d7c8fe,35,2015-04-02
33,6a493121e53d83f9e119b02942d7c8fe,43,2015-04-03
34,6a493121e53d83f9e119b02942d7c8fe,37,2015-04-04
35,6a493121e53d83f9e119b02942d7c8fe,38,2015-04-05
36,6a493121e53d83f9e119b02942d7c8fe,60,2015-04-06
37,6a493121e53d83f9e119b02942d7c8fe,20,2015-04-07
38,6a493121e53d83f9e119b02942d7c8fe,37,2015-04-08
39,6a493121e53d83f9e119b02942d7c8fe,37,2015-04-09
40,6a493121e53d83f9e119b02942d7c8fe,39,2015-04-10
41,6a493121e53d83f9e119b02942d7c8fe,59,2015-04-11
42,6a493121e53d83f9e119b02942d7c8fe,52,2015-04-12
43,6a493121e53d83f9e119b02942d7c8fe,26,2015-04-13
44,6a493121e53d83f9e119b02942d7c8fe,25,2015-04-14
45,6a493121e53d83f9e119b02942d7c8fe,27,2015-04-15
46,6a493121e53d83f9e119b02942d7c8fe,42,2015-04-16
47,6a493121e53d83f9e119b02942d7c8fe,38,2015-04-17
48,6a493121e53d83f9e119b02942d7c8fe,46,2015-04-18
49,6a493121e53d83f9e119b02942d7c8fe,56,2015-04-19
50,6a493121e53d83f9e119b02942d7c8fe,49,2015-04-20
51,6a493121e53d83f9e119b02942d7c8fe,44,2015-04-21
52,6a493121e53d83f9e119b02942d7c8fe,76,2015-04-22
53,6a493121e53d83f9e119b02942d7c8fe,34,2015-04-23
54,6a493121e53d83f9e119b02942d7c8fe,23,2015-04-24
55,6a493121e53d83f9e119b02942d7c8fe,71,2015-04-25
56,6a493121e53d83f9e119b02942d7c8fe,56,2015-04-26
57,6a493121e53d83f9e119b02942d7c8fe,38,2015-04-27
58,6a493121e53d83f9e119b02942d7c8fe,45,2015-04-28
59,6a493121e53d83f9e119b02942d7c8fe,43,2015-04-29
60,6a493121e53d83f9e119b02942d7c8fe,49,2015-04-30
61,6a493121e53d83f9e119b02942d7c8fe,36,2015-05-01
62,6a493121e53d83f9e119b02942d7c8fe,118,2015-05-02
63,6a493121e53d83f9e119b02942d7c8fe,30,2015-05-03
64,6a493121e53d83f9e119b02942d7c8fe,17,2015-05-04
65,6a493121e53d83f9e119b02942d7c8fe,29,2015-05-05
66,6a493121e53d83f9e119b02942d7c8fe,61,2015-05-06
67,6a493121e53d83f9e119b02942d7c8fe,44,2015-05-07
68,6a493121e53d83f9e119b02942d7c8fe,58,2015-05-08
69,6a493121e53d83f9e119b02942d7c8fe,91,2015-05-09
70,6a493121e53d83f9e119b02942d7c8fe,48,2015-05-10
71,6a493121e53d83f9e119b02942d7c8fe,44,2015-05-11
72,6a493121e53d83f9e119b02942d7c8fe,60,2015-05-12
73,6a493121e53d83f9e119b02942d7c8fe,36,2015-05-13
74,6a493121e53d83f9e119b02942d7c8fe,52,2015-05-14
75,6a493121e53d83f9e119b02942d7c8fe,37,2015-05-15
76,6a493121e53d83f9e119b02942d7c8fe,45,2015-05-16
77,6a493121e53d83f9e119b02942d7c8fe,42,2015-05-17
78,6a493121e53d83f9e119b02942d7c8fe,45,2015-05-18
79,6a493121e53d83f9e119b02942d7c8fe,28,2015-05-19
80,6a493121e53d83f9e119b02942d7c8fe,39,2015-05-20
81,6a493121e53d83f9e119b02942d7c8fe,34,2015-05-21
82,6a493121e53d83f9e119b02942d7c8fe,43,2015-05-22
83,6a493121e53d83f9e119b02942d7c8fe,43,2015-05-23
84,6a493121e53d83f9e119b02942d7c8fe,46,2015-05-24
85,6a493121e53d83f9e119b02942d7c8fe,57,2015-05-25
86,6a493121e53d83f9e119b02942d7c8fe,32,2015-05-26
87,6a493121e53d83f9e119b02942d7c8fe,41,2015-05-27
88,6a493121e53d83f9e119b02942d7c8fe,46,2015-05-28
89,6a493121e53d83f9e119b02942d7c8fe,27,2015-05-29
90,6a493121e53d83f9e119b02942d7c8fe,56,2015-05-30
91,6a493121e53d83f9e119b02942d7c8fe,56,2015-05-31
92,6a493121e53d83f9e119b02942d7c8fe,52,2015-06-01
93,6a493121e53d83f9e119b02942d7c8fe,65,2015-06-02
94,6a493121e53d83f9e119b02942d7c8fe,77,2015-06-03
95,6a493121e53d83f9e119b02942d7c8fe,35,2015-06-04
96,6a493121e53d83f9e119b02942d7c8fe,31,2015-06-05
97,6a493121e53d83f9e119b02942d7c8fe,39,2015-06-06
98,6a493121e53d83f9e119b02942d7c8fe,69,2015-06-07
99,6a493121e53d83f9e119b02942d7c8fe,42,2015-06-08
100,6a493121e53d83f9e119b02942d7c8fe,40,2015-06-09
101,6a493121e53d83f9e119b02942d7c8fe,41,2015-06-10
102,6a493121e53d83f9e119b02942d7c8fe,25,2015-06-11
103,6a493121e53d83f9e119b02942d7c8fe,30,2015-06-12
104,6a493121e53d83f9e119b02942d7c8fe,49,2015-06-13
105,6a493121e53d83f9e119b02942d7c8fe,36,2015-06-14
106,6a493121e53d83f9e119b02942d7c8fe,43,2015-06-15
107,6a493121e53d83f9e119b02942d7c8fe,38,2015-06-16
108,6a493121e53d83f9e119b02942d7c8fe,39,2015-06-17
109,6a493121e53d83f9e119b02942d7c8fe,40,2015-06-18
110,6a493121e53d83f9e119b02942d7c8fe,51,2015-06-19
111,6a493121e53d83f9e119b02942d7c8fe,60,2015-06-20
112,6a493121e53d83f9e119b02942d7c8fe,43,2015-06-21
113,6a493121e53d83f9e119b02942d7c8fe,34,2015-06-22
114,6a493121e53d83f9e119b02942d7c8fe,34,2015-06-23
115,6a493121e53d83f9e119b02942d7c8fe,29,2015-06-24
116,6a493121e53d83f9e119b02942d7c8fe,36,2015-06-25
117,6a493121e53d83f9e119b02942d7c8fe,26,2015-06-26
118,6a493121e53d83f9e119b02942d7c8fe,45,2015-06-27
119,6a493121e53d83f9e119b02942d7c8fe,50,2015-06-28
120,6a493121e53d83f9e119b02942d7c8fe,37,2015-06-29
121,6a493121e53d83f9e119b02942d7c8fe,46,2015-06-30
122,6a493121e53d83f9e119b02942d7c8fe,38,2015-07-01
123,6a493121e53d83f9e119b02942d7c8fe,42,2015-07-02
124,6a493121e53d83f9e119b02942d7c8fe,54,2015-07-03
125,6a493121e53d83f9e119b02942d7c8fe,49,2015-07-04
126,6a493121e53d83f9e119b02942d7c8fe,54,2015-07-05
127,6a493121e53d83f9e119b02942d7c8fe,37,2015-07-06
128,6a493121e53d83f9e119b02942d7c8fe,29,2015-07-07
129,6a493121e53d83f9e119b02942d7c8fe,35,2015-07-08
130,6a493121e53d83f9e119b02942d7c8fe,33,2015-07-09
131,6a493121e53d83f9e119b02942d7c8fe,47,2015-07-10
132,6a493121e53d83f9e119b02942d7c8fe,40,2015-07-11
133,6a493121e53d83f9e119b02942d7c8fe,84,2015-07-12
134,6a493121e53d83f9e119b02942d7c8fe,72,2015-07-13
135,6a493121e53d83f9e119b02942d7c8fe,120,2015-07-14
136,6a493121e53d83f9e119b02942d7c8fe,34,2015-07-15
137,6a493121e53d83f9e119b02942d7c8fe,88,2015-07-16
138,6a493121e53d83f9e119b02942d7c8fe,38,2015-07-17
139,6a493121e53d83f9e119b02942d7c8fe,41,2015-07-18
140,6a493121e53d83f9e119b02942d7c8fe,45,2015-07-19
141,6a493121e53d83f9e119b02942d7c8fe,41,2015-07-20
142,6a493121e53d83f9e119b02942d7c8fe,27,2015-07-21
143,6a493121e53d83f9e119b02942d7c8fe,37,2015-07-22
144,6a493121e53d83f9e119b02942d7c8fe,26,2015-07-23
145,6a493121e53d83f9e119b02942d7c8fe,27,2015-07-24
146,6a493121e53d83f9e119b02942d7c8fe,30,2015-07-25
147,6a493121e53d83f9e119b02942d7c8fe,33,2015-07-26
148,6a493121e53d83f9e119b02942d7c8fe,23,2015-07-27
149,6a493121e53d83f9e119b02942d7c8fe,32,2015-07-28
150,6a493121e53d83f9e119b02942d7c8fe,25,2015-07-29
151,6a493121e53d83f9e119b02942d7c8fe,37,2015-07-30
152,6a493121e53d83f9e119b02942d7c8fe,22,2015-07-31
153,6a493121e53d83f9e119b02942d7c8fe,35,2015-08-01
154,6a493121e53d83f9e119b02942d7c8fe,49,2015-08-02
155,6a493121e53d83f9e119b02942d7c8fe,33,2015-08-03
156,6a493121e53d83f9e119b02942d7c8fe,23,2015-08-04
157,6a493121e53d83f9e119b02942d7c8fe,37,2015-08-05
158,6a493121e53d83f9e119b02942d7c8fe,19,2015-08-06
159,6a493121e53d83f9e119b02942d7c8fe,23,2015-08-07
160,6a493121e53d83f9e119b02942d7c8fe,58,2015-08-08
161,6a493121e53d83f9e119b02942d7c8fe,43,2015-08-09
162,6a493121e53d83f9e119b02942d7c8fe,27,2015-08-10
163,6a493121e53d83f9e119b02942d7c8fe,30,2015-08-11
164,6a493121e53d83f9e119b02942d7c8fe,27,2015-08-12
165,6a493121e53d83f9e119b02942d7c8fe,31,2015-08-13
166,6a493121e53d83f9e119b02942d7c8fe,52,2015-08-14
167,6a493121e53d83f9e119b02942d7c8fe,28,2015-08-15
168,6a493121e53d83f9e119b02942d7c8fe,43,2015-08-16
169,6a493121e53d83f9e119b02942d7c8fe,25,2015-08-17
170,6a493121e53d83f9e119b02942d7c8fe,39,2015-08-18
171,6a493121e53d83f9e119b02942d7c8fe,29,2015-08-19
172,6a493121e53d83f9e119b02942d7c8fe,28,2015-08-20
173,6a493121e53d83f9e119b02942d7c8fe,18,2015-08-21
174,6a493121e53d83f9e119b02942d7c8fe,56,2015-08-22
175,6a493121e53d83f9e119b02942d7c8fe,39,2015-08-23
176,6a493121e53d83f9e119b02942d7c8fe,39,2015-08-24
177,6a493121e53d83f9e119b02942d7c8fe,46,2015-08-25
178,6a493121e53d83f9e119b02942d7c8fe,85,2015-08-26
179,6a493121e53d83f9e119b02942d7c8fe,46,2015-08-27
180,6a493121e53d83f9e119b02942d7c8fe,108,2015-08-28
181,6a493121e53d83f9e119b02942d7c8fe,32,2015-08-29
182,6a493121e53d83f9e119b02942d7c8fe,19,2015-08-30
