,artist_id,down,ds
0,88b7fc7ac7425e82b1b4866e5b28bf72,37,2015-03-01
1,88b7fc7ac7425e82b1b4866e5b28bf72,10,2015-03-02
2,88b7fc7ac7425e82b1b4866e5b28bf72,7,2015-03-03
3,88b7fc7ac7425e82b1b4866e5b28bf72,17,2015-03-04
4,88b7fc7ac7425e82b1b4866e5b28bf72,101,2015-03-05
5,88b7fc7ac7425e82b1b4866e5b28bf72,7,2015-03-06
6,88b7fc7ac7425e82b1b4866e5b28bf72,21,2015-03-07
7,88b7fc7ac7425e82b1b4866e5b28bf72,62,2015-03-08
8,88b7fc7ac7425e82b1b4866e5b28bf72,13,2015-03-09
9,88b7fc7ac7425e82b1b4866e5b28bf72,20,2015-03-10
10,88b7fc7ac7425e82b1b4866e5b28bf72,69,2015-03-11
11,88b7fc7ac7425e82b1b4866e5b28bf72,22,2015-03-12
12,88b7fc7ac7425e82b1b4866e5b28bf72,5,2015-03-13
13,88b7fc7ac7425e82b1b4866e5b28bf72,21,2015-03-14
14,88b7fc7ac7425e82b1b4866e5b28bf72,12,2015-03-15
15,88b7fc7ac7425e82b1b4866e5b28bf72,5,2015-03-16
16,88b7fc7ac7425e82b1b4866e5b28bf72,14,2015-03-17
17,88b7fc7ac7425e82b1b4866e5b28bf72,28,2015-03-18
18,88b7fc7ac7425e82b1b4866e5b28bf72,12,2015-03-19
19,88b7fc7ac7425e82b1b4866e5b28bf72,12,2015-03-20
20,88b7fc7ac7425e82b1b4866e5b28bf72,15,2015-03-21
21,88b7fc7ac7425e82b1b4866e5b28bf72,67,2015-03-22
22,88b7fc7ac7425e82b1b4866e5b28bf72,24,2015-03-23
23,88b7fc7ac7425e82b1b4866e5b28bf72,18,2015-03-24
24,88b7fc7ac7425e82b1b4866e5b28bf72,13,2015-03-25
25,88b7fc7ac7425e82b1b4866e5b28bf72,11,2015-03-26
26,88b7fc7ac7425e82b1b4866e5b28bf72,27,2015-03-27
27,88b7fc7ac7425e82b1b4866e5b28bf72,29,2015-03-28
28,88b7fc7ac7425e82b1b4866e5b28bf72,13,2015-03-29
29,88b7fc7ac7425e82b1b4866e5b28bf72,70,2015-03-30
30,88b7fc7ac7425e82b1b4866e5b28bf72,32,2015-03-31
31,88b7fc7ac7425e82b1b4866e5b28bf72,34,2015-04-01
32,88b7fc7ac7425e82b1b4866e5b28bf72,86,2015-04-02
33,88b7fc7ac7425e82b1b4866e5b28bf72,22,2015-04-03
34,88b7fc7ac7425e82b1b4866e5b28bf72,35,2015-04-04
35,88b7fc7ac7425e82b1b4866e5b28bf72,29,2015-04-05
36,88b7fc7ac7425e82b1b4866e5b28bf72,66,2015-04-06
37,88b7fc7ac7425e82b1b4866e5b28bf72,12,2015-04-07
38,88b7fc7ac7425e82b1b4866e5b28bf72,12,2015-04-08
39,88b7fc7ac7425e82b1b4866e5b28bf72,15,2015-04-09
40,88b7fc7ac7425e82b1b4866e5b28bf72,20,2015-04-10
41,88b7fc7ac7425e82b1b4866e5b28bf72,26,2015-04-11
42,88b7fc7ac7425e82b1b4866e5b28bf72,22,2015-04-12
