,artist_id,down,ds
0,8da51d03b8b8717431e8b902856fb45e,105,2015-03-01
1,8da51d03b8b8717431e8b902856fb45e,52,2015-03-02
2,8da51d03b8b8717431e8b902856fb45e,94,2015-03-03
3,8da51d03b8b8717431e8b902856fb45e,118,2015-03-04
4,8da51d03b8b8717431e8b902856fb45e,113,2015-03-05
5,8da51d03b8b8717431e8b902856fb45e,68,2015-03-06
6,8da51d03b8b8717431e8b902856fb45e,46,2015-03-07
7,8da51d03b8b8717431e8b902856fb45e,82,2015-03-08
8,8da51d03b8b8717431e8b902856fb45e,72,2015-03-09
9,8da51d03b8b8717431e8b902856fb45e,137,2015-03-10
10,8da51d03b8b8717431e8b902856fb45e,92,2015-03-11
11,8da51d03b8b8717431e8b902856fb45e,81,2015-03-12
12,8da51d03b8b8717431e8b902856fb45e,119,2015-03-13
13,8da51d03b8b8717431e8b902856fb45e,109,2015-03-14
14,8da51d03b8b8717431e8b902856fb45e,152,2015-03-15
15,8da51d03b8b8717431e8b902856fb45e,81,2015-03-16
16,8da51d03b8b8717431e8b902856fb45e,80,2015-03-17
17,8da51d03b8b8717431e8b902856fb45e,76,2015-03-18
18,8da51d03b8b8717431e8b902856fb45e,48,2015-03-19
19,8da51d03b8b8717431e8b902856fb45e,62,2015-03-20
20,8da51d03b8b8717431e8b902856fb45e,89,2015-03-21
21,8da51d03b8b8717431e8b902856fb45e,107,2015-03-22
22,8da51d03b8b8717431e8b902856fb45e,70,2015-03-23
23,8da51d03b8b8717431e8b902856fb45e,34,2015-03-24
24,8da51d03b8b8717431e8b902856fb45e,60,2015-03-25
25,8da51d03b8b8717431e8b902856fb45e,73,2015-03-26
26,8da51d03b8b8717431e8b902856fb45e,109,2015-03-27
27,8da51d03b8b8717431e8b902856fb45e,80,2015-03-28
28,8da51d03b8b8717431e8b902856fb45e,115,2015-03-29
29,8da51d03b8b8717431e8b902856fb45e,400,2015-03-30
30,8da51d03b8b8717431e8b902856fb45e,107,2015-03-31
31,8da51d03b8b8717431e8b902856fb45e,80,2015-04-01
32,8da51d03b8b8717431e8b902856fb45e,103,2015-04-02
33,8da51d03b8b8717431e8b902856fb45e,154,2015-04-03
34,8da51d03b8b8717431e8b902856fb45e,133,2015-04-04
35,8da51d03b8b8717431e8b902856fb45e,199,2015-04-05
36,8da51d03b8b8717431e8b902856fb45e,117,2015-04-06
37,8da51d03b8b8717431e8b902856fb45e,105,2015-04-07
38,8da51d03b8b8717431e8b902856fb45e,83,2015-04-08
39,8da51d03b8b8717431e8b902856fb45e,74,2015-04-09
40,8da51d03b8b8717431e8b902856fb45e,131,2015-04-10
41,8da51d03b8b8717431e8b902856fb45e,82,2015-04-11
42,8da51d03b8b8717431e8b902856fb45e,79,2015-04-12
43,8da51d03b8b8717431e8b902856fb45e,111,2015-04-13
