,artist_id,down,ds
0,92b57b5b5ad06e8cb5e152680601d697,160,2015-03-01
1,92b57b5b5ad06e8cb5e152680601d697,159,2015-03-02
2,92b57b5b5ad06e8cb5e152680601d697,256,2015-03-03
3,92b57b5b5ad06e8cb5e152680601d697,177,2015-03-04
4,92b57b5b5ad06e8cb5e152680601d697,136,2015-03-05
5,92b57b5b5ad06e8cb5e152680601d697,282,2015-03-06
6,92b57b5b5ad06e8cb5e152680601d697,366,2015-03-07
7,92b57b5b5ad06e8cb5e152680601d697,372,2015-03-08
8,92b57b5b5ad06e8cb5e152680601d697,319,2015-03-09
9,92b57b5b5ad06e8cb5e152680601d697,261,2015-03-10
10,92b57b5b5ad06e8cb5e152680601d697,346,2015-03-11
11,92b57b5b5ad06e8cb5e152680601d697,390,2015-03-12
12,92b57b5b5ad06e8cb5e152680601d697,327,2015-03-13
13,92b57b5b5ad06e8cb5e152680601d697,314,2015-03-14
14,92b57b5b5ad06e8cb5e152680601d697,451,2015-03-15
15,92b57b5b5ad06e8cb5e152680601d697,415,2015-03-16
16,92b57b5b5ad06e8cb5e152680601d697,386,2015-03-17
17,92b57b5b5ad06e8cb5e152680601d697,296,2015-03-18
18,92b57b5b5ad06e8cb5e152680601d697,298,2015-03-19
19,92b57b5b5ad06e8cb5e152680601d697,308,2015-03-20
20,92b57b5b5ad06e8cb5e152680601d697,293,2015-03-21
21,92b57b5b5ad06e8cb5e152680601d697,402,2015-03-22
22,92b57b5b5ad06e8cb5e152680601d697,239,2015-03-23
23,92b57b5b5ad06e8cb5e152680601d697,228,2015-03-24
24,92b57b5b5ad06e8cb5e152680601d697,417,2015-03-25
25,92b57b5b5ad06e8cb5e152680601d697,321,2015-03-26
26,92b57b5b5ad06e8cb5e152680601d697,360,2015-03-27
27,92b57b5b5ad06e8cb5e152680601d697,327,2015-03-28
28,92b57b5b5ad06e8cb5e152680601d697,426,2015-03-29
29,92b57b5b5ad06e8cb5e152680601d697,447,2015-03-30
30,92b57b5b5ad06e8cb5e152680601d697,394,2015-03-31
31,92b57b5b5ad06e8cb5e152680601d697,370,2015-04-01
32,92b57b5b5ad06e8cb5e152680601d697,495,2015-04-02
33,92b57b5b5ad06e8cb5e152680601d697,442,2015-04-03
34,92b57b5b5ad06e8cb5e152680601d697,459,2015-04-04
35,92b57b5b5ad06e8cb5e152680601d697,460,2015-04-05
36,92b57b5b5ad06e8cb5e152680601d697,609,2015-04-06
37,92b57b5b5ad06e8cb5e152680601d697,522,2015-04-07
38,92b57b5b5ad06e8cb5e152680601d697,421,2015-04-08
39,92b57b5b5ad06e8cb5e152680601d697,415,2015-04-09
40,92b57b5b5ad06e8cb5e152680601d697,272,2015-04-10
41,92b57b5b5ad06e8cb5e152680601d697,284,2015-04-11
42,92b57b5b5ad06e8cb5e152680601d697,362,2015-04-12
43,92b57b5b5ad06e8cb5e152680601d697,274,2015-04-13
44,92b57b5b5ad06e8cb5e152680601d697,243,2015-04-14
45,92b57b5b5ad06e8cb5e152680601d697,342,2015-04-15
46,92b57b5b5ad06e8cb5e152680601d697,296,2015-04-16
47,92b57b5b5ad06e8cb5e152680601d697,325,2015-04-17
48,92b57b5b5ad06e8cb5e152680601d697,316,2015-04-18
49,92b57b5b5ad06e8cb5e152680601d697,285,2015-04-19
50,92b57b5b5ad06e8cb5e152680601d697,334,2015-04-20
51,92b57b5b5ad06e8cb5e152680601d697,264,2015-04-21
52,92b57b5b5ad06e8cb5e152680601d697,243,2015-04-22
53,92b57b5b5ad06e8cb5e152680601d697,275,2015-04-23
54,92b57b5b5ad06e8cb5e152680601d697,289,2015-04-24
55,92b57b5b5ad06e8cb5e152680601d697,425,2015-04-25
56,92b57b5b5ad06e8cb5e152680601d697,332,2015-04-26
57,92b57b5b5ad06e8cb5e152680601d697,295,2015-04-27
58,92b57b5b5ad06e8cb5e152680601d697,289,2015-04-28
59,92b57b5b5ad06e8cb5e152680601d697,296,2015-04-29
60,92b57b5b5ad06e8cb5e152680601d697,404,2015-04-30
61,92b57b5b5ad06e8cb5e152680601d697,424,2015-05-01
62,92b57b5b5ad06e8cb5e152680601d697,480,2015-05-02
63,92b57b5b5ad06e8cb5e152680601d697,528,2015-05-03
64,92b57b5b5ad06e8cb5e152680601d697,426,2015-05-04
65,92b57b5b5ad06e8cb5e152680601d697,357,2015-05-05
66,92b57b5b5ad06e8cb5e152680601d697,375,2015-05-06
67,92b57b5b5ad06e8cb5e152680601d697,291,2015-05-07
68,92b57b5b5ad06e8cb5e152680601d697,271,2015-05-08
69,92b57b5b5ad06e8cb5e152680601d697,368,2015-05-09
70,92b57b5b5ad06e8cb5e152680601d697,407,2015-05-10
71,92b57b5b5ad06e8cb5e152680601d697,329,2015-05-11
72,92b57b5b5ad06e8cb5e152680601d697,232,2015-05-12
73,92b57b5b5ad06e8cb5e152680601d697,239,2015-05-13
74,92b57b5b5ad06e8cb5e152680601d697,265,2015-05-14
75,92b57b5b5ad06e8cb5e152680601d697,228,2015-05-15
76,92b57b5b5ad06e8cb5e152680601d697,321,2015-05-16
77,92b57b5b5ad06e8cb5e152680601d697,333,2015-05-17
78,92b57b5b5ad06e8cb5e152680601d697,218,2015-05-18
79,92b57b5b5ad06e8cb5e152680601d697,200,2015-05-19
80,92b57b5b5ad06e8cb5e152680601d697,217,2015-05-20
81,92b57b5b5ad06e8cb5e152680601d697,286,2015-05-21
82,92b57b5b5ad06e8cb5e152680601d697,227,2015-05-22
83,92b57b5b5ad06e8cb5e152680601d697,319,2015-05-23
84,92b57b5b5ad06e8cb5e152680601d697,278,2015-05-24
