,artist_id,down,ds
0,9338c3a5de1587c389f4c92057354248,15,2015-03-01
1,9338c3a5de1587c389f4c92057354248,1,2015-03-02
2,9338c3a5de1587c389f4c92057354248,3,2015-03-03
3,9338c3a5de1587c389f4c92057354248,1,2015-03-04
4,9338c3a5de1587c389f4c92057354248,6,2015-03-05
5,9338c3a5de1587c389f4c92057354248,17,2015-03-06
6,9338c3a5de1587c389f4c92057354248,4,2015-03-08
7,9338c3a5de1587c389f4c92057354248,4,2015-03-09
8,9338c3a5de1587c389f4c92057354248,12,2015-03-10
9,9338c3a5de1587c389f4c92057354248,8,2015-03-11
10,9338c3a5de1587c389f4c92057354248,1,2015-03-12
11,9338c3a5de1587c389f4c92057354248,16,2015-03-13
12,9338c3a5de1587c389f4c92057354248,9,2015-03-14
13,9338c3a5de1587c389f4c92057354248,21,2015-03-15
14,9338c3a5de1587c389f4c92057354248,11,2015-03-16
15,9338c3a5de1587c389f4c92057354248,9,2015-03-17
16,9338c3a5de1587c389f4c92057354248,3,2015-03-18
17,9338c3a5de1587c389f4c92057354248,7,2015-03-19
18,9338c3a5de1587c389f4c92057354248,3,2015-03-20
19,9338c3a5de1587c389f4c92057354248,11,2015-03-21
20,9338c3a5de1587c389f4c92057354248,14,2015-03-22
21,9338c3a5de1587c389f4c92057354248,9,2015-03-23
22,9338c3a5de1587c389f4c92057354248,3,2015-03-24
23,9338c3a5de1587c389f4c92057354248,13,2015-03-25
24,9338c3a5de1587c389f4c92057354248,10,2015-03-27
25,9338c3a5de1587c389f4c92057354248,14,2015-03-28
26,9338c3a5de1587c389f4c92057354248,26,2015-03-29
27,9338c3a5de1587c389f4c92057354248,17,2015-03-30
28,9338c3a5de1587c389f4c92057354248,7,2015-03-31
29,9338c3a5de1587c389f4c92057354248,28,2015-04-01
30,9338c3a5de1587c389f4c92057354248,16,2015-04-02
31,9338c3a5de1587c389f4c92057354248,3,2015-04-03
32,9338c3a5de1587c389f4c92057354248,63,2015-04-04
33,9338c3a5de1587c389f4c92057354248,6,2015-04-05
34,9338c3a5de1587c389f4c92057354248,3,2015-04-06
35,9338c3a5de1587c389f4c92057354248,2,2015-04-07
