,artist_id,down,ds
0,97546d961462a65d2518e4f63660bd09,127,2015-03-01
1,97546d961462a65d2518e4f63660bd09,72,2015-03-02
2,97546d961462a65d2518e4f63660bd09,79,2015-03-03
3,97546d961462a65d2518e4f63660bd09,106,2015-03-04
4,97546d961462a65d2518e4f63660bd09,172,2015-03-05
5,97546d961462a65d2518e4f63660bd09,68,2015-03-06
6,97546d961462a65d2518e4f63660bd09,83,2015-03-07
7,97546d961462a65d2518e4f63660bd09,124,2015-03-08
8,97546d961462a65d2518e4f63660bd09,95,2015-03-09
9,97546d961462a65d2518e4f63660bd09,115,2015-03-10
10,97546d961462a65d2518e4f63660bd09,155,2015-03-11
11,97546d961462a65d2518e4f63660bd09,59,2015-03-12
12,97546d961462a65d2518e4f63660bd09,85,2015-03-13
13,97546d961462a65d2518e4f63660bd09,133,2015-03-14
14,97546d961462a65d2518e4f63660bd09,162,2015-03-15
15,97546d961462a65d2518e4f63660bd09,61,2015-03-16
16,97546d961462a65d2518e4f63660bd09,120,2015-03-17
17,97546d961462a65d2518e4f63660bd09,139,2015-03-18
18,97546d961462a65d2518e4f63660bd09,36,2015-03-19
19,97546d961462a65d2518e4f63660bd09,50,2015-03-20
20,97546d961462a65d2518e4f63660bd09,101,2015-03-21
21,97546d961462a65d2518e4f63660bd09,88,2015-03-22
22,97546d961462a65d2518e4f63660bd09,91,2015-03-23
23,97546d961462a65d2518e4f63660bd09,304,2015-03-24
24,97546d961462a65d2518e4f63660bd09,98,2015-03-25
25,97546d961462a65d2518e4f63660bd09,56,2015-03-26
26,97546d961462a65d2518e4f63660bd09,166,2015-03-27
27,97546d961462a65d2518e4f63660bd09,210,2015-03-28
28,97546d961462a65d2518e4f63660bd09,399,2015-03-29
29,97546d961462a65d2518e4f63660bd09,132,2015-03-30
30,97546d961462a65d2518e4f63660bd09,227,2015-03-31
31,97546d961462a65d2518e4f63660bd09,184,2015-04-01
32,97546d961462a65d2518e4f63660bd09,229,2015-04-02
33,97546d961462a65d2518e4f63660bd09,131,2015-04-03
34,97546d961462a65d2518e4f63660bd09,107,2015-04-04
35,97546d961462a65d2518e4f63660bd09,209,2015-04-05
36,97546d961462a65d2518e4f63660bd09,116,2015-04-06
37,97546d961462a65d2518e4f63660bd09,56,2015-04-07
38,97546d961462a65d2518e4f63660bd09,171,2015-04-08
39,97546d961462a65d2518e4f63660bd09,62,2015-04-09
40,97546d961462a65d2518e4f63660bd09,109,2015-04-10
41,97546d961462a65d2518e4f63660bd09,59,2015-04-11
42,97546d961462a65d2518e4f63660bd09,66,2015-04-12
43,97546d961462a65d2518e4f63660bd09,172,2015-04-13
44,97546d961462a65d2518e4f63660bd09,39,2015-04-14
45,97546d961462a65d2518e4f63660bd09,52,2015-04-15
46,97546d961462a65d2518e4f63660bd09,95,2015-04-16
47,97546d961462a65d2518e4f63660bd09,32,2015-04-17
