,artist_id,down,ds
0,9f69ffd8852196e02cfa19b5cd9bc432,42,20150301
1,9f69ffd8852196e02cfa19b5cd9bc432,9,20150302
2,9f69ffd8852196e02cfa19b5cd9bc432,4,20150303
3,9f69ffd8852196e02cfa19b5cd9bc432,7,20150304
4,9f69ffd8852196e02cfa19b5cd9bc432,18,20150305
5,9f69ffd8852196e02cfa19b5cd9bc432,4,20150306
6,9f69ffd8852196e02cfa19b5cd9bc432,28,20150307
7,9f69ffd8852196e02cfa19b5cd9bc432,8,20150308
8,9f69ffd8852196e02cfa19b5cd9bc432,23,20150309
9,9f69ffd8852196e02cfa19b5cd9bc432,12,20150310
10,9f69ffd8852196e02cfa19b5cd9bc432,5,20150311
11,9f69ffd8852196e02cfa19b5cd9bc432,21,20150312
12,9f69ffd8852196e02cfa19b5cd9bc432,17,20150313
13,9f69ffd8852196e02cfa19b5cd9bc432,23,20150314
14,9f69ffd8852196e02cfa19b5cd9bc432,22,20150315
15,9f69ffd8852196e02cfa19b5cd9bc432,9,20150316
16,9f69ffd8852196e02cfa19b5cd9bc432,9,20150317
17,9f69ffd8852196e02cfa19b5cd9bc432,7,20150318
18,9f69ffd8852196e02cfa19b5cd9bc432,25,20150319
19,9f69ffd8852196e02cfa19b5cd9bc432,13,20150320
20,9f69ffd8852196e02cfa19b5cd9bc432,36,20150321
21,9f69ffd8852196e02cfa19b5cd9bc432,9,20150322
22,9f69ffd8852196e02cfa19b5cd9bc432,4,20150323
23,9f69ffd8852196e02cfa19b5cd9bc432,7,20150324
24,9f69ffd8852196e02cfa19b5cd9bc432,24,20150325
25,9f69ffd8852196e02cfa19b5cd9bc432,11,20150326
26,9f69ffd8852196e02cfa19b5cd9bc432,17,20150327
27,9f69ffd8852196e02cfa19b5cd9bc432,19,20150328
28,9f69ffd8852196e02cfa19b5cd9bc432,26,20150329
29,9f69ffd8852196e02cfa19b5cd9bc432,17,20150330
30,9f69ffd8852196e02cfa19b5cd9bc432,32,20150331
31,9f69ffd8852196e02cfa19b5cd9bc432,28,20150401
32,9f69ffd8852196e02cfa19b5cd9bc432,18,20150402
33,9f69ffd8852196e02cfa19b5cd9bc432,22,20150403
34,9f69ffd8852196e02cfa19b5cd9bc432,39,20150404
35,9f69ffd8852196e02cfa19b5cd9bc432,31,20150405
36,9f69ffd8852196e02cfa19b5cd9bc432,30,20150406
37,9f69ffd8852196e02cfa19b5cd9bc432,34,20150407
38,9f69ffd8852196e02cfa19b5cd9bc432,8,20150408
39,9f69ffd8852196e02cfa19b5cd9bc432,8,20150409
40,9f69ffd8852196e02cfa19b5cd9bc432,17,20150410
41,9f69ffd8852196e02cfa19b5cd9bc432,10,20150411
42,9f69ffd8852196e02cfa19b5cd9bc432,11,20150412
43,9f69ffd8852196e02cfa19b5cd9bc432,12,20150413
44,9f69ffd8852196e02cfa19b5cd9bc432,14,20150414
45,9f69ffd8852196e02cfa19b5cd9bc432,9,20150415
46,9f69ffd8852196e02cfa19b5cd9bc432,11,20150416
47,9f69ffd8852196e02cfa19b5cd9bc432,18,20150417
48,9f69ffd8852196e02cfa19b5cd9bc432,15,20150418
49,9f69ffd8852196e02cfa19b5cd9bc432,22,20150419
50,9f69ffd8852196e02cfa19b5cd9bc432,14,20150420
51,9f69ffd8852196e02cfa19b5cd9bc432,14,20150421
52,9f69ffd8852196e02cfa19b5cd9bc432,12,20150422
53,9f69ffd8852196e02cfa19b5cd9bc432,18,20150423
54,9f69ffd8852196e02cfa19b5cd9bc432,8,20150424
