,artist_id,down,ds
0,b01af01dc3a0e1e5068bd3e72f6ff823,100,2015-03-01
1,b01af01dc3a0e1e5068bd3e72f6ff823,72,2015-03-02
2,b01af01dc3a0e1e5068bd3e72f6ff823,113,2015-03-03
3,b01af01dc3a0e1e5068bd3e72f6ff823,63,2015-03-04
4,b01af01dc3a0e1e5068bd3e72f6ff823,65,2015-03-05
5,b01af01dc3a0e1e5068bd3e72f6ff823,55,2015-03-06
6,b01af01dc3a0e1e5068bd3e72f6ff823,54,2015-03-07
7,b01af01dc3a0e1e5068bd3e72f6ff823,58,2015-03-08
8,b01af01dc3a0e1e5068bd3e72f6ff823,69,2015-03-09
9,b01af01dc3a0e1e5068bd3e72f6ff823,65,2015-03-10
10,b01af01dc3a0e1e5068bd3e72f6ff823,56,2015-03-11
11,b01af01dc3a0e1e5068bd3e72f6ff823,104,2015-03-12
12,b01af01dc3a0e1e5068bd3e72f6ff823,89,2015-03-13
13,b01af01dc3a0e1e5068bd3e72f6ff823,85,2015-03-14
14,b01af01dc3a0e1e5068bd3e72f6ff823,62,2015-03-15
15,b01af01dc3a0e1e5068bd3e72f6ff823,51,2015-03-16
16,b01af01dc3a0e1e5068bd3e72f6ff823,58,2015-03-17
17,b01af01dc3a0e1e5068bd3e72f6ff823,59,2015-03-18
18,b01af01dc3a0e1e5068bd3e72f6ff823,53,2015-03-19
19,b01af01dc3a0e1e5068bd3e72f6ff823,81,2015-03-20
20,b01af01dc3a0e1e5068bd3e72f6ff823,103,2015-03-21
21,b01af01dc3a0e1e5068bd3e72f6ff823,149,2015-03-22
22,b01af01dc3a0e1e5068bd3e72f6ff823,163,2015-03-23
23,b01af01dc3a0e1e5068bd3e72f6ff823,60,2015-03-24
24,b01af01dc3a0e1e5068bd3e72f6ff823,44,2015-03-25
25,b01af01dc3a0e1e5068bd3e72f6ff823,92,2015-03-26
26,b01af01dc3a0e1e5068bd3e72f6ff823,140,2015-03-27
27,b01af01dc3a0e1e5068bd3e72f6ff823,325,2015-03-28
28,b01af01dc3a0e1e5068bd3e72f6ff823,152,2015-03-29
29,b01af01dc3a0e1e5068bd3e72f6ff823,345,2015-03-30
30,b01af01dc3a0e1e5068bd3e72f6ff823,84,2015-03-31
31,b01af01dc3a0e1e5068bd3e72f6ff823,187,2015-04-01
32,b01af01dc3a0e1e5068bd3e72f6ff823,76,2015-04-02
33,b01af01dc3a0e1e5068bd3e72f6ff823,124,2015-04-03
34,b01af01dc3a0e1e5068bd3e72f6ff823,144,2015-04-04
35,b01af01dc3a0e1e5068bd3e72f6ff823,156,2015-04-05
36,b01af01dc3a0e1e5068bd3e72f6ff823,152,2015-04-06
37,b01af01dc3a0e1e5068bd3e72f6ff823,88,2015-04-07
38,b01af01dc3a0e1e5068bd3e72f6ff823,50,2015-04-08
39,b01af01dc3a0e1e5068bd3e72f6ff823,103,2015-04-09
40,b01af01dc3a0e1e5068bd3e72f6ff823,91,2015-04-10
41,b01af01dc3a0e1e5068bd3e72f6ff823,144,2015-04-11
42,b01af01dc3a0e1e5068bd3e72f6ff823,133,2015-04-12
43,b01af01dc3a0e1e5068bd3e72f6ff823,58,2015-04-13
44,b01af01dc3a0e1e5068bd3e72f6ff823,70,2015-04-14
45,b01af01dc3a0e1e5068bd3e72f6ff823,80,2015-04-15
46,b01af01dc3a0e1e5068bd3e72f6ff823,66,2015-04-16
47,b01af01dc3a0e1e5068bd3e72f6ff823,70,2015-04-17
48,b01af01dc3a0e1e5068bd3e72f6ff823,90,2015-04-18
49,b01af01dc3a0e1e5068bd3e72f6ff823,58,2015-04-19
50,b01af01dc3a0e1e5068bd3e72f6ff823,55,2015-04-20
51,b01af01dc3a0e1e5068bd3e72f6ff823,70,2015-04-21
52,b01af01dc3a0e1e5068bd3e72f6ff823,38,2015-04-22
53,b01af01dc3a0e1e5068bd3e72f6ff823,67,2015-04-23
54,b01af01dc3a0e1e5068bd3e72f6ff823,66,2015-04-24
55,b01af01dc3a0e1e5068bd3e72f6ff823,75,2015-04-25
56,b01af01dc3a0e1e5068bd3e72f6ff823,92,2015-04-26
57,b01af01dc3a0e1e5068bd3e72f6ff823,74,2015-04-27
58,b01af01dc3a0e1e5068bd3e72f6ff823,55,2015-04-28
59,b01af01dc3a0e1e5068bd3e72f6ff823,47,2015-04-29
60,b01af01dc3a0e1e5068bd3e72f6ff823,46,2015-04-30
61,b01af01dc3a0e1e5068bd3e72f6ff823,50,2015-05-01
62,b01af01dc3a0e1e5068bd3e72f6ff823,67,2015-05-02
63,b01af01dc3a0e1e5068bd3e72f6ff823,93,2015-05-03
64,b01af01dc3a0e1e5068bd3e72f6ff823,58,2015-05-04
65,b01af01dc3a0e1e5068bd3e72f6ff823,58,2015-05-05
66,b01af01dc3a0e1e5068bd3e72f6ff823,60,2015-05-06
67,b01af01dc3a0e1e5068bd3e72f6ff823,54,2015-05-07
68,b01af01dc3a0e1e5068bd3e72f6ff823,50,2015-05-08
69,b01af01dc3a0e1e5068bd3e72f6ff823,53,2015-05-09
70,b01af01dc3a0e1e5068bd3e72f6ff823,65,2015-05-10
71,b01af01dc3a0e1e5068bd3e72f6ff823,62,2015-05-11
72,b01af01dc3a0e1e5068bd3e72f6ff823,58,2015-05-12
