,artist_id,down,ds
0,b6a175a48743caed6d035444c069ab64,25,2015-03-01
1,b6a175a48743caed6d035444c069ab64,13,2015-03-02
2,b6a175a48743caed6d035444c069ab64,21,2015-03-03
3,b6a175a48743caed6d035444c069ab64,10,2015-03-04
4,b6a175a48743caed6d035444c069ab64,11,2015-03-05
5,b6a175a48743caed6d035444c069ab64,24,2015-03-06
6,b6a175a48743caed6d035444c069ab64,18,2015-03-07
7,b6a175a48743caed6d035444c069ab64,21,2015-03-08
8,b6a175a48743caed6d035444c069ab64,7,2015-03-09
9,b6a175a48743caed6d035444c069ab64,22,2015-03-10
10,b6a175a48743caed6d035444c069ab64,10,2015-03-11
11,b6a175a48743caed6d035444c069ab64,30,2015-03-12
12,b6a175a48743caed6d035444c069ab64,12,2015-03-13
13,b6a175a48743caed6d035444c069ab64,15,2015-03-14
14,b6a175a48743caed6d035444c069ab64,16,2015-03-15
15,b6a175a48743caed6d035444c069ab64,13,2015-03-16
16,b6a175a48743caed6d035444c069ab64,7,2015-03-17
17,b6a175a48743caed6d035444c069ab64,11,2015-03-18
18,b6a175a48743caed6d035444c069ab64,5,2015-03-19
19,b6a175a48743caed6d035444c069ab64,10,2015-03-20
20,b6a175a48743caed6d035444c069ab64,17,2015-03-21
21,b6a175a48743caed6d035444c069ab64,25,2015-03-22
22,b6a175a48743caed6d035444c069ab64,22,2015-03-23
23,b6a175a48743caed6d035444c069ab64,23,2015-03-24
24,b6a175a48743caed6d035444c069ab64,19,2015-03-25
25,b6a175a48743caed6d035444c069ab64,18,2015-03-26
26,b6a175a48743caed6d035444c069ab64,23,2015-03-27
27,b6a175a48743caed6d035444c069ab64,38,2015-03-28
28,b6a175a48743caed6d035444c069ab64,29,2015-03-29
29,b6a175a48743caed6d035444c069ab64,16,2015-03-30
30,b6a175a48743caed6d035444c069ab64,17,2015-03-31
31,b6a175a48743caed6d035444c069ab64,24,2015-04-01
32,b6a175a48743caed6d035444c069ab64,22,2015-04-02
33,b6a175a48743caed6d035444c069ab64,16,2015-04-03
34,b6a175a48743caed6d035444c069ab64,24,2015-04-04
35,b6a175a48743caed6d035444c069ab64,30,2015-04-05
36,b6a175a48743caed6d035444c069ab64,32,2015-04-06
37,b6a175a48743caed6d035444c069ab64,15,2015-04-07
38,b6a175a48743caed6d035444c069ab64,24,2015-04-08
39,b6a175a48743caed6d035444c069ab64,10,2015-04-09
40,b6a175a48743caed6d035444c069ab64,19,2015-04-10
41,b6a175a48743caed6d035444c069ab64,42,2015-04-11
42,b6a175a48743caed6d035444c069ab64,13,2015-04-12
43,b6a175a48743caed6d035444c069ab64,18,2015-04-13
44,b6a175a48743caed6d035444c069ab64,16,2015-04-14
45,b6a175a48743caed6d035444c069ab64,36,2015-04-15
46,b6a175a48743caed6d035444c069ab64,24,2015-04-16
47,b6a175a48743caed6d035444c069ab64,27,2015-04-17
48,b6a175a48743caed6d035444c069ab64,21,2015-04-18
49,b6a175a48743caed6d035444c069ab64,40,2015-04-19
50,b6a175a48743caed6d035444c069ab64,19,2015-04-20
51,b6a175a48743caed6d035444c069ab64,19,2015-04-21
52,b6a175a48743caed6d035444c069ab64,17,2015-04-22
53,b6a175a48743caed6d035444c069ab64,22,2015-04-23
54,b6a175a48743caed6d035444c069ab64,18,2015-04-24
55,b6a175a48743caed6d035444c069ab64,24,2015-04-25
56,b6a175a48743caed6d035444c069ab64,27,2015-04-26
57,b6a175a48743caed6d035444c069ab64,12,2015-04-27
58,b6a175a48743caed6d035444c069ab64,16,2015-04-28
59,b6a175a48743caed6d035444c069ab64,25,2015-04-29
60,b6a175a48743caed6d035444c069ab64,20,2015-04-30
61,b6a175a48743caed6d035444c069ab64,19,2015-05-01
62,b6a175a48743caed6d035444c069ab64,36,2015-05-02
63,b6a175a48743caed6d035444c069ab64,39,2015-05-03
64,b6a175a48743caed6d035444c069ab64,20,2015-05-04
65,b6a175a48743caed6d035444c069ab64,13,2015-05-05
66,b6a175a48743caed6d035444c069ab64,17,2015-05-06
67,b6a175a48743caed6d035444c069ab64,19,2015-05-07
68,b6a175a48743caed6d035444c069ab64,26,2015-05-08
69,b6a175a48743caed6d035444c069ab64,27,2015-05-09
70,b6a175a48743caed6d035444c069ab64,27,2015-05-10
71,b6a175a48743caed6d035444c069ab64,30,2015-05-11
72,b6a175a48743caed6d035444c069ab64,55,2015-05-12
73,b6a175a48743caed6d035444c069ab64,26,2015-05-13
74,b6a175a48743caed6d035444c069ab64,27,2015-05-14
75,b6a175a48743caed6d035444c069ab64,25,2015-05-15
76,b6a175a48743caed6d035444c069ab64,20,2015-05-16
77,b6a175a48743caed6d035444c069ab64,17,2015-05-17
78,b6a175a48743caed6d035444c069ab64,21,2015-05-18
79,b6a175a48743caed6d035444c069ab64,26,2015-05-19
80,b6a175a48743caed6d035444c069ab64,25,2015-05-20
81,b6a175a48743caed6d035444c069ab64,30,2015-05-21
82,b6a175a48743caed6d035444c069ab64,26,2015-05-22
83,b6a175a48743caed6d035444c069ab64,41,2015-05-23
84,b6a175a48743caed6d035444c069ab64,22,2015-05-24
85,b6a175a48743caed6d035444c069ab64,16,2015-05-25
86,b6a175a48743caed6d035444c069ab64,4,2015-05-26
87,b6a175a48743caed6d035444c069ab64,18,2015-05-27
88,b6a175a48743caed6d035444c069ab64,14,2015-05-28
89,b6a175a48743caed6d035444c069ab64,39,2015-05-29
90,b6a175a48743caed6d035444c069ab64,29,2015-05-30
91,b6a175a48743caed6d035444c069ab64,29,2015-05-31
92,b6a175a48743caed6d035444c069ab64,18,2015-06-01
93,b6a175a48743caed6d035444c069ab64,22,2015-06-02
94,b6a175a48743caed6d035444c069ab64,12,2015-06-03
95,b6a175a48743caed6d035444c069ab64,17,2015-06-04
96,b6a175a48743caed6d035444c069ab64,26,2015-06-05
97,b6a175a48743caed6d035444c069ab64,15,2015-06-06
98,b6a175a48743caed6d035444c069ab64,38,2015-06-07
99,b6a175a48743caed6d035444c069ab64,31,2015-06-08
100,b6a175a48743caed6d035444c069ab64,32,2015-06-09
101,b6a175a48743caed6d035444c069ab64,23,2015-06-10
102,b6a175a48743caed6d035444c069ab64,13,2015-06-11
103,b6a175a48743caed6d035444c069ab64,15,2015-06-12
104,b6a175a48743caed6d035444c069ab64,25,2015-06-13
105,b6a175a48743caed6d035444c069ab64,28,2015-06-14
106,b6a175a48743caed6d035444c069ab64,25,2015-06-15
107,b6a175a48743caed6d035444c069ab64,17,2015-06-16
108,b6a175a48743caed6d035444c069ab64,17,2015-06-17
109,b6a175a48743caed6d035444c069ab64,29,2015-06-18
110,b6a175a48743caed6d035444c069ab64,20,2015-06-19
111,b6a175a48743caed6d035444c069ab64,16,2015-06-20
112,b6a175a48743caed6d035444c069ab64,29,2015-06-21
113,b6a175a48743caed6d035444c069ab64,14,2015-06-22
114,b6a175a48743caed6d035444c069ab64,13,2015-06-23
115,b6a175a48743caed6d035444c069ab64,8,2015-06-24
116,b6a175a48743caed6d035444c069ab64,22,2015-06-25
117,b6a175a48743caed6d035444c069ab64,20,2015-06-26
118,b6a175a48743caed6d035444c069ab64,37,2015-06-27
119,b6a175a48743caed6d035444c069ab64,18,2015-06-28
120,b6a175a48743caed6d035444c069ab64,9,2015-06-29
121,b6a175a48743caed6d035444c069ab64,13,2015-06-30
122,b6a175a48743caed6d035444c069ab64,12,2015-07-01
123,b6a175a48743caed6d035444c069ab64,23,2015-07-02
124,b6a175a48743caed6d035444c069ab64,16,2015-07-03
125,b6a175a48743caed6d035444c069ab64,25,2015-07-04
126,b6a175a48743caed6d035444c069ab64,12,2015-07-05
127,b6a175a48743caed6d035444c069ab64,20,2015-07-06
128,b6a175a48743caed6d035444c069ab64,23,2015-07-07
129,b6a175a48743caed6d035444c069ab64,24,2015-07-08
130,b6a175a48743caed6d035444c069ab64,27,2015-07-09
131,b6a175a48743caed6d035444c069ab64,24,2015-07-10
132,b6a175a48743caed6d035444c069ab64,24,2015-07-11
133,b6a175a48743caed6d035444c069ab64,24,2015-07-12
134,b6a175a48743caed6d035444c069ab64,33,2015-07-13
135,b6a175a48743caed6d035444c069ab64,48,2015-07-14
136,b6a175a48743caed6d035444c069ab64,13,2015-07-15
137,b6a175a48743caed6d035444c069ab64,22,2015-07-16
138,b6a175a48743caed6d035444c069ab64,11,2015-07-17
139,b6a175a48743caed6d035444c069ab64,10,2015-07-18
140,b6a175a48743caed6d035444c069ab64,21,2015-07-19
141,b6a175a48743caed6d035444c069ab64,12,2015-07-20
142,b6a175a48743caed6d035444c069ab64,7,2015-07-21
143,b6a175a48743caed6d035444c069ab64,20,2015-07-22
144,b6a175a48743caed6d035444c069ab64,24,2015-07-23
145,b6a175a48743caed6d035444c069ab64,15,2015-07-24
146,b6a175a48743caed6d035444c069ab64,18,2015-07-25
147,b6a175a48743caed6d035444c069ab64,27,2015-07-26
148,b6a175a48743caed6d035444c069ab64,14,2015-07-27
149,b6a175a48743caed6d035444c069ab64,13,2015-07-28
150,b6a175a48743caed6d035444c069ab64,35,2015-07-29
151,b6a175a48743caed6d035444c069ab64,10,2015-07-30
152,b6a175a48743caed6d035444c069ab64,10,2015-07-31
153,b6a175a48743caed6d035444c069ab64,22,2015-08-01
154,b6a175a48743caed6d035444c069ab64,18,2015-08-02
155,b6a175a48743caed6d035444c069ab64,22,2015-08-03
156,b6a175a48743caed6d035444c069ab64,12,2015-08-04
157,b6a175a48743caed6d035444c069ab64,22,2015-08-05
158,b6a175a48743caed6d035444c069ab64,18,2015-08-06
159,b6a175a48743caed6d035444c069ab64,28,2015-08-07
160,b6a175a48743caed6d035444c069ab64,9,2015-08-08
161,b6a175a48743caed6d035444c069ab64,13,2015-08-09
162,b6a175a48743caed6d035444c069ab64,31,2015-08-10
163,b6a175a48743caed6d035444c069ab64,38,2015-08-11
164,b6a175a48743caed6d035444c069ab64,39,2015-08-12
165,b6a175a48743caed6d035444c069ab64,12,2015-08-13
166,b6a175a48743caed6d035444c069ab64,20,2015-08-14
167,b6a175a48743caed6d035444c069ab64,26,2015-08-15
168,b6a175a48743caed6d035444c069ab64,13,2015-08-16
169,b6a175a48743caed6d035444c069ab64,29,2015-08-17
170,b6a175a48743caed6d035444c069ab64,20,2015-08-18
171,b6a175a48743caed6d035444c069ab64,33,2015-08-19
172,b6a175a48743caed6d035444c069ab64,14,2015-08-20
173,b6a175a48743caed6d035444c069ab64,98,2015-08-21
174,b6a175a48743caed6d035444c069ab64,22,2015-08-22
175,b6a175a48743caed6d035444c069ab64,20,2015-08-23
176,b6a175a48743caed6d035444c069ab64,28,2015-08-24
177,b6a175a48743caed6d035444c069ab64,17,2015-08-25
178,b6a175a48743caed6d035444c069ab64,40,2015-08-26
179,b6a175a48743caed6d035444c069ab64,31,2015-08-27
180,b6a175a48743caed6d035444c069ab64,24,2015-08-28
181,b6a175a48743caed6d035444c069ab64,23,2015-08-29
182,b6a175a48743caed6d035444c069ab64,46,2015-08-30
