,artist_id,down,ds
0,bc14447beab5353ef057c3ec90199576,398,2015-03-01
1,bc14447beab5353ef057c3ec90199576,430,2015-03-02
2,bc14447beab5353ef057c3ec90199576,182,2015-03-03
3,bc14447beab5353ef057c3ec90199576,688,2015-03-04
4,bc14447beab5353ef057c3ec90199576,265,2015-03-05
5,bc14447beab5353ef057c3ec90199576,211,2015-03-06
6,bc14447beab5353ef057c3ec90199576,333,2015-03-07
7,bc14447beab5353ef057c3ec90199576,288,2015-03-08
8,bc14447beab5353ef057c3ec90199576,727,2015-03-09
9,bc14447beab5353ef057c3ec90199576,397,2015-03-10
10,bc14447beab5353ef057c3ec90199576,327,2015-03-11
11,bc14447beab5353ef057c3ec90199576,308,2015-03-12
12,bc14447beab5353ef057c3ec90199576,373,2015-03-13
13,bc14447beab5353ef057c3ec90199576,491,2015-03-14
14,bc14447beab5353ef057c3ec90199576,587,2015-03-15
15,bc14447beab5353ef057c3ec90199576,295,2015-03-16
16,bc14447beab5353ef057c3ec90199576,308,2015-03-17
17,bc14447beab5353ef057c3ec90199576,279,2015-03-18
18,bc14447beab5353ef057c3ec90199576,514,2015-03-19
19,bc14447beab5353ef057c3ec90199576,320,2015-03-20
20,bc14447beab5353ef057c3ec90199576,368,2015-03-21
21,bc14447beab5353ef057c3ec90199576,370,2015-03-22
22,bc14447beab5353ef057c3ec90199576,187,2015-03-23
23,bc14447beab5353ef057c3ec90199576,630,2015-03-24
24,bc14447beab5353ef057c3ec90199576,470,2015-03-25
25,bc14447beab5353ef057c3ec90199576,232,2015-03-26
26,bc14447beab5353ef057c3ec90199576,606,2015-03-27
27,bc14447beab5353ef057c3ec90199576,581,2015-03-28
28,bc14447beab5353ef057c3ec90199576,434,2015-03-29
29,bc14447beab5353ef057c3ec90199576,453,2015-03-30
30,bc14447beab5353ef057c3ec90199576,434,2015-03-31
31,bc14447beab5353ef057c3ec90199576,339,2015-04-01
32,bc14447beab5353ef057c3ec90199576,497,2015-04-02
33,bc14447beab5353ef057c3ec90199576,310,2015-04-03
34,bc14447beab5353ef057c3ec90199576,463,2015-04-04
35,bc14447beab5353ef057c3ec90199576,942,2015-04-05
36,bc14447beab5353ef057c3ec90199576,590,2015-04-06
37,bc14447beab5353ef057c3ec90199576,425,2015-04-07
38,bc14447beab5353ef057c3ec90199576,337,2015-04-08
39,bc14447beab5353ef057c3ec90199576,305,2015-04-09
40,bc14447beab5353ef057c3ec90199576,432,2015-04-10
41,bc14447beab5353ef057c3ec90199576,381,2015-04-11
42,bc14447beab5353ef057c3ec90199576,738,2015-04-12
43,bc14447beab5353ef057c3ec90199576,336,2015-04-13
44,bc14447beab5353ef057c3ec90199576,316,2015-04-14
45,bc14447beab5353ef057c3ec90199576,364,2015-04-15
46,bc14447beab5353ef057c3ec90199576,252,2015-04-16
47,bc14447beab5353ef057c3ec90199576,322,2015-04-17
48,bc14447beab5353ef057c3ec90199576,370,2015-04-18
49,bc14447beab5353ef057c3ec90199576,436,2015-04-19
50,bc14447beab5353ef057c3ec90199576,281,2015-04-20
51,bc14447beab5353ef057c3ec90199576,1069,2015-04-21
52,bc14447beab5353ef057c3ec90199576,328,2015-04-22
53,bc14447beab5353ef057c3ec90199576,168,2015-04-23
54,bc14447beab5353ef057c3ec90199576,235,2015-04-24
55,bc14447beab5353ef057c3ec90199576,413,2015-04-25
56,bc14447beab5353ef057c3ec90199576,294,2015-04-26
57,bc14447beab5353ef057c3ec90199576,273,2015-04-27
58,bc14447beab5353ef057c3ec90199576,409,2015-04-28
59,bc14447beab5353ef057c3ec90199576,184,2015-04-29
60,bc14447beab5353ef057c3ec90199576,386,2015-04-30
61,bc14447beab5353ef057c3ec90199576,533,2015-05-01
62,bc14447beab5353ef057c3ec90199576,456,2015-05-02
63,bc14447beab5353ef057c3ec90199576,192,2015-05-03
64,bc14447beab5353ef057c3ec90199576,400,2015-05-04
65,bc14447beab5353ef057c3ec90199576,519,2015-05-05
66,bc14447beab5353ef057c3ec90199576,441,2015-05-06
67,bc14447beab5353ef057c3ec90199576,279,2015-05-07
68,bc14447beab5353ef057c3ec90199576,312,2015-05-08
69,bc14447beab5353ef057c3ec90199576,259,2015-05-09
70,bc14447beab5353ef057c3ec90199576,571,2015-05-10
71,bc14447beab5353ef057c3ec90199576,429,2015-05-11
72,bc14447beab5353ef057c3ec90199576,354,2015-05-12
73,bc14447beab5353ef057c3ec90199576,330,2015-05-13
74,bc14447beab5353ef057c3ec90199576,498,2015-05-14
75,bc14447beab5353ef057c3ec90199576,250,2015-05-15
76,bc14447beab5353ef057c3ec90199576,237,2015-05-16
77,bc14447beab5353ef057c3ec90199576,371,2015-05-17
78,bc14447beab5353ef057c3ec90199576,717,2015-05-18
79,bc14447beab5353ef057c3ec90199576,374,2015-05-19
80,bc14447beab5353ef057c3ec90199576,376,2015-05-20
81,bc14447beab5353ef057c3ec90199576,345,2015-05-21
82,bc14447beab5353ef057c3ec90199576,389,2015-05-22
83,bc14447beab5353ef057c3ec90199576,494,2015-05-23
84,bc14447beab5353ef057c3ec90199576,367,2015-05-24
85,bc14447beab5353ef057c3ec90199576,376,2015-05-25
86,bc14447beab5353ef057c3ec90199576,342,2015-05-26
87,bc14447beab5353ef057c3ec90199576,582,2015-05-27
88,bc14447beab5353ef057c3ec90199576,448,2015-05-28
89,bc14447beab5353ef057c3ec90199576,218,2015-05-29
90,bc14447beab5353ef057c3ec90199576,389,2015-05-30
91,bc14447beab5353ef057c3ec90199576,276,2015-05-31
92,bc14447beab5353ef057c3ec90199576,277,2015-06-01
93,bc14447beab5353ef057c3ec90199576,464,2015-06-02
94,bc14447beab5353ef057c3ec90199576,331,2015-06-03
95,bc14447beab5353ef057c3ec90199576,147,2015-06-04
96,bc14447beab5353ef057c3ec90199576,227,2015-06-05
97,bc14447beab5353ef057c3ec90199576,480,2015-06-06
98,bc14447beab5353ef057c3ec90199576,421,2015-06-07
99,bc14447beab5353ef057c3ec90199576,322,2015-06-08
100,bc14447beab5353ef057c3ec90199576,310,2015-06-09
101,bc14447beab5353ef057c3ec90199576,507,2015-06-10
102,bc14447beab5353ef057c3ec90199576,419,2015-06-11
103,bc14447beab5353ef057c3ec90199576,393,2015-06-12
104,bc14447beab5353ef057c3ec90199576,239,2015-06-13
105,bc14447beab5353ef057c3ec90199576,460,2015-06-14
106,bc14447beab5353ef057c3ec90199576,284,2015-06-15
107,bc14447beab5353ef057c3ec90199576,323,2015-06-16
108,bc14447beab5353ef057c3ec90199576,348,2015-06-17
109,bc14447beab5353ef057c3ec90199576,363,2015-06-18
110,bc14447beab5353ef057c3ec90199576,537,2015-06-19
111,bc14447beab5353ef057c3ec90199576,326,2015-06-20
112,bc14447beab5353ef057c3ec90199576,352,2015-06-21
113,bc14447beab5353ef057c3ec90199576,289,2015-06-22
114,bc14447beab5353ef057c3ec90199576,421,2015-06-23
115,bc14447beab5353ef057c3ec90199576,233,2015-06-24
116,bc14447beab5353ef057c3ec90199576,254,2015-06-25
117,bc14447beab5353ef057c3ec90199576,432,2015-06-26
118,bc14447beab5353ef057c3ec90199576,381,2015-06-27
119,bc14447beab5353ef057c3ec90199576,356,2015-06-28
120,bc14447beab5353ef057c3ec90199576,232,2015-06-29
121,bc14447beab5353ef057c3ec90199576,297,2015-06-30
122,bc14447beab5353ef057c3ec90199576,396,2015-07-01
123,bc14447beab5353ef057c3ec90199576,579,2015-07-02
124,bc14447beab5353ef057c3ec90199576,355,2015-07-03
125,bc14447beab5353ef057c3ec90199576,540,2015-07-04
126,bc14447beab5353ef057c3ec90199576,588,2015-07-05
127,bc14447beab5353ef057c3ec90199576,252,2015-07-06
128,bc14447beab5353ef057c3ec90199576,386,2015-07-07
129,bc14447beab5353ef057c3ec90199576,422,2015-07-08
130,bc14447beab5353ef057c3ec90199576,587,2015-07-09
131,bc14447beab5353ef057c3ec90199576,889,2015-07-10
132,bc14447beab5353ef057c3ec90199576,595,2015-07-11
133,bc14447beab5353ef057c3ec90199576,318,2015-07-12
134,bc14447beab5353ef057c3ec90199576,590,2015-07-13
135,bc14447beab5353ef057c3ec90199576,356,2015-07-14
136,bc14447beab5353ef057c3ec90199576,354,2015-07-15
137,bc14447beab5353ef057c3ec90199576,455,2015-07-16
138,bc14447beab5353ef057c3ec90199576,445,2015-07-17
139,bc14447beab5353ef057c3ec90199576,445,2015-07-18
140,bc14447beab5353ef057c3ec90199576,450,2015-07-19
141,bc14447beab5353ef057c3ec90199576,449,2015-07-20
142,bc14447beab5353ef057c3ec90199576,521,2015-07-21
143,bc14447beab5353ef057c3ec90199576,661,2015-07-22
144,bc14447beab5353ef057c3ec90199576,645,2015-07-23
145,bc14447beab5353ef057c3ec90199576,560,2015-07-24
146,bc14447beab5353ef057c3ec90199576,658,2015-07-25
147,bc14447beab5353ef057c3ec90199576,476,2015-07-26
148,bc14447beab5353ef057c3ec90199576,470,2015-07-27
149,bc14447beab5353ef057c3ec90199576,593,2015-07-28
150,bc14447beab5353ef057c3ec90199576,677,2015-07-29
151,bc14447beab5353ef057c3ec90199576,336,2015-07-30
152,bc14447beab5353ef057c3ec90199576,355,2015-07-31
153,bc14447beab5353ef057c3ec90199576,264,2015-08-01
154,bc14447beab5353ef057c3ec90199576,525,2015-08-02
155,bc14447beab5353ef057c3ec90199576,355,2015-08-03
156,bc14447beab5353ef057c3ec90199576,270,2015-08-04
157,bc14447beab5353ef057c3ec90199576,509,2015-08-05
158,bc14447beab5353ef057c3ec90199576,247,2015-08-06
159,bc14447beab5353ef057c3ec90199576,200,2015-08-07
160,bc14447beab5353ef057c3ec90199576,459,2015-08-08
161,bc14447beab5353ef057c3ec90199576,696,2015-08-09
162,bc14447beab5353ef057c3ec90199576,539,2015-08-10
163,bc14447beab5353ef057c3ec90199576,382,2015-08-11
164,bc14447beab5353ef057c3ec90199576,429,2015-08-12
165,bc14447beab5353ef057c3ec90199576,298,2015-08-13
166,bc14447beab5353ef057c3ec90199576,221,2015-08-14
167,bc14447beab5353ef057c3ec90199576,250,2015-08-15
168,bc14447beab5353ef057c3ec90199576,280,2015-08-16
169,bc14447beab5353ef057c3ec90199576,154,2015-08-17
170,bc14447beab5353ef057c3ec90199576,366,2015-08-18
171,bc14447beab5353ef057c3ec90199576,215,2015-08-19
172,bc14447beab5353ef057c3ec90199576,165,2015-08-20
173,bc14447beab5353ef057c3ec90199576,256,2015-08-21
174,bc14447beab5353ef057c3ec90199576,330,2015-08-22
175,bc14447beab5353ef057c3ec90199576,683,2015-08-23
176,bc14447beab5353ef057c3ec90199576,335,2015-08-24
177,bc14447beab5353ef057c3ec90199576,740,2015-08-25
178,bc14447beab5353ef057c3ec90199576,419,2015-08-26
179,bc14447beab5353ef057c3ec90199576,303,2015-08-27
180,bc14447beab5353ef057c3ec90199576,455,2015-08-28
181,bc14447beab5353ef057c3ec90199576,567,2015-08-29
182,bc14447beab5353ef057c3ec90199576,415,2015-08-30
