,artist_id,down,ds
0,be0c7a23c2aa9afb45163995b9ec938c,77,20150301
1,be0c7a23c2aa9afb45163995b9ec938c,55,20150302
2,be0c7a23c2aa9afb45163995b9ec938c,89,20150303
3,be0c7a23c2aa9afb45163995b9ec938c,52,20150304
4,be0c7a23c2aa9afb45163995b9ec938c,78,20150305
5,be0c7a23c2aa9afb45163995b9ec938c,36,20150306
6,be0c7a23c2aa9afb45163995b9ec938c,41,20150307
7,be0c7a23c2aa9afb45163995b9ec938c,51,20150308
8,be0c7a23c2aa9afb45163995b9ec938c,27,20150309
9,be0c7a23c2aa9afb45163995b9ec938c,47,20150310
10,be0c7a23c2aa9afb45163995b9ec938c,40,20150311
11,be0c7a23c2aa9afb45163995b9ec938c,39,20150312
12,be0c7a23c2aa9afb45163995b9ec938c,50,20150313
13,be0c7a23c2aa9afb45163995b9ec938c,52,20150314
14,be0c7a23c2aa9afb45163995b9ec938c,81,20150315
15,be0c7a23c2aa9afb45163995b9ec938c,82,20150316
16,be0c7a23c2aa9afb45163995b9ec938c,27,20150317
17,be0c7a23c2aa9afb45163995b9ec938c,46,20150318
18,be0c7a23c2aa9afb45163995b9ec938c,72,20150319
19,be0c7a23c2aa9afb45163995b9ec938c,41,20150320
20,be0c7a23c2aa9afb45163995b9ec938c,90,20150321
21,be0c7a23c2aa9afb45163995b9ec938c,83,20150322
22,be0c7a23c2aa9afb45163995b9ec938c,51,20150323
23,be0c7a23c2aa9afb45163995b9ec938c,56,20150324
24,be0c7a23c2aa9afb45163995b9ec938c,31,20150325
25,be0c7a23c2aa9afb45163995b9ec938c,42,20150326
26,be0c7a23c2aa9afb45163995b9ec938c,51,20150327
27,be0c7a23c2aa9afb45163995b9ec938c,87,20150328
28,be0c7a23c2aa9afb45163995b9ec938c,58,20150329
29,be0c7a23c2aa9afb45163995b9ec938c,134,20150330
30,be0c7a23c2aa9afb45163995b9ec938c,47,20150331
31,be0c7a23c2aa9afb45163995b9ec938c,107,20150401
32,be0c7a23c2aa9afb45163995b9ec938c,64,20150402
33,be0c7a23c2aa9afb45163995b9ec938c,72,20150403
34,be0c7a23c2aa9afb45163995b9ec938c,62,20150404
35,be0c7a23c2aa9afb45163995b9ec938c,48,20150405
36,be0c7a23c2aa9afb45163995b9ec938c,63,20150406
37,be0c7a23c2aa9afb45163995b9ec938c,51,20150407
38,be0c7a23c2aa9afb45163995b9ec938c,59,20150408
39,be0c7a23c2aa9afb45163995b9ec938c,87,20150409
40,be0c7a23c2aa9afb45163995b9ec938c,112,20150410
41,be0c7a23c2aa9afb45163995b9ec938c,83,20150411
42,be0c7a23c2aa9afb45163995b9ec938c,64,20150412
43,be0c7a23c2aa9afb45163995b9ec938c,43,20150413
44,be0c7a23c2aa9afb45163995b9ec938c,46,20150414
45,be0c7a23c2aa9afb45163995b9ec938c,34,20150415
46,be0c7a23c2aa9afb45163995b9ec938c,85,20150416
47,be0c7a23c2aa9afb45163995b9ec938c,144,20150417
48,be0c7a23c2aa9afb45163995b9ec938c,99,20150418
49,be0c7a23c2aa9afb45163995b9ec938c,54,20150419
50,be0c7a23c2aa9afb45163995b9ec938c,44,20150420
51,be0c7a23c2aa9afb45163995b9ec938c,80,20150421
