,artist_id,down,ds
0,bf21d16799b240d6e445fa30472bd50b,5,2015-03-01
1,bf21d16799b240d6e445fa30472bd50b,1,2015-03-02
2,bf21d16799b240d6e445fa30472bd50b,3,2015-03-03
3,bf21d16799b240d6e445fa30472bd50b,5,2015-03-04
4,bf21d16799b240d6e445fa30472bd50b,6,2015-03-05
5,bf21d16799b240d6e445fa30472bd50b,5,2015-03-07
6,bf21d16799b240d6e445fa30472bd50b,2,2015-03-08
7,bf21d16799b240d6e445fa30472bd50b,7,2015-03-09
8,bf21d16799b240d6e445fa30472bd50b,1,2015-03-10
9,bf21d16799b240d6e445fa30472bd50b,4,2015-03-11
10,bf21d16799b240d6e445fa30472bd50b,1,2015-03-12
11,bf21d16799b240d6e445fa30472bd50b,5,2015-03-14
12,bf21d16799b240d6e445fa30472bd50b,2,2015-03-15
13,bf21d16799b240d6e445fa30472bd50b,5,2015-03-16
14,bf21d16799b240d6e445fa30472bd50b,4,2015-03-17
15,bf21d16799b240d6e445fa30472bd50b,3,2015-03-18
16,bf21d16799b240d6e445fa30472bd50b,1,2015-03-19
17,bf21d16799b240d6e445fa30472bd50b,1,2015-03-20
18,bf21d16799b240d6e445fa30472bd50b,3,2015-03-21
19,bf21d16799b240d6e445fa30472bd50b,5,2015-03-22
20,bf21d16799b240d6e445fa30472bd50b,5,2015-03-23
21,bf21d16799b240d6e445fa30472bd50b,7,2015-03-24
22,bf21d16799b240d6e445fa30472bd50b,3,2015-03-25
23,bf21d16799b240d6e445fa30472bd50b,11,2015-03-28
24,bf21d16799b240d6e445fa30472bd50b,6,2015-03-29
25,bf21d16799b240d6e445fa30472bd50b,5,2015-03-31
26,bf21d16799b240d6e445fa30472bd50b,9,2015-04-01
27,bf21d16799b240d6e445fa30472bd50b,6,2015-04-02
28,bf21d16799b240d6e445fa30472bd50b,1,2015-04-03
29,bf21d16799b240d6e445fa30472bd50b,4,2015-04-04
30,bf21d16799b240d6e445fa30472bd50b,4,2015-04-05
31,bf21d16799b240d6e445fa30472bd50b,1,2015-04-06
32,bf21d16799b240d6e445fa30472bd50b,2,2015-04-07
33,bf21d16799b240d6e445fa30472bd50b,1,2015-04-08
34,bf21d16799b240d6e445fa30472bd50b,2,2015-04-09
35,bf21d16799b240d6e445fa30472bd50b,2,2015-04-10
36,bf21d16799b240d6e445fa30472bd50b,3,2015-04-11
37,bf21d16799b240d6e445fa30472bd50b,1,2015-04-12
38,bf21d16799b240d6e445fa30472bd50b,2,2015-04-13
39,bf21d16799b240d6e445fa30472bd50b,4,2015-04-14
40,bf21d16799b240d6e445fa30472bd50b,1,2015-04-15
41,bf21d16799b240d6e445fa30472bd50b,2,2015-04-16
42,bf21d16799b240d6e445fa30472bd50b,4,2015-04-17
43,bf21d16799b240d6e445fa30472bd50b,2,2015-04-18
44,bf21d16799b240d6e445fa30472bd50b,6,2015-04-19
45,bf21d16799b240d6e445fa30472bd50b,2,2015-04-20
46,bf21d16799b240d6e445fa30472bd50b,24,2015-04-21
47,bf21d16799b240d6e445fa30472bd50b,5,2015-04-22
48,bf21d16799b240d6e445fa30472bd50b,3,2015-04-23
49,bf21d16799b240d6e445fa30472bd50b,2,2015-04-24
50,bf21d16799b240d6e445fa30472bd50b,2,2015-04-25
51,bf21d16799b240d6e445fa30472bd50b,2,2015-04-26
52,bf21d16799b240d6e445fa30472bd50b,3,2015-04-27
53,bf21d16799b240d6e445fa30472bd50b,1,2015-04-29
54,bf21d16799b240d6e445fa30472bd50b,3,2015-04-30
55,bf21d16799b240d6e445fa30472bd50b,4,2015-05-01
56,bf21d16799b240d6e445fa30472bd50b,1,2015-05-02
57,bf21d16799b240d6e445fa30472bd50b,1,2015-05-03
58,bf21d16799b240d6e445fa30472bd50b,2,2015-05-04
59,bf21d16799b240d6e445fa30472bd50b,1,2015-05-05
60,bf21d16799b240d6e445fa30472bd50b,1,2015-05-06
61,bf21d16799b240d6e445fa30472bd50b,1,2015-05-07
62,bf21d16799b240d6e445fa30472bd50b,2,2015-05-08
63,bf21d16799b240d6e445fa30472bd50b,12,2015-05-09
64,bf21d16799b240d6e445fa30472bd50b,2,2015-05-10
65,bf21d16799b240d6e445fa30472bd50b,3,2015-05-12
66,bf21d16799b240d6e445fa30472bd50b,4,2015-05-13
67,bf21d16799b240d6e445fa30472bd50b,2,2015-05-14
68,bf21d16799b240d6e445fa30472bd50b,4,2015-05-15
69,bf21d16799b240d6e445fa30472bd50b,1,2015-05-16
70,bf21d16799b240d6e445fa30472bd50b,6,2015-05-17
71,bf21d16799b240d6e445fa30472bd50b,3,2015-05-18
72,bf21d16799b240d6e445fa30472bd50b,3,2015-05-19
73,bf21d16799b240d6e445fa30472bd50b,3,2015-05-20
74,bf21d16799b240d6e445fa30472bd50b,3,2015-05-21
75,bf21d16799b240d6e445fa30472bd50b,3,2015-05-22
76,bf21d16799b240d6e445fa30472bd50b,9,2015-05-23
77,bf21d16799b240d6e445fa30472bd50b,8,2015-05-24
78,bf21d16799b240d6e445fa30472bd50b,4,2015-05-25
79,bf21d16799b240d6e445fa30472bd50b,3,2015-05-26
80,bf21d16799b240d6e445fa30472bd50b,5,2015-05-27
81,bf21d16799b240d6e445fa30472bd50b,5,2015-05-28
82,bf21d16799b240d6e445fa30472bd50b,3,2015-05-29
83,bf21d16799b240d6e445fa30472bd50b,1,2015-05-30
84,bf21d16799b240d6e445fa30472bd50b,3,2015-05-31
85,bf21d16799b240d6e445fa30472bd50b,4,2015-06-01
86,bf21d16799b240d6e445fa30472bd50b,6,2015-06-02
87,bf21d16799b240d6e445fa30472bd50b,18,2015-06-03
88,bf21d16799b240d6e445fa30472bd50b,8,2015-06-04
89,bf21d16799b240d6e445fa30472bd50b,10,2015-06-05
90,bf21d16799b240d6e445fa30472bd50b,3,2015-06-06
91,bf21d16799b240d6e445fa30472bd50b,3,2015-06-07
92,bf21d16799b240d6e445fa30472bd50b,5,2015-06-08
93,bf21d16799b240d6e445fa30472bd50b,1,2015-06-09
94,bf21d16799b240d6e445fa30472bd50b,2,2015-06-10
95,bf21d16799b240d6e445fa30472bd50b,6,2015-06-11
96,bf21d16799b240d6e445fa30472bd50b,5,2015-06-12
97,bf21d16799b240d6e445fa30472bd50b,3,2015-06-13
98,bf21d16799b240d6e445fa30472bd50b,1,2015-06-14
99,bf21d16799b240d6e445fa30472bd50b,2,2015-06-15
100,bf21d16799b240d6e445fa30472bd50b,1,2015-06-16
101,bf21d16799b240d6e445fa30472bd50b,1,2015-06-17
102,bf21d16799b240d6e445fa30472bd50b,4,2015-06-18
103,bf21d16799b240d6e445fa30472bd50b,4,2015-06-19
104,bf21d16799b240d6e445fa30472bd50b,1,2015-06-20
105,bf21d16799b240d6e445fa30472bd50b,5,2015-06-21
106,bf21d16799b240d6e445fa30472bd50b,1,2015-06-22
107,bf21d16799b240d6e445fa30472bd50b,3,2015-06-23
108,bf21d16799b240d6e445fa30472bd50b,6,2015-06-25
109,bf21d16799b240d6e445fa30472bd50b,2,2015-06-26
110,bf21d16799b240d6e445fa30472bd50b,1,2015-06-27
111,bf21d16799b240d6e445fa30472bd50b,5,2015-06-29
112,bf21d16799b240d6e445fa30472bd50b,3,2015-06-30
113,bf21d16799b240d6e445fa30472bd50b,6,2015-07-01
114,bf21d16799b240d6e445fa30472bd50b,7,2015-07-02
115,bf21d16799b240d6e445fa30472bd50b,2,2015-07-05
116,bf21d16799b240d6e445fa30472bd50b,6,2015-07-07
117,bf21d16799b240d6e445fa30472bd50b,1,2015-07-08
118,bf21d16799b240d6e445fa30472bd50b,2,2015-07-09
119,bf21d16799b240d6e445fa30472bd50b,2,2015-07-10
120,bf21d16799b240d6e445fa30472bd50b,1,2015-07-11
121,bf21d16799b240d6e445fa30472bd50b,4,2015-07-12
122,bf21d16799b240d6e445fa30472bd50b,1,2015-07-13
123,bf21d16799b240d6e445fa30472bd50b,1,2015-07-14
124,bf21d16799b240d6e445fa30472bd50b,2,2015-07-15
125,bf21d16799b240d6e445fa30472bd50b,2,2015-07-16
126,bf21d16799b240d6e445fa30472bd50b,1,2015-07-17
127,bf21d16799b240d6e445fa30472bd50b,3,2015-07-18
128,bf21d16799b240d6e445fa30472bd50b,3,2015-07-19
129,bf21d16799b240d6e445fa30472bd50b,5,2015-07-20
130,bf21d16799b240d6e445fa30472bd50b,3,2015-07-21
131,bf21d16799b240d6e445fa30472bd50b,5,2015-07-22
