,artist_id,down,ds
0,c026b84e8f23a7741d9b670e3d8973f0,42,2015-03-01
1,c026b84e8f23a7741d9b670e3d8973f0,58,2015-03-02
2,c026b84e8f23a7741d9b670e3d8973f0,37,2015-03-03
3,c026b84e8f23a7741d9b670e3d8973f0,41,2015-03-04
4,c026b84e8f23a7741d9b670e3d8973f0,34,2015-03-05
5,c026b84e8f23a7741d9b670e3d8973f0,41,2015-03-06
6,c026b84e8f23a7741d9b670e3d8973f0,36,2015-03-07
7,c026b84e8f23a7741d9b670e3d8973f0,35,2015-03-08
8,c026b84e8f23a7741d9b670e3d8973f0,40,2015-03-09
9,c026b84e8f23a7741d9b670e3d8973f0,30,2015-03-10
10,c026b84e8f23a7741d9b670e3d8973f0,32,2015-03-11
11,c026b84e8f23a7741d9b670e3d8973f0,25,2015-03-12
12,c026b84e8f23a7741d9b670e3d8973f0,36,2015-03-13
13,c026b84e8f23a7741d9b670e3d8973f0,26,2015-03-14
14,c026b84e8f23a7741d9b670e3d8973f0,72,2015-03-15
15,c026b84e8f23a7741d9b670e3d8973f0,75,2015-03-16
16,c026b84e8f23a7741d9b670e3d8973f0,28,2015-03-17
17,c026b84e8f23a7741d9b670e3d8973f0,26,2015-03-18
18,c026b84e8f23a7741d9b670e3d8973f0,38,2015-03-19
19,c026b84e8f23a7741d9b670e3d8973f0,54,2015-03-20
20,c026b84e8f23a7741d9b670e3d8973f0,42,2015-03-21
21,c026b84e8f23a7741d9b670e3d8973f0,26,2015-03-22
22,c026b84e8f23a7741d9b670e3d8973f0,24,2015-03-23
23,c026b84e8f23a7741d9b670e3d8973f0,39,2015-03-24
24,c026b84e8f23a7741d9b670e3d8973f0,32,2015-03-25
25,c026b84e8f23a7741d9b670e3d8973f0,26,2015-03-26
26,c026b84e8f23a7741d9b670e3d8973f0,32,2015-03-27
27,c026b84e8f23a7741d9b670e3d8973f0,38,2015-03-28
28,c026b84e8f23a7741d9b670e3d8973f0,56,2015-03-29
29,c026b84e8f23a7741d9b670e3d8973f0,24,2015-03-30
30,c026b84e8f23a7741d9b670e3d8973f0,41,2015-03-31
31,c026b84e8f23a7741d9b670e3d8973f0,29,2015-04-01
32,c026b84e8f23a7741d9b670e3d8973f0,38,2015-04-02
33,c026b84e8f23a7741d9b670e3d8973f0,37,2015-04-03
34,c026b84e8f23a7741d9b670e3d8973f0,33,2015-04-04
35,c026b84e8f23a7741d9b670e3d8973f0,45,2015-04-05
36,c026b84e8f23a7741d9b670e3d8973f0,44,2015-04-06
37,c026b84e8f23a7741d9b670e3d8973f0,26,2015-04-07
38,c026b84e8f23a7741d9b670e3d8973f0,45,2015-04-08
39,c026b84e8f23a7741d9b670e3d8973f0,38,2015-04-09
40,c026b84e8f23a7741d9b670e3d8973f0,40,2015-04-10
41,c026b84e8f23a7741d9b670e3d8973f0,66,2015-04-11
42,c026b84e8f23a7741d9b670e3d8973f0,25,2015-04-12
43,c026b84e8f23a7741d9b670e3d8973f0,55,2015-04-13
44,c026b84e8f23a7741d9b670e3d8973f0,80,2015-04-14
45,c026b84e8f23a7741d9b670e3d8973f0,48,2015-04-15
46,c026b84e8f23a7741d9b670e3d8973f0,101,2015-04-16
47,c026b84e8f23a7741d9b670e3d8973f0,29,2015-04-17
48,c026b84e8f23a7741d9b670e3d8973f0,40,2015-04-18
49,c026b84e8f23a7741d9b670e3d8973f0,42,2015-04-19
50,c026b84e8f23a7741d9b670e3d8973f0,26,2015-04-20
51,c026b84e8f23a7741d9b670e3d8973f0,83,2015-04-21
52,c026b84e8f23a7741d9b670e3d8973f0,30,2015-04-22
53,c026b84e8f23a7741d9b670e3d8973f0,34,2015-04-23
54,c026b84e8f23a7741d9b670e3d8973f0,59,2015-04-24
55,c026b84e8f23a7741d9b670e3d8973f0,57,2015-04-25
56,c026b84e8f23a7741d9b670e3d8973f0,47,2015-04-26
57,c026b84e8f23a7741d9b670e3d8973f0,53,2015-04-27
58,c026b84e8f23a7741d9b670e3d8973f0,28,2015-04-28
59,c026b84e8f23a7741d9b670e3d8973f0,34,2015-04-29
60,c026b84e8f23a7741d9b670e3d8973f0,28,2015-04-30
61,c026b84e8f23a7741d9b670e3d8973f0,43,2015-05-01
62,c026b84e8f23a7741d9b670e3d8973f0,42,2015-05-02
