,artist_id,down,ds
0,c0c28c3626073560ca763eb1ec60d9c0,64,2015-03-01
1,c0c28c3626073560ca763eb1ec60d9c0,45,2015-03-02
2,c0c28c3626073560ca763eb1ec60d9c0,75,2015-03-03
3,c0c28c3626073560ca763eb1ec60d9c0,82,2015-03-04
4,c0c28c3626073560ca763eb1ec60d9c0,83,2015-03-05
5,c0c28c3626073560ca763eb1ec60d9c0,103,2015-03-06
6,c0c28c3626073560ca763eb1ec60d9c0,44,2015-03-07
7,c0c28c3626073560ca763eb1ec60d9c0,113,2015-03-08
8,c0c28c3626073560ca763eb1ec60d9c0,62,2015-03-09
9,c0c28c3626073560ca763eb1ec60d9c0,32,2015-03-10
10,c0c28c3626073560ca763eb1ec60d9c0,53,2015-03-11
11,c0c28c3626073560ca763eb1ec60d9c0,109,2015-03-12
12,c0c28c3626073560ca763eb1ec60d9c0,44,2015-03-13
13,c0c28c3626073560ca763eb1ec60d9c0,49,2015-03-14
14,c0c28c3626073560ca763eb1ec60d9c0,62,2015-03-15
15,c0c28c3626073560ca763eb1ec60d9c0,152,2015-03-16
16,c0c28c3626073560ca763eb1ec60d9c0,49,2015-03-17
17,c0c28c3626073560ca763eb1ec60d9c0,61,2015-03-18
18,c0c28c3626073560ca763eb1ec60d9c0,109,2015-03-19
19,c0c28c3626073560ca763eb1ec60d9c0,140,2015-03-20
20,c0c28c3626073560ca763eb1ec60d9c0,197,2015-03-21
21,c0c28c3626073560ca763eb1ec60d9c0,275,2015-03-22
22,c0c28c3626073560ca763eb1ec60d9c0,184,2015-03-23
23,c0c28c3626073560ca763eb1ec60d9c0,155,2015-03-24
24,c0c28c3626073560ca763eb1ec60d9c0,142,2015-03-25
25,c0c28c3626073560ca763eb1ec60d9c0,93,2015-03-26
26,c0c28c3626073560ca763eb1ec60d9c0,105,2015-03-27
27,c0c28c3626073560ca763eb1ec60d9c0,79,2015-03-28
28,c0c28c3626073560ca763eb1ec60d9c0,82,2015-03-29
29,c0c28c3626073560ca763eb1ec60d9c0,136,2015-03-30
30,c0c28c3626073560ca763eb1ec60d9c0,87,2015-03-31
31,c0c28c3626073560ca763eb1ec60d9c0,145,2015-04-01
32,c0c28c3626073560ca763eb1ec60d9c0,224,2015-04-02
33,c0c28c3626073560ca763eb1ec60d9c0,279,2015-04-03
34,c0c28c3626073560ca763eb1ec60d9c0,394,2015-04-04
35,c0c28c3626073560ca763eb1ec60d9c0,463,2015-04-05
36,c0c28c3626073560ca763eb1ec60d9c0,359,2015-04-06
37,c0c28c3626073560ca763eb1ec60d9c0,298,2015-04-07
38,c0c28c3626073560ca763eb1ec60d9c0,276,2015-04-08
39,c0c28c3626073560ca763eb1ec60d9c0,243,2015-04-09
40,c0c28c3626073560ca763eb1ec60d9c0,287,2015-04-10
41,c0c28c3626073560ca763eb1ec60d9c0,264,2015-04-11
42,c0c28c3626073560ca763eb1ec60d9c0,385,2015-04-12
43,c0c28c3626073560ca763eb1ec60d9c0,209,2015-04-13
44,c0c28c3626073560ca763eb1ec60d9c0,180,2015-04-14
45,c0c28c3626073560ca763eb1ec60d9c0,204,2015-04-15
46,c0c28c3626073560ca763eb1ec60d9c0,165,2015-04-16
47,c0c28c3626073560ca763eb1ec60d9c0,239,2015-04-17
48,c0c28c3626073560ca763eb1ec60d9c0,220,2015-04-18
49,c0c28c3626073560ca763eb1ec60d9c0,312,2015-04-19
50,c0c28c3626073560ca763eb1ec60d9c0,173,2015-04-20
51,c0c28c3626073560ca763eb1ec60d9c0,164,2015-04-21
52,c0c28c3626073560ca763eb1ec60d9c0,198,2015-04-22
53,c0c28c3626073560ca763eb1ec60d9c0,130,2015-04-23
54,c0c28c3626073560ca763eb1ec60d9c0,198,2015-04-24
55,c0c28c3626073560ca763eb1ec60d9c0,270,2015-04-25
56,c0c28c3626073560ca763eb1ec60d9c0,237,2015-04-26
57,c0c28c3626073560ca763eb1ec60d9c0,182,2015-04-27
58,c0c28c3626073560ca763eb1ec60d9c0,248,2015-04-28
59,c0c28c3626073560ca763eb1ec60d9c0,287,2015-04-29
60,c0c28c3626073560ca763eb1ec60d9c0,243,2015-04-30
61,c0c28c3626073560ca763eb1ec60d9c0,265,2015-05-01
62,c0c28c3626073560ca763eb1ec60d9c0,229,2015-05-02
63,c0c28c3626073560ca763eb1ec60d9c0,295,2015-05-03
64,c0c28c3626073560ca763eb1ec60d9c0,280,2015-05-04
65,c0c28c3626073560ca763eb1ec60d9c0,291,2015-05-05
66,c0c28c3626073560ca763eb1ec60d9c0,278,2015-05-06
67,c0c28c3626073560ca763eb1ec60d9c0,243,2015-05-07
68,c0c28c3626073560ca763eb1ec60d9c0,250,2015-05-08
69,c0c28c3626073560ca763eb1ec60d9c0,229,2015-05-09
70,c0c28c3626073560ca763eb1ec60d9c0,225,2015-05-10
71,c0c28c3626073560ca763eb1ec60d9c0,130,2015-05-11
72,c0c28c3626073560ca763eb1ec60d9c0,167,2015-05-12
73,c0c28c3626073560ca763eb1ec60d9c0,155,2015-05-13
74,c0c28c3626073560ca763eb1ec60d9c0,213,2015-05-14
75,c0c28c3626073560ca763eb1ec60d9c0,175,2015-05-15
76,c0c28c3626073560ca763eb1ec60d9c0,218,2015-05-16
77,c0c28c3626073560ca763eb1ec60d9c0,223,2015-05-17
78,c0c28c3626073560ca763eb1ec60d9c0,127,2015-05-18
79,c0c28c3626073560ca763eb1ec60d9c0,215,2015-05-19
80,c0c28c3626073560ca763eb1ec60d9c0,246,2015-05-20
81,c0c28c3626073560ca763eb1ec60d9c0,226,2015-05-21
82,c0c28c3626073560ca763eb1ec60d9c0,164,2015-05-22
83,c0c28c3626073560ca763eb1ec60d9c0,260,2015-05-23
84,c0c28c3626073560ca763eb1ec60d9c0,255,2015-05-24
85,c0c28c3626073560ca763eb1ec60d9c0,297,2015-05-25
86,c0c28c3626073560ca763eb1ec60d9c0,125,2015-05-26
87,c0c28c3626073560ca763eb1ec60d9c0,267,2015-05-27
88,c0c28c3626073560ca763eb1ec60d9c0,253,2015-05-28
89,c0c28c3626073560ca763eb1ec60d9c0,271,2015-05-29
90,c0c28c3626073560ca763eb1ec60d9c0,369,2015-05-30
91,c0c28c3626073560ca763eb1ec60d9c0,569,2015-05-31
92,c0c28c3626073560ca763eb1ec60d9c0,452,2015-06-01
93,c0c28c3626073560ca763eb1ec60d9c0,213,2015-06-02
94,c0c28c3626073560ca763eb1ec60d9c0,247,2015-06-03
95,c0c28c3626073560ca763eb1ec60d9c0,291,2015-06-04
96,c0c28c3626073560ca763eb1ec60d9c0,220,2015-06-05
97,c0c28c3626073560ca763eb1ec60d9c0,291,2015-06-06
98,c0c28c3626073560ca763eb1ec60d9c0,368,2015-06-07
99,c0c28c3626073560ca763eb1ec60d9c0,197,2015-06-08
100,c0c28c3626073560ca763eb1ec60d9c0,150,2015-06-09
101,c0c28c3626073560ca763eb1ec60d9c0,167,2015-06-10
102,c0c28c3626073560ca763eb1ec60d9c0,526,2015-06-11
103,c0c28c3626073560ca763eb1ec60d9c0,608,2015-06-12
104,c0c28c3626073560ca763eb1ec60d9c0,481,2015-06-13
105,c0c28c3626073560ca763eb1ec60d9c0,432,2015-06-14
106,c0c28c3626073560ca763eb1ec60d9c0,605,2015-06-15
107,c0c28c3626073560ca763eb1ec60d9c0,750,2015-06-16
108,c0c28c3626073560ca763eb1ec60d9c0,608,2015-06-17
109,c0c28c3626073560ca763eb1ec60d9c0,401,2015-06-18
110,c0c28c3626073560ca763eb1ec60d9c0,348,2015-06-19
111,c0c28c3626073560ca763eb1ec60d9c0,307,2015-06-20
112,c0c28c3626073560ca763eb1ec60d9c0,306,2015-06-21
113,c0c28c3626073560ca763eb1ec60d9c0,647,2015-06-22
114,c0c28c3626073560ca763eb1ec60d9c0,332,2015-06-23
115,c0c28c3626073560ca763eb1ec60d9c0,213,2015-06-24
116,c0c28c3626073560ca763eb1ec60d9c0,240,2015-06-25
117,c0c28c3626073560ca763eb1ec60d9c0,182,2015-06-26
118,c0c28c3626073560ca763eb1ec60d9c0,238,2015-06-27
119,c0c28c3626073560ca763eb1ec60d9c0,417,2015-06-28
120,c0c28c3626073560ca763eb1ec60d9c0,273,2015-06-29
121,c0c28c3626073560ca763eb1ec60d9c0,200,2015-06-30
122,c0c28c3626073560ca763eb1ec60d9c0,206,2015-07-01
123,c0c28c3626073560ca763eb1ec60d9c0,193,2015-07-02
124,c0c28c3626073560ca763eb1ec60d9c0,275,2015-07-03
125,c0c28c3626073560ca763eb1ec60d9c0,210,2015-07-04
126,c0c28c3626073560ca763eb1ec60d9c0,268,2015-07-05
127,c0c28c3626073560ca763eb1ec60d9c0,303,2015-07-06
128,c0c28c3626073560ca763eb1ec60d9c0,476,2015-07-07
129,c0c28c3626073560ca763eb1ec60d9c0,267,2015-07-08
130,c0c28c3626073560ca763eb1ec60d9c0,152,2015-07-09
131,c0c28c3626073560ca763eb1ec60d9c0,190,2015-07-10
132,c0c28c3626073560ca763eb1ec60d9c0,243,2015-07-11
133,c0c28c3626073560ca763eb1ec60d9c0,147,2015-07-12
134,c0c28c3626073560ca763eb1ec60d9c0,190,2015-07-13
135,c0c28c3626073560ca763eb1ec60d9c0,157,2015-07-14
136,c0c28c3626073560ca763eb1ec60d9c0,171,2015-07-15
137,c0c28c3626073560ca763eb1ec60d9c0,138,2015-07-16
138,c0c28c3626073560ca763eb1ec60d9c0,105,2015-07-17
139,c0c28c3626073560ca763eb1ec60d9c0,178,2015-07-18
140,c0c28c3626073560ca763eb1ec60d9c0,120,2015-07-19
141,c0c28c3626073560ca763eb1ec60d9c0,140,2015-07-20
142,c0c28c3626073560ca763eb1ec60d9c0,190,2015-07-21
143,c0c28c3626073560ca763eb1ec60d9c0,220,2015-07-22
144,c0c28c3626073560ca763eb1ec60d9c0,153,2015-07-23
145,c0c28c3626073560ca763eb1ec60d9c0,104,2015-07-24
146,c0c28c3626073560ca763eb1ec60d9c0,142,2015-07-25
147,c0c28c3626073560ca763eb1ec60d9c0,103,2015-07-26
148,c0c28c3626073560ca763eb1ec60d9c0,101,2015-07-27
149,c0c28c3626073560ca763eb1ec60d9c0,105,2015-07-28
150,c0c28c3626073560ca763eb1ec60d9c0,199,2015-07-29
151,c0c28c3626073560ca763eb1ec60d9c0,165,2015-07-30
152,c0c28c3626073560ca763eb1ec60d9c0,152,2015-07-31
153,c0c28c3626073560ca763eb1ec60d9c0,124,2015-08-01
154,c0c28c3626073560ca763eb1ec60d9c0,156,2015-08-02
155,c0c28c3626073560ca763eb1ec60d9c0,146,2015-08-03
156,c0c28c3626073560ca763eb1ec60d9c0,217,2015-08-04
157,c0c28c3626073560ca763eb1ec60d9c0,162,2015-08-05
158,c0c28c3626073560ca763eb1ec60d9c0,136,2015-08-06
159,c0c28c3626073560ca763eb1ec60d9c0,129,2015-08-07
160,c0c28c3626073560ca763eb1ec60d9c0,168,2015-08-08
161,c0c28c3626073560ca763eb1ec60d9c0,119,2015-08-09
162,c0c28c3626073560ca763eb1ec60d9c0,146,2015-08-10
163,c0c28c3626073560ca763eb1ec60d9c0,161,2015-08-11
164,c0c28c3626073560ca763eb1ec60d9c0,148,2015-08-12
165,c0c28c3626073560ca763eb1ec60d9c0,200,2015-08-13
166,c0c28c3626073560ca763eb1ec60d9c0,127,2015-08-14
167,c0c28c3626073560ca763eb1ec60d9c0,169,2015-08-15
168,c0c28c3626073560ca763eb1ec60d9c0,185,2015-08-16
169,c0c28c3626073560ca763eb1ec60d9c0,187,2015-08-17
170,c0c28c3626073560ca763eb1ec60d9c0,156,2015-08-18
171,c0c28c3626073560ca763eb1ec60d9c0,97,2015-08-19
172,c0c28c3626073560ca763eb1ec60d9c0,160,2015-08-20
173,c0c28c3626073560ca763eb1ec60d9c0,209,2015-08-21
174,c0c28c3626073560ca763eb1ec60d9c0,140,2015-08-22
175,c0c28c3626073560ca763eb1ec60d9c0,233,2015-08-23
176,c0c28c3626073560ca763eb1ec60d9c0,106,2015-08-24
177,c0c28c3626073560ca763eb1ec60d9c0,227,2015-08-25
178,c0c28c3626073560ca763eb1ec60d9c0,128,2015-08-26
179,c0c28c3626073560ca763eb1ec60d9c0,171,2015-08-27
180,c0c28c3626073560ca763eb1ec60d9c0,218,2015-08-28
181,c0c28c3626073560ca763eb1ec60d9c0,104,2015-08-29
182,c0c28c3626073560ca763eb1ec60d9c0,124,2015-08-30
