,artist_id,down,ds
0,c34f751524776063c5ef8d4d4ebd1d19,11,2015-03-01
1,c34f751524776063c5ef8d4d4ebd1d19,7,2015-03-02
2,c34f751524776063c5ef8d4d4ebd1d19,12,2015-03-03
3,c34f751524776063c5ef8d4d4ebd1d19,11,2015-03-04
4,c34f751524776063c5ef8d4d4ebd1d19,3,2015-03-05
5,c34f751524776063c5ef8d4d4ebd1d19,9,2015-03-06
6,c34f751524776063c5ef8d4d4ebd1d19,5,2015-03-07
7,c34f751524776063c5ef8d4d4ebd1d19,9,2015-03-08
8,c34f751524776063c5ef8d4d4ebd1d19,6,2015-03-09
9,c34f751524776063c5ef8d4d4ebd1d19,2,2015-03-10
10,c34f751524776063c5ef8d4d4ebd1d19,9,2015-03-11
11,c34f751524776063c5ef8d4d4ebd1d19,10,2015-03-12
12,c34f751524776063c5ef8d4d4ebd1d19,3,2015-03-13
13,c34f751524776063c5ef8d4d4ebd1d19,3,2015-03-14
14,c34f751524776063c5ef8d4d4ebd1d19,6,2015-03-15
15,c34f751524776063c5ef8d4d4ebd1d19,4,2015-03-16
16,c34f751524776063c5ef8d4d4ebd1d19,4,2015-03-17
17,c34f751524776063c5ef8d4d4ebd1d19,21,2015-03-18
18,c34f751524776063c5ef8d4d4ebd1d19,1,2015-03-19
19,c34f751524776063c5ef8d4d4ebd1d19,19,2015-03-20
20,c34f751524776063c5ef8d4d4ebd1d19,26,2015-03-21
21,c34f751524776063c5ef8d4d4ebd1d19,6,2015-03-22
22,c34f751524776063c5ef8d4d4ebd1d19,15,2015-03-23
23,c34f751524776063c5ef8d4d4ebd1d19,5,2015-03-24
24,c34f751524776063c5ef8d4d4ebd1d19,2,2015-03-25
25,c34f751524776063c5ef8d4d4ebd1d19,7,2015-03-26
26,c34f751524776063c5ef8d4d4ebd1d19,22,2015-03-27
27,c34f751524776063c5ef8d4d4ebd1d19,9,2015-03-28
28,c34f751524776063c5ef8d4d4ebd1d19,3,2015-03-29
29,c34f751524776063c5ef8d4d4ebd1d19,9,2015-03-30
30,c34f751524776063c5ef8d4d4ebd1d19,6,2015-03-31
31,c34f751524776063c5ef8d4d4ebd1d19,9,2015-04-01
32,c34f751524776063c5ef8d4d4ebd1d19,60,2015-04-02
33,c34f751524776063c5ef8d4d4ebd1d19,23,2015-04-03
34,c34f751524776063c5ef8d4d4ebd1d19,7,2015-04-04
35,c34f751524776063c5ef8d4d4ebd1d19,9,2015-04-05
36,c34f751524776063c5ef8d4d4ebd1d19,8,2015-04-06
37,c34f751524776063c5ef8d4d4ebd1d19,3,2015-04-07
38,c34f751524776063c5ef8d4d4ebd1d19,5,2015-04-08
39,c34f751524776063c5ef8d4d4ebd1d19,15,2015-04-09
40,c34f751524776063c5ef8d4d4ebd1d19,5,2015-04-10
41,c34f751524776063c5ef8d4d4ebd1d19,70,2015-04-11
42,c34f751524776063c5ef8d4d4ebd1d19,21,2015-04-12
43,c34f751524776063c5ef8d4d4ebd1d19,8,2015-04-13
44,c34f751524776063c5ef8d4d4ebd1d19,6,2015-04-14
45,c34f751524776063c5ef8d4d4ebd1d19,4,2015-04-15
46,c34f751524776063c5ef8d4d4ebd1d19,19,2015-04-16
47,c34f751524776063c5ef8d4d4ebd1d19,5,2015-04-17
48,c34f751524776063c5ef8d4d4ebd1d19,9,2015-04-18
49,c34f751524776063c5ef8d4d4ebd1d19,41,2015-04-19
50,c34f751524776063c5ef8d4d4ebd1d19,20,2015-04-20
51,c34f751524776063c5ef8d4d4ebd1d19,21,2015-04-21
52,c34f751524776063c5ef8d4d4ebd1d19,7,2015-04-22
53,c34f751524776063c5ef8d4d4ebd1d19,32,2015-04-23
54,c34f751524776063c5ef8d4d4ebd1d19,12,2015-04-24
55,c34f751524776063c5ef8d4d4ebd1d19,12,2015-04-25
56,c34f751524776063c5ef8d4d4ebd1d19,4,2015-04-26
57,c34f751524776063c5ef8d4d4ebd1d19,10,2015-04-27
58,c34f751524776063c5ef8d4d4ebd1d19,5,2015-04-28
59,c34f751524776063c5ef8d4d4ebd1d19,40,2015-04-29
60,c34f751524776063c5ef8d4d4ebd1d19,2,2015-04-30
61,c34f751524776063c5ef8d4d4ebd1d19,9,2015-05-01
62,c34f751524776063c5ef8d4d4ebd1d19,10,2015-05-02
63,c34f751524776063c5ef8d4d4ebd1d19,5,2015-05-03
64,c34f751524776063c5ef8d4d4ebd1d19,34,2015-05-04
65,c34f751524776063c5ef8d4d4ebd1d19,3,2015-05-05
66,c34f751524776063c5ef8d4d4ebd1d19,6,2015-05-06
67,c34f751524776063c5ef8d4d4ebd1d19,1,2015-05-07
68,c34f751524776063c5ef8d4d4ebd1d19,7,2015-05-08
69,c34f751524776063c5ef8d4d4ebd1d19,3,2015-05-09
70,c34f751524776063c5ef8d4d4ebd1d19,6,2015-05-10
71,c34f751524776063c5ef8d4d4ebd1d19,14,2015-05-11
72,c34f751524776063c5ef8d4d4ebd1d19,9,2015-05-12
73,c34f751524776063c5ef8d4d4ebd1d19,12,2015-05-13
74,c34f751524776063c5ef8d4d4ebd1d19,9,2015-05-14
75,c34f751524776063c5ef8d4d4ebd1d19,5,2015-05-15
76,c34f751524776063c5ef8d4d4ebd1d19,5,2015-05-16
77,c34f751524776063c5ef8d4d4ebd1d19,18,2015-05-17
78,c34f751524776063c5ef8d4d4ebd1d19,10,2015-05-18
79,c34f751524776063c5ef8d4d4ebd1d19,7,2015-05-19
80,c34f751524776063c5ef8d4d4ebd1d19,3,2015-05-20
81,c34f751524776063c5ef8d4d4ebd1d19,14,2015-05-21
82,c34f751524776063c5ef8d4d4ebd1d19,7,2015-05-22
83,c34f751524776063c5ef8d4d4ebd1d19,19,2015-05-23
84,c34f751524776063c5ef8d4d4ebd1d19,21,2015-05-24
85,c34f751524776063c5ef8d4d4ebd1d19,26,2015-05-25
86,c34f751524776063c5ef8d4d4ebd1d19,8,2015-05-27
87,c34f751524776063c5ef8d4d4ebd1d19,4,2015-05-28
88,c34f751524776063c5ef8d4d4ebd1d19,4,2015-05-29
89,c34f751524776063c5ef8d4d4ebd1d19,3,2015-05-30
90,c34f751524776063c5ef8d4d4ebd1d19,6,2015-05-31
91,c34f751524776063c5ef8d4d4ebd1d19,6,2015-06-01
92,c34f751524776063c5ef8d4d4ebd1d19,2,2015-06-02
93,c34f751524776063c5ef8d4d4ebd1d19,6,2015-06-03
94,c34f751524776063c5ef8d4d4ebd1d19,10,2015-06-04
95,c34f751524776063c5ef8d4d4ebd1d19,4,2015-06-05
96,c34f751524776063c5ef8d4d4ebd1d19,10,2015-06-06
97,c34f751524776063c5ef8d4d4ebd1d19,10,2015-06-07
98,c34f751524776063c5ef8d4d4ebd1d19,19,2015-06-08
99,c34f751524776063c5ef8d4d4ebd1d19,8,2015-06-09
100,c34f751524776063c5ef8d4d4ebd1d19,16,2015-06-10
101,c34f751524776063c5ef8d4d4ebd1d19,4,2015-06-11
102,c34f751524776063c5ef8d4d4ebd1d19,10,2015-06-12
103,c34f751524776063c5ef8d4d4ebd1d19,16,2015-06-13
104,c34f751524776063c5ef8d4d4ebd1d19,10,2015-06-14
105,c34f751524776063c5ef8d4d4ebd1d19,5,2015-06-15
106,c34f751524776063c5ef8d4d4ebd1d19,3,2015-06-16
107,c34f751524776063c5ef8d4d4ebd1d19,13,2015-06-17
108,c34f751524776063c5ef8d4d4ebd1d19,9,2015-06-18
109,c34f751524776063c5ef8d4d4ebd1d19,9,2015-06-19
110,c34f751524776063c5ef8d4d4ebd1d19,6,2015-06-20
111,c34f751524776063c5ef8d4d4ebd1d19,7,2015-06-21
112,c34f751524776063c5ef8d4d4ebd1d19,21,2015-06-22
113,c34f751524776063c5ef8d4d4ebd1d19,5,2015-06-23
114,c34f751524776063c5ef8d4d4ebd1d19,6,2015-06-24
115,c34f751524776063c5ef8d4d4ebd1d19,2,2015-06-25
116,c34f751524776063c5ef8d4d4ebd1d19,6,2015-06-26
117,c34f751524776063c5ef8d4d4ebd1d19,7,2015-06-27
118,c34f751524776063c5ef8d4d4ebd1d19,12,2015-06-28
119,c34f751524776063c5ef8d4d4ebd1d19,18,2015-06-29
120,c34f751524776063c5ef8d4d4ebd1d19,40,2015-06-30
121,c34f751524776063c5ef8d4d4ebd1d19,13,2015-07-01
122,c34f751524776063c5ef8d4d4ebd1d19,49,2015-07-02
123,c34f751524776063c5ef8d4d4ebd1d19,10,2015-07-03
124,c34f751524776063c5ef8d4d4ebd1d19,16,2015-07-04
125,c34f751524776063c5ef8d4d4ebd1d19,15,2015-07-05
126,c34f751524776063c5ef8d4d4ebd1d19,5,2015-07-06
127,c34f751524776063c5ef8d4d4ebd1d19,9,2015-07-07
128,c34f751524776063c5ef8d4d4ebd1d19,29,2015-07-08
129,c34f751524776063c5ef8d4d4ebd1d19,4,2015-07-09
130,c34f751524776063c5ef8d4d4ebd1d19,11,2015-07-10
131,c34f751524776063c5ef8d4d4ebd1d19,6,2015-07-11
132,c34f751524776063c5ef8d4d4ebd1d19,32,2015-07-12
133,c34f751524776063c5ef8d4d4ebd1d19,10,2015-07-13
134,c34f751524776063c5ef8d4d4ebd1d19,9,2015-07-14
135,c34f751524776063c5ef8d4d4ebd1d19,16,2015-07-15
136,c34f751524776063c5ef8d4d4ebd1d19,9,2015-07-16
137,c34f751524776063c5ef8d4d4ebd1d19,4,2015-07-17
138,c34f751524776063c5ef8d4d4ebd1d19,19,2015-07-18
139,c34f751524776063c5ef8d4d4ebd1d19,11,2015-07-19
140,c34f751524776063c5ef8d4d4ebd1d19,6,2015-07-20
141,c34f751524776063c5ef8d4d4ebd1d19,36,2015-07-21
142,c34f751524776063c5ef8d4d4ebd1d19,10,2015-07-22
143,c34f751524776063c5ef8d4d4ebd1d19,14,2015-07-23
144,c34f751524776063c5ef8d4d4ebd1d19,21,2015-07-24
145,c34f751524776063c5ef8d4d4ebd1d19,11,2015-07-25
146,c34f751524776063c5ef8d4d4ebd1d19,42,2015-07-26
147,c34f751524776063c5ef8d4d4ebd1d19,2,2015-07-27
148,c34f751524776063c5ef8d4d4ebd1d19,36,2015-07-28
149,c34f751524776063c5ef8d4d4ebd1d19,15,2015-07-29
150,c34f751524776063c5ef8d4d4ebd1d19,15,2015-07-30
151,c34f751524776063c5ef8d4d4ebd1d19,32,2015-07-31
152,c34f751524776063c5ef8d4d4ebd1d19,21,2015-08-01
153,c34f751524776063c5ef8d4d4ebd1d19,14,2015-08-02
154,c34f751524776063c5ef8d4d4ebd1d19,9,2015-08-03
155,c34f751524776063c5ef8d4d4ebd1d19,65,2015-08-04
156,c34f751524776063c5ef8d4d4ebd1d19,15,2015-08-05
157,c34f751524776063c5ef8d4d4ebd1d19,137,2015-08-06
158,c34f751524776063c5ef8d4d4ebd1d19,49,2015-08-07
159,c34f751524776063c5ef8d4d4ebd1d19,170,2015-08-08
160,c34f751524776063c5ef8d4d4ebd1d19,12,2015-08-09
161,c34f751524776063c5ef8d4d4ebd1d19,12,2015-08-10
162,c34f751524776063c5ef8d4d4ebd1d19,25,2015-08-11
163,c34f751524776063c5ef8d4d4ebd1d19,18,2015-08-12
164,c34f751524776063c5ef8d4d4ebd1d19,14,2015-08-13
165,c34f751524776063c5ef8d4d4ebd1d19,39,2015-08-14
166,c34f751524776063c5ef8d4d4ebd1d19,33,2015-08-15
167,c34f751524776063c5ef8d4d4ebd1d19,8,2015-08-16
168,c34f751524776063c5ef8d4d4ebd1d19,44,2015-08-17
169,c34f751524776063c5ef8d4d4ebd1d19,24,2015-08-18
170,c34f751524776063c5ef8d4d4ebd1d19,14,2015-08-19
171,c34f751524776063c5ef8d4d4ebd1d19,8,2015-08-20
172,c34f751524776063c5ef8d4d4ebd1d19,12,2015-08-21
173,c34f751524776063c5ef8d4d4ebd1d19,29,2015-08-22
174,c34f751524776063c5ef8d4d4ebd1d19,218,2015-08-23
175,c34f751524776063c5ef8d4d4ebd1d19,9,2015-08-24
176,c34f751524776063c5ef8d4d4ebd1d19,385,2015-08-25
177,c34f751524776063c5ef8d4d4ebd1d19,27,2015-08-26
178,c34f751524776063c5ef8d4d4ebd1d19,17,2015-08-27
179,c34f751524776063c5ef8d4d4ebd1d19,41,2015-08-28
180,c34f751524776063c5ef8d4d4ebd1d19,8,2015-08-29
181,c34f751524776063c5ef8d4d4ebd1d19,15,2015-08-30
