,artist_id,down,ds
0,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-03-01
1,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-03-02
2,c5eac1d455675dfbc99f6c70f7b3971f,6,2015-03-03
3,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-03-04
4,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-03-05
5,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-03-06
6,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-03-07
7,c5eac1d455675dfbc99f6c70f7b3971f,33,2015-03-08
8,c5eac1d455675dfbc99f6c70f7b3971f,11,2015-03-09
9,c5eac1d455675dfbc99f6c70f7b3971f,63,2015-03-10
10,c5eac1d455675dfbc99f6c70f7b3971f,40,2015-03-11
11,c5eac1d455675dfbc99f6c70f7b3971f,59,2015-03-12
12,c5eac1d455675dfbc99f6c70f7b3971f,36,2015-03-13
13,c5eac1d455675dfbc99f6c70f7b3971f,62,2015-03-14
14,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-03-15
15,c5eac1d455675dfbc99f6c70f7b3971f,16,2015-03-16
16,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-03-17
17,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-03-18
18,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-03-19
19,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-03-20
20,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-03-21
21,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-03-25
22,c5eac1d455675dfbc99f6c70f7b3971f,7,2015-03-27
23,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-03-28
24,c5eac1d455675dfbc99f6c70f7b3971f,9,2015-03-29
25,c5eac1d455675dfbc99f6c70f7b3971f,87,2015-03-30
26,c5eac1d455675dfbc99f6c70f7b3971f,10,2015-03-31
27,c5eac1d455675dfbc99f6c70f7b3971f,6,2015-04-01
28,c5eac1d455675dfbc99f6c70f7b3971f,19,2015-04-02
29,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-04-03
30,c5eac1d455675dfbc99f6c70f7b3971f,240,2015-04-04
31,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-04-05
32,c5eac1d455675dfbc99f6c70f7b3971f,8,2015-04-06
33,c5eac1d455675dfbc99f6c70f7b3971f,7,2015-04-07
34,c5eac1d455675dfbc99f6c70f7b3971f,7,2015-04-08
35,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-04-09
36,c5eac1d455675dfbc99f6c70f7b3971f,29,2015-04-10
37,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-04-11
38,c5eac1d455675dfbc99f6c70f7b3971f,15,2015-04-12
39,c5eac1d455675dfbc99f6c70f7b3971f,19,2015-04-13
40,c5eac1d455675dfbc99f6c70f7b3971f,35,2015-04-14
41,c5eac1d455675dfbc99f6c70f7b3971f,9,2015-04-15
42,c5eac1d455675dfbc99f6c70f7b3971f,26,2015-04-16
43,c5eac1d455675dfbc99f6c70f7b3971f,12,2015-04-17
44,c5eac1d455675dfbc99f6c70f7b3971f,7,2015-04-18
45,c5eac1d455675dfbc99f6c70f7b3971f,51,2015-04-19
46,c5eac1d455675dfbc99f6c70f7b3971f,31,2015-04-20
47,c5eac1d455675dfbc99f6c70f7b3971f,6,2015-04-21
48,c5eac1d455675dfbc99f6c70f7b3971f,13,2015-04-22
49,c5eac1d455675dfbc99f6c70f7b3971f,10,2015-04-23
50,c5eac1d455675dfbc99f6c70f7b3971f,6,2015-04-24
51,c5eac1d455675dfbc99f6c70f7b3971f,11,2015-04-25
52,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-04-26
53,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-04-27
54,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-04-28
55,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-04-30
56,c5eac1d455675dfbc99f6c70f7b3971f,7,2015-05-01
57,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-05-02
58,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-05-03
59,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-05-04
60,c5eac1d455675dfbc99f6c70f7b3971f,13,2015-05-05
61,c5eac1d455675dfbc99f6c70f7b3971f,5,2015-05-06
62,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-05-07
63,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-05-08
64,c5eac1d455675dfbc99f6c70f7b3971f,24,2015-05-09
65,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-05-10
66,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-05-11
67,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-05-12
68,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-05-13
69,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-05-14
70,c5eac1d455675dfbc99f6c70f7b3971f,11,2015-05-15
71,c5eac1d455675dfbc99f6c70f7b3971f,52,2015-05-16
72,c5eac1d455675dfbc99f6c70f7b3971f,5,2015-05-17
73,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-05-18
74,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-05-19
75,c5eac1d455675dfbc99f6c70f7b3971f,15,2015-05-20
76,c5eac1d455675dfbc99f6c70f7b3971f,34,2015-05-21
77,c5eac1d455675dfbc99f6c70f7b3971f,6,2015-05-22
78,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-05-24
79,c5eac1d455675dfbc99f6c70f7b3971f,26,2015-05-25
80,c5eac1d455675dfbc99f6c70f7b3971f,45,2015-05-26
81,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-05-27
82,c5eac1d455675dfbc99f6c70f7b3971f,9,2015-05-28
83,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-05-29
84,c5eac1d455675dfbc99f6c70f7b3971f,17,2015-05-30
85,c5eac1d455675dfbc99f6c70f7b3971f,23,2015-06-01
86,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-06-02
87,c5eac1d455675dfbc99f6c70f7b3971f,5,2015-06-03
88,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-06-04
89,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-06-06
90,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-06-07
91,c5eac1d455675dfbc99f6c70f7b3971f,65,2015-06-08
92,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-06-09
93,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-06-10
94,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-06-11
95,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-06-12
96,c5eac1d455675dfbc99f6c70f7b3971f,8,2015-06-13
97,c5eac1d455675dfbc99f6c70f7b3971f,9,2015-06-14
98,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-06-15
99,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-06-16
100,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-06-17
101,c5eac1d455675dfbc99f6c70f7b3971f,10,2015-06-18
102,c5eac1d455675dfbc99f6c70f7b3971f,6,2015-06-19
103,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-06-20
104,c5eac1d455675dfbc99f6c70f7b3971f,13,2015-06-21
105,c5eac1d455675dfbc99f6c70f7b3971f,5,2015-06-22
106,c5eac1d455675dfbc99f6c70f7b3971f,15,2015-06-23
107,c5eac1d455675dfbc99f6c70f7b3971f,18,2015-06-24
108,c5eac1d455675dfbc99f6c70f7b3971f,13,2015-06-25
109,c5eac1d455675dfbc99f6c70f7b3971f,5,2015-06-26
110,c5eac1d455675dfbc99f6c70f7b3971f,5,2015-06-27
111,c5eac1d455675dfbc99f6c70f7b3971f,5,2015-06-28
112,c5eac1d455675dfbc99f6c70f7b3971f,9,2015-06-29
113,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-06-30
114,c5eac1d455675dfbc99f6c70f7b3971f,12,2015-07-01
115,c5eac1d455675dfbc99f6c70f7b3971f,12,2015-07-02
116,c5eac1d455675dfbc99f6c70f7b3971f,5,2015-07-03
117,c5eac1d455675dfbc99f6c70f7b3971f,10,2015-07-04
118,c5eac1d455675dfbc99f6c70f7b3971f,10,2015-07-05
119,c5eac1d455675dfbc99f6c70f7b3971f,14,2015-07-06
120,c5eac1d455675dfbc99f6c70f7b3971f,35,2015-07-07
121,c5eac1d455675dfbc99f6c70f7b3971f,18,2015-07-08
122,c5eac1d455675dfbc99f6c70f7b3971f,8,2015-07-09
123,c5eac1d455675dfbc99f6c70f7b3971f,32,2015-07-10
124,c5eac1d455675dfbc99f6c70f7b3971f,122,2015-07-11
125,c5eac1d455675dfbc99f6c70f7b3971f,24,2015-07-12
126,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-07-13
127,c5eac1d455675dfbc99f6c70f7b3971f,9,2015-07-14
128,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-07-15
129,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-07-16
130,c5eac1d455675dfbc99f6c70f7b3971f,4,2015-07-18
131,c5eac1d455675dfbc99f6c70f7b3971f,31,2015-07-19
132,c5eac1d455675dfbc99f6c70f7b3971f,12,2015-07-20
133,c5eac1d455675dfbc99f6c70f7b3971f,50,2015-07-21
134,c5eac1d455675dfbc99f6c70f7b3971f,1,2015-07-22
135,c5eac1d455675dfbc99f6c70f7b3971f,13,2015-07-23
136,c5eac1d455675dfbc99f6c70f7b3971f,5,2015-07-24
137,c5eac1d455675dfbc99f6c70f7b3971f,103,2015-07-25
138,c5eac1d455675dfbc99f6c70f7b3971f,12,2015-07-26
139,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-07-27
140,c5eac1d455675dfbc99f6c70f7b3971f,5,2015-07-28
141,c5eac1d455675dfbc99f6c70f7b3971f,10,2015-07-29
142,c5eac1d455675dfbc99f6c70f7b3971f,39,2015-07-30
143,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-07-31
144,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-08-01
145,c5eac1d455675dfbc99f6c70f7b3971f,9,2015-08-02
146,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-08-03
147,c5eac1d455675dfbc99f6c70f7b3971f,251,2015-08-04
148,c5eac1d455675dfbc99f6c70f7b3971f,2,2015-08-05
149,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-08-06
150,c5eac1d455675dfbc99f6c70f7b3971f,9,2015-08-07
151,c5eac1d455675dfbc99f6c70f7b3971f,178,2015-08-08
152,c5eac1d455675dfbc99f6c70f7b3971f,3,2015-08-11
153,c5eac1d455675dfbc99f6c70f7b3971f,11,2015-08-12
154,c5eac1d455675dfbc99f6c70f7b3971f,7,2015-08-13
