,artist_id,down,ds
0,f6e0f05fde7637afb8f8bc6bda74ca24,32,2015-03-01
1,f6e0f05fde7637afb8f8bc6bda74ca24,18,2015-03-02
2,f6e0f05fde7637afb8f8bc6bda74ca24,17,2015-03-03
3,f6e0f05fde7637afb8f8bc6bda74ca24,21,2015-03-04
4,f6e0f05fde7637afb8f8bc6bda74ca24,30,2015-03-05
5,f6e0f05fde7637afb8f8bc6bda74ca24,26,2015-03-06
6,f6e0f05fde7637afb8f8bc6bda74ca24,51,2015-03-07
7,f6e0f05fde7637afb8f8bc6bda74ca24,29,2015-03-08
8,f6e0f05fde7637afb8f8bc6bda74ca24,14,2015-03-09
9,f6e0f05fde7637afb8f8bc6bda74ca24,37,2015-03-10
10,f6e0f05fde7637afb8f8bc6bda74ca24,85,2015-03-11
11,f6e0f05fde7637afb8f8bc6bda74ca24,24,2015-03-12
12,f6e0f05fde7637afb8f8bc6bda74ca24,27,2015-03-13
13,f6e0f05fde7637afb8f8bc6bda74ca24,25,2015-03-14
14,f6e0f05fde7637afb8f8bc6bda74ca24,28,2015-03-15
15,f6e0f05fde7637afb8f8bc6bda74ca24,22,2015-03-16
16,f6e0f05fde7637afb8f8bc6bda74ca24,51,2015-03-17
17,f6e0f05fde7637afb8f8bc6bda74ca24,10,2015-03-18
18,f6e0f05fde7637afb8f8bc6bda74ca24,10,2015-03-19
19,f6e0f05fde7637afb8f8bc6bda74ca24,34,2015-03-20
20,f6e0f05fde7637afb8f8bc6bda74ca24,15,2015-03-21
21,f6e0f05fde7637afb8f8bc6bda74ca24,24,2015-03-22
22,f6e0f05fde7637afb8f8bc6bda74ca24,18,2015-03-23
23,f6e0f05fde7637afb8f8bc6bda74ca24,15,2015-03-24
24,f6e0f05fde7637afb8f8bc6bda74ca24,28,2015-03-25
25,f6e0f05fde7637afb8f8bc6bda74ca24,19,2015-03-26
26,f6e0f05fde7637afb8f8bc6bda74ca24,28,2015-03-27
27,f6e0f05fde7637afb8f8bc6bda74ca24,29,2015-03-28
28,f6e0f05fde7637afb8f8bc6bda74ca24,35,2015-03-29
29,f6e0f05fde7637afb8f8bc6bda74ca24,31,2015-03-30
30,f6e0f05fde7637afb8f8bc6bda74ca24,36,2015-03-31
31,f6e0f05fde7637afb8f8bc6bda74ca24,15,2015-04-01
32,f6e0f05fde7637afb8f8bc6bda74ca24,37,2015-04-02
33,f6e0f05fde7637afb8f8bc6bda74ca24,45,2015-04-03
34,f6e0f05fde7637afb8f8bc6bda74ca24,50,2015-04-04
35,f6e0f05fde7637afb8f8bc6bda74ca24,70,2015-04-05
36,f6e0f05fde7637afb8f8bc6bda74ca24,44,2015-04-06
37,f6e0f05fde7637afb8f8bc6bda74ca24,24,2015-04-07
38,f6e0f05fde7637afb8f8bc6bda74ca24,74,2015-04-08
39,f6e0f05fde7637afb8f8bc6bda74ca24,11,2015-04-09
40,f6e0f05fde7637afb8f8bc6bda74ca24,20,2015-04-10
41,f6e0f05fde7637afb8f8bc6bda74ca24,8,2015-04-11
42,f6e0f05fde7637afb8f8bc6bda74ca24,131,2015-04-12
43,f6e0f05fde7637afb8f8bc6bda74ca24,22,2015-04-13
44,f6e0f05fde7637afb8f8bc6bda74ca24,11,2015-04-14
45,f6e0f05fde7637afb8f8bc6bda74ca24,26,2015-04-15
46,f6e0f05fde7637afb8f8bc6bda74ca24,19,2015-04-16
47,f6e0f05fde7637afb8f8bc6bda74ca24,15,2015-04-17
48,f6e0f05fde7637afb8f8bc6bda74ca24,31,2015-04-18
49,f6e0f05fde7637afb8f8bc6bda74ca24,42,2015-04-19
50,f6e0f05fde7637afb8f8bc6bda74ca24,16,2015-04-20
51,f6e0f05fde7637afb8f8bc6bda74ca24,23,2015-04-21
52,f6e0f05fde7637afb8f8bc6bda74ca24,19,2015-04-22
53,f6e0f05fde7637afb8f8bc6bda74ca24,19,2015-04-23
54,f6e0f05fde7637afb8f8bc6bda74ca24,22,2015-04-24
55,f6e0f05fde7637afb8f8bc6bda74ca24,45,2015-04-25
56,f6e0f05fde7637afb8f8bc6bda74ca24,20,2015-04-26
57,f6e0f05fde7637afb8f8bc6bda74ca24,11,2015-04-27
58,f6e0f05fde7637afb8f8bc6bda74ca24,15,2015-04-28
59,f6e0f05fde7637afb8f8bc6bda74ca24,16,2015-04-29
60,f6e0f05fde7637afb8f8bc6bda74ca24,13,2015-04-30
61,f6e0f05fde7637afb8f8bc6bda74ca24,14,2015-05-01
62,f6e0f05fde7637afb8f8bc6bda74ca24,9,2015-05-02
63,f6e0f05fde7637afb8f8bc6bda74ca24,23,2015-05-03
64,f6e0f05fde7637afb8f8bc6bda74ca24,16,2015-05-04
65,f6e0f05fde7637afb8f8bc6bda74ca24,11,2015-05-05
66,f6e0f05fde7637afb8f8bc6bda74ca24,13,2015-05-06
67,f6e0f05fde7637afb8f8bc6bda74ca24,28,2015-05-07
68,f6e0f05fde7637afb8f8bc6bda74ca24,24,2015-05-08
69,f6e0f05fde7637afb8f8bc6bda74ca24,34,2015-05-09
70,f6e0f05fde7637afb8f8bc6bda74ca24,25,2015-05-10
71,f6e0f05fde7637afb8f8bc6bda74ca24,17,2015-05-11
72,f6e0f05fde7637afb8f8bc6bda74ca24,15,2015-05-12
73,f6e0f05fde7637afb8f8bc6bda74ca24,17,2015-05-13
74,f6e0f05fde7637afb8f8bc6bda74ca24,11,2015-05-14
75,f6e0f05fde7637afb8f8bc6bda74ca24,16,2015-05-15
76,f6e0f05fde7637afb8f8bc6bda74ca24,12,2015-05-16
77,f6e0f05fde7637afb8f8bc6bda74ca24,10,2015-05-17
78,f6e0f05fde7637afb8f8bc6bda74ca24,23,2015-05-18
79,f6e0f05fde7637afb8f8bc6bda74ca24,11,2015-05-19
80,f6e0f05fde7637afb8f8bc6bda74ca24,17,2015-05-20
81,f6e0f05fde7637afb8f8bc6bda74ca24,11,2015-05-21
82,f6e0f05fde7637afb8f8bc6bda74ca24,26,2015-05-22
83,f6e0f05fde7637afb8f8bc6bda74ca24,27,2015-05-23
84,f6e0f05fde7637afb8f8bc6bda74ca24,16,2015-05-24
85,f6e0f05fde7637afb8f8bc6bda74ca24,15,2015-05-25
86,f6e0f05fde7637afb8f8bc6bda74ca24,16,2015-05-26
87,f6e0f05fde7637afb8f8bc6bda74ca24,14,2015-05-27
88,f6e0f05fde7637afb8f8bc6bda74ca24,7,2015-05-28
89,f6e0f05fde7637afb8f8bc6bda74ca24,16,2015-05-29
90,f6e0f05fde7637afb8f8bc6bda74ca24,21,2015-05-30
91,f6e0f05fde7637afb8f8bc6bda74ca24,9,2015-05-31
92,f6e0f05fde7637afb8f8bc6bda74ca24,18,2015-06-01
93,f6e0f05fde7637afb8f8bc6bda74ca24,12,2015-06-02
94,f6e0f05fde7637afb8f8bc6bda74ca24,7,2015-06-03
95,f6e0f05fde7637afb8f8bc6bda74ca24,29,2015-06-04
96,f6e0f05fde7637afb8f8bc6bda74ca24,9,2015-06-05
97,f6e0f05fde7637afb8f8bc6bda74ca24,30,2015-06-06
98,f6e0f05fde7637afb8f8bc6bda74ca24,12,2015-06-07
99,f6e0f05fde7637afb8f8bc6bda74ca24,21,2015-06-08
100,f6e0f05fde7637afb8f8bc6bda74ca24,63,2015-06-09
101,f6e0f05fde7637afb8f8bc6bda74ca24,18,2015-06-10
102,f6e0f05fde7637afb8f8bc6bda74ca24,22,2015-06-11
103,f6e0f05fde7637afb8f8bc6bda74ca24,19,2015-06-12
104,f6e0f05fde7637afb8f8bc6bda74ca24,34,2015-06-13
105,f6e0f05fde7637afb8f8bc6bda74ca24,12,2015-06-14
106,f6e0f05fde7637afb8f8bc6bda74ca24,13,2015-06-15
107,f6e0f05fde7637afb8f8bc6bda74ca24,18,2015-06-16
108,f6e0f05fde7637afb8f8bc6bda74ca24,7,2015-06-17
109,f6e0f05fde7637afb8f8bc6bda74ca24,11,2015-06-18
110,f6e0f05fde7637afb8f8bc6bda74ca24,13,2015-06-19
111,f6e0f05fde7637afb8f8bc6bda74ca24,13,2015-06-20
112,f6e0f05fde7637afb8f8bc6bda74ca24,13,2015-06-21
113,f6e0f05fde7637afb8f8bc6bda74ca24,6,2015-06-22
114,f6e0f05fde7637afb8f8bc6bda74ca24,15,2015-06-23
115,f6e0f05fde7637afb8f8bc6bda74ca24,14,2015-06-24
116,f6e0f05fde7637afb8f8bc6bda74ca24,17,2015-06-25
117,f6e0f05fde7637afb8f8bc6bda74ca24,37,2015-06-26
118,f6e0f05fde7637afb8f8bc6bda74ca24,14,2015-06-27
119,f6e0f05fde7637afb8f8bc6bda74ca24,22,2015-06-28
120,f6e0f05fde7637afb8f8bc6bda74ca24,24,2015-06-29
121,f6e0f05fde7637afb8f8bc6bda74ca24,17,2015-06-30
122,f6e0f05fde7637afb8f8bc6bda74ca24,282,2015-07-01
123,f6e0f05fde7637afb8f8bc6bda74ca24,15,2015-07-02
124,f6e0f05fde7637afb8f8bc6bda74ca24,51,2015-07-03
125,f6e0f05fde7637afb8f8bc6bda74ca24,26,2015-07-04
126,f6e0f05fde7637afb8f8bc6bda74ca24,18,2015-07-05
127,f6e0f05fde7637afb8f8bc6bda74ca24,58,2015-07-06
128,f6e0f05fde7637afb8f8bc6bda74ca24,30,2015-07-07
129,f6e0f05fde7637afb8f8bc6bda74ca24,36,2015-07-08
130,f6e0f05fde7637afb8f8bc6bda74ca24,14,2015-07-09
131,f6e0f05fde7637afb8f8bc6bda74ca24,15,2015-07-10
132,f6e0f05fde7637afb8f8bc6bda74ca24,23,2015-07-11
133,f6e0f05fde7637afb8f8bc6bda74ca24,12,2015-07-12
134,f6e0f05fde7637afb8f8bc6bda74ca24,62,2015-07-13
135,f6e0f05fde7637afb8f8bc6bda74ca24,45,2015-07-14
136,f6e0f05fde7637afb8f8bc6bda74ca24,78,2015-07-15
137,f6e0f05fde7637afb8f8bc6bda74ca24,33,2015-07-16
138,f6e0f05fde7637afb8f8bc6bda74ca24,18,2015-07-17
139,f6e0f05fde7637afb8f8bc6bda74ca24,18,2015-07-18
140,f6e0f05fde7637afb8f8bc6bda74ca24,19,2015-07-19
141,f6e0f05fde7637afb8f8bc6bda74ca24,12,2015-07-20
142,f6e0f05fde7637afb8f8bc6bda74ca24,3,2015-07-21
143,f6e0f05fde7637afb8f8bc6bda74ca24,16,2015-07-22
144,f6e0f05fde7637afb8f8bc6bda74ca24,3,2015-07-23
145,f6e0f05fde7637afb8f8bc6bda74ca24,10,2015-07-24
146,f6e0f05fde7637afb8f8bc6bda74ca24,29,2015-07-25
147,f6e0f05fde7637afb8f8bc6bda74ca24,12,2015-07-26
148,f6e0f05fde7637afb8f8bc6bda74ca24,22,2015-07-27
149,f6e0f05fde7637afb8f8bc6bda74ca24,19,2015-07-28
150,f6e0f05fde7637afb8f8bc6bda74ca24,19,2015-07-29
151,f6e0f05fde7637afb8f8bc6bda74ca24,21,2015-07-30
152,f6e0f05fde7637afb8f8bc6bda74ca24,4,2015-07-31
153,f6e0f05fde7637afb8f8bc6bda74ca24,9,2015-08-01
154,f6e0f05fde7637afb8f8bc6bda74ca24,8,2015-08-02
155,f6e0f05fde7637afb8f8bc6bda74ca24,16,2015-08-03
156,f6e0f05fde7637afb8f8bc6bda74ca24,13,2015-08-04
157,f6e0f05fde7637afb8f8bc6bda74ca24,14,2015-08-05
158,f6e0f05fde7637afb8f8bc6bda74ca24,20,2015-08-06
159,f6e0f05fde7637afb8f8bc6bda74ca24,10,2015-08-07
160,f6e0f05fde7637afb8f8bc6bda74ca24,20,2015-08-08
161,f6e0f05fde7637afb8f8bc6bda74ca24,66,2015-08-09
162,f6e0f05fde7637afb8f8bc6bda74ca24,18,2015-08-10
163,f6e0f05fde7637afb8f8bc6bda74ca24,6,2015-08-11
164,f6e0f05fde7637afb8f8bc6bda74ca24,19,2015-08-12
165,f6e0f05fde7637afb8f8bc6bda74ca24,21,2015-08-13
166,f6e0f05fde7637afb8f8bc6bda74ca24,11,2015-08-14
167,f6e0f05fde7637afb8f8bc6bda74ca24,21,2015-08-15
168,f6e0f05fde7637afb8f8bc6bda74ca24,10,2015-08-16
169,f6e0f05fde7637afb8f8bc6bda74ca24,8,2015-08-17
170,f6e0f05fde7637afb8f8bc6bda74ca24,38,2015-08-18
171,f6e0f05fde7637afb8f8bc6bda74ca24,4,2015-08-19
172,f6e0f05fde7637afb8f8bc6bda74ca24,9,2015-08-20
173,f6e0f05fde7637afb8f8bc6bda74ca24,6,2015-08-21
174,f6e0f05fde7637afb8f8bc6bda74ca24,8,2015-08-22
175,f6e0f05fde7637afb8f8bc6bda74ca24,29,2015-08-23
176,f6e0f05fde7637afb8f8bc6bda74ca24,10,2015-08-24
177,f6e0f05fde7637afb8f8bc6bda74ca24,14,2015-08-25
178,f6e0f05fde7637afb8f8bc6bda74ca24,10,2015-08-26
179,f6e0f05fde7637afb8f8bc6bda74ca24,13,2015-08-27
180,f6e0f05fde7637afb8f8bc6bda74ca24,18,2015-08-28
