,artist_id,down,ds
0,ffd47cf9cb66d226575336f0fa42ae25,4,2015-03-01
1,ffd47cf9cb66d226575336f0fa42ae25,4,2015-03-02
2,ffd47cf9cb66d226575336f0fa42ae25,3,2015-03-03
3,ffd47cf9cb66d226575336f0fa42ae25,11,2015-03-04
4,ffd47cf9cb66d226575336f0fa42ae25,3,2015-03-05
5,ffd47cf9cb66d226575336f0fa42ae25,4,2015-03-06
6,ffd47cf9cb66d226575336f0fa42ae25,1,2015-03-07
7,ffd47cf9cb66d226575336f0fa42ae25,5,2015-03-08
8,ffd47cf9cb66d226575336f0fa42ae25,1,2015-03-09
9,ffd47cf9cb66d226575336f0fa42ae25,5,2015-03-10
10,ffd47cf9cb66d226575336f0fa42ae25,9,2015-03-11
11,ffd47cf9cb66d226575336f0fa42ae25,9,2015-03-12
12,ffd47cf9cb66d226575336f0fa42ae25,6,2015-03-13
13,ffd47cf9cb66d226575336f0fa42ae25,2,2015-03-14
14,ffd47cf9cb66d226575336f0fa42ae25,5,2015-03-15
15,ffd47cf9cb66d226575336f0fa42ae25,5,2015-03-16
16,ffd47cf9cb66d226575336f0fa42ae25,8,2015-03-17
17,ffd47cf9cb66d226575336f0fa42ae25,55,2015-03-18
18,ffd47cf9cb66d226575336f0fa42ae25,19,2015-03-19
19,ffd47cf9cb66d226575336f0fa42ae25,20,2015-03-20
20,ffd47cf9cb66d226575336f0fa42ae25,4,2015-03-21
21,ffd47cf9cb66d226575336f0fa42ae25,4,2015-03-22
22,ffd47cf9cb66d226575336f0fa42ae25,4,2015-03-23
23,ffd47cf9cb66d226575336f0fa42ae25,10,2015-03-24
24,ffd47cf9cb66d226575336f0fa42ae25,3,2015-03-25
25,ffd47cf9cb66d226575336f0fa42ae25,11,2015-03-26
26,ffd47cf9cb66d226575336f0fa42ae25,5,2015-03-27
27,ffd47cf9cb66d226575336f0fa42ae25,6,2015-03-28
28,ffd47cf9cb66d226575336f0fa42ae25,11,2015-03-29
29,ffd47cf9cb66d226575336f0fa42ae25,11,2015-03-30
30,ffd47cf9cb66d226575336f0fa42ae25,3,2015-03-31
31,ffd47cf9cb66d226575336f0fa42ae25,7,2015-04-01
32,ffd47cf9cb66d226575336f0fa42ae25,11,2015-04-02
33,ffd47cf9cb66d226575336f0fa42ae25,6,2015-04-03
34,ffd47cf9cb66d226575336f0fa42ae25,5,2015-04-04
35,ffd47cf9cb66d226575336f0fa42ae25,26,2015-04-05
36,ffd47cf9cb66d226575336f0fa42ae25,6,2015-04-06
37,ffd47cf9cb66d226575336f0fa42ae25,3,2015-04-07
38,ffd47cf9cb66d226575336f0fa42ae25,5,2015-04-08
39,ffd47cf9cb66d226575336f0fa42ae25,10,2015-04-09
40,ffd47cf9cb66d226575336f0fa42ae25,5,2015-04-10
41,ffd47cf9cb66d226575336f0fa42ae25,3,2015-04-11
42,ffd47cf9cb66d226575336f0fa42ae25,21,2015-04-12
43,ffd47cf9cb66d226575336f0fa42ae25,4,2015-04-13
44,ffd47cf9cb66d226575336f0fa42ae25,5,2015-04-14
45,ffd47cf9cb66d226575336f0fa42ae25,4,2015-04-15
46,ffd47cf9cb66d226575336f0fa42ae25,17,2015-04-16
47,ffd47cf9cb66d226575336f0fa42ae25,6,2015-04-17
48,ffd47cf9cb66d226575336f0fa42ae25,14,2015-04-18
49,ffd47cf9cb66d226575336f0fa42ae25,10,2015-04-19
50,ffd47cf9cb66d226575336f0fa42ae25,6,2015-04-20
51,ffd47cf9cb66d226575336f0fa42ae25,14,2015-04-21
52,ffd47cf9cb66d226575336f0fa42ae25,10,2015-04-22
53,ffd47cf9cb66d226575336f0fa42ae25,7,2015-04-23
54,ffd47cf9cb66d226575336f0fa42ae25,7,2015-04-24
55,ffd47cf9cb66d226575336f0fa42ae25,13,2015-04-25
56,ffd47cf9cb66d226575336f0fa42ae25,7,2015-04-26
57,ffd47cf9cb66d226575336f0fa42ae25,26,2015-04-27
58,ffd47cf9cb66d226575336f0fa42ae25,19,2015-04-28
59,ffd47cf9cb66d226575336f0fa42ae25,26,2015-04-29
60,ffd47cf9cb66d226575336f0fa42ae25,18,2015-04-30
61,ffd47cf9cb66d226575336f0fa42ae25,10,2015-05-01
62,ffd47cf9cb66d226575336f0fa42ae25,12,2015-05-02
63,ffd47cf9cb66d226575336f0fa42ae25,8,2015-05-03
64,ffd47cf9cb66d226575336f0fa42ae25,4,2015-05-04
65,ffd47cf9cb66d226575336f0fa42ae25,13,2015-05-05
66,ffd47cf9cb66d226575336f0fa42ae25,8,2015-05-06
67,ffd47cf9cb66d226575336f0fa42ae25,2,2015-05-07
68,ffd47cf9cb66d226575336f0fa42ae25,9,2015-05-08
69,ffd47cf9cb66d226575336f0fa42ae25,13,2015-05-09
70,ffd47cf9cb66d226575336f0fa42ae25,7,2015-05-10
71,ffd47cf9cb66d226575336f0fa42ae25,10,2015-05-11
72,ffd47cf9cb66d226575336f0fa42ae25,10,2015-05-12
73,ffd47cf9cb66d226575336f0fa42ae25,18,2015-05-13
74,ffd47cf9cb66d226575336f0fa42ae25,10,2015-05-14
75,ffd47cf9cb66d226575336f0fa42ae25,5,2015-05-15
76,ffd47cf9cb66d226575336f0fa42ae25,7,2015-05-16
77,ffd47cf9cb66d226575336f0fa42ae25,4,2015-05-17
78,ffd47cf9cb66d226575336f0fa42ae25,9,2015-05-18
79,ffd47cf9cb66d226575336f0fa42ae25,7,2015-05-19
80,ffd47cf9cb66d226575336f0fa42ae25,7,2015-05-20
81,ffd47cf9cb66d226575336f0fa42ae25,48,2015-05-21
82,ffd47cf9cb66d226575336f0fa42ae25,7,2015-05-22
83,ffd47cf9cb66d226575336f0fa42ae25,5,2015-05-23
84,ffd47cf9cb66d226575336f0fa42ae25,13,2015-05-24
85,ffd47cf9cb66d226575336f0fa42ae25,4,2015-05-25
86,ffd47cf9cb66d226575336f0fa42ae25,2,2015-05-26
87,ffd47cf9cb66d226575336f0fa42ae25,1,2015-05-27
88,ffd47cf9cb66d226575336f0fa42ae25,12,2015-05-28
89,ffd47cf9cb66d226575336f0fa42ae25,8,2015-05-29
90,ffd47cf9cb66d226575336f0fa42ae25,7,2015-05-30
91,ffd47cf9cb66d226575336f0fa42ae25,10,2015-05-31
92,ffd47cf9cb66d226575336f0fa42ae25,3,2015-06-01
93,ffd47cf9cb66d226575336f0fa42ae25,5,2015-06-02
94,ffd47cf9cb66d226575336f0fa42ae25,4,2015-06-03
95,ffd47cf9cb66d226575336f0fa42ae25,1,2015-06-04
96,ffd47cf9cb66d226575336f0fa42ae25,5,2015-06-05
97,ffd47cf9cb66d226575336f0fa42ae25,4,2015-06-06
98,ffd47cf9cb66d226575336f0fa42ae25,10,2015-06-07
99,ffd47cf9cb66d226575336f0fa42ae25,12,2015-06-08
100,ffd47cf9cb66d226575336f0fa42ae25,5,2015-06-09
101,ffd47cf9cb66d226575336f0fa42ae25,11,2015-06-10
102,ffd47cf9cb66d226575336f0fa42ae25,12,2015-06-11
103,ffd47cf9cb66d226575336f0fa42ae25,5,2015-06-12
104,ffd47cf9cb66d226575336f0fa42ae25,12,2015-06-13
105,ffd47cf9cb66d226575336f0fa42ae25,64,2015-06-14
106,ffd47cf9cb66d226575336f0fa42ae25,10,2015-06-15
107,ffd47cf9cb66d226575336f0fa42ae25,2,2015-06-16
108,ffd47cf9cb66d226575336f0fa42ae25,2,2015-06-17
109,ffd47cf9cb66d226575336f0fa42ae25,45,2015-06-18
110,ffd47cf9cb66d226575336f0fa42ae25,8,2015-06-19
111,ffd47cf9cb66d226575336f0fa42ae25,8,2015-06-20
112,ffd47cf9cb66d226575336f0fa42ae25,5,2015-06-21
113,ffd47cf9cb66d226575336f0fa42ae25,4,2015-06-23
114,ffd47cf9cb66d226575336f0fa42ae25,5,2015-06-24
115,ffd47cf9cb66d226575336f0fa42ae25,7,2015-06-25
116,ffd47cf9cb66d226575336f0fa42ae25,24,2015-06-26
117,ffd47cf9cb66d226575336f0fa42ae25,4,2015-06-27
