,artist_id,down,ds
0,0c80008b0a28d356026f4b1097041689,74,2015-03-01
1,0c80008b0a28d356026f4b1097041689,63,2015-03-02
2,0c80008b0a28d356026f4b1097041689,76,2015-03-03
3,0c80008b0a28d356026f4b1097041689,74,2015-03-04
4,0c80008b0a28d356026f4b1097041689,93,2015-03-05
5,0c80008b0a28d356026f4b1097041689,114,2015-03-06
6,0c80008b0a28d356026f4b1097041689,108,2015-03-07
7,0c80008b0a28d356026f4b1097041689,76,2015-03-08
8,0c80008b0a28d356026f4b1097041689,86,2015-03-09
9,0c80008b0a28d356026f4b1097041689,128,2015-03-10
10,0c80008b0a28d356026f4b1097041689,81,2015-03-11
11,0c80008b0a28d356026f4b1097041689,72,2015-03-12
12,0c80008b0a28d356026f4b1097041689,96,2015-03-13
13,0c80008b0a28d356026f4b1097041689,92,2015-03-14
14,0c80008b0a28d356026f4b1097041689,93,2015-03-15
15,0c80008b0a28d356026f4b1097041689,117,2015-03-16
16,0c80008b0a28d356026f4b1097041689,154,2015-03-17
17,0c80008b0a28d356026f4b1097041689,173,2015-03-18
18,0c80008b0a28d356026f4b1097041689,104,2015-03-19
19,0c80008b0a28d356026f4b1097041689,98,2015-03-20
20,0c80008b0a28d356026f4b1097041689,160,2015-03-21
21,0c80008b0a28d356026f4b1097041689,166,2015-03-22
22,0c80008b0a28d356026f4b1097041689,135,2015-03-23
23,0c80008b0a28d356026f4b1097041689,147,2015-03-24
24,0c80008b0a28d356026f4b1097041689,178,2015-03-25
25,0c80008b0a28d356026f4b1097041689,153,2015-03-26
26,0c80008b0a28d356026f4b1097041689,134,2015-03-27
27,0c80008b0a28d356026f4b1097041689,129,2015-03-28
28,0c80008b0a28d356026f4b1097041689,122,2015-03-29
29,0c80008b0a28d356026f4b1097041689,148,2015-03-30
30,0c80008b0a28d356026f4b1097041689,117,2015-03-31
31,0c80008b0a28d356026f4b1097041689,159,2015-04-01
32,0c80008b0a28d356026f4b1097041689,159,2015-04-02
