,artist_id,down,ds
0,216b280870f6d2181e11b6a428aa84a7,281,2015-03-01
1,216b280870f6d2181e11b6a428aa84a7,255,2015-03-02
2,216b280870f6d2181e11b6a428aa84a7,201,2015-03-03
3,216b280870f6d2181e11b6a428aa84a7,224,2015-03-04
4,216b280870f6d2181e11b6a428aa84a7,259,2015-03-05
5,216b280870f6d2181e11b6a428aa84a7,219,2015-03-06
6,216b280870f6d2181e11b6a428aa84a7,266,2015-03-07
7,216b280870f6d2181e11b6a428aa84a7,212,2015-03-08
8,216b280870f6d2181e11b6a428aa84a7,168,2015-03-09
9,216b280870f6d2181e11b6a428aa84a7,240,2015-03-10
10,216b280870f6d2181e11b6a428aa84a7,252,2015-03-11
11,216b280870f6d2181e11b6a428aa84a7,268,2015-03-12
12,216b280870f6d2181e11b6a428aa84a7,218,2015-03-13
13,216b280870f6d2181e11b6a428aa84a7,294,2015-03-14
14,216b280870f6d2181e11b6a428aa84a7,198,2015-03-15
15,216b280870f6d2181e11b6a428aa84a7,184,2015-03-16
16,216b280870f6d2181e11b6a428aa84a7,223,2015-03-17
17,216b280870f6d2181e11b6a428aa84a7,258,2015-03-18
18,216b280870f6d2181e11b6a428aa84a7,194,2015-03-19
19,216b280870f6d2181e11b6a428aa84a7,256,2015-03-20
20,216b280870f6d2181e11b6a428aa84a7,312,2015-03-21
21,216b280870f6d2181e11b6a428aa84a7,265,2015-03-22
22,216b280870f6d2181e11b6a428aa84a7,230,2015-03-23
23,216b280870f6d2181e11b6a428aa84a7,181,2015-03-24
24,216b280870f6d2181e11b6a428aa84a7,200,2015-03-25
25,216b280870f6d2181e11b6a428aa84a7,243,2015-03-26
26,216b280870f6d2181e11b6a428aa84a7,227,2015-03-27
27,216b280870f6d2181e11b6a428aa84a7,262,2015-03-28
28,216b280870f6d2181e11b6a428aa84a7,273,2015-03-29
29,216b280870f6d2181e11b6a428aa84a7,199,2015-03-30
30,216b280870f6d2181e11b6a428aa84a7,228,2015-03-31
31,216b280870f6d2181e11b6a428aa84a7,245,2015-04-01
32,216b280870f6d2181e11b6a428aa84a7,278,2015-04-02
33,216b280870f6d2181e11b6a428aa84a7,197,2015-04-03
34,216b280870f6d2181e11b6a428aa84a7,244,2015-04-04
35,216b280870f6d2181e11b6a428aa84a7,420,2015-04-05
36,216b280870f6d2181e11b6a428aa84a7,657,2015-04-06
37,216b280870f6d2181e11b6a428aa84a7,168,2015-04-07
38,216b280870f6d2181e11b6a428aa84a7,276,2015-04-08
39,216b280870f6d2181e11b6a428aa84a7,145,2015-04-09
40,216b280870f6d2181e11b6a428aa84a7,204,2015-04-10
41,216b280870f6d2181e11b6a428aa84a7,206,2015-04-11
42,216b280870f6d2181e11b6a428aa84a7,186,2015-04-12
43,216b280870f6d2181e11b6a428aa84a7,215,2015-04-13
44,216b280870f6d2181e11b6a428aa84a7,238,2015-04-14
45,216b280870f6d2181e11b6a428aa84a7,287,2015-04-15
46,216b280870f6d2181e11b6a428aa84a7,176,2015-04-16
47,216b280870f6d2181e11b6a428aa84a7,211,2015-04-17
48,216b280870f6d2181e11b6a428aa84a7,181,2015-04-18
49,216b280870f6d2181e11b6a428aa84a7,150,2015-04-19
50,216b280870f6d2181e11b6a428aa84a7,159,2015-04-20
51,216b280870f6d2181e11b6a428aa84a7,151,2015-04-21
52,216b280870f6d2181e11b6a428aa84a7,140,2015-04-22
53,216b280870f6d2181e11b6a428aa84a7,201,2015-04-23
54,216b280870f6d2181e11b6a428aa84a7,173,2015-04-24
55,216b280870f6d2181e11b6a428aa84a7,240,2015-04-25
56,216b280870f6d2181e11b6a428aa84a7,189,2015-04-26
57,216b280870f6d2181e11b6a428aa84a7,143,2015-04-27
58,216b280870f6d2181e11b6a428aa84a7,148,2015-04-28
59,216b280870f6d2181e11b6a428aa84a7,173,2015-04-29
60,216b280870f6d2181e11b6a428aa84a7,188,2015-04-30
61,216b280870f6d2181e11b6a428aa84a7,139,2015-05-01
62,216b280870f6d2181e11b6a428aa84a7,172,2015-05-02
63,216b280870f6d2181e11b6a428aa84a7,146,2015-05-03
64,216b280870f6d2181e11b6a428aa84a7,194,2015-05-04
65,216b280870f6d2181e11b6a428aa84a7,99,2015-05-05
66,216b280870f6d2181e11b6a428aa84a7,115,2015-05-06
67,216b280870f6d2181e11b6a428aa84a7,141,2015-05-07
68,216b280870f6d2181e11b6a428aa84a7,130,2015-05-08
69,216b280870f6d2181e11b6a428aa84a7,186,2015-05-09
70,216b280870f6d2181e11b6a428aa84a7,124,2015-05-10
71,216b280870f6d2181e11b6a428aa84a7,105,2015-05-11
72,216b280870f6d2181e11b6a428aa84a7,96,2015-05-12
73,216b280870f6d2181e11b6a428aa84a7,151,2015-05-13
74,216b280870f6d2181e11b6a428aa84a7,92,2015-05-14
75,216b280870f6d2181e11b6a428aa84a7,136,2015-05-15
76,216b280870f6d2181e11b6a428aa84a7,149,2015-05-16
77,216b280870f6d2181e11b6a428aa84a7,156,2015-05-17
78,216b280870f6d2181e11b6a428aa84a7,138,2015-05-18
79,216b280870f6d2181e11b6a428aa84a7,84,2015-05-19
80,216b280870f6d2181e11b6a428aa84a7,90,2015-05-20
81,216b280870f6d2181e11b6a428aa84a7,140,2015-05-21
